,Adj Close,Close,High,Low,Open,Volume
2008-01-02,27.84,37.95,39.21,37.87,39.07,3027500.0
2008-01-03,27.63,37.66,38.14,37.38,38.14,3036000.0
2008-01-04,26.41,36.0,37.32,35.79,37.28,4917500.0
2008-01-07,26.98,36.78,37.04,35.96,36.15,3653000.0
2008-01-08,26.74,36.44,37.12,36.33,37.03,3741600.0
2008-01-09,26.78,36.51,36.76,36.13,36.39,2966100.0
2008-01-10,26.94,36.73,36.99,36.11,36.16,3519300.0
2008-01-11,26.46,36.07,36.5,35.82,36.46,3340900.0
2008-01-14,25.89,35.29,36.29,35.16,36.29,3879800.0
2008-01-15,25.83,35.21,35.61,35.04,35.04,2909100.0
2008-01-16,25.67,34.99,35.43,34.83,35.12,4017200.0
2008-01-17,25.34,34.54,35.23,34.47,35.0,3682600.0
2008-01-18,25.47,34.72,35.22,34.35,34.71,4256600.0
2008-01-22,25.16,34.29,34.62,33.37,33.37,6510400.0
2008-01-23,25.43,34.66,34.67,33.14,33.36,6180100.0
2008-01-24,24.97,34.03,34.67,33.71,34.67,3936100.0
2008-01-25,24.96,34.02,34.44,33.87,34.31,3458100.0
2008-01-28,25.45,34.69,34.71,33.92,34.14,3505300.0
2008-01-29,25.45,34.7,34.89,34.51,34.84,2370700.0
2008-01-30,25.41,34.64,35.12,34.48,34.76,2542400.0
2008-01-31,26.14,35.63,35.9,34.06,34.41,5395300.0
2008-02-01,25.74,35.09,35.72,34.29,35.72,5503100.0
2008-02-04,25.6,34.89,35.12,34.77,34.99,2350500.0
2008-02-05,24.88,33.92,34.5,33.85,34.35,4470000.0
2008-02-06,24.42,33.28,34.15,33.23,34.15,3683600.0
2008-02-07,24.6,33.53,33.73,33.13,33.15,4377600.0
2008-02-08,24.41,33.27,33.44,33.15,33.42,2693600.0
2008-02-11,24.77,33.76,33.92,33.2,33.2,2638100.0
2008-02-12,25.32,34.51,34.73,33.9,33.9,3714300.0
2008-02-13,25.65,34.97,35.07,34.59,34.71,3457200.0
2008-02-14,25.53,34.79,34.95,34.63,34.93,3598300.0
2008-02-15,25.6,34.89,35.02,34.6,34.78,3754700.0
2008-02-19,25.46,34.71,35.14,34.63,35.09,2923500.0
2008-02-20,25.91,35.32,35.5,34.35,34.48,3911200.0
2008-02-21,25.8,35.16,35.72,35.12,35.37,2203500.0
2008-02-22,26.22,35.74,35.79,35.08,35.33,3722100.0
2008-02-25,26.38,35.95,36.0,35.54,35.82,3653300.0
2008-02-26,26.26,35.79,36.21,35.14,35.14,4676700.0
2008-02-27,26.29,35.83,36.07,35.57,35.57,3251600.0
2008-02-28,25.95,35.37,35.72,35.27,35.72,3506100.0
2008-02-29,25.73,35.07,35.22,34.86,35.12,7307400.0
2008-03-03,25.91,35.31,35.38,35.03,35.03,3526000.0
2008-03-04,25.94,35.36,35.47,34.91,35.07,3959600.0
2008-03-05,25.89,35.29,35.68,34.9,35.2,3100900.0
2008-03-06,25.85,35.24,35.59,35.09,35.22,3076700.0
2008-03-07,25.25,34.42,35.12,34.26,35.01,4701600.0
2008-03-10,25.25,34.42,34.7,34.24,34.24,4546600.0
2008-03-11,25.77,35.13,35.2,34.5,34.8,3555300.0
2008-03-12,25.99,35.17,35.43,34.78,34.86,2775700.0
2008-03-13,25.88,35.02,35.36,34.47,34.82,3992400.0
2008-03-14,25.54,34.57,35.35,34.36,35.21,4607900.0
2008-03-17,25.16,34.05,34.56,33.82,33.82,4422000.0
2008-03-18,26.16,35.4,35.42,34.36,34.5,4793800.0
2008-03-19,26.13,35.36,36.0,35.35,35.5,4533500.0
2008-03-20,26.57,35.95,36.01,35.32,35.41,5116300.0
2008-03-24,27.1,36.67,36.79,35.56,36.08,3032000.0
2008-03-25,27.53,37.25,37.34,36.65,36.65,4761700.0
2008-03-26,27.5,37.22,37.59,36.87,36.99,3661400.0
2008-03-27,27.24,36.87,37.45,36.7,37.23,3737100.0
2008-03-28,27.11,36.69,37.09,36.65,37.03,2504200.0
2008-03-31,27.5,37.22,37.41,36.6,36.6,3056100.0
2008-04-01,28.16,38.1,38.1,37.31,37.4,3067800.0
2008-04-02,28.42,38.46,38.87,38.07,38.07,3839300.0
2008-04-03,28.13,38.07,38.4,37.95,38.28,3024200.0
2008-04-04,28.48,38.53,38.67,37.95,37.97,2584900.0
2008-04-07,28.11,38.03,38.81,37.9,38.81,2771700.0
2008-04-08,27.95,37.82,38.03,37.66,37.84,2183400.0
2008-04-09,27.8,37.62,37.92,37.38,37.77,1634200.0
2008-04-10,27.79,37.6,37.83,37.26,37.55,2125400.0
2008-04-11,27.24,36.86,37.4,36.8,37.2,1851700.0
2008-04-14,27.29,36.93,37.14,36.76,36.79,1445600.0
2008-04-15,27.45,37.15,37.23,36.86,37.17,1339100.0
2008-04-16,28.1,38.02,38.05,37.36,37.53,2230900.0
2008-04-17,28.18,38.13,38.26,37.89,38.05,1429700.0
2008-04-18,28.43,38.47,38.59,37.52,38.52,1828300.0
2008-04-21,28.33,38.34,38.42,38.08,38.28,1799300.0
2008-04-22,28.12,38.05,38.22,37.75,38.11,1957700.0
2008-04-23,28.25,38.23,38.56,37.88,38.28,2646200.0
2008-04-24,28.55,38.63,38.81,38.13,38.31,2324800.0
2008-04-25,28.6,38.7,38.74,38.27,38.74,2962900.0
2008-04-28,28.42,38.45,38.85,38.43,38.62,1641500.0
2008-04-29,28.33,38.33,38.6,38.26,38.48,2278500.0
2008-04-30,28.68,38.81,39.44,37.57,38.33,3183300.0
