,Adj Close,Close,High,Low,Open,Volume
2008-01-02,25.0,26.88,27.35,26.5,27.18,1236900.0
2008-01-03,24.88,26.75,27.05,26.6,27.05,885500.0
2008-01-04,24.25,26.08,26.65,26.04,26.55,871900.0
2008-01-07,24.36,26.2,26.34,25.97,26.32,1168200.0
2008-01-08,24.67,26.53,26.7,26.16,26.32,1353500.0
2008-01-09,25.28,27.19,27.25,26.5,26.51,1143400.0
2008-01-10,25.44,27.36,27.44,26.93,27.01,915100.0
2008-01-11,25.9,27.85,27.87,27.06,27.16,920300.0
2008-01-14,25.83,27.78,28.1,27.49,28.1,700100.0
2008-01-15,25.61,27.54,27.81,27.43,27.75,689600.0
2008-01-16,25.83,27.78,28.2,27.3,27.61,1042800.0
2008-01-17,25.38,27.29,27.83,27.28,27.81,806200.0
2008-01-18,24.7,26.56,27.72,26.43,27.5,1126100.0
2008-01-22,24.13,25.95,26.3,23.9,25.47,1475700.0
2008-01-23,23.94,25.74,25.84,25.0,25.28,1239800.0
2008-01-24,24.94,26.82,26.83,25.52,25.52,1541700.0
2008-01-25,24.52,26.37,27.12,26.19,27.12,1150800.0
2008-01-28,24.55,26.4,26.6,26.01,26.46,824600.0
2008-01-29,24.55,26.4,26.62,26.2,26.36,415100.0
2008-01-30,24.09,25.91,26.58,25.86,26.42,804900.0
2008-01-31,24.28,26.11,26.27,24.92,25.7,836900.0
2008-02-01,24.19,26.01,26.37,25.75,26.12,957000.0
2008-02-04,24.3,26.13,26.17,25.92,26.02,749700.0
2008-02-05,24.52,26.37,26.58,25.76,25.76,1358900.0
2008-02-06,24.52,26.37,26.78,26.26,26.37,902000.0
2008-02-07,24.49,26.34,26.39,25.76,26.18,1018400.0
2008-02-08,24.18,26.0,26.31,25.47,25.89,781600.0
2008-02-11,23.95,25.75,26.16,25.58,26.09,929600.0
2008-02-12,24.44,26.28,26.31,25.8,25.85,1406500.0
2008-02-13,24.96,26.79,26.83,26.34,26.51,900900.0
2008-02-14,26.49,28.43,28.46,27.01,27.19,2459200.0
2008-02-15,26.03,27.94,28.5,27.79,28.38,1596100.0
2008-02-19,26.39,28.32,28.78,28.08,28.52,1776400.0
2008-02-20,26.28,28.21,28.32,27.56,28.31,2798100.0
2008-02-21,25.4,27.26,28.43,26.97,28.43,2311100.0
2008-02-22,25.7,27.58,27.59,27.0,27.42,947300.0
2008-02-25,26.26,28.19,28.26,27.6,27.6,1368600.0
2008-02-26,26.75,28.71,28.87,28.08,28.25,2142800.0
2008-02-27,26.23,28.15,29.0,27.99,28.53,2012100.0
2008-02-28,26.0,27.91,28.31,27.84,27.87,1497500.0
2008-02-29,25.91,27.81,28.07,27.46,27.71,2202400.0
2008-03-03,25.62,27.5,27.76,27.34,27.75,1617800.0
2008-03-04,26.06,27.97,28.06,27.28,27.28,2254700.0
2008-03-05,26.23,28.15,28.48,27.8,28.05,2454500.0
2008-03-06,25.89,27.79,28.18,27.71,28.06,1472000.0
2008-03-07,25.77,27.66,27.84,27.34,27.65,1956100.0
2008-03-10,25.71,27.6,28.02,27.48,27.53,1651500.0
2008-03-11,25.97,27.87,28.34,27.32,28.07,2352800.0
2008-03-12,25.65,27.53,28.0,27.45,27.98,1017700.0
2008-03-13,26.04,27.95,28.1,27.01,27.26,1424200.0
2008-03-14,25.68,27.56,28.12,27.15,27.95,1323300.0
2008-03-17,26.09,28.0,28.42,26.84,28.42,1664100.0
2008-03-18,26.86,28.83,28.9,28.06,28.47,1133800.0
2008-03-19,26.71,28.67,29.27,28.67,28.91,1532300.0
2008-03-20,26.78,28.74,28.79,28.34,28.69,937800.0
2008-03-24,27.12,29.11,29.29,28.64,28.88,705100.0
2008-03-25,27.08,29.06,29.48,28.95,29.18,859800.0
2008-03-26,27.13,29.12,29.28,28.89,28.9,888200.0
2008-03-27,27.11,29.1,29.46,29.05,29.39,813100.0
2008-03-28,27.34,29.34,29.56,29.2,29.38,956000.0
2008-03-31,27.32,29.32,29.38,28.77,29.22,878000.0
2008-04-01,28.44,30.52,30.6,29.32,29.66,1182000.0
2008-04-02,27.27,29.27,30.58,29.07,30.31,2051200.0
2008-04-03,27.02,29.0,29.35,28.73,29.35,1463800.0
2008-04-04,27.26,29.26,29.44,29.02,29.02,474600.0
2008-04-07,27.98,30.03,30.27,29.32,29.42,1327700.0
2008-04-08,28.18,30.25,30.46,29.9,30.08,766900.0
2008-04-09,27.6,29.62,30.24,29.49,30.12,597200.0
2008-04-10,27.79,29.83,30.0,29.61,29.76,698600.0
2008-04-11,27.46,29.47,30.03,29.4,29.55,729600.0
2008-04-14,27.33,29.33,29.65,29.17,29.4,460400.0
2008-04-15,26.93,28.9,29.48,28.9,29.48,694600.0
2008-04-16,27.62,29.64,29.64,28.98,29.03,693500.0
2008-04-17,27.49,29.51,29.82,29.35,29.77,418900.0
2008-04-18,27.78,29.82,30.11,28.08,29.76,634400.0
2008-04-21,27.23,29.23,30.18,25.03,30.18,738900.0
2008-04-22,26.72,28.68,29.14,28.57,29.04,712500.0
2008-04-23,27.29,29.29,29.44,28.68,28.71,820000.0
2008-04-24,27.06,29.04,29.38,28.8,29.38,426000.0
2008-04-25,27.48,29.49,29.49,28.8,28.81,440900.0
2008-04-28,27.15,29.14,29.69,28.92,29.55,754400.0
2008-04-29,29.01,31.14,32.7,29.75,30.05,3434500.0
2008-04-30,28.92,31.04,31.79,30.64,31.06,1443000.0
2008-05-01,27.82,29.86,31.47,29.63,31.28,2308300.0
2008-05-02,27.48,29.49,30.07,29.24,30.04,921400.0
2008-05-05,26.97,28.95,29.31,28.6,29.3,1074700.0
2008-05-06,27.49,29.51,29.54,28.77,28.77,1185500.0
2008-05-07,26.42,28.36,29.9,28.24,29.63,963400.0
2008-05-08,26.27,28.2,28.41,27.9,28.22,696600.0
2008-05-09,26.35,28.28,28.31,27.79,28.04,746600.0
2008-05-12,26.39,28.32,28.36,27.72,27.72,479900.0
2008-05-13,25.85,27.74,28.59,27.65,28.41,1031600.0
2008-05-14,26.6,28.55,28.58,27.74,27.96,1321400.0
2008-05-15,26.61,28.56,28.73,28.26,28.37,1004100.0
2008-05-16,26.58,28.53,28.59,28.21,28.49,583500.0
2008-05-19,26.58,28.53,28.69,28.39,28.42,618400.0
2008-05-20,26.63,28.58,28.84,28.42,28.42,631100.0
2008-05-21,26.36,28.24,28.75,27.96,28.75,952900.0
2008-05-22,26.66,28.56,28.61,28.2,28.23,487700.0
2008-05-23,26.48,28.37,28.6,28.27,28.55,404600.0
2008-05-27,26.53,28.42,28.69,28.27,28.54,686800.0
2008-05-28,26.26,28.14,28.54,27.79,28.5,822100.0
2008-05-29,26.39,28.28,28.29,27.86,28.03,600900.0
2008-05-30,26.66,28.56,28.65,28.28,28.28,807000.0
2008-06-02,26.3,28.18,29.48,28.12,29.48,749100.0
2008-06-03,26.25,28.12,28.32,27.12,27.12,1025400.0
2008-06-04,26.38,28.26,28.33,27.84,27.86,844500.0
2008-06-05,26.72,28.63,28.74,28.04,28.39,821500.0
2008-06-06,26.5,28.39,29.02,28.32,28.35,1024100.0
2008-06-09,25.93,27.78,28.53,27.65,28.29,778000.0
2008-06-10,25.6,27.43,27.75,27.37,27.63,823900.0
2008-06-11,25.14,26.94,27.41,26.89,27.25,957300.0
2008-06-12,25.57,27.4,27.48,26.9,26.9,786700.0
2008-06-13,25.8,27.64,27.78,27.43,27.77,796300.0
2008-06-16,25.72,27.56,27.7,27.34,27.52,569500.0
2008-06-17,25.43,27.25,27.86,27.2,27.86,859000.0
2008-06-18,24.97,26.75,27.37,26.73,27.0,740100.0
2008-06-19,25.1,26.89,26.99,26.49,26.99,912800.0
2008-06-20,24.92,26.7,26.94,26.51,26.86,963400.0
2008-06-23,24.9,26.68,26.98,26.0,26.98,1789000.0
2008-06-24,24.97,26.75,26.84,26.42,26.61,647000.0
2008-06-25,25.71,27.55,27.75,26.72,26.9,1043500.0
2008-06-26,25.36,27.17,27.55,26.97,27.54,926100.0
2008-06-27,25.15,26.95,27.21,26.86,27.17,1287900.0
2008-06-30,25.36,27.17,27.46,26.89,26.91,621000.0
2008-07-01,25.41,27.23,27.3,26.92,26.95,825500.0
2008-07-02,25.36,27.17,27.55,27.07,27.16,869100.0
2008-07-03,25.43,27.25,27.54,27.14,27.39,422900.0
2008-07-07,25.41,27.22,27.46,26.93,27.38,1382900.0
2008-07-08,25.9,27.75,27.81,27.23,27.36,1147500.0
2008-07-09,26.2,28.07,28.4,27.58,27.73,993800.0
2008-07-10,26.45,28.34,28.54,28.04,28.14,1119600.0
2008-07-11,26.5,28.39,28.56,27.87,28.1,987100.0
2008-07-14,26.57,28.47,28.91,28.2,28.56,847100.0
