,Adj Close,Close,High,Low,Open,Volume
2008-01-02,16.94,33.99,34.87,33.53,34.73,1846600.0
2008-01-03,16.57,33.25,35.12,33.24,34.17,1566500.0
2008-01-04,16.16,32.41,33.06,32.09,33.06,1651900.0
2008-01-07,16.2,32.5,33.16,31.55,32.67,2210400.0
2008-01-08,15.32,30.73,33.69,30.63,32.6,2260100.0
2008-01-09,15.89,31.87,32.18,29.91,30.73,3026800.0
2008-01-10,16.4,32.91,33.78,30.47,31.44,2296000.0
2008-01-11,16.59,33.28,34.09,31.98,32.28,2001400.0
2008-01-14,16.48,33.06,34.07,31.8,33.61,2031800.0
2008-01-15,16.09,32.28,33.03,31.95,32.53,1634200.0
2008-01-16,16.78,33.66,34.27,32.18,32.18,2020400.0
2008-01-17,16.59,33.28,34.29,32.9,33.5,1826100.0
2008-01-18,16.67,33.44,34.2,32.66,33.4,2437000.0
2008-01-22,17.37,34.84,35.49,32.2,32.28,1673600.0
2008-01-23,19.44,39.01,39.77,33.28,33.75,3675300.0
2008-01-24,19.14,38.4,38.84,37.27,38.65,2416800.0
2008-01-25,19.34,38.8,39.71,38.37,38.37,2570200.0
2008-01-28,20.1,40.33,40.33,38.27,38.9,1697000.0
2008-01-29,19.86,39.85,40.7,39.58,40.63,1266800.0
2008-01-30,19.56,39.24,40.56,38.94,39.75,1636100.0
2008-01-31,19.67,39.47,39.91,38.54,38.55,1926800.0
2008-02-01,20.28,40.69,41.11,39.07,39.5,1781900.0
2008-02-04,19.67,39.46,41.01,39.42,40.7,2031300.0
2008-02-05,18.57,37.25,38.97,37.17,38.83,2279400.0
2008-02-06,18.29,36.7,38.44,36.7,37.6,1332400.0
2008-02-07,18.88,37.88,37.94,36.18,36.23,1340100.0
2008-02-08,17.94,36.0,37.22,35.53,35.8,2835900.0
2008-02-11,17.57,35.24,36.25,35.2,35.88,1721200.0
2008-02-12,18.19,36.5,37.06,35.24,35.24,2575500.0
2008-02-13,18.42,36.96,37.26,36.12,36.82,2122300.0
2008-02-14,18.12,36.35,36.98,36.07,36.83,1138700.0
2008-02-15,18.26,36.63,36.63,35.69,36.29,998800.0
2008-02-19,17.8,35.72,37.03,35.61,36.98,1353800.0
2008-02-20,18.05,36.22,36.37,35.29,35.3,1454600.0
2008-02-21,17.46,35.03,36.84,35.03,36.5,1482100.0
2008-02-22,17.94,35.99,35.99,34.59,35.11,1595500.0
2008-02-25,18.6,37.32,37.32,35.5,35.94,1546100.0
2008-02-26,18.44,37.0,37.72,36.55,37.05,1346700.0
2008-02-27,18.16,36.43,37.06,36.18,36.65,1103800.0
2008-02-28,17.67,35.44,36.21,35.44,36.1,816700.0
2008-02-29,17.17,34.45,35.54,34.35,35.13,1006500.0
2008-03-03,17.34,34.79,34.97,34.17,34.42,1152000.0
2008-03-04,17.27,34.64,35.02,33.81,34.48,1365200.0
2008-03-05,17.4,34.9,35.61,34.57,34.69,1473000.0
2008-03-06,16.41,32.93,34.7,32.77,34.45,1542100.0
2008-03-07,16.61,33.32,33.97,32.34,32.51,1484500.0
2008-03-10,16.43,32.96,33.73,32.83,33.46,1114900.0
2008-03-11,17.73,35.57,35.69,33.7,33.78,1938300.0
2008-03-12,17.58,35.27,36.78,35.25,35.57,998500.0
2008-03-13,17.91,35.93,36.14,33.91,34.95,1164800.0
2008-03-14,17.57,35.24,36.42,34.15,35.98,1667800.0
2008-03-17,17.7,35.5,35.71,34.08,34.25,1638000.0
2008-03-18,18.87,37.86,37.86,36.15,36.37,1552200.0
2008-03-19,18.6,37.31,38.58,37.31,37.97,1561000.0
2008-03-20,18.96,38.03,39.02,37.29,37.66,2661800.0
2008-03-24,19.44,39.0,39.63,38.19,38.37,2272200.0
2008-03-25,19.41,38.93,39.0,38.17,38.94,1537000.0
2008-03-26,18.73,37.57,38.85,37.57,38.58,1678700.0
2008-03-27,18.38,36.87,38.39,36.87,37.57,1001100.0
2008-03-28,17.56,35.23,36.53,35.23,35.68,1407100.0
2008-03-31,17.85,35.81,36.52,35.23,35.44,1600100.0
2008-04-01,19.15,38.42,38.43,36.33,36.4,2089900.0
2008-04-02,19.41,38.95,39.27,38.03,38.59,2525800.0
2008-04-03,20.05,40.23,40.36,38.45,38.7,1894900.0
2008-04-04,19.28,38.67,39.85,38.66,39.63,1704300.0
2008-04-07,19.74,39.61,39.65,38.99,39.19,1276100.0
2008-04-08,19.41,38.93,39.59,38.71,39.48,1209600.0
2008-04-09,18.61,37.34,39.09,37.34,38.93,1459500.0
2008-04-10,18.76,37.64,37.86,36.63,37.25,1571900.0
2008-04-11,18.51,37.14,37.79,37.03,37.2,1119500.0
2008-04-14,18.17,36.45,37.2,36.42,37.19,1167800.0
2008-04-15,18.12,36.36,37.05,35.9,36.75,1394500.0
2008-04-16,18.72,37.55,37.56,36.61,36.75,2056700.0
2008-04-17,18.65,37.42,37.79,37.05,37.79,1203300.0
2008-04-18,18.4,36.91,38.29,36.78,37.74,1157300.0
2008-04-21,18.12,36.35,36.91,36.03,36.63,1241000.0
2008-04-22,17.97,36.06,36.55,35.8,35.96,1134700.0
2008-04-23,18.04,36.2,36.88,35.92,36.02,1314900.0
2008-04-24,18.6,37.32,37.49,36.06,36.06,1623200.0
2008-04-25,18.68,37.47,37.59,36.89,37.42,1307800.0
2008-04-28,18.93,37.97,38.18,37.02,37.29,1235100.0
2008-04-29,18.72,37.56,38.16,37.32,38.16,570800.0
2008-04-30,18.43,36.98,38.42,36.98,37.31,1264300.0
2008-05-01,19.04,38.2,38.37,36.69,36.94,1347800.0
2008-05-02,19.56,39.25,40.4,37.71,37.71,1605300.0
2008-05-05,19.48,39.08,39.53,38.81,39.21,1010000.0
2008-05-06,19.83,39.78,39.78,38.59,38.82,1562200.0
2008-05-07,19.26,38.63,40.05,38.61,39.57,1623500.0
2008-05-08,19.23,38.58,39.18,37.9,39.18,1263500.0
2008-05-09,18.93,37.97,38.51,37.72,38.1,1753400.0
2008-05-12,19.7,39.53,39.54,38.16,38.22,1302100.0
2008-05-13,19.85,39.83,39.97,39.23,39.5,1305400.0
2008-05-14,20.09,39.69,40.15,39.28,39.38,1125400.0
2008-05-15,20.53,40.56,40.64,39.45,39.53,1128100.0
2008-05-16,20.47,40.44,40.78,40.04,40.38,722200.0
2008-05-19,20.4,40.3,41.24,40.07,40.34,1099000.0
2008-05-20,20.09,39.69,40.22,39.48,40.19,897900.0
2008-05-21,19.52,38.58,40.31,38.24,39.85,1131700.0
2008-05-22,19.58,38.69,39.22,38.45,38.45,1035100.0
2008-05-23,19.21,37.96,38.26,37.8,38.04,929600.0
2008-05-27,19.6,38.73,40.22,37.98,38.08,936200.0
2008-05-28,19.92,39.37,39.39,38.81,39.05,1246400.0
2008-05-29,20.22,39.96,40.04,39.28,39.37,1068800.0
2008-05-30,20.03,39.57,40.15,39.54,39.86,1031900.0
2008-06-02,19.65,38.83,39.21,38.0,38.62,1243700.0
2008-06-03,19.71,38.95,39.28,38.35,38.86,965600.0
2008-06-04,19.89,39.31,39.54,38.72,38.9,975900.0
2008-06-05,20.48,40.47,40.47,39.36,39.57,865900.0
2008-06-06,19.32,38.17,40.03,37.99,39.97,1224200.0
2008-06-09,18.54,36.63,38.72,36.52,38.23,1577000.0
2008-06-10,18.61,36.78,37.14,36.04,36.42,1155500.0
2008-06-11,18.22,36.01,36.91,35.96,36.64,1029600.0
2008-06-12,18.5,36.55,37.25,35.92,36.59,832600.0
2008-06-13,18.83,37.2,37.2,36.11,36.67,770800.0
2008-06-16,19.23,38.0,38.06,37.14,37.63,1202400.0
2008-06-17,18.62,36.8,38.46,36.78,38.16,798300.0
2008-06-18,18.34,36.24,37.16,36.18,36.5,1031100.0
2008-06-19,18.69,36.93,36.93,36.02,36.38,843200.0
2008-06-20,17.99,35.54,36.84,35.42,36.68,1439300.0
2008-06-23,17.56,34.69,35.99,34.59,35.94,958400.0
2008-06-24,17.71,35.0,35.41,34.22,34.42,729000.0
2008-06-25,17.98,35.53,36.34,35.15,35.25,1323900.0
2008-06-26,17.13,33.84,35.25,33.75,34.9,1127100.0
2008-06-27,17.16,33.9,34.2,33.33,34.08,1710000.0
2008-06-30,17.24,34.06,34.84,33.63,34.06,948100.0
2008-07-01,17.35,34.28,34.51,33.03,33.54,1370800.0
2008-07-02,16.87,33.34,34.42,33.34,34.18,1066000.0
2008-07-03,16.98,33.55,34.02,33.13,33.74,973700.0
2008-07-07,16.49,32.59,34.11,32.4,33.81,1578700.0
2008-07-08,18.04,35.65,35.9,32.48,32.59,2252700.0
2008-07-09,16.42,32.44,35.6,32.35,35.45,1606600.0
2008-07-10,16.96,33.52,34.15,31.95,32.26,1925600.0
2008-07-11,16.88,33.35,34.3,32.06,32.13,2315400.0
2008-07-14,16.0,31.61,34.11,31.6,33.95,2063900.0
2008-07-15,16.23,32.07,33.17,31.36,31.55,2822800.0
2008-07-16,17.6,34.77,34.99,31.69,32.15,2495000.0
2008-07-17,18.17,35.9,36.3,34.27,34.81,2387100.0
2008-07-18,18.36,36.28,36.52,35.15,36.01,1572500.0
2008-07-21,18.83,37.21,37.5,36.01,36.15,1546500.0
2008-07-22,20.05,39.61,39.94,36.56,37.1,3109800.0
2008-07-23,20.45,40.4,42.28,39.52,39.74,3557200.0
2008-07-24,18.37,33.6,38.76,33.25,37.89,3811400.0
2008-07-25,18.54,33.92,34.48,33.17,33.87,2753100.0
2008-07-28,17.77,32.5,34.16,32.47,33.9,2044400.0
2008-07-29,19.18,35.09,35.16,32.62,32.62,5260500.0
2008-07-30,18.87,34.52,36.18,33.43,35.5,4062200.0
2008-07-31,18.68,34.17,34.83,33.74,33.95,3322300.0
2008-08-01,19.47,35.61,38.17,34.86,36.37,7383700.0
2008-08-04,19.31,35.33,36.17,35.02,35.95,3942100.0
2008-08-05,20.81,38.06,38.21,35.55,35.55,5016900.0
2008-08-06,20.62,37.71,38.23,37.42,38.05,3599200.0
2008-08-07,20.3,37.14,38.2,36.84,37.22,3441200.0
2008-08-08,21.35,39.05,39.63,37.09,37.22,4162200.0
2008-08-11,20.97,38.35,39.55,37.94,38.87,5073000.0
2008-08-12,20.67,37.81,38.74,37.32,37.95,2991900.0
2008-08-13,20.8,38.04,38.57,37.36,37.89,3255100.0
2008-08-14,20.78,38.02,38.36,37.44,37.48,2847500.0
2008-08-15,20.76,37.98,38.35,37.34,37.82,2266600.0
2008-08-18,19.88,36.36,38.28,35.84,38.04,3073800.0
2008-08-19,19.58,35.81,36.05,35.23,36.05,2453200.0
2008-08-20,19.51,35.69,36.11,35.04,35.9,2212400.0
2008-08-21,19.4,35.48,35.89,35.19,35.45,2134200.0
2008-08-22,19.78,36.19,36.5,35.15,35.65,2763500.0
2008-08-25,19.06,34.86,35.96,34.78,35.86,1944500.0
2008-08-26,19.35,35.4,35.64,34.51,34.93,2545800.0
2008-08-27,19.3,35.31,35.62,34.89,35.59,1820300.0
2008-08-28,19.78,36.19,36.32,35.28,35.63,2023500.0
2008-08-29,19.37,35.44,36.16,35.36,35.72,2205500.0
2008-09-02,19.39,35.47,36.93,34.68,36.2,2414000.0
2008-09-03,19.82,36.25,36.37,34.86,35.62,3592300.0
