,Adj Close,Close,High,Low,Open,Volume
2008-01-02,51.76,65.7,66.99,65.54,66.99,1188300.0
2008-01-03,51.6,65.5,66.25,65.35,65.79,686200.0
2008-01-04,51.02,64.76,65.56,64.69,65.45,896700.0
2008-01-07,50.77,64.44,65.64,64.28,65.03,1601600.0
2008-01-08,50.09,63.58,65.75,63.23,64.91,2098500.0
2008-01-09,51.75,65.69,65.8,63.01,63.49,1143400.0
2008-01-10,52.48,66.62,67.44,64.86,65.08,1603300.0
2008-01-11,52.59,66.75,67.05,65.42,66.31,1701100.0
2008-01-14,53.81,68.3,68.37,66.85,67.15,1299700.0
2008-01-15,53.6,68.04,68.59,66.6,67.44,1531200.0
2008-01-16,52.89,67.14,69.17,67.01,68.02,1598300.0
2008-01-17,51.08,64.84,68.05,64.81,67.21,1910600.0
2008-01-18,49.55,62.9,66.14,62.34,65.01,2203400.0
2008-01-22,49.81,63.23,64.35,59.38,59.38,1934200.0
2008-01-23,52.52,66.67,67.15,62.05,62.47,1920100.0
2008-01-24,51.37,65.2,67.7,65.19,67.11,1635300.0
2008-01-25,50.56,64.18,65.67,64.01,65.6,1231300.0
2008-01-28,50.66,64.3,65.23,63.96,64.29,1731800.0
2008-01-29,50.96,64.69,65.35,63.78,64.41,1690900.0
2008-01-30,50.96,64.69,66.76,64.65,64.69,1490800.0
2008-01-31,51.04,64.78,65.87,63.84,64.14,1340600.0
2008-02-01,51.86,65.83,65.83,64.83,65.3,1212400.0
2008-02-04,52.82,67.05,67.4,65.09,65.61,1163100.0
2008-02-05,51.72,65.65,66.72,64.89,66.06,1303300.0
2008-02-06,50.69,64.34,66.0,64.0,66.0,1454200.0
2008-02-07,48.25,61.24,63.44,59.8,62.5,3360600.0
2008-02-08,49.35,62.64,63.5,61.13,61.13,2027000.0
2008-02-11,48.07,61.02,62.76,60.91,62.5,1670300.0
2008-02-12,47.55,60.36,61.92,59.6,61.76,1761500.0
2008-02-13,47.0,59.66,60.86,59.06,60.22,2621000.0
2008-02-14,48.65,61.75,62.0,59.56,59.56,1834100.0
2008-02-15,49.17,62.41,62.41,61.16,61.44,1247300.0
2008-02-19,48.74,61.87,63.85,61.23,63.69,1085300.0
2008-02-20,49.26,62.53,62.62,61.13,61.7,1058800.0
2008-02-21,48.77,61.79,63.18,61.57,62.63,695800.0
2008-02-22,49.4,62.58,62.63,60.75,62.05,799300.0
2008-02-25,50.48,63.95,64.22,62.26,62.47,1197800.0
2008-02-26,50.93,64.52,64.62,63.61,64.0,1280500.0
2008-02-27,51.8,65.63,66.07,64.0,64.27,1139500.0
2008-02-28,50.83,64.4,65.54,64.07,65.42,907800.0
2008-02-29,49.37,62.55,63.85,62.16,63.85,1358700.0
2008-03-03,49.44,62.63,62.69,61.05,62.55,1127900.0
2008-03-04,48.99,62.06,63.0,61.15,62.47,1215300.0
2008-03-05,49.69,62.95,63.85,62.12,62.12,1043900.0
2008-03-06,47.76,60.51,62.31,60.5,62.31,918900.0
2008-03-07,48.89,61.94,62.71,60.25,60.26,1039400.0
2008-03-10,48.32,61.22,62.66,60.95,61.94,739200.0
2008-03-11,49.18,62.31,64.52,60.39,64.51,2083100.0
2008-03-12,48.19,61.05,63.44,61.05,62.19,739100.0
2008-03-13,47.87,60.65,60.99,59.35,60.32,1901400.0
2008-03-14,46.82,59.32,60.9,58.5,60.83,1716100.0
2008-03-17,46.11,58.42,59.25,57.75,58.07,1404400.0
2008-03-18,48.18,61.04,61.54,59.05,59.5,1601200.0
2008-03-19,47.9,60.69,62.3,60.53,61.17,1295600.0
2008-03-20,49.54,62.76,62.78,60.67,60.86,1201400.0
2008-03-24,47.82,60.58,63.35,60.37,62.85,1178000.0
2008-03-25,48.49,61.43,61.64,60.3,60.44,1200300.0
2008-03-26,47.81,60.57,61.47,60.26,61.43,647600.0
2008-03-27,48.14,60.99,61.79,60.68,60.98,706200.0
2008-03-28,47.56,60.25,61.69,60.06,61.51,683300.0
2008-03-31,48.04,60.86,61.1,59.76,60.4,730400.0
2008-04-01,50.45,63.92,63.95,60.99,61.19,989500.0
2008-04-02,49.93,63.25,64.65,63.11,64.23,1302500.0
2008-04-03,48.7,61.7,62.95,61.37,62.85,1480300.0
2008-04-04,48.73,61.73,62.09,60.39,61.7,1220500.0
2008-04-07,49.13,62.24,62.51,61.51,61.91,884400.0
2008-04-08,48.72,61.72,62.1,61.26,61.5,819100.0
2008-04-09,48.77,61.79,62.93,61.6,61.73,798900.0
2008-04-10,48.93,61.99,62.6,61.53,62.58,934200.0
2008-04-11,48.73,61.74,62.51,61.47,61.59,583700.0
2008-04-14,48.45,61.38,61.8,60.78,61.8,587600.0
2008-04-15,49.89,63.2,63.38,61.75,62.02,893400.0
2008-04-16,51.2,64.87,64.87,63.44,63.49,765700.0
2008-04-17,51.21,64.88,65.85,64.64,64.81,710100.0
2008-04-18,51.13,64.77,66.02,64.45,65.58,879600.0
2008-04-21,50.86,64.44,64.78,63.65,64.26,509200.0
2008-04-22,50.41,63.86,64.14,63.15,63.95,682900.0
2008-04-23,50.13,63.51,64.49,62.94,64.23,711100.0
2008-04-24,51.28,64.97,65.18,63.68,63.99,654500.0
2008-04-25,51.37,65.08,65.8,64.33,65.16,720000.0
2008-04-28,50.97,64.57,65.63,64.43,65.39,729200.0
2008-04-29,52.16,66.08,66.28,64.26,64.37,1274100.0
2008-04-30,51.31,65.0,65.99,64.49,65.97,1147800.0
2008-05-01,52.59,66.63,67.86,63.47,66.42,2379100.0
2008-05-02,51.61,65.39,66.52,64.63,64.78,1340800.0
2008-05-05,52.52,66.54,66.74,64.77,64.77,1006200.0
2008-05-06,53.15,67.33,67.88,65.81,65.81,763200.0
2008-05-07,53.24,67.45,68.46,67.33,67.7,1253800.0
2008-05-08,51.73,65.54,67.4,65.1,67.28,1439200.0
2008-05-09,51.13,64.77,65.98,64.57,64.9,1055000.0
2008-05-12,51.95,65.81,65.81,64.49,64.58,665500.0
2008-05-13,51.75,65.56,65.91,65.26,65.75,779600.0
2008-05-14,53.23,67.44,67.9,65.98,66.15,1192600.0
2008-05-15,53.4,67.65,67.95,66.89,67.21,1343100.0
2008-05-16,52.73,66.8,67.88,66.66,67.82,873700.0
2008-05-19,53.22,67.42,68.0,66.8,67.1,732100.0
2008-05-20,52.59,66.62,67.43,66.44,66.89,767100.0
2008-05-21,51.73,65.53,67.25,65.53,66.85,653800.0
2008-05-22,52.87,66.84,66.84,65.39,65.39,929500.0
2008-05-23,52.53,66.41,66.91,66.0,66.28,731200.0
2008-05-27,53.24,67.3,67.3,66.13,66.13,968000.0
2008-05-28,53.77,67.97,68.03,66.41,67.56,878300.0
2008-05-29,54.04,68.32,68.45,67.79,68.21,746300.0
2008-05-30,53.81,68.03,68.36,67.49,68.24,1170900.0
2008-06-02,54.24,68.57,68.86,67.5,67.9,921500.0
2008-06-03,54.68,69.13,69.76,68.61,68.83,1027100.0
2008-06-04,53.88,68.12,69.2,67.85,68.99,789100.0
2008-06-05,55.42,70.06,70.06,68.43,68.65,901900.0
2008-06-06,54.37,68.73,70.33,68.7,69.4,945000.0
2008-06-09,54.96,69.48,70.26,68.83,69.1,876200.0
2008-06-10,54.34,68.7,69.76,68.55,69.12,978700.0
2008-06-11,53.11,67.14,69.0,67.09,68.35,1039300.0
2008-06-12,53.94,68.19,68.96,67.06,67.12,970300.0
2008-06-13,54.0,68.27,68.9,67.33,68.4,836000.0
2008-06-16,54.75,69.21,69.34,67.75,69.34,916500.0
2008-06-17,54.51,68.91,69.81,68.91,69.6,744200.0
2008-06-18,54.89,69.39,69.58,68.75,68.78,879800.0
2008-06-19,54.98,69.5,70.87,68.09,69.21,1271500.0
2008-06-20,53.73,67.93,69.26,67.89,69.13,579600.0
2008-06-23,53.88,68.11,68.99,68.1,68.36,515000.0
2008-06-24,54.04,68.31,68.52,67.45,67.8,851500.0
2008-06-25,54.04,68.31,69.0,67.93,68.24,715600.0
2008-06-26,53.14,67.18,68.5,67.18,67.4,1092500.0
2008-06-27,53.38,67.48,68.0,66.68,66.84,1145000.0
2008-06-30,52.18,65.96,67.59,65.96,67.32,1276200.0
