,Adj Close,Close,High,Low,Open,Volume
2008-01-02,33.94,40.78,41.15,40.58,41.14,444600.0
2008-01-03,33.55,40.31,40.83,39.98,40.7,809900.0
2008-01-04,32.99,39.64,40.35,39.56,39.85,780500.0
2008-01-07,33.08,39.75,40.83,39.28,39.62,841800.0
2008-01-08,32.14,38.61,40.06,38.38,39.97,864800.0
2008-01-09,31.13,37.4,38.6,36.41,38.49,1331000.0
2008-01-10,31.66,38.04,38.49,36.59,37.08,1033700.0
2008-01-11,31.09,37.35,38.0,37.0,37.79,610500.0
2008-01-14,31.41,37.74,37.98,37.34,37.65,847500.0
2008-01-15,30.81,37.02,37.59,36.63,37.24,852900.0
2008-01-16,29.93,35.96,36.82,35.94,36.68,1209200.0
2008-01-17,28.72,34.5,36.15,33.7,36.03,1771200.0
2008-01-18,28.4,34.12,34.83,33.59,34.68,1316700.0
2008-01-22,28.48,34.22,34.7,31.99,32.75,1007200.0
2008-01-23,28.15,33.82,34.06,32.38,33.45,1226400.0
2008-01-24,28.42,34.15,34.53,33.51,33.97,2867800.0
2008-01-25,31.05,37.3,37.78,34.65,34.65,2194500.0
2008-01-28,32.54,39.09,39.28,36.82,37.0,2328900.0
2008-01-29,29.43,35.36,36.99,33.73,36.47,5084200.0
2008-01-30,29.63,35.6,36.94,35.54,36.77,2213700.0
2008-01-31,30.17,36.25,36.89,34.8,35.14,1289800.0
2008-02-01,31.11,37.38,37.49,36.0,36.18,1059500.0
2008-02-04,31.88,38.3,39.0,36.85,37.37,1975800.0
2008-02-05,30.88,37.1,38.74,36.86,38.74,1365500.0
2008-02-06,31.22,37.51,38.2,37.0,38.2,1144400.0
2008-02-07,31.66,38.04,38.11,36.71,37.55,1328600.0
2008-02-08,31.68,38.06,38.16,37.59,37.97,1301700.0
2008-02-11,31.77,38.17,38.4,37.29,37.95,832600.0
2008-02-12,33.08,39.74,40.51,38.44,38.44,1793600.0
2008-02-13,33.19,39.88,40.15,39.64,40.15,1059000.0
2008-02-14,32.77,39.37,40.26,39.15,39.75,667400.0
2008-02-15,32.93,39.56,39.67,38.65,39.08,668500.0
2008-02-19,33.23,39.93,40.57,39.72,40.2,644400.0
2008-02-20,33.42,40.15,40.24,39.02,39.66,821100.0
2008-02-21,32.67,39.25,40.44,39.11,40.4,479200.0
2008-02-22,31.79,38.2,39.44,37.79,39.29,1584000.0
2008-02-25,33.47,40.21,40.35,38.11,38.3,729600.0
2008-02-26,33.5,40.25,40.43,39.46,40.12,786300.0
2008-02-27,33.13,39.81,40.6,39.56,39.77,558500.0
2008-02-28,32.71,39.3,40.15,38.78,39.68,463300.0
2008-02-29,31.58,37.94,39.18,37.75,38.96,782000.0
2008-03-03,31.21,37.5,37.84,36.88,37.63,791500.0
2008-03-04,30.83,37.04,37.45,36.21,36.9,661600.0
2008-03-05,31.06,37.32,37.6,36.79,37.06,466000.0
2008-03-06,30.41,36.54,37.56,36.5,37.08,502600.0
2008-03-07,29.6,35.56,36.77,35.35,36.43,633800.0
2008-03-10,29.36,35.27,35.96,35.14,35.56,833900.0
2008-03-11,30.85,37.07,37.07,36.01,36.03,1187500.0
2008-03-12,30.98,37.1,37.83,36.77,37.07,456300.0
2008-03-13,30.88,36.98,37.25,35.68,36.61,607600.0
2008-03-14,29.51,35.34,37.21,34.96,37.21,884000.0
2008-03-17,29.09,34.84,35.45,34.09,34.52,1148500.0
2008-03-18,30.39,36.39,36.43,35.11,35.35,532300.0
2008-03-19,28.93,34.64,37.06,34.64,36.62,1099000.0
2008-03-20,28.66,34.32,34.92,34.12,34.6,1219300.0
2008-03-24,29.21,34.98,35.64,34.1,34.26,1257700.0
2008-03-25,29.88,35.78,35.88,34.41,34.92,1675500.0
2008-03-26,29.9,35.81,35.98,35.2,35.39,645100.0
2008-03-27,30.09,36.03,36.58,35.45,35.88,677400.0
2008-03-28,29.52,35.35,36.28,35.21,35.97,426200.0
2008-03-31,30.5,36.52,36.7,35.49,35.53,1043800.0
2008-04-01,30.89,36.99,37.14,36.35,37.14,1050200.0
2008-04-02,30.9,37.0,37.69,36.65,36.82,873300.0
2008-04-03,30.32,36.31,37.23,36.19,36.82,915000.0
2008-04-04,29.89,35.79,36.6,35.54,36.24,1267400.0
2008-04-07,29.81,35.7,36.69,35.44,36.07,1458500.0
2008-04-08,30.27,36.25,36.35,35.44,35.52,513600.0
2008-04-09,29.72,35.59,36.41,35.41,36.25,317900.0
2008-04-10,29.43,35.25,35.71,35.03,35.52,561300.0
2008-04-11,29.17,34.93,35.41,34.73,34.82,551800.0
2008-04-14,29.34,35.14,35.56,34.9,35.09,521300.0
2008-04-15,29.77,35.65,35.88,35.2,35.28,736500.0
2008-04-16,30.92,37.03,37.07,35.88,35.88,671400.0
2008-04-17,30.81,36.9,37.16,36.47,36.81,798600.0
2008-04-18,31.52,37.75,38.05,37.36,37.37,625300.0
2008-04-21,32.57,39.0,39.44,38.44,38.75,1393200.0
2008-04-22,31.42,37.63,39.19,37.3,39.19,1623100.0
2008-04-23,32.04,38.37,38.87,37.66,37.81,1178200.0
2008-04-24,31.91,38.21,38.53,37.11,38.3,999200.0
2008-04-25,32.03,38.36,38.58,37.86,38.17,664300.0
2008-04-28,31.82,38.11,38.29,37.7,38.19,461600.0
2008-04-29,31.23,37.4,38.09,37.07,37.98,447800.0
2008-04-30,31.24,37.41,38.06,37.3,37.41,547600.0
2008-05-01,31.53,37.76,37.97,36.61,37.4,553100.0
2008-05-02,31.52,37.75,38.2,37.46,37.91,417300.0
2008-05-05,32.01,38.33,38.33,37.51,37.51,601500.0
2008-05-06,31.94,38.25,38.59,38.02,38.31,423800.0
2008-05-07,32.13,38.48,39.14,37.65,37.66,1043600.0
2008-05-08,33.12,39.66,39.66,38.35,38.74,785700.0
2008-05-09,33.26,39.83,40.0,38.54,39.3,1662100.0
2008-05-12,34.74,41.6,41.75,40.31,41.75,1244900.0
2008-05-13,35.56,42.59,42.62,41.82,41.87,1198300.0
2008-05-14,36.66,43.9,44.35,42.49,42.54,1962000.0
2008-05-15,36.99,44.3,44.34,43.44,44.03,687700.0
2008-05-16,36.34,43.52,43.94,42.75,43.85,1642700.0
2008-05-19,35.9,42.99,43.59,42.69,43.59,1051600.0
2008-05-20,35.69,42.74,43.0,42.23,42.86,679500.0
2008-05-21,35.68,42.73,44.04,42.61,43.32,1068100.0
2008-05-22,36.48,43.69,43.94,42.86,42.92,616500.0
2008-05-23,35.83,42.91,43.63,42.42,43.63,423500.0
2008-05-27,35.91,43.0,43.05,42.28,42.89,353400.0
2008-05-28,36.57,43.8,43.86,42.82,43.21,366000.0
2008-05-29,37.08,44.4,44.94,43.8,43.9,737300.0
2008-05-30,37.13,44.47,44.64,44.12,44.57,530600.0
2008-06-02,36.37,43.56,44.47,43.44,44.2,475700.0
2008-06-03,36.38,43.57,44.0,43.11,43.5,737700.0
2008-06-04,37.23,44.58,44.85,43.41,43.53,657000.0
2008-06-05,38.24,45.79,45.9,44.56,44.6,953000.0
2008-06-06,37.03,44.34,45.81,44.3,45.36,967000.0
2008-06-09,36.57,43.8,44.92,43.51,44.76,658200.0
2008-06-10,35.88,42.97,43.41,42.59,43.23,614500.0
2008-06-11,35.65,42.58,43.51,42.56,42.77,484200.0
2008-06-12,36.32,43.38,43.91,42.9,42.94,628400.0
2008-06-13,37.24,44.47,44.53,43.58,43.78,383400.0
2008-06-16,37.18,44.4,44.84,44.28,44.35,585500.0
2008-06-17,37.25,44.49,44.69,43.76,44.61,423900.0
2008-06-18,36.94,44.12,44.64,43.55,44.18,564000.0
2008-06-19,37.16,44.38,44.71,43.76,44.0,197800.0
2008-06-20,36.32,43.37,44.34,43.1,44.08,669900.0
2008-06-23,37.13,44.34,44.57,43.58,43.66,913200.0
2008-06-24,35.86,42.83,44.54,42.79,44.22,766200.0
2008-06-25,36.94,44.11,44.31,42.61,42.9,1265700.0
2008-06-26,34.93,41.72,43.51,41.61,43.41,1036100.0
2008-06-27,34.32,40.98,42.1,40.88,41.56,1270400.0
2008-06-30,33.42,39.91,41.0,39.8,40.28,1083200.0
2008-07-01,33.45,39.95,40.16,38.83,39.4,1086800.0
2008-07-02,32.51,38.83,40.55,38.83,39.9,1148900.0
2008-07-03,32.42,38.72,39.13,38.0,38.69,339600.0
2008-07-07,32.05,38.28,39.4,38.0,39.02,688500.0
2008-07-08,32.41,38.71,38.77,37.37,38.24,937900.0
2008-07-09,32.36,38.65,39.4,38.37,38.95,745700.0
2008-07-10,32.63,38.97,42.45,38.66,38.71,1464400.0
2008-07-11,32.51,38.82,39.7,38.25,38.74,941500.0
2008-07-14,32.41,38.71,39.43,38.51,39.06,844000.0
2008-07-15,33.0,39.41,40.2,38.09,39.22,825100.0
2008-07-16,32.62,38.95,39.35,37.85,39.35,1016900.0
2008-07-17,32.82,39.2,39.53,38.93,39.22,694000.0
2008-07-18,32.49,38.8,39.81,38.26,39.36,1095000.0
2008-07-21,32.14,38.38,38.42,35.71,37.58,1901900.0
2008-07-22,30.86,36.85,38.05,36.59,37.93,1481200.0
2008-07-23,30.77,36.75,37.21,36.12,36.67,1468500.0
2008-07-24,30.19,36.05,37.05,35.94,36.73,676900.0
2008-07-25,30.65,36.6,36.68,35.8,36.18,801300.0
2008-07-28,30.64,36.59,36.81,35.96,36.46,703000.0
2008-07-29,31.48,37.59,37.7,36.48,36.61,889200.0
