,Adj Close,Close,High,Low,Open,Volume
2008-01-02,13.73,17.41,17.97,17.2,17.73,19230800.0
2008-01-03,13.48,17.1,17.4,17.0,17.4,15999100.0
2008-01-04,13.22,16.77,17.26,16.65,17.23,33623600.0
2008-01-07,13.19,16.73,16.92,16.42,16.75,22609200.0
2008-01-08,12.87,16.33,17.0,16.31,16.61,27256400.0
2008-01-09,13.12,16.64,16.75,16.18,16.34,26513100.0
2008-01-10,12.93,16.4,16.65,16.2,16.54,29988700.0
2008-01-11,12.93,16.4,16.48,16.13,16.19,22924800.0
2008-01-14,13.28,16.84,16.88,16.44,16.55,25047500.0
2008-01-15,13.36,16.95,17.1,16.75,16.92,38473300.0
2008-01-16,13.73,17.42,17.85,16.64,16.89,45738400.0
2008-01-17,13.82,17.53,17.95,17.2,17.59,36939600.0
2008-01-18,14.21,18.02,18.26,17.52,17.78,36727000.0
2008-01-22,14.19,18.0,18.2,16.8,16.87,39387500.0
2008-01-23,14.27,18.1,18.13,17.14,17.27,39899800.0
2008-01-24,14.16,17.96,18.28,17.47,18.08,34009800.0
2008-01-25,13.73,17.42,18.27,17.4,18.27,22564000.0
2008-01-28,14.15,17.95,17.95,17.33,17.46,16612900.0
2008-01-29,13.94,17.68,18.04,17.47,18.04,15946500.0
2008-01-30,14.13,17.92,18.02,17.56,17.56,26509600.0
2008-01-31,14.13,17.92,18.05,17.61,17.65,20701700.0
2008-02-01,14.89,18.88,18.89,17.95,18.0,25342000.0
2008-02-04,14.57,18.48,19.0,18.47,18.9,15248100.0
2008-02-05,14.27,18.1,18.61,18.08,18.13,23728600.0
2008-02-06,13.78,17.48,18.24,17.43,18.22,23452900.0
2008-02-07,13.92,17.65,17.88,17.15,17.42,23004600.0
2008-02-08,14.14,17.93,18.01,17.61,17.71,17436900.0
2008-02-11,14.58,18.49,18.89,18.0,18.03,30060200.0
2008-02-12,14.29,18.07,18.78,18.02,18.78,34408100.0
2008-02-13,15.75,19.91,19.91,19.0,19.33,64833000.0
2008-02-14,15.18,19.19,19.9,19.11,19.86,33291700.0
2008-02-15,15.06,19.04,19.34,18.93,19.09,21881800.0
2008-02-19,14.62,18.48,19.34,18.37,19.25,29350900.0
2008-02-20,15.38,19.44,19.69,18.39,18.4,31673700.0
2008-02-21,15.25,19.28,19.88,19.21,19.56,22089700.0
2008-02-22,15.57,19.68,19.7,19.16,19.36,22894700.0
