,Adj Close,Close,High,Low,Open,Volume
2008-01-02,7.14,7.14,7.4,7.02,7.4,46057300.0
2008-01-03,6.77,6.77,7.18,6.75,7.15,34787400.0
2008-01-04,6.25,6.25,6.64,6.1,6.64,51476400.0
2008-01-07,6.08,6.08,6.41,6.02,6.37,32111500.0
2008-01-08,6.0,6.0,6.38,5.97,6.18,37271600.0
2008-01-09,5.53,5.53,6.06,5.31,6.06,50976000.0
2008-01-10,5.96,5.96,6.0,5.42,5.52,55612700.0
2008-01-11,6.25,6.25,6.44,6.02,6.07,41432000.0
2008-01-14,6.41,6.41,6.54,6.25,6.48,30007200.0
2008-01-15,6.12,6.12,6.35,6.01,6.28,30309700.0
2008-01-16,6.57,6.57,6.91,5.8,5.89,52425800.0
2008-01-17,6.34,6.34,6.92,6.22,6.7,40337800.0
2008-01-18,7.07,7.07,7.15,6.8,6.85,60464000.0
2008-01-22,6.83,6.83,7.09,6.57,6.57,28519600.0
2008-01-23,7.56,7.56,7.59,6.6,6.65,45996900.0
2008-01-24,7.58,7.58,7.79,7.43,7.73,33625400.0
2008-01-25,7.15,7.15,7.78,7.07,7.66,30011500.0
2008-01-28,7.46,7.46,7.49,6.98,7.1,20428500.0
2008-01-29,7.61,7.61,7.65,7.25,7.49,20649100.0
2008-01-30,7.61,7.61,7.75,7.45,7.6,21502100.0
2008-01-31,7.59,7.59,7.69,7.38,7.5,21174900.0
2008-02-01,8.0,8.0,8.03,7.6,7.78,26266400.0
2008-02-04,7.92,7.92,8.08,7.8,8.07,16687900.0
2008-02-05,7.21,7.21,7.86,7.21,7.77,28511300.0
2008-02-06,6.74,6.74,7.38,6.68,7.38,29748700.0
2008-02-07,6.59,6.59,6.76,6.43,6.64,36182400.0
2008-02-08,6.34,6.34,6.63,6.22,6.58,30758900.0
2008-02-11,6.28,6.28,6.42,6.23,6.36,23919500.0
2008-02-12,6.41,6.41,6.61,6.31,6.4,25263700.0
2008-02-13,6.7,6.7,6.72,6.47,6.49,21779100.0
2008-02-14,6.53,6.53,6.93,6.52,6.78,20940000.0
2008-02-15,6.45,6.45,6.61,6.36,6.53,14219400.0
2008-02-19,6.5,6.5,6.74,6.49,6.64,16220600.0
2008-02-20,6.83,6.83,6.96,6.5,6.5,22695700.0
2008-02-21,6.96,6.96,7.18,6.88,6.88,26370300.0
2008-02-22,6.71,6.71,7.03,6.45,7.03,26522200.0
2008-02-25,6.97,6.97,6.99,6.64,6.64,17599800.0
2008-02-26,7.13,7.13,7.19,6.86,6.95,21404800.0
2008-02-27,7.28,7.28,7.48,6.97,7.05,19430000.0
2008-02-28,7.02,7.02,7.25,6.91,7.17,17271300.0
2008-02-29,7.21,7.21,7.34,6.97,6.98,27384500.0
2008-03-03,6.76,6.76,7.21,6.63,7.21,33104000.0
2008-03-04,6.76,6.76,6.78,6.38,6.66,31551500.0
2008-03-05,6.84,6.84,7.04,6.75,6.85,22641800.0
2008-03-06,6.49,6.49,6.85,6.45,6.85,21429400.0
2008-03-07,6.49,6.49,6.75,6.31,6.44,28821800.0
2008-03-10,6.16,6.16,6.6,6.13,6.6,19869900.0
2008-03-11,6.48,6.48,6.49,6.13,6.28,25491000.0
2008-03-12,6.43,6.43,6.65,6.31,6.49,19031000.0
2008-03-13,6.73,6.73,6.78,6.31,6.33,23734900.0
2008-03-14,6.38,6.38,6.83,6.35,6.83,25336000.0
2008-03-17,6.34,6.34,6.41,6.16,6.21,19283500.0
2008-03-18,6.39,6.39,6.54,6.27,6.43,21990800.0
2008-03-19,6.15,6.15,6.45,6.11,6.43,19822600.0
2008-03-20,6.11,6.11,6.22,6.07,6.11,25882800.0
2008-03-24,6.21,6.21,6.34,6.13,6.2,18015700.0
2008-03-25,6.3,6.3,6.34,6.15,6.29,16347100.0
2008-03-26,6.22,6.22,6.3,6.12,6.27,16266700.0
2008-03-27,6.16,6.16,6.33,6.16,6.33,11456800.0
2008-03-28,5.91,5.91,6.22,5.76,6.22,35744400.0
2008-03-31,5.89,5.89,6.02,5.78,5.82,18961800.0
2008-04-01,6.07,6.07,6.11,5.89,5.93,16203300.0
2008-04-02,6.19,6.19,6.37,6.08,6.08,30141100.0
2008-04-03,6.26,6.26,6.29,6.15,6.16,39533000.0
2008-04-04,6.23,6.23,6.33,6.16,6.24,21184100.0
2008-04-07,6.34,6.34,6.47,6.27,6.31,25995100.0
2008-04-08,6.03,6.03,6.18,5.95,6.11,61778900.0
2008-04-09,6.26,6.26,6.3,5.98,6.09,26884100.0
2008-04-10,6.27,6.27,6.48,6.23,6.27,21680200.0
2008-04-11,6.01,6.01,6.29,5.97,6.21,22158500.0
2008-04-14,5.86,5.86,6.09,5.83,6.06,19333100.0
2008-04-15,5.78,5.78,5.91,5.61,5.91,22744000.0
2008-04-16,6.07,6.07,6.17,5.83,5.93,26678700.0
2008-04-17,6.19,6.19,6.3,6.0,6.06,23814600.0
2008-04-18,6.11,6.11,6.39,5.98,6.38,34375600.0
2008-04-21,6.14,6.14,6.14,5.95,6.1,14601100.0
2008-04-22,5.96,5.96,6.14,5.93,6.14,14770500.0
2008-04-23,5.92,5.92,6.07,5.86,6.03,23275900.0
2008-04-24,6.03,6.03,6.13,5.83,5.94,20086700.0
2008-04-25,6.06,6.06,6.1,5.93,6.09,11075600.0
2008-04-28,6.0,6.0,6.11,6.0,6.06,8014900.0
2008-04-29,6.02,6.02,6.07,5.95,5.98,10695600.0
2008-04-30,5.96,5.96,6.07,5.93,6.04,14029700.0
2008-05-01,6.22,6.22,6.29,5.97,5.98,19591800.0
2008-05-02,6.16,6.16,6.34,6.09,6.28,16102500.0
2008-05-05,6.53,6.53,6.59,6.11,6.16,41539000.0
2008-05-06,7.12,7.12,7.41,6.44,6.45,75533800.0
2008-05-07,6.91,6.91,7.27,6.86,7.15,26791200.0
2008-05-08,6.93,6.93,7.24,6.67,6.99,30371400.0
2008-05-09,6.94,6.94,7.06,6.73,6.9,15496100.0
2008-05-12,7.16,7.16,7.3,6.97,6.97,24085800.0
2008-05-13,7.19,7.19,7.32,7.11,7.19,15153600.0
2008-05-14,7.16,7.16,7.42,7.1,7.26,24836900.0
2008-05-15,7.41,7.41,7.42,7.16,7.17,16955600.0
2008-05-16,7.26,7.26,7.48,7.17,7.48,18008000.0
2008-05-19,7.1,7.1,7.48,7.06,7.31,23527700.0
2008-05-20,7.12,7.12,7.23,7.0,7.07,18484100.0
2008-05-21,7.08,7.08,7.26,7.05,7.16,13446400.0
2008-05-22,7.07,7.07,7.19,7.01,7.16,11537300.0
2008-05-23,6.88,6.88,7.06,6.76,7.02,13377900.0
2008-05-27,6.92,6.92,7.0,6.79,6.91,13114700.0
2008-05-28,6.82,6.82,7.07,6.74,7.01,18159000.0
2008-05-29,6.77,6.77,6.9,6.75,6.82,12623100.0
2008-05-30,6.88,6.88,6.95,6.71,6.86,20871900.0
2008-06-02,6.8,6.8,6.88,6.74,6.88,10823700.0
2008-06-03,6.81,6.81,6.87,6.72,6.84,15573200.0
2008-06-04,7.19,7.19,7.3,6.81,6.85,33424100.0
2008-06-05,7.78,7.78,7.79,7.29,7.31,40481900.0
2008-06-06,7.43,7.43,7.7,7.42,7.69,29842400.0
2008-06-09,7.68,7.68,7.98,7.44,7.57,26738500.0
2008-06-10,7.43,7.43,7.65,7.38,7.58,23476600.0
2008-06-11,6.96,6.96,7.43,6.92,7.43,26590500.0
2008-06-12,7.14,7.14,7.36,7.09,7.09,22173500.0
2008-06-13,7.52,7.52,7.55,7.23,7.23,19410900.0
2008-06-16,7.71,7.71,7.77,7.41,7.47,18112000.0
2008-06-17,7.72,7.72,7.94,7.58,7.88,24980400.0
2008-06-18,7.29,7.29,7.7,7.27,7.66,22951700.0
2008-06-19,7.33,7.33,7.4,7.02,7.33,20543400.0
2008-06-20,6.99,6.99,7.25,6.96,7.24,22395100.0
2008-06-23,6.55,6.55,7.17,6.51,7.13,29666900.0
2008-06-24,6.24,6.24,6.49,6.22,6.49,37493200.0
2008-06-25,6.43,6.43,6.58,6.33,6.36,26964400.0
2008-06-26,6.13,6.13,6.33,6.0,6.33,29126600.0
2008-06-27,5.95,5.95,6.22,5.85,6.15,23612700.0
2008-06-30,5.83,5.83,6.04,5.67,6.01,27347200.0
2008-07-01,5.65,5.65,5.82,5.4,5.71,32866100.0
2008-07-02,5.44,5.44,5.84,5.42,5.77,24019300.0
2008-07-03,5.3,5.3,5.55,5.01,5.48,24320100.0
2008-07-07,5.38,5.38,5.67,5.22,5.47,25813600.0
