,Adj Close,Close,High,Low,Open,Volume
2008-01-02,96.25,96.25,97.43,94.7,95.35,13858700.0
2008-01-03,95.21,95.21,97.25,94.52,96.06,9122500.0
2008-01-04,88.79,88.79,93.4,88.5,93.26,10270000.0
2008-01-07,88.82,88.82,90.57,85.47,88.62,9981600.0
2008-01-08,87.88,87.88,91.83,86.93,87.55,12283300.0
2008-01-09,85.22,85.22,87.8,80.24,87.56,16410900.0
2008-01-10,84.26,84.26,85.97,82.97,83.98,11609900.0
2008-01-11,81.08,81.08,84.03,80.29,84.03,10624300.0
2008-01-14,82.87,82.87,83.32,78.87,82.18,9056100.0
2008-01-15,80.24,80.24,81.01,78.51,80.49,9655900.0
2008-01-16,80.35,80.35,82.36,78.44,79.58,12407000.0
2008-01-17,80.12,80.12,82.25,79.54,80.16,9900900.0
2008-01-18,79.76,79.76,82.31,78.04,79.93,13364300.0
2008-01-22,78.48,78.48,79.72,72.22,73.58,12822200.0
2008-01-23,73.97,73.97,76.8,69.95,75.6,20405700.0
2008-01-24,77.67,77.67,77.88,74.19,74.53,9886600.0
2008-01-25,77.6,77.6,81.43,76.33,78.69,10027600.0
2008-01-28,75.82,75.82,77.4,74.34,76.91,8505300.0
2008-01-29,73.95,73.95,75.9,72.06,75.77,9958000.0
2008-01-30,74.21,74.21,77.42,73.25,73.54,25298700.0
2008-01-31,77.7,77.7,78.87,68.84,68.91,42885900.0
2008-02-01,74.63,74.63,79.4,73.37,79.02,16361000.0
2008-02-04,73.95,73.95,76.66,73.9,74.5,9155200.0
2008-02-05,72.09,72.09,74.21,72.0,72.8,9633900.0
2008-02-06,68.49,68.49,72.43,68.17,72.3,12399500.0
2008-02-07,70.91,70.91,72.71,67.22,67.37,14501700.0
2008-02-08,73.5,73.5,74.6,72.52,73.4,11700400.0
2008-02-11,75.19,75.19,75.96,72.77,73.14,7763700.0
2008-02-12,74.45,74.45,77.05,73.79,75.43,9449000.0
2008-02-13,77.73,77.73,78.85,73.27,74.99,11070300.0
2008-02-14,75.8,75.8,77.88,75.18,77.73,7497200.0
2008-02-15,72.96,72.96,75.19,71.94,75.0,11120100.0
2008-02-19,72.08,72.08,74.0,71.55,73.54,7109200.0
2008-02-20,73.64,73.64,73.88,71.1,71.9,6450700.0
2008-02-21,69.9,69.9,74.21,69.37,73.94,13150800.0
2008-02-22,72.08,72.08,72.21,69.86,70.54,12342700.0
2008-02-25,73.27,73.27,73.5,71.41,72.35,7858200.0
2008-02-26,71.69,71.69,73.5,70.28,71.91,9891300.0
2008-02-27,70.87,70.87,71.48,69.57,70.68,8930500.0
2008-02-28,67.85,67.85,70.6,67.11,70.3,13167800.0
2008-02-29,64.47,64.47,67.5,63.97,67.01,11664600.0
2008-03-03,62.43,62.43,64.49,61.2,63.59,13721100.0
2008-03-04,65.34,65.34,66.6,61.23,61.67,16703600.0
2008-03-05,64.99,64.99,66.34,63.82,65.66,11126400.0
2008-03-06,62.74,62.74,65.46,62.5,64.75,8343300.0
2008-03-07,64.09,64.09,64.87,62.01,62.2,10438100.0
2008-03-10,63.47,63.47,65.15,62.91,63.9,9321000.0
2008-03-11,67.15,67.15,67.17,63.71,65.95,9742900.0
2008-03-12,66.51,66.51,68.23,65.64,66.77,7748800.0
2008-03-13,68.32,68.32,69.55,64.37,65.11,10707500.0
2008-03-14,68.22,68.22,70.68,66.06,68.61,12420700.0
2008-03-17,66.53,66.53,67.79,64.92,65.72,9709100.0
2008-03-18,71.7,71.7,71.93,67.59,68.25,9550700.0
2008-03-19,70.17,70.17,74.0,70.17,71.1,11041900.0
2008-03-20,73.19,73.19,73.49,69.38,70.17,11410700.0
2008-03-24,75.95,75.95,76.93,72.75,73.82,9395400.0
2008-03-25,75.17,75.17,76.29,74.05,75.83,6327500.0
2008-03-26,73.8,73.8,75.12,73.24,74.14,6285100.0
2008-03-27,70.8,70.8,74.69,70.8,74.37,7942400.0
2008-03-28,69.76,69.76,72.21,69.26,71.0,5279100.0
2008-03-31,71.3,71.3,71.64,69.63,70.25,5470300.0
2008-04-01,76.7,76.7,77.09,72.76,72.99,9734000.0
2008-04-02,77.37,77.37,79.0,76.12,77.08,8592400.0
2008-04-03,74.94,74.94,76.01,73.81,75.15,8149900.0
2008-04-04,76.87,76.87,77.83,74.28,75.26,7152800.0
2008-04-07,76.9,76.9,78.43,76.0,77.36,6672400.0
2008-04-08,77.3,77.3,77.61,75.5,76.4,4966000.0
2008-04-09,74.39,74.39,76.67,73.66,76.56,6660300.0
2008-04-10,74.83,74.83,75.49,72.73,74.48,6255500.0
2008-04-11,71.99,71.99,74.3,71.62,73.84,6785600.0
2008-04-14,72.61,72.61,74.0,71.29,71.7,4354500.0
2008-04-15,72.5,72.5,73.98,70.65,72.97,6813100.0
2008-04-16,74.59,74.59,75.0,72.94,73.02,6746800.0
2008-04-17,74.04,74.04,75.02,73.61,74.18,6220000.0
2008-04-18,80.1,80.1,82.0,76.32,76.48,16791300.0
2008-04-21,80.18,80.18,81.34,79.06,80.03,9335400.0
2008-04-22,79.6,79.6,79.94,77.54,79.94,7245000.0
2008-04-23,81.0,81.0,82.64,78.74,80.3,19250400.0
2008-04-24,77.69,77.69,80.53,76.93,77.71,21073500.0
2008-04-25,80.86,80.86,81.32,77.26,77.81,9456500.0
2008-04-28,81.97,81.97,82.5,80.12,80.64,10991900.0
2008-04-29,80.74,80.74,81.77,79.86,81.42,6726400.0
2008-04-30,78.63,78.63,81.34,77.92,80.9,7875700.0
2008-05-01,79.36,79.36,80.01,77.97,78.4,7197000.0
2008-05-02,77.31,77.31,81.2,76.4,80.3,8154900.0
2008-05-05,75.92,75.92,77.77,75.87,77.27,5647400.0
2008-05-06,75.71,75.71,76.77,75.05,75.51,6545700.0
2008-05-07,73.18,73.18,76.64,73.09,75.26,8376600.0
2008-05-08,72.79,72.79,74.16,71.56,73.73,8131300.0
2008-05-09,72.41,72.41,73.34,71.66,72.2,4243500.0
2008-05-12,74.53,74.53,74.93,71.78,73.0,7215400.0
2008-05-13,74.56,74.56,74.96,73.31,74.57,5020800.0
2008-05-14,74.2,74.2,75.75,73.98,74.92,4589200.0
2008-05-15,76.12,76.12,76.32,73.55,73.89,6917700.0
2008-05-16,76.46,76.46,76.83,74.86,76.42,6206700.0
2008-05-19,82.29,82.29,84.75,78.86,79.01,18684800.0
2008-05-20,80.72,80.72,82.7,80.03,82.17,7912200.0
2008-05-21,78.3,78.3,81.15,77.5,80.37,7070500.0
2008-05-22,79.26,79.26,79.69,78.0,78.68,5390600.0
2008-05-23,78.35,78.35,78.87,77.43,78.55,6331900.0
2008-05-27,80.62,80.62,80.9,77.97,78.26,10108200.0
2008-05-28,80.08,80.08,80.79,78.99,80.73,6700600.0
2008-05-29,80.35,80.35,81.96,80.17,80.61,6857600.0
2008-05-30,81.62,81.62,81.77,80.3,80.58,5270600.0
2008-06-02,80.23,80.23,81.57,80.05,81.15,6215200.0
2008-06-03,80.11,80.11,81.89,79.26,80.71,5870000.0
2008-06-04,81.5,81.5,81.82,79.72,80.11,6458300.0
2008-06-05,84.51,84.51,84.88,81.8,82.11,8938700.0
2008-06-06,80.63,80.63,83.64,80.56,83.24,7843700.0
2008-06-09,79.43,79.43,81.53,78.12,81.19,6537300.0
2008-06-10,79.62,79.62,81.04,78.2,78.2,6065600.0
2008-06-11,77.28,77.28,80.0,77.03,79.35,5874500.0
2008-06-12,76.15,76.15,79.05,75.01,78.02,6204400.0
2008-06-13,79.17,79.17,80.0,76.7,76.7,5974500.0
2008-06-16,81.7,81.7,82.53,78.41,78.42,5754400.0
2008-06-17,82.97,82.97,84.3,82.8,83.15,8802400.0
2008-06-18,82.52,82.52,83.17,81.32,82.0,6846600.0
2008-06-19,84.26,84.26,84.47,81.5,82.21,6717300.0
2008-06-20,81.1,81.1,83.46,80.51,83.1,6588900.0
2008-06-23,80.68,80.68,82.15,79.55,81.3,7425800.0
2008-06-24,79.64,79.64,80.79,77.63,79.55,7140100.0
2008-06-25,80.51,80.51,82.15,79.52,80.45,7393300.0
