,Adj Close,Close,High,Low,Open,Volume
2008-01-02,15.14,15.14,15.71,15.08,15.57,1478400.0
2008-01-03,14.63,14.63,15.18,14.59,15.16,1962800.0
2008-01-04,13.9,13.9,14.52,13.75,14.52,3102300.0
2008-01-07,13.8,13.8,14.02,13.66,13.87,1831200.0
2008-01-08,13.18,13.18,14.03,13.11,13.84,2295100.0
2008-01-09,12.98,12.98,13.27,12.6,13.2,2845400.0
2008-01-10,13.37,13.37,13.56,12.8,12.86,2361300.0
2008-01-11,12.98,12.98,13.36,12.87,13.29,2642200.0
2008-01-14,13.02,13.02,13.21,12.87,13.21,1251600.0
2008-01-15,12.3,12.3,12.81,12.18,12.75,2945200.0
2008-01-16,12.38,12.38,12.56,12.11,12.12,4082100.0
2008-01-17,12.33,12.33,12.62,12.24,12.54,2133900.0
2008-01-18,12.5,12.5,12.93,12.38,12.55,3417000.0
2008-01-22,13.32,13.32,13.36,11.72,11.72,4350400.0
2008-01-23,15.47,15.47,15.49,12.55,13.14,6636100.0
2008-01-24,15.0,15.0,15.64,14.71,15.64,3739500.0
2008-01-25,14.25,14.25,15.28,14.12,14.96,2953700.0
2008-01-28,15.03,15.03,15.04,13.99,14.24,3527100.0
2008-01-29,15.4,15.4,15.5,14.71,15.14,2710300.0
2008-01-30,15.41,15.41,16.0,15.22,15.5,3721900.0
2008-01-31,16.28,16.28,16.61,15.07,15.2,2994200.0
2008-02-01,16.59,16.59,16.63,16.05,16.28,1936500.0
2008-02-04,15.68,15.68,16.61,15.28,16.61,2790000.0
2008-02-05,14.99,14.99,15.54,14.91,15.27,3443100.0
2008-02-06,14.92,14.92,15.53,14.82,15.16,2375000.0
2008-02-07,14.81,14.81,15.36,14.06,14.5,5788700.0
2008-02-08,15.51,15.51,15.66,14.5,14.63,4833400.0
2008-02-11,15.6,15.6,15.66,15.15,15.62,2660000.0
2008-02-12,15.52,15.52,15.83,15.48,15.61,2603500.0
2008-02-13,15.62,15.62,15.82,15.36,15.55,2775000.0
2008-02-14,15.2,15.2,15.78,15.03,15.75,2423600.0
2008-02-15,15.1,15.1,15.14,14.8,15.01,2530700.0
2008-02-19,15.15,15.15,15.46,14.99,15.4,1675400.0
2008-02-20,15.5,15.5,15.62,15.01,15.05,2576700.0
2008-02-21,15.2,15.2,15.7,15.12,15.5,2363400.0
2008-02-22,15.46,15.46,15.5,14.96,15.31,3206400.0
2008-02-25,15.44,15.44,15.47,14.98,15.38,3657700.0
2008-02-26,16.11,16.11,16.23,15.32,15.41,2372600.0
2008-02-27,15.48,15.48,15.98,15.29,15.96,2667700.0
2008-02-28,15.09,15.09,15.38,15.02,15.24,2653000.0
2008-02-29,14.57,14.57,15.07,14.48,14.95,3397000.0
2008-03-03,14.62,14.62,14.71,14.13,14.29,3837900.0
2008-03-04,14.9,14.9,14.94,14.27,14.47,3164400.0
2008-03-05,14.8,14.8,15.16,14.54,14.81,2684200.0
2008-03-06,13.88,13.88,14.74,13.88,14.7,3036300.0
2008-03-07,14.03,14.03,14.23,13.71,13.74,2855700.0
2008-03-10,13.71,13.71,14.12,13.67,14.09,3520000.0
2008-03-11,14.51,14.51,14.51,13.96,14.0,3175000.0
2008-03-12,13.87,13.87,14.57,13.81,14.44,2818200.0
2008-03-13,14.07,14.07,14.13,13.58,13.64,3734400.0
2008-03-14,13.74,13.74,14.32,13.48,14.32,2912000.0
2008-03-17,13.74,13.74,13.94,13.4,13.43,2772000.0
2008-03-18,14.41,14.41,14.47,13.91,13.93,2379200.0
2008-03-19,14.56,14.56,14.83,14.43,14.49,3232600.0
2008-03-20,15.72,15.72,15.83,14.44,14.59,3605700.0
2008-03-24,16.22,16.22,16.37,15.75,15.75,3163800.0
2008-03-25,15.91,15.91,16.4,15.88,16.24,2231600.0
2008-03-26,15.29,15.29,15.83,15.23,15.83,2096400.0
2008-03-27,15.27,15.27,15.56,15.07,15.36,4399000.0
2008-03-28,14.65,14.65,15.33,14.58,15.3,1823100.0
2008-03-31,14.97,14.97,15.2,14.53,14.6,1607500.0
2008-04-01,15.89,15.89,15.92,15.05,15.24,2923800.0
2008-04-02,16.29,16.29,16.62,15.76,15.88,4022400.0
2008-04-03,15.77,15.77,16.16,15.65,16.02,2416600.0
2008-04-04,15.95,15.95,16.2,15.44,15.8,3288500.0
2008-04-07,15.86,15.86,16.18,15.74,16.1,1939700.0
2008-04-08,15.48,15.48,15.91,15.38,15.76,1290300.0
2008-04-09,14.95,14.95,15.53,14.92,15.29,2233000.0
2008-04-10,15.2,15.2,15.49,14.87,14.93,2234200.0
2008-04-11,14.95,14.95,15.15,14.78,14.99,2308300.0
2008-04-14,14.77,14.77,15.04,14.72,14.76,1362000.0
2008-04-15,14.79,14.79,14.9,14.56,14.81,2025500.0
2008-04-16,15.15,15.15,15.19,14.81,14.95,1480800.0
2008-04-17,15.2,15.2,15.23,14.86,15.14,1449000.0
2008-04-18,15.7,15.7,15.83,15.49,15.49,2185500.0
2008-04-21,15.81,15.81,15.92,15.47,15.64,1556600.0
2008-04-22,15.16,15.16,15.76,14.93,15.76,1973900.0
2008-04-23,15.11,15.11,15.41,14.9,15.31,1871200.0
2008-04-24,15.53,15.53,15.88,14.67,14.9,3450100.0
2008-04-25,15.7,15.7,15.97,15.22,15.48,2596500.0
2008-04-28,15.96,15.96,16.14,15.32,15.6,2567700.0
2008-04-29,16.1,16.1,16.28,15.88,15.93,1859200.0
2008-04-30,16.01,16.01,16.45,15.88,16.09,2235500.0
2008-05-01,17.0,17.0,17.4,16.03,16.1,2744900.0
2008-05-02,16.57,16.57,17.2,16.45,17.14,2281800.0
2008-05-05,16.6,16.6,16.72,16.12,16.55,2031000.0
2008-05-06,16.47,16.47,16.52,16.08,16.37,1933800.0
2008-05-07,16.12,16.12,16.71,16.06,16.46,1766100.0
2008-05-08,15.94,15.94,16.26,15.76,16.21,2238200.0
2008-05-09,16.03,16.03,16.19,15.75,15.89,1745100.0
2008-05-12,16.67,16.67,16.68,16.08,16.08,1454400.0
2008-05-13,16.52,16.52,16.79,16.43,16.75,1771600.0
2008-05-14,16.86,16.86,17.02,16.52,16.6,1374700.0
2008-05-15,16.99,16.99,17.02,16.44,16.9,1431200.0
2008-05-16,16.46,16.46,16.57,16.04,16.52,2869000.0
2008-05-19,16.37,16.37,16.68,16.2,16.43,1646700.0
2008-05-20,16.08,16.08,16.29,15.8,16.26,1934500.0
2008-05-21,15.6,15.6,16.32,15.52,16.23,2727700.0
2008-05-22,15.72,15.72,16.01,15.37,15.51,2605600.0
2008-05-23,15.51,15.51,15.72,15.38,15.66,1850100.0
2008-05-27,15.94,15.94,16.12,15.55,15.59,2815200.0
2008-05-28,15.8,15.8,16.18,15.56,15.99,2802300.0
2008-05-29,15.93,15.93,16.04,15.68,15.8,1616100.0
2008-05-30,15.79,15.79,16.16,15.67,16.1,1394100.0
2008-06-02,15.34,15.34,15.79,15.12,15.79,2011600.0
2008-06-03,15.31,15.31,15.41,15.14,15.35,1941700.0
2008-06-04,15.32,15.32,15.45,15.14,15.14,2707800.0
2008-06-05,15.47,15.47,15.66,15.31,15.43,2144700.0
2008-06-06,14.45,14.45,15.3,14.45,15.25,3226600.0
2008-06-09,14.1,14.1,14.6,13.99,14.48,2975900.0
2008-06-10,13.96,13.96,14.15,13.6,13.91,4070200.0
2008-06-11,13.59,13.59,13.87,13.59,13.76,3711400.0
2008-06-12,13.72,13.72,14.12,13.56,13.56,3746500.0
2008-06-13,13.91,13.91,14.05,13.71,13.87,2402500.0
2008-06-16,13.98,13.98,14.08,13.64,13.93,1941600.0
2008-06-17,13.52,13.52,14.06,13.52,14.05,1859300.0
2008-06-18,12.8,12.8,13.25,12.65,13.21,5021200.0
2008-06-19,12.71,12.71,12.93,12.59,12.82,8651400.0
2008-06-20,11.97,11.97,12.82,11.93,12.77,7562600.0
2008-06-23,11.64,11.64,12.07,11.54,12.05,4154600.0
2008-06-24,11.3,11.3,11.67,11.23,11.65,5183900.0
2008-06-25,11.5,11.5,12.01,11.23,11.32,6579900.0
2008-06-26,10.71,10.71,11.39,10.71,11.39,5717000.0
2008-06-27,10.44,10.44,10.85,10.44,10.64,4871100.0
2008-06-30,10.02,10.02,10.64,10.0,10.26,6710400.0
2008-07-01,9.92,9.92,10.06,9.56,9.93,7641700.0
2008-07-02,9.44,9.44,10.25,9.41,10.14,8574100.0
2008-07-03,8.98,8.98,9.65,8.94,9.61,4377100.0
2008-07-07,8.97,8.97,9.17,8.84,9.01,6160400.0
2008-07-08,9.22,9.22,9.25,8.75,8.97,7084400.0
2008-07-09,8.9,8.9,9.35,8.85,9.3,6268800.0
2008-07-10,8.7,8.7,9.31,8.64,9.0,6116800.0
2008-07-11,8.09,8.09,8.54,8.02,8.51,7220900.0
2008-07-14,8.1,8.1,8.31,7.85,8.31,5421000.0
2008-07-15,7.57,7.57,7.96,7.3,7.96,11018300.0
2008-07-16,8.0,8.0,8.13,7.36,7.52,6088300.0
2008-07-17,8.64,8.64,8.9,7.95,8.15,8490500.0
2008-07-18,8.25,8.25,8.56,7.92,8.29,4935200.0
2008-07-21,8.36,8.36,8.55,8.15,8.21,6566600.0
2008-07-22,9.17,9.17,9.18,8.25,8.36,8166200.0
2008-07-23,9.39,9.39,10.43,9.13,9.28,9565900.0
2008-07-24,10.43,10.43,11.05,9.65,9.65,13373700.0
2008-07-25,9.75,9.75,10.79,9.52,10.64,8810000.0
2008-07-28,9.62,9.62,10.12,9.5,9.64,9220900.0
2008-07-29,10.43,10.43,10.56,9.7,9.76,8627600.0
2008-07-30,10.17,10.17,11.1,9.96,10.59,13101900.0
2008-07-31,10.32,10.32,10.65,10.07,10.08,8547900.0
2008-08-01,10.39,10.39,10.5,10.0,10.4,4871900.0
2008-08-04,10.45,10.45,10.55,10.15,10.49,4405700.0
2008-08-05,11.5,11.5,11.72,10.57,10.85,6286700.0
2008-08-06,11.39,11.39,11.39,10.83,11.18,7160800.0
2008-08-07,11.09,11.09,11.88,10.95,11.7,4559700.0
2008-08-08,11.87,11.87,11.95,10.79,10.98,3276500.0
2008-08-11,12.16,12.16,12.82,11.53,11.85,3599800.0
2008-08-12,11.86,11.86,12.5,11.77,12.5,2772300.0
2008-08-13,11.44,11.44,11.95,11.06,11.83,3574800.0
2008-08-14,11.97,11.97,12.27,11.22,11.27,2891200.0
2008-08-15,12.37,12.37,12.8,11.54,12.8,3374700.0
2008-08-18,11.93,11.93,12.57,11.8,12.31,2712100.0
2008-08-19,11.05,11.05,11.92,10.97,11.81,3788400.0
2008-08-20,11.32,11.32,11.42,10.76,10.98,2836500.0
2008-08-21,11.49,11.49,11.55,10.94,11.06,2593800.0
2008-08-22,11.93,11.93,11.98,11.4,11.5,3166300.0
2008-08-25,11.41,11.41,11.91,11.3,11.82,1937000.0
2008-08-26,11.24,11.24,11.44,11.0,11.3,2239000.0
2008-08-27,11.68,11.68,11.73,11.2,11.22,2064300.0
2008-08-28,11.48,11.48,11.9,11.41,11.9,3488400.0
2008-08-29,11.35,11.35,11.67,11.19,11.24,4815000.0
2008-09-02,12.02,12.02,12.29,11.56,11.66,4099700.0
2008-09-03,12.64,12.64,12.88,11.86,12.11,6242300.0
2008-09-04,12.14,12.14,12.58,12.0,12.58,4522400.0
2008-09-05,12.28,12.28,12.31,11.42,11.92,3349600.0
2008-09-08,13.33,13.33,13.36,12.43,12.43,5144800.0
2008-09-09,13.09,13.09,13.94,12.97,13.41,4743300.0
2008-09-10,12.62,12.62,13.33,12.16,13.14,4003000.0
2008-09-11,12.73,12.73,12.74,12.0,12.37,3973400.0
2008-09-12,12.4,12.4,12.81,12.25,12.58,3312800.0
2008-09-15,12.25,12.25,12.71,11.76,11.81,2717300.0
2008-09-16,12.71,12.71,12.77,11.91,12.18,3561200.0
2008-09-17,11.74,11.74,12.77,11.47,12.47,4068300.0
2008-09-18,13.3,13.3,13.43,11.77,12.0,4893300.0
2008-09-19,13.32,13.32,16.78,13.0,13.2,62100.0
2008-09-22,12.31,12.31,13.24,12.22,13.23,2820100.0
2008-09-23,12.61,12.61,13.09,12.31,12.31,2900200.0
2008-09-24,12.7,12.7,13.12,12.46,12.83,2302500.0
2008-09-25,13.04,13.04,13.34,12.62,12.7,2188700.0
2008-09-26,12.83,12.83,13.25,12.55,13.0,1097400.0
2008-09-29,10.75,10.75,14.4,10.75,12.95,2020000.0
2008-09-30,11.24,11.24,12.12,11.0,11.08,1617600.0
2008-10-01,11.49,11.49,11.7,11.09,11.4,1713200.0
2008-10-02,10.7,10.7,11.54,10.18,11.38,1169600.0
2008-10-03,10.93,10.93,11.2,10.3,11.0,1911500.0
2008-10-06,10.46,10.46,11.15,10.18,10.42,2181400.0
2008-10-07,10.25,10.25,10.75,10.09,10.69,2173000.0
2008-10-08,10.02,10.02,10.6,9.93,10.0,1986300.0
2008-10-09,8.55,8.55,10.08,8.5,10.01,4565800.0
2008-10-10,8.1,8.1,9.36,7.03,7.97,4769300.0
2008-10-13,7.9,7.9,9.27,7.61,8.29,3495900.0
2008-10-14,7.67,7.67,8.39,7.21,8.39,2882600.0
2008-10-15,6.91,6.91,7.42,6.85,7.42,3025200.0
2008-10-16,6.95,6.95,7.15,6.51,6.95,2155900.0
2008-10-17,7.34,7.34,7.52,6.5,6.7,2456800.0
2008-10-20,7.5,7.5,7.62,6.71,7.47,3403600.0
2008-10-21,6.96,6.96,7.37,6.93,7.3,4221900.0
2008-10-22,5.96,5.96,6.95,5.6,6.95,3607100.0
2008-10-23,5.15,5.15,6.14,4.93,6.14,3775800.0
2008-10-24,4.43,4.43,4.86,3.97,4.75,4807900.0
2008-10-27,4.21,4.21,4.5,4.18,4.47,1760000.0
2008-10-28,5.05,5.05,5.05,4.25,4.32,2724500.0
2008-10-29,5.86,5.86,6.68,5.13,5.18,4172100.0
2008-10-30,6.52,6.52,6.6,6.03,6.09,2728600.0
2008-10-31,6.87,6.87,7.33,6.25,6.58,3657500.0
2008-11-03,6.5,6.5,6.92,6.47,6.92,1771000.0
2008-11-04,6.97,6.97,6.97,6.46,6.88,1687700.0
2008-11-05,6.09,6.09,6.87,5.84,6.8,2012500.0
2008-11-06,5.77,5.77,6.22,5.37,5.88,3020100.0
2008-11-07,6.55,6.55,7.88,5.93,6.03,3367300.0
2008-11-10,6.15,6.15,6.93,6.09,6.54,1405700.0
2008-11-11,6.13,6.13,6.45,5.72,6.0,2813800.0
2008-11-12,5.96,5.96,6.2,5.79,6.13,2426700.0
2008-11-13,7.28,7.28,7.28,5.76,6.0,3229100.0
2008-11-14,6.35,6.35,8.13,6.1,7.05,2580200.0
2008-11-17,6.16,6.16,6.5,6.02,6.25,3043900.0
2008-11-18,6.14,6.14,6.63,6.02,6.27,3673900.0
2008-11-19,6.17,6.17,6.69,5.96,6.14,3151500.0
2008-11-20,6.25,6.25,6.98,5.8,6.05,8064200.0
2008-11-21,6.45,6.45,6.7,6.07,6.42,3785800.0
2008-11-24,7.56,7.56,7.78,6.34,6.6,2779000.0
2008-11-25,7.75,7.75,8.4,7.37,7.77,4524400.0
2008-11-26,8.2,8.2,8.32,7.57,7.65,3527300.0
2008-11-28,8.54,8.54,8.67,7.96,8.0,1484600.0
2008-12-01,8.55,8.55,8.67,7.98,8.51,3589000.0
2008-12-02,9.17,9.17,9.31,8.4,8.4,3746200.0
2008-12-03,9.25,9.25,9.25,8.47,8.91,2898200.0
2008-12-04,9.3,9.3,10.22,8.93,9.14,3178900.0
2008-12-05,9.51,9.51,9.59,8.68,9.01,2814200.0
2008-12-08,10.16,10.16,10.55,9.76,9.85,2838200.0
2008-12-09,9.68,9.68,10.28,9.56,10.04,2321600.0
2008-12-10,10.27,10.27,10.48,9.7,10.07,2839000.0
2008-12-11,9.5,9.5,10.16,9.43,10.07,2234000.0
2008-12-12,8.88,8.88,9.24,8.26,8.33,3007000.0
2008-12-15,8.77,8.77,9.11,8.54,9.0,1327200.0
2008-12-16,9.61,9.61,9.81,8.82,8.95,1634200.0
2008-12-17,9.69,9.69,9.9,9.25,9.44,2493500.0
2008-12-18,9.63,9.63,9.99,9.28,9.59,2800900.0
2008-12-19,9.65,9.65,10.03,9.45,9.75,4889200.0
2008-12-22,8.75,8.75,9.81,8.55,9.59,2725600.0
2008-12-23,8.32,8.32,9.02,8.21,8.51,2210200.0
2008-12-24,8.75,8.75,8.8,8.19,8.52,833700.0
2008-12-26,8.56,8.56,8.93,8.41,8.71,1443200.0
2008-12-29,8.57,8.57,8.78,8.41,8.65,1397200.0
2008-12-30,9.45,9.45,9.47,8.66,8.7,1682000.0
2008-12-31,9.88,9.88,10.5,9.29,9.4,1987900.0
2009-01-02,10.64,10.64,10.73,9.88,9.88,1200500.0
2009-01-05,10.9,10.9,10.99,10.29,10.55,2044200.0
2009-01-06,11.0,11.0,11.36,10.84,11.0,1928200.0
2009-01-07,9.86,9.86,10.84,9.75,10.75,1994300.0
2009-01-08,9.84,9.84,9.95,9.0,9.83,2138900.0
2009-01-09,9.65,9.65,9.99,9.26,9.93,1794100.0
2009-01-12,8.96,8.96,9.75,8.8,9.54,1877600.0
2009-01-13,8.97,8.97,9.37,8.55,8.77,2100700.0
2009-01-14,8.09,8.09,8.82,8.03,8.8,1809800.0
2009-01-15,8.35,8.35,8.68,7.7,8.24,2860700.0
2009-01-16,8.42,8.42,8.8,8.15,8.58,1762600.0
2009-01-20,7.91,7.91,8.64,7.8,8.41,2390000.0
2009-01-21,8.11,8.11,8.46,7.67,7.87,1909800.0
2009-01-22,8.06,8.06,8.37,7.79,7.87,1426300.0
2009-01-23,8.14,8.14,8.4,7.62,7.77,940200.0
2009-01-26,8.97,8.97,9.05,8.07,8.12,2510500.0
2009-01-27,8.79,8.79,9.18,8.51,8.9,1774500.0
2009-01-28,9.24,9.24,9.4,8.65,9.0,3495800.0
2009-01-29,9.67,9.67,10.65,9.47,9.7,5835200.0
2009-01-30,9.28,9.28,9.91,9.06,9.57,2792400.0
2009-02-02,9.36,9.36,9.76,8.88,9.04,2198300.0
2009-02-03,9.73,9.73,9.89,9.25,9.33,2295800.0
2009-02-04,9.86,9.86,10.0,9.44,9.78,2470000.0
2009-02-05,10.3,10.3,10.6,9.69,9.92,2111700.0
2009-02-06,11.38,11.38,11.97,10.5,10.57,3520100.0
2009-02-09,11.33,11.33,11.63,11.05,11.5,1133300.0
2009-02-10,10.71,10.71,11.84,10.67,11.17,2097800.0
2009-02-11,10.86,10.86,11.11,10.48,10.8,1264100.0
2009-02-12,11.03,11.03,11.14,10.14,10.76,2391900.0
2009-02-13,10.68,10.68,11.04,10.59,10.97,1147000.0
2009-02-17,10.16,10.16,10.9,9.45,10.44,2722100.0
2009-02-18,10.2,10.2,10.51,10.02,10.25,2097000.0
2009-02-19,10.14,10.14,10.55,10.04,10.22,2720800.0
2009-02-20,9.78,9.78,10.07,9.51,9.88,3790200.0
2009-02-23,9.57,9.57,10.14,9.5,9.91,2466700.0
2009-02-24,10.14,10.14,10.29,9.67,9.67,2992400.0
2009-02-25,10.15,10.15,10.54,9.59,10.04,2995900.0
2009-02-26,10.17,10.17,10.7,10.09,10.25,2680600.0
2009-02-27,9.98,9.98,10.44,9.79,9.79,3421800.0
2009-03-02,9.92,9.92,10.12,9.6,9.75,2549500.0
2009-03-03,9.72,9.72,10.31,9.4,10.18,2852600.0
2009-03-04,9.64,9.64,10.1,9.25,9.92,3365600.0
2009-03-05,9.47,9.47,9.64,9.21,9.21,2390800.0
2009-03-06,9.72,9.72,9.93,9.31,9.73,3948800.0
2009-03-09,10.4,10.4,10.63,9.52,9.55,4173700.0
2009-03-10,11.22,11.22,11.4,10.5,10.71,3495300.0
2009-03-11,11.51,11.51,11.89,11.26,11.42,3222300.0
2009-03-12,11.78,11.78,11.91,11.34,11.69,4208100.0
2009-03-13,12.1,12.1,12.29,11.75,11.95,3110200.0
2009-03-16,11.85,11.85,12.39,11.8,12.26,1684000.0
2009-03-17,12.79,12.79,12.81,11.74,11.74,3789000.0
2009-03-18,13.5,13.5,13.82,12.64,12.69,3769300.0
2009-03-19,13.7,13.7,14.13,13.45,14.1,3014900.0
2009-03-20,12.07,12.07,13.28,11.7,13.07,4927400.0
2009-03-23,13.03,13.03,13.03,11.56,12.39,3592100.0
