,Adj Close,Close,High,Low,Open,Volume
2008-01-02,75.61,87.0,88.03,86.75,87.84,3383000.0
2008-01-03,76.48,88.0,88.31,86.57,86.95,2501400.0
2008-01-04,76.11,87.57,88.65,87.18,88.05,3027600.0
2008-01-07,77.59,89.28,89.32,87.37,87.93,2892800.0
2008-01-08,76.9,88.48,90.0,86.78,89.54,4124600.0
2008-01-09,76.68,88.23,88.83,87.43,88.83,4669900.0
2008-01-10,76.8,88.37,89.58,87.67,87.74,4080200.0
2008-01-11,76.16,87.63,88.53,87.52,87.73,4665400.0
2008-01-14,75.03,86.33,88.5,85.74,88.5,4713600.0
2008-01-15,72.8,83.76,85.83,83.62,85.43,6529800.0
2008-01-16,72.53,83.46,85.04,81.74,83.36,7902300.0
2008-01-17,71.62,82.41,83.94,82.03,83.86,4936400.0
2008-01-18,72.03,82.88,84.11,81.97,82.89,4271700.0
2008-01-22,68.44,78.75,82.32,73.5,73.5,7611700.0
2008-01-23,65.92,75.85,76.22,73.85,74.75,11835600.0
2008-01-24,66.59,76.62,77.97,75.52,77.97,6391900.0
2008-01-25,64.91,74.69,77.5,74.39,77.4,6765900.0
2008-01-28,66.07,76.02,76.2,74.3,74.9,4536600.0
2008-01-29,66.47,76.48,76.76,75.59,76.52,3355500.0
2008-01-30,67.33,77.47,78.38,76.08,76.3,5125300.0
2008-01-31,67.96,78.2,78.51,76.41,76.41,5672500.0
2008-02-01,68.59,78.92,78.96,77.37,78.37,3169200.0
2008-02-04,68.48,78.8,79.29,77.97,78.64,2518000.0
2008-02-05,68.28,78.56,79.1,77.5,77.9,3620200.0
2008-02-06,68.59,78.92,79.82,77.78,78.94,4071200.0
2008-02-07,67.46,77.62,79.04,77.0,78.14,4640800.0
2008-02-08,66.6,76.63,77.36,75.47,77.36,3751000.0
2008-02-11,65.74,75.64,76.85,75.33,76.46,3800900.0
2008-02-12,65.95,75.88,76.22,75.35,75.95,4199400.0
2008-02-13,64.68,74.42,75.95,71.73,75.95,11245400.0
2008-02-14,64.06,73.71,75.2,73.32,74.53,4897600.0
2008-02-15,65.24,75.07,75.09,73.47,73.57,4310800.0
2008-02-19,65.19,75.01,76.19,74.67,75.78,2872800.0
