,Adj Close,Close,High,Low,Open,Volume
2008-01-02,2.98,5.63,5.9,5.63,5.82,859600.0
2008-01-03,2.92,5.5,5.76,5.5,5.63,1504000.0
2008-01-04,2.79,5.26,5.5,5.25,5.47,1821600.0
2008-01-07,2.81,5.3,5.38,5.2,5.31,1768800.0
2008-01-08,2.88,5.44,5.47,5.29,5.36,2545200.0
2008-01-09,2.9,5.47,5.48,5.3,5.41,1585600.0
2008-01-10,2.89,5.45,5.53,5.26,5.33,1346800.0
2008-01-11,2.83,5.33,5.46,5.29,5.39,1607200.0
2008-01-14,2.9,5.46,5.55,5.32,5.35,1270800.0
2008-01-15,2.85,5.36,5.41,5.22,5.36,1573600.0
2008-01-16,2.87,5.4,5.52,5.29,5.36,2285200.0
2008-01-17,2.84,5.36,5.71,5.28,5.4,1956400.0
2008-01-18,2.69,5.07,5.62,5.04,5.33,2901600.0
2008-01-22,2.8,5.28,5.34,4.94,4.94,3348000.0
2008-01-23,3.05,5.75,5.83,4.88,5.08,4123200.0
2008-01-24,2.82,5.31,5.91,5.3,5.78,2755600.0
2008-01-25,2.9,5.47,5.53,5.34,5.37,2758800.0
2008-01-28,3.01,5.67,5.7,5.38,5.47,2472000.0
2008-01-29,3.11,5.68,5.75,5.57,5.69,2250000.0
2008-01-30,3.08,5.63,5.89,5.51,5.6,2435200.0
2008-01-31,3.19,5.83,5.93,5.53,5.53,2426400.0
2008-02-01,3.31,6.05,6.07,5.86,5.86,1441600.0
2008-02-04,3.23,5.89,6.09,5.7,6.04,2360400.0
2008-02-05,3.18,5.81,5.96,5.77,5.78,2066800.0
2008-02-06,3.22,5.88,5.99,5.78,5.83,2276400.0
2008-02-07,3.31,6.03,6.13,5.84,5.87,2338800.0
2008-02-08,3.3,6.02,6.12,5.98,5.99,2419200.0
2008-02-11,3.29,6.01,6.04,5.84,6.01,1280800.0
2008-02-12,3.34,6.1,6.17,6.01,6.03,1423600.0
2008-02-13,3.46,6.31,6.33,6.1,6.17,1474000.0
2008-02-14,3.39,6.18,6.31,6.08,6.31,2814400.0
2008-02-15,3.34,6.1,6.2,5.97,6.15,1367200.0
2008-02-19,3.38,6.17,6.31,6.15,6.17,1814800.0
