,Adj Close,Close,High,Low,Open,Volume
2008-01-02,93.92,110.31,111.78,108.53,108.53,3866000.0
2008-01-03,94.16,110.59,112.0,109.57,110.46,2917000.0
2008-01-04,91.44,107.39,112.49,107.19,108.19,3254200.0
2008-01-07,89.94,105.63,109.06,104.16,108.27,3087800.0
2008-01-08,87.82,103.14,107.75,102.67,105.58,2961800.0
2008-01-09,91.68,107.68,107.75,102.21,102.51,4864200.0
2008-01-10,90.29,106.04,106.97,104.64,105.04,3304500.0
2008-01-11,89.33,104.92,107.08,104.24,104.86,2013300.0
2008-01-14,92.43,108.56,108.74,105.59,106.99,2982900.0
2008-01-15,89.1,104.65,107.86,104.6,107.86,2960200.0
2008-01-16,84.85,99.65,104.36,99.31,102.05,5117100.0
2008-01-17,80.92,94.89,101.5,94.38,100.0,4711800.0
2008-01-18,81.73,95.84,97.46,92.59,93.94,4700700.0
2008-01-22,79.09,92.75,94.64,88.28,88.61,5478200.0
2008-01-23,77.88,91.33,91.33,84.52,90.21,6913900.0
2008-01-24,79.32,93.02,95.01,91.5,91.5,5759600.0
2008-01-25,78.95,92.58,96.32,91.57,95.29,3884000.0
2008-01-28,80.29,94.16,94.5,91.69,92.52,3370500.0
2008-01-29,80.0,93.82,95.11,93.21,94.94,2607800.0
2008-01-30,80.4,94.29,96.41,92.53,93.6,3606500.0
2008-01-31,81.32,95.36,96.16,91.6,93.83,4403200.0
2008-02-01,83.97,98.47,98.74,95.57,96.49,3956400.0
2008-02-04,83.98,98.48,99.73,97.4,98.49,2302600.0
2008-02-05,81.27,95.3,97.61,95.0,96.93,2823500.0
2008-02-06,80.95,94.93,97.39,94.32,96.0,3020700.0
2008-02-07,83.37,97.77,98.82,92.5,97.73,5453900.0
2008-02-08,85.81,100.63,101.04,98.09,98.73,3705800.0
2008-02-11,88.28,103.53,103.56,99.95,101.2,4086600.0
2008-02-12,89.37,104.8,105.81,103.4,104.29,4422900.0
2008-02-13,92.28,108.22,108.37,104.74,105.81,4879100.0
2008-02-14,91.12,106.85,109.48,106.72,108.89,3770500.0
2008-02-15,90.55,106.19,107.1,104.45,105.75,3109800.0
2008-02-19,92.47,108.44,110.5,108.0,108.87,4248300.0
2008-02-20,95.32,111.78,111.94,106.44,108.0,3646200.0
2008-02-21,92.77,108.79,112.34,108.72,112.07,4064200.0
2008-02-22,93.64,109.71,110.34,106.84,109.54,3524600.0
2008-02-25,96.99,113.63,114.0,109.65,109.99,3987200.0
2008-02-26,97.84,114.63,115.21,111.56,113.32,3984400.0
2008-02-27,96.92,113.55,115.23,113.14,114.55,2653000.0
2008-02-28,101.91,119.4,119.48,113.61,113.68,6369100.0
2008-02-29,97.91,114.71,119.17,113.84,119.13,4530900.0
2008-03-03,99.37,116.42,117.93,114.12,114.45,4063000.0
2008-03-04,97.89,114.69,117.07,112.7,116.99,4645200.0
2008-03-05,98.89,115.86,116.14,113.98,115.95,4408100.0
2008-03-06,98.81,115.77,117.87,114.58,116.43,4997600.0
2008-03-07,99.2,116.22,117.92,114.45,115.08,5874500.0
2008-03-10,98.45,115.35,118.3,114.53,116.97,5066900.0
2008-03-11,101.46,118.87,119.25,115.48,116.52,4280200.0
2008-03-12,100.39,117.62,119.96,116.56,119.25,3130300.0
2008-03-13,102.3,119.86,120.56,115.0,116.82,4727300.0
2008-03-14,100.26,117.46,120.51,115.49,120.51,4537200.0
2008-03-17,97.18,113.86,116.0,111.44,114.51,4922800.0
2008-03-18,100.95,118.27,118.27,115.03,116.62,3838800.0
2008-03-19,94.02,110.15,117.79,109.15,117.67,5151100.0
2008-03-20,91.97,107.75,108.91,103.5,107.51,5718500.0
2008-03-24,93.94,110.06,111.22,107.04,108.02,3093600.0
2008-03-25,96.4,112.94,113.44,110.28,110.5,2767600.0
2008-03-26,102.21,119.75,120.44,114.75,115.01,6447900.0
2008-03-27,101.73,119.19,122.34,119.06,119.75,4450600.0
2008-03-28,101.61,119.05,122.11,118.0,119.84,3896100.0
2008-03-31,103.12,120.82,121.8,118.28,119.75,4454100.0
2008-04-01,103.17,120.87,121.16,117.65,121.0,5358900.0
2008-04-02,104.46,122.39,123.54,118.88,121.22,3239100.0
2008-04-03,105.14,123.18,125.0,121.7,121.88,3857900.0
2008-04-04,107.89,126.41,127.73,123.6,124.0,3532900.0
2008-04-07,109.76,128.6,131.45,127.29,129.68,5315800.0
2008-04-08,110.96,130.0,131.59,127.6,128.85,3840800.0
2008-04-09,114.28,133.89,135.34,130.49,132.0,6393200.0
2008-04-10,114.59,134.26,135.19,132.11,134.54,4795700.0
2008-04-11,112.61,131.93,134.42,131.59,132.39,2923800.0
2008-04-14,116.45,136.44,136.81,131.07,131.07,3564700.0
2008-04-15,116.16,136.1,138.48,133.96,138.48,3476100.0
2008-04-16,120.09,140.7,140.91,136.16,137.3,4400200.0
2008-04-17,118.65,139.01,140.95,137.91,138.74,3799600.0
2008-04-18,121.77,142.51,142.57,138.32,138.85,4278100.0
2008-04-21,120.61,141.15,143.67,139.74,143.28,4382300.0
2008-04-22,120.99,141.6,142.99,140.55,141.72,4839700.0
2008-04-23,118.71,138.93,141.8,137.85,141.7,3659200.0
2008-04-24,113.93,133.34,137.99,133.04,137.27,4870000.0
2008-04-25,117.74,137.8,137.8,134.11,134.11,4696400.0
2008-04-28,117.83,137.9,141.42,137.45,138.98,3295700.0
2008-04-29,113.37,132.68,136.71,131.7,136.0,3294400.0
2008-04-30,115.08,134.68,136.72,132.03,133.25,3768100.0
2008-05-01,108.01,126.41,131.67,122.48,131.02,8296800.0
2008-05-02,110.06,128.81,129.01,125.5,127.06,4560700.0
2008-05-05,112.21,131.33,133.78,129.12,129.12,4278600.0
2008-05-06,117.62,137.66,138.71,132.08,132.73,5925900.0
2008-05-07,116.06,135.83,139.5,135.27,139.22,4338000.0
2008-05-08,118.07,138.18,138.35,135.02,136.22,3861700.0
2008-05-09,115.92,135.67,138.65,133.65,138.09,3609500.0
2008-05-12,114.54,134.05,134.5,131.35,133.6,4250900.0
2008-05-13,119.02,139.3,140.0,134.05,135.01,5817300.0
2008-05-14,115.38,135.04,140.3,134.67,139.74,6770300.0
2008-05-15,116.34,136.16,138.22,133.54,136.81,7039800.0
2008-05-16,122.6,143.49,143.49,138.22,138.52,6776000.0
2008-05-19,123.23,144.22,146.45,142.79,145.0,4916100.0
2008-05-20,125.43,146.8,147.9,144.26,145.5,4708500.0
2008-05-21,123.68,144.75,149.23,144.44,147.33,6462000.0
2008-05-22,122.95,143.9,147.49,142.32,145.5,4904300.0
2008-05-23,119.12,139.41,145.9,137.51,145.7,5166100.0
2008-05-27,116.08,135.85,138.99,135.05,138.99,4765900.0
2008-05-28,118.74,138.97,139.03,133.42,135.0,4712800.0
2008-05-29,113.78,133.16,138.14,132.88,138.14,4636900.0
2008-05-30,114.55,134.06,135.64,132.4,134.0,4585900.0
2008-06-02,116.2,136.0,138.1,133.54,133.54,3779700.0
2008-06-03,111.86,130.91,136.44,130.91,136.44,4998100.0
2008-06-04,111.21,130.15,133.83,128.54,129.6,5962700.0
2008-06-05,115.69,135.4,135.44,129.86,130.86,4560800.0
2008-06-06,114.41,133.9,139.6,133.9,137.4,6587200.0
2008-06-09,121.32,141.99,142.35,135.25,135.46,6126800.0
2008-06-10,117.23,137.2,141.94,134.91,141.0,5586600.0
2008-06-11,119.62,140.0,141.15,137.21,138.51,4435600.0
2008-06-12,117.43,137.43,140.06,136.93,139.73,5330600.0
2008-06-13,118.31,138.46,139.68,136.06,137.7,3924000.0
2008-06-16,117.43,137.43,142.0,137.12,140.49,3795200.0
2008-06-17,120.71,141.27,141.95,136.79,137.85,4590900.0
2008-06-18,119.34,139.67,141.99,137.03,141.99,5285100.0
2008-06-19,117.44,137.45,143.23,137.15,140.46,5993400.0
2008-06-20,117.0,136.93,140.25,135.71,139.75,4465100.0
2008-06-23,122.98,143.93,143.93,136.07,136.07,4285200.0
