,Adj Close,Close,High,Low,Open,Volume
2008-01-02,70.32,103.02,103.48,100.32,101.95,428100.0
2008-01-03,67.72,99.22,103.81,99.09,103.11,377800.0
2008-01-04,65.53,96.01,98.59,95.91,98.21,651000.0
2008-01-07,65.33,95.72,97.27,93.9,96.36,636900.0
2008-01-08,63.15,92.52,98.55,92.51,95.5,603600.0
2008-01-09,64.51,94.52,95.05,89.99,92.52,619900.0
2008-01-10,66.41,97.3,99.01,92.03,93.39,700300.0
2008-01-11,66.69,97.71,99.55,95.41,97.3,837300.0
2008-01-14,66.86,97.96,99.44,95.9,98.29,347800.0
2008-01-15,64.31,94.22,96.74,94.03,96.71,489300.0
2008-01-16,66.01,96.71,98.19,93.32,94.22,713800.0
2008-01-17,64.84,95.0,97.27,94.91,97.0,652200.0
2008-01-18,62.99,92.28,95.89,90.45,94.1,665900.0
2008-01-22,64.48,94.47,96.21,90.28,92.88,830500.0
2008-01-23,68.56,100.45,100.49,92.8,92.8,984200.0
2008-01-24,67.35,98.68,101.63,97.11,99.49,647900.0
2008-01-25,67.61,99.05,103.31,97.76,99.75,513000.0
2008-01-28,70.54,103.35,103.35,97.44,98.55,383900.0
2008-01-29,69.2,101.38,104.23,99.92,103.55,402500.0
2008-01-30,66.15,96.92,103.35,96.69,100.35,414000.0
2008-01-31,66.94,98.08,99.52,95.72,95.92,794900.0
2008-02-01,68.62,100.53,101.1,97.27,98.5,477000.0
2008-02-04,68.59,100.49,101.3,97.95,99.4,242200.0
2008-02-05,66.9,98.01,100.16,97.78,99.14,398700.0
2008-02-06,65.26,95.61,98.8,95.3,98.22,325600.0
2008-02-07,67.36,98.69,99.08,94.81,95.51,371200.0
2008-02-08,65.03,95.28,98.56,94.3,97.86,321100.0
2008-02-11,64.84,95.0,96.07,93.03,95.82,316200.0
2008-02-12,65.55,96.04,97.23,93.57,95.0,395000.0
2008-02-13,66.03,96.74,97.83,94.73,97.03,346500.0
2008-02-14,64.24,94.12,97.1,93.84,96.38,258300.0
2008-02-15,64.77,94.89,95.21,92.3,93.56,283600.0
2008-02-19,64.45,94.43,96.33,93.27,95.79,360700.0
2008-02-20,65.07,95.34,95.34,92.84,93.72,278300.0
2008-02-21,63.14,92.5,96.69,92.15,95.54,343500.0
2008-02-22,64.21,94.07,94.38,90.84,92.0,360400.0
2008-02-25,66.08,96.81,96.81,92.51,94.02,356800.0
2008-02-26,65.6,96.11,97.19,95.05,95.4,408100.0
2008-02-27,65.45,95.89,97.0,94.65,95.54,301100.0
