,Adj Close,Close,High,Low,Open,Volume
2008-01-02,19.26,22.96,23.64,22.94,23.21,1245400.0
2008-01-03,18.93,22.57,23.09,22.5,22.99,1680300.0
2008-01-04,18.43,21.97,22.41,21.96,22.33,1564400.0
2008-01-07,18.61,22.18,22.24,21.56,22.14,2025100.0
2008-01-08,17.95,21.4,22.26,21.33,22.11,1562000.0
2008-01-09,18.22,21.72,21.72,21.16,21.38,2019800.0
2008-01-10,18.67,22.26,22.49,21.28,21.48,2419800.0
2008-01-11,18.48,22.03,22.21,21.8,22.02,2170700.0
2008-01-14,18.73,22.33,22.34,21.84,22.14,1304200.0
2008-01-15,18.42,21.96,22.29,21.81,22.1,1918700.0
2008-01-16,18.13,21.62,22.08,21.55,22.02,1679700.0
2008-01-17,17.27,20.59,21.73,20.57,21.73,2314400.0
2008-01-18,17.32,20.65,21.0,20.33,20.6,2030500.0
2008-01-22,17.56,20.94,21.14,19.48,19.82,1975500.0
2008-01-23,18.22,21.72,21.77,20.06,20.2,2029800.0
2008-01-24,18.01,21.47,22.02,21.31,22.0,1494500.0
2008-01-25,17.79,21.2,21.83,21.04,21.53,1527000.0
2008-01-28,17.78,21.19,21.33,20.61,21.04,2742600.0
2008-01-29,17.89,21.33,21.61,21.05,21.37,1830800.0
2008-01-30,18.18,21.68,22.26,21.09,21.28,2316600.0
2008-01-31,18.68,22.27,22.46,21.28,21.38,1659300.0
2008-02-01,19.32,23.04,23.14,22.2,22.27,1453200.0
2008-02-04,18.85,22.47,23.11,22.46,23.04,1373700.0
2008-02-05,18.43,21.97,22.54,21.95,22.03,1211400.0
2008-02-06,18.21,21.71,22.26,21.6,21.97,1718700.0
2008-02-07,18.32,21.84,22.11,21.51,21.53,1232900.0
2008-02-08,18.51,22.07,22.26,21.68,21.68,1016200.0
2008-02-11,18.51,22.06,22.26,21.75,22.1,880900.0
2008-02-12,18.74,22.34,22.68,22.06,22.1,1397200.0
2008-02-13,18.81,22.42,22.78,22.24,22.72,962300.0
2008-02-14,18.65,22.1,22.57,22.03,22.39,1388800.0
2008-02-15,18.62,22.07,22.11,21.74,22.07,1021300.0
2008-02-19,19.07,22.6,22.99,22.23,22.26,1537400.0
2008-02-20,19.17,22.71,22.78,22.26,22.6,1441000.0
2008-02-21,18.93,22.43,23.64,22.38,23.64,1126600.0
2008-02-22,19.18,22.73,22.75,22.14,22.5,1175000.0
2008-02-25,19.17,22.72,22.82,22.17,22.65,1370900.0
2008-02-26,19.19,22.74,22.95,22.43,22.43,1018300.0
2008-02-27,19.0,22.51,22.88,22.42,22.54,1296500.0
2008-02-28,18.86,22.34,22.5,22.12,22.4,780300.0
2008-02-29,18.24,21.61,22.16,21.49,21.96,1231300.0
2008-03-03,18.35,21.74,21.79,21.45,21.74,1044800.0
2008-03-04,18.12,21.47,21.75,21.06,21.71,1301000.0
2008-03-05,18.79,22.26,22.44,21.47,21.61,2681100.0
2008-03-06,18.4,21.8,22.17,21.6,22.06,2086500.0
2008-03-07,18.25,21.62,21.92,21.44,21.67,2349900.0
2008-03-10,17.9,21.21,21.81,21.12,21.51,2228100.0
2008-03-11,18.99,22.5,22.5,21.66,21.94,2052500.0
2008-03-12,19.05,22.58,22.99,22.39,22.51,1445900.0
2008-03-13,19.45,23.05,23.14,22.18,22.38,1834600.0
2008-03-14,19.31,22.89,23.24,22.39,23.01,1954800.0
2008-03-17,20.16,23.89,24.22,23.05,23.8,3099100.0
2008-03-18,20.09,23.81,24.31,23.24,24.31,2110200.0
2008-03-19,19.29,22.86,24.06,22.86,24.06,1821400.0
2008-03-20,19.31,22.89,23.41,22.03,22.03,1874500.0
2008-03-24,19.82,23.49,23.79,22.9,22.9,1262300.0
2008-03-25,20.54,24.34,24.4,23.39,23.68,5010400.0
2008-03-26,20.1,23.82,24.34,23.76,24.27,1383700.0
2008-03-27,19.64,23.28,23.86,23.28,23.82,1236000.0
2008-03-28,19.44,23.04,23.44,22.97,23.43,1138500.0
2008-03-31,19.53,23.14,23.38,22.8,22.8,1191000.0
2008-04-01,19.95,23.64,23.83,23.0,23.54,2378600.0
2008-04-02,20.07,23.78,23.87,23.47,23.6,2143500.0
2008-04-03,20.35,24.11,24.41,23.56,23.56,1395000.0
2008-04-04,21.16,25.07,25.45,24.1,24.37,2476300.0
2008-04-07,21.3,25.24,25.71,25.13,25.44,2112200.0
2008-04-08,21.57,25.56,25.62,25.15,25.22,3919900.0
2008-04-09,21.12,25.03,25.76,24.93,25.68,950800.0
2008-04-10,21.13,25.03,25.13,24.67,24.93,1030700.0
2008-04-11,20.9,24.77,25.17,24.7,24.81,840600.0
2008-04-14,21.06,24.96,25.26,24.79,24.89,848000.0
2008-04-15,21.2,25.12,25.46,24.74,25.12,1062600.0
2008-04-16,21.9,25.95,25.98,25.19,25.22,1481000.0
2008-04-17,21.83,25.87,26.1,25.41,25.95,1156400.0
2008-04-18,22.15,26.24,26.4,26.03,26.1,951000.0
2008-04-21,21.92,25.98,26.29,25.71,26.07,1123900.0
2008-04-22,21.21,25.13,25.93,24.68,25.93,1651100.0
2008-04-23,20.89,24.76,25.2,24.7,25.08,1339000.0
2008-04-24,20.97,24.84,25.13,24.32,24.86,924500.0
