,Adj Close,Close,High,Low,Open,Volume
2008-01-02,18.48,27.95,28.18,27.74,28.04,409500.0
2008-01-03,18.37,27.79,28.17,27.71,27.93,541600.0
2008-01-04,18.29,27.67,27.89,27.6,27.6,415900.0
2008-01-07,18.47,27.94,28.15,27.71,27.86,378100.0
2008-01-08,18.51,28.0,28.29,27.95,28.09,471400.0
2008-01-09,18.62,28.17,28.17,27.79,27.85,617600.0
2008-01-10,18.52,28.02,28.34,27.75,27.95,576600.0
2008-01-11,18.41,27.85,27.98,27.47,27.85,647600.0
2008-01-14,18.43,27.87,28.32,27.63,27.92,890300.0
2008-01-15,18.22,27.56,27.9,27.3,27.84,688900.0
2008-01-16,18.25,27.6,27.82,27.35,27.65,556600.0
2008-01-17,18.09,27.36,27.85,27.28,27.66,834200.0
2008-01-18,17.8,26.92,27.46,26.7,27.46,900500.0
2008-01-22,17.79,26.91,27.17,26.0,26.14,1338900.0
2008-01-23,18.41,27.85,27.94,26.43,26.66,1035000.0
2008-01-24,18.22,27.56,28.13,27.56,28.03,1127800.0
2008-01-25,18.16,27.47,27.79,27.38,27.67,767600.0
2008-01-28,18.38,27.8,27.91,27.34,27.4,869900.0
2008-01-29,18.72,28.32,28.46,27.8,27.8,739600.0
2008-01-30,18.68,28.25,28.85,28.02,28.35,870300.0
2008-01-31,19.0,28.74,28.84,27.96,28.11,723800.0
2008-02-01,19.15,28.96,29.29,28.62,28.71,730200.0
2008-02-04,19.11,28.91,29.11,28.68,28.82,694200.0
2008-02-05,18.73,28.33,28.83,28.21,28.83,659700.0
2008-02-06,18.27,27.63,28.7,27.52,28.7,771800.0
2008-02-07,18.15,27.46,27.78,27.22,27.59,597200.0
2008-02-08,18.19,27.51,27.74,27.36,27.5,504300.0
2008-02-11,18.49,27.96,28.0,27.17,27.54,715400.0
2008-02-12,18.27,27.63,27.97,27.43,27.97,592200.0
2008-02-13,18.19,27.51,27.85,27.48,27.61,381100.0
2008-02-14,18.01,27.24,27.65,27.14,27.42,548700.0
2008-02-15,17.88,27.04,27.24,26.81,27.24,620500.0
2008-02-19,18.0,27.23,27.45,27.07,27.17,616200.0
2008-02-20,18.28,27.65,27.68,27.09,27.15,495300.0
2008-02-21,17.96,26.85,27.44,26.79,27.44,821200.0
2008-02-22,17.88,26.72,26.95,26.53,26.86,519000.0
2008-02-25,18.11,27.07,27.21,26.67,26.87,363900.0
2008-02-26,18.15,27.13,27.13,26.87,26.96,400600.0
2008-02-27,17.89,26.74,27.12,26.7,26.86,285200.0
2008-02-28,17.8,26.61,26.7,26.33,26.58,412500.0
2008-02-29,17.39,26.0,26.59,25.84,26.51,486600.0
2008-03-03,17.44,26.07,26.26,25.81,26.08,551300.0
2008-03-04,17.62,26.34,26.4,25.88,25.9,516700.0
2008-03-05,17.55,26.24,26.52,26.07,26.52,482300.0
2008-03-06,17.31,25.87,26.23,25.77,26.12,378500.0
2008-03-07,17.25,25.78,26.0,25.52,25.72,636300.0
2008-03-10,17.13,25.6,25.91,25.55,25.7,614600.0
2008-03-11,17.41,26.03,26.22,25.65,26.1,772800.0
2008-03-12,17.17,25.67,26.22,25.67,25.98,374400.0
2008-03-13,17.29,25.85,26.03,25.5,25.5,747200.0
2008-03-14,17.33,25.9,26.07,25.51,25.87,732500.0
2008-03-17,17.13,25.61,25.9,25.3,25.9,808200.0
2008-03-18,17.18,25.68,25.9,25.44,25.82,680200.0
2008-03-19,16.91,25.28,26.0,25.28,25.92,454400.0
2008-03-20,16.87,25.22,25.53,25.14,25.3,573300.0
2008-03-24,16.8,25.11,25.58,25.11,25.41,676700.0
2008-03-25,16.79,25.1,25.29,25.0,25.15,622400.0
2008-03-26,16.89,25.24,25.36,25.01,25.06,665500.0
2008-03-27,16.93,25.3,25.59,25.2,25.46,541400.0
2008-03-28,16.78,25.09,25.57,25.02,25.45,335800.0
2008-03-31,17.06,25.5,25.57,25.06,25.09,532400.0
2008-04-01,17.57,26.27,26.27,25.55,25.75,456700.0
2008-04-02,17.92,26.78,26.84,26.13,26.39,499200.0
2008-04-03,17.88,26.72,26.98,26.61,26.89,554600.0
2008-04-04,17.69,26.44,27.0,26.43,26.83,406600.0
2008-04-07,17.94,26.82,26.99,26.54,26.59,253900.0
2008-04-08,17.67,26.41,26.67,26.34,26.57,537300.0
2008-04-09,17.56,26.25,26.67,26.18,26.35,444800.0
2008-04-10,17.43,26.05,26.2,26.0,26.15,259300.0
2008-04-11,17.27,25.81,26.13,25.77,26.0,435800.0
2008-04-14,17.28,25.83,26.0,25.74,25.81,372700.0
2008-04-15,17.59,26.3,26.3,25.81,25.81,332000.0
2008-04-16,18.11,27.07,27.12,26.36,26.37,451700.0
2008-04-17,18.14,27.11,27.25,26.9,27.02,226300.0
2008-04-18,18.3,27.36,27.36,27.09,27.2,325800.0
2008-04-21,18.07,27.01,27.35,26.89,27.29,201100.0
2008-04-22,17.94,26.81,27.0,26.66,26.9,294200.0
2008-04-23,18.27,27.31,27.38,26.7,26.79,671500.0
2008-04-24,18.49,27.64,28.02,27.19,27.46,993600.0
2008-04-25,18.65,27.88,27.98,27.65,27.65,262200.0
2008-04-28,18.78,28.07,28.1,27.79,28.02,288400.0
2008-04-29,18.69,27.94,28.27,27.73,27.93,330000.0
2008-04-30,18.52,27.68,28.17,27.57,28.0,385200.0
2008-05-01,18.8,28.1,28.17,27.69,27.8,449300.0
2008-05-02,18.71,27.97,28.42,27.74,28.2,532100.0
2008-05-05,19.03,28.44,28.58,27.83,27.87,562500.0
2008-05-06,19.02,28.43,28.59,28.26,28.3,368600.0
2008-05-07,18.66,27.9,28.63,27.9,28.49,526000.0
2008-05-08,18.5,27.65,27.9,27.43,27.9,670900.0
2008-05-09,18.64,27.86,27.92,27.62,27.62,458700.0
2008-05-12,18.72,27.98,28.05,27.86,28.0,351300.0
2008-05-13,18.82,28.13,28.2,27.74,27.87,364100.0
2008-05-14,19.09,28.54,28.6,28.03,28.08,257500.0
2008-05-15,18.96,28.34,28.64,28.27,28.62,187900.0
2008-05-16,18.92,28.28,28.58,28.16,28.46,260700.0
2008-05-19,18.87,28.21,28.4,27.98,28.15,437600.0
2008-05-20,18.77,28.05,28.39,27.97,28.16,400800.0
2008-05-21,18.75,28.02,28.48,27.95,28.04,460100.0
2008-05-22,18.63,27.53,27.82,27.18,27.76,642800.0
2008-05-23,18.48,27.31,27.68,27.17,27.5,324600.0
2008-05-27,18.64,27.54,27.6,27.17,27.25,303300.0
2008-05-28,18.65,27.56,27.75,27.49,27.68,301400.0
2008-05-29,18.55,27.4,27.71,27.32,27.41,353900.0
2008-05-30,18.54,27.39,27.58,27.14,27.41,523300.0
2008-06-02,18.38,27.16,27.43,27.04,27.43,522000.0
2008-06-03,18.32,27.06,27.25,27.0,27.23,273700.0
2008-06-04,18.42,27.22,27.41,26.94,27.1,355600.0
2008-06-05,18.55,27.41,27.48,27.07,27.47,274600.0
2008-06-06,18.32,27.06,27.36,27.06,27.26,280400.0
2008-06-09,18.38,27.15,27.29,27.01,27.06,250000.0
2008-06-10,18.31,27.05,27.27,26.82,27.27,372300.0
2008-06-11,18.17,26.85,27.25,26.84,27.07,308900.0
2008-06-12,17.97,26.55,27.01,26.4,26.86,737900.0
2008-06-13,17.89,26.43,26.74,26.31,26.59,256100.0
2008-06-16,18.05,26.67,26.71,26.31,26.31,246200.0
2008-06-17,18.19,26.88,26.98,26.67,26.73,265100.0
2008-06-18,18.49,27.32,27.34,26.82,26.84,508700.0
2008-06-19,18.57,27.44,27.62,27.18,27.22,459600.0
2008-06-20,18.41,27.2,27.65,27.06,27.5,472900.0
2008-06-23,18.73,27.67,27.84,27.22,27.22,235500.0
2008-06-24,18.46,27.28,27.6,27.22,27.6,290700.0
2008-06-25,18.57,27.44,27.56,27.22,27.43,300800.0
2008-06-26,18.33,27.08,27.49,27.07,27.28,324900.0
2008-06-27,18.14,26.8,27.3,26.8,27.19,580800.0
2008-06-30,18.66,27.57,27.7,26.7,26.75,501000.0
2008-07-01,18.78,27.75,27.8,27.26,27.26,682400.0
2008-07-02,18.77,27.73,28.0,27.65,27.73,381200.0
2008-07-03,18.42,27.21,27.83,27.11,27.72,178100.0
2008-07-07,18.04,26.65,27.25,26.47,27.17,321400.0
2008-07-08,17.99,26.58,26.8,26.3,26.62,458400.0
2008-07-09,18.09,26.72,26.89,26.49,26.49,475100.0
2008-07-10,18.13,26.78,26.95,26.56,26.75,317900.0
2008-07-11,18.06,26.68,26.88,26.01,26.47,374300.0
2008-07-14,17.77,26.26,26.83,26.14,26.75,611100.0
2008-07-15,17.6,26.01,26.37,25.91,26.04,306200.0
2008-07-16,17.48,25.82,26.23,25.68,26.02,358100.0
2008-07-17,17.25,25.49,25.87,25.25,25.8,406100.0
2008-07-18,17.27,25.51,25.93,25.0,25.03,394300.0
2008-07-21,17.27,25.51,25.68,25.37,25.54,330600.0
2008-07-22,17.43,25.75,25.81,25.44,25.48,497200.0
2008-07-23,17.6,26.01,26.06,25.53,25.75,508700.0
2008-07-24,17.56,25.95,26.19,25.7,26.01,400700.0
2008-07-25,17.44,25.77,26.14,25.7,25.87,206500.0
2008-07-28,17.52,25.89,25.97,25.62,25.68,412200.0
2008-07-29,17.35,25.64,25.98,25.58,25.78,577700.0
2008-07-30,17.83,26.35,26.4,25.63,25.73,327900.0
2008-07-31,17.92,26.47,26.54,26.15,26.43,471400.0
2008-08-01,17.9,26.45,26.65,26.36,26.59,435000.0
2008-08-04,17.75,26.22,26.48,26.16,26.34,237800.0
2008-08-05,18.29,27.02,27.02,26.1,26.24,396000.0
2008-08-06,18.26,26.98,27.18,25.61,27.1,402000.0
2008-08-07,17.98,26.57,26.97,26.45,26.84,776300.0
2008-08-08,18.07,26.7,26.7,26.38,26.61,494200.0
2008-08-11,18.33,27.08,27.1,26.14,26.49,582600.0
2008-08-12,18.09,26.72,27.1,26.59,27.06,703000.0
2008-08-13,18.14,26.8,26.87,26.55,26.68,323800.0
2008-08-14,18.08,26.71,26.75,26.46,26.67,240500.0
2008-08-15,18.06,26.69,26.78,26.51,26.65,199200.0
2008-08-18,18.4,27.19,27.21,26.82,26.82,354800.0
2008-08-19,18.56,27.42,27.47,27.0,27.03,402200.0
2008-08-20,18.64,27.54,27.59,27.3,27.42,444400.0
2008-08-21,18.53,27.05,27.36,27.03,27.13,300700.0
2008-08-22,18.39,26.85,27.18,26.79,27.05,315100.0
2008-08-25,18.28,26.69,26.92,26.49,26.7,230600.0
2008-08-26,18.52,27.04,27.16,26.57,26.57,253400.0
2008-08-27,18.77,27.41,27.51,27.04,27.12,219000.0
2008-08-28,18.91,27.61,27.63,27.06,27.4,287100.0
2008-08-29,18.86,27.54,27.8,27.33,27.6,277000.0
2008-09-02,18.84,27.5,27.81,27.32,27.81,424600.0
2008-09-03,18.68,27.27,27.78,27.05,27.44,356200.0
2008-09-04,18.31,26.74,27.12,26.64,27.07,473300.0
2008-09-05,18.12,26.46,26.72,26.06,26.57,786300.0
2008-09-08,18.16,26.51,26.79,25.62,25.62,642300.0
2008-09-09,17.89,26.12,26.59,26.11,26.35,447900.0
2008-09-10,18.06,26.37,26.45,25.95,26.26,523700.0
2008-09-11,18.4,26.86,26.89,26.13,26.13,815500.0
2008-09-12,18.8,27.45,27.55,26.71,26.73,501700.0
2008-09-15,18.13,26.47,27.32,26.45,26.77,594000.0
2008-09-16,18.2,26.57,26.62,25.52,26.06,751400.0
2008-09-17,17.71,25.86,26.41,25.8,26.31,625500.0
2008-09-18,19.35,28.25,28.51,25.77,26.22,1354500.0
2008-09-19,19.25,28.1,28.66,25.83,28.5,708700.0
2008-09-22,18.55,27.09,28.19,26.85,27.9,781600.0
2008-09-23,18.38,26.84,27.32,26.45,27.11,321700.0
2008-09-24,18.57,27.11,27.24,26.31,27.08,634200.0
2008-09-25,18.64,27.21,27.48,26.91,27.14,343400.0
2008-09-26,18.81,27.46,27.52,26.8,27.21,296000.0
2008-09-29,18.02,26.31,27.06,25.91,27.06,387300.0
2008-09-30,18.23,26.62,26.73,25.95,26.64,364700.0
2008-10-01,18.75,27.37,27.45,26.26,26.31,308000.0
2008-10-02,19.1,27.88,28.09,27.05,27.24,574000.0
2008-10-03,18.92,27.62,28.25,27.62,27.98,696200.0
2008-10-06,18.82,27.48,28.21,26.5,27.17,989400.0
2008-10-07,18.39,26.85,28.21,26.82,27.58,919400.0
2008-10-08,17.55,25.62,26.66,25.17,26.41,639000.0
2008-10-09,15.29,22.32,25.71,22.32,25.54,1011500.0
2008-10-10,14.5,21.17,22.31,19.68,21.22,1086600.0
2008-10-13,15.84,23.12,23.12,21.75,21.79,873500.0
2008-10-14,16.49,24.08,24.38,23.0,23.96,1034500.0
2008-10-15,14.8,21.61,23.99,21.58,23.75,1019600.0
2008-10-16,15.03,21.95,22.06,20.56,21.65,1421300.0
