,Adj Close,Close,High,Low,Open,Volume
2008-01-02,30.9971,39.38,39.82,39.15,39.43,3525700.0
2008-01-03,31.2096,39.65,39.78,39.36,39.44,3322400.0
2008-01-04,30.7374,39.05,39.57,38.94,39.5,6878900.0
2008-01-07,30.3438,38.55,39.43,38.34,39.21,6914700.0
2008-01-08,30.3123,38.51,39.37,38.34,38.6,9862600.0
2008-01-09,30.3359,38.54,38.7,37.74,38.44,5362000.0
2008-01-10,30.8239,39.16,39.43,38.29,38.45,4698500.0
2008-01-11,30.2808,38.47,39.15,38.43,38.88,3597900.0
2008-01-14,30.328,38.53,39.81,38.29,39.81,3441000.0
2008-01-15,29.0293,36.88,38.24,36.82,37.99,4048000.0
2008-01-16,29.3284,37.26,38.12,36.65,36.65,5247300.0
2008-01-17,28.0847,35.68,37.5,35.44,37.3,6951600.0
2008-01-18,28.4153,36.1,36.68,35.51,35.94,6496700.0
2008-01-22,28.7853,36.57,37.0,34.24,34.42,9066800.0
2008-01-23,28.2973,35.95,36.07,34.01,35.57,8381700.0
2008-01-24,27.7856,35.3,35.86,35.04,35.49,5038000.0
2008-01-25,27.3212,34.71,35.61,34.5,35.57,4434800.0
2008-01-28,27.2504,34.62,35.26,34.38,34.91,4347600.0
2008-01-29,27.2189,34.58,34.93,34.1,34.93,4346400.0
2008-01-30,27.1323,34.47,35.19,34.37,35.16,6262500.0
2008-01-31,27.4944,34.93,35.1,34.0,34.43,12614200.0
2008-02-01,28.2343,35.87,35.87,35.1,35.1,9049700.0
2008-02-04,28.3445,36.01,36.2,35.55,35.7,6024900.0
2008-02-05,29.7613,37.81,39.02,37.45,37.45,15187900.0
2008-02-06,30.0289,38.15,38.83,37.85,37.85,5604500.0
2008-02-07,30.9735,39.35,39.35,37.9,38.02,7132500.0
2008-02-08,30.7374,39.05,39.2,38.82,39.11,4812200.0
2008-02-11,30.5169,38.77,39.05,38.43,38.9,3228400.0
2008-02-12,31.7291,40.31,40.46,38.84,39.07,5741000.0
2008-02-13,31.8787,40.5,41.0,40.19,40.54,3832000.0
2008-02-14,30.8318,39.17,40.36,39.08,40.25,3966100.0
2008-02-15,30.9341,39.3,39.47,38.99,39.08,3054100.0
2008-02-19,31.037,39.23,39.72,39.01,39.66,2281200.0
2008-02-20,30.7284,38.84,38.96,38.58,38.82,3238000.0
2008-02-21,30.0164,37.94,39.34,37.92,39.04,4456400.0
2008-02-22,29.9926,37.91,38.08,37.23,37.94,4083500.0
2008-02-25,30.8075,38.94,39.37,38.09,38.16,4402000.0
2008-02-26,31.1003,39.31,39.47,38.78,38.94,3167700.0
2008-02-27,31.0844,39.29,39.57,38.85,39.0,3109000.0
2008-02-28,30.9737,39.15,40.25,38.9,39.09,2964100.0
2008-02-29,30.1113,38.06,38.86,37.9,38.8,2581400.0
2008-03-03,30.6256,38.71,38.78,38.01,38.08,2262900.0
2008-03-04,30.2854,38.28,39.19,37.95,38.43,3133600.0
2008-03-05,30.6968,38.8,38.87,38.26,38.4,2267800.0
2008-03-06,30.1113,38.06,38.69,37.87,38.68,2633000.0
2008-03-07,29.1619,36.86,37.8,36.48,37.77,4597200.0
2008-03-10,29.3439,37.09,37.2,36.68,36.78,2745000.0
2008-03-11,29.9531,37.86,37.95,37.32,37.84,2235100.0
2008-03-12,29.7949,37.66,38.69,37.55,38.14,2539400.0
2008-03-13,30.5148,38.57,38.89,37.3,37.3,4688900.0
2008-03-14,30.1113,38.06,38.82,37.43,38.82,3643700.0
2008-03-17,30.3408,38.35,38.59,37.23,37.23,3682200.0
2008-03-18,31.7174,40.09,40.14,38.45,38.99,5465100.0
2008-03-19,31.2585,39.51,40.69,39.41,40.3,3741400.0
2008-03-20,31.4167,39.71,39.92,39.48,39.88,5386800.0
2008-03-24,31.6145,39.96,40.18,39.8,40.02,4686200.0
2008-03-25,31.5908,39.93,40.32,39.78,40.05,3418600.0
