,Adj Close,Close,High,Low,Open,Volume
2008-01-02,63.74,86.62,87.84,86.0,87.57,4303000.0
2008-01-03,64.0,86.98,87.64,86.74,87.07,3427900.0
2008-01-04,63.15,85.82,87.16,85.69,86.32,5393400.0
2008-01-07,60.98,82.87,86.3,82.17,86.25,9961800.0
2008-01-08,58.8,79.91,83.37,79.65,83.11,9810600.0
2008-01-09,59.09,80.3,80.43,77.81,79.7,10307100.0
2008-01-10,60.6,82.36,83.19,79.86,79.86,9411400.0
2008-01-11,59.25,80.52,81.78,80.0,81.77,6556600.0
2008-01-14,60.1,81.67,82.37,80.15,81.33,7732600.0
2008-01-15,57.29,77.86,81.8,76.0,81.47,16467100.0
2008-01-16,58.77,79.87,81.31,76.5,77.81,13292400.0
2008-01-17,58.52,79.52,82.49,79.02,81.2,9303800.0
2008-01-18,57.69,78.4,80.82,77.76,80.25,7686800.0
2008-01-22,57.1,77.6,78.74,74.4,74.53,8503300.0
2008-01-23,56.34,76.57,77.19,74.12,75.5,13028100.0
2008-01-24,57.12,77.62,78.34,76.48,77.56,7449300.0
2008-01-25,56.68,77.03,79.67,76.97,78.65,7849500.0
2008-01-28,57.1,77.6,77.72,76.48,77.15,4864300.0
2008-01-29,59.57,80.96,81.06,78.27,78.57,9025500.0
2008-01-30,60.98,82.87,84.87,79.69,79.7,11331100.0
2008-01-31,61.21,83.18,83.84,80.8,81.78,7887700.0
2008-02-01,60.9,82.76,83.99,81.85,83.37,6685900.0
2008-02-04,61.0,82.9,83.36,81.91,82.78,3106300.0
2008-02-05,60.11,81.69,82.78,81.35,81.61,4691600.0
2008-02-06,59.09,79.91,81.95,79.6,81.9,5331700.0
2008-02-07,58.97,79.75,80.24,78.71,78.71,6779000.0
2008-02-08,58.66,79.33,80.14,78.81,79.48,4343300.0
2008-02-11,59.99,81.13,81.39,78.85,79.46,4898200.0
2008-02-12,61.79,83.56,84.53,81.44,81.8,7980000.0
2008-02-13,63.21,85.48,85.63,84.01,84.35,6405000.0
2008-02-14,63.02,85.22,86.06,84.9,85.67,6631600.0
2008-02-15,62.99,85.18,85.42,84.17,85.06,5749300.0
2008-02-19,63.13,85.37,86.88,84.83,86.11,4158300.0
2008-02-20,62.12,84.0,84.69,82.95,84.47,7526400.0
2008-02-21,60.64,82.01,84.96,81.87,84.12,6688300.0
2008-02-22,61.41,83.04,83.21,81.75,82.51,5229100.0
2008-02-25,62.6,84.66,84.74,83.12,83.26,5450600.0
2008-02-26,62.54,84.57,85.12,83.9,85.12,5171700.0
2008-02-27,62.08,83.95,85.19,83.4,84.22,4675100.0
2008-02-28,62.71,84.8,85.0,82.73,83.51,5727400.0
2008-02-29,61.22,82.79,84.5,82.4,84.03,7667800.0
2008-03-03,59.65,80.67,80.89,79.25,79.32,9575400.0
2008-03-04,58.88,79.62,79.99,78.34,79.78,8209200.0
2008-03-05,59.68,80.71,81.32,79.67,79.82,5669600.0
2008-03-06,58.8,79.51,80.72,79.38,80.55,4503500.0
2008-03-07,56.64,76.6,79.0,76.37,78.99,9657100.0
2008-03-10,55.0,74.38,76.71,74.38,76.53,9930500.0
2008-03-11,54.28,73.4,75.75,72.39,74.78,14137400.0
2008-03-12,53.57,72.45,74.75,72.13,73.71,8966800.0
2008-03-13,54.85,74.18,74.42,71.59,71.81,10850600.0
2008-03-14,56.37,76.23,77.19,75.13,75.79,13225400.0
2008-03-17,55.82,75.49,76.2,74.14,74.46,5463100.0
2008-03-18,56.59,76.53,77.0,75.26,77.0,5644000.0
2008-03-19,54.31,73.45,77.0,73.45,76.98,9195600.0
2008-03-20,55.31,74.8,75.0,72.72,73.55,8086000.0
2008-03-24,56.41,76.29,76.48,74.79,75.25,4853800.0
2008-03-25,56.13,75.9,76.88,75.14,76.88,5969200.0
2008-03-26,56.42,76.3,76.5,75.6,75.66,4350600.0
2008-03-27,54.88,74.22,76.36,74.14,75.86,7709400.0
2008-03-28,54.33,73.47,74.63,73.08,74.44,4616800.0
2008-03-31,54.99,74.37,74.58,73.4,74.0,7394800.0
2008-04-01,56.11,75.88,75.89,74.8,75.02,5956000.0
2008-04-02,56.83,76.85,77.19,75.73,76.1,6121500.0
2008-04-03,56.3,76.14,77.22,75.9,76.55,5597100.0
2008-04-04,55.94,75.65,76.63,75.33,76.04,5086600.0
2008-04-07,55.45,74.98,76.53,74.88,76.53,5388700.0
2008-04-08,55.48,75.02,75.39,74.04,74.51,5597200.0
2008-04-09,58.12,78.6,79.9,76.31,76.72,19513400.0
2008-04-10,58.0,78.43,79.05,77.79,78.45,7873800.0
2008-04-11,56.84,76.86,78.41,76.72,77.65,5427700.0
2008-04-14,57.1,77.22,77.64,76.67,76.68,4926500.0
2008-04-15,55.98,75.7,77.67,75.6,77.56,6337700.0
2008-04-16,56.7,76.67,76.92,75.64,76.31,4895700.0
2008-04-17,56.87,76.91,77.26,76.4,76.4,3466400.0
2008-04-18,58.17,78.66,79.1,77.5,77.5,6742900.0
2008-04-21,58.49,79.09,79.37,78.17,78.71,4744200.0
2008-04-22,58.09,78.56,79.99,77.75,79.32,7615500.0
2008-04-23,60.7,82.09,83.36,79.57,80.65,15488400.0
2008-04-24,61.38,83.0,83.37,81.65,82.49,5755200.0
2008-04-25,62.74,84.84,85.25,83.38,83.38,8355000.0
2008-04-28,62.84,84.98,85.64,84.28,85.01,5378900.0
2008-04-29,63.25,85.53,86.45,84.54,84.54,4485300.0
2008-04-30,62.75,84.86,86.18,84.63,85.83,5220600.0
2008-05-01,63.16,85.41,85.48,84.57,84.86,5083200.0
2008-05-02,63.37,85.69,86.5,84.98,86.32,3784500.0
2008-05-05,63.54,85.92,86.07,85.0,85.32,3886400.0
2008-05-06,63.71,86.15,86.21,85.13,85.59,5079200.0
2008-05-07,62.81,84.55,86.1,84.42,86.03,5060300.0
2008-05-08,62.97,84.76,85.2,84.0,84.71,3671600.0
2008-05-09,62.45,84.06,84.75,83.75,84.43,3328200.0
2008-05-12,63.0,84.8,85.0,83.28,84.4,5367400.0
2008-05-13,63.21,85.08,85.29,84.11,84.99,4292400.0
2008-05-14,63.66,85.69,86.67,85.08,85.3,4909900.0
2008-05-15,63.56,85.55,86.14,85.0,85.71,6006300.0
2008-05-16,63.27,85.17,85.84,84.74,85.84,7129900.0
2008-05-19,64.69,87.07,88.29,85.0,85.56,7176300.0
2008-05-20,63.25,85.14,87.05,84.61,87.05,5698000.0
2008-05-21,60.32,81.19,85.6,80.78,85.41,10847200.0
2008-05-22,60.48,81.41,81.72,80.55,81.05,6333300.0
2008-05-23,60.53,81.48,82.09,80.85,81.21,4476600.0
2008-05-27,61.57,82.87,83.3,81.6,81.6,4528900.0
2008-05-28,61.02,82.13,83.25,81.08,83.25,4135400.0
2008-05-29,61.0,82.11,83.0,81.05,81.82,3465200.0
2008-05-30,61.49,82.77,82.94,81.01,82.4,4660200.0
2008-06-02,60.29,81.15,82.61,80.47,82.61,4492000.0
2008-06-03,58.04,78.12,81.8,77.3,81.5,10185000.0
2008-06-04,57.96,78.02,78.82,77.48,77.54,6750100.0
2008-06-05,57.44,77.31,78.2,76.8,78.19,5787700.0
2008-06-06,54.35,73.16,76.57,73.0,76.54,12786400.0
2008-06-09,54.94,73.95,74.12,73.14,73.4,6629000.0
2008-06-10,54.73,73.67,74.11,72.76,73.46,5675000.0
2008-06-11,54.46,73.31,73.77,72.93,73.44,6544800.0
2008-06-12,55.07,74.12,77.05,73.79,74.01,9794900.0
2008-06-13,55.81,75.12,75.49,74.38,74.76,6087100.0
2008-06-16,55.73,75.02,75.45,74.03,74.77,3481100.0
2008-06-17,55.26,74.38,75.5,73.81,75.38,6503700.0
