,Adj Close,Close,High,Low,Open,Volume
2008-01-02,24.96,31.39,32.0,31.13,31.45,6011700.0
2008-01-03,25.32,31.84,32.4,31.45,31.56,6843500.0
2008-01-04,24.92,31.34,31.84,31.34,31.63,4862000.0
2008-01-07,25.75,32.37,32.43,31.39,31.47,7085000.0
2008-01-08,26.32,33.09,33.81,32.94,32.94,12747800.0
2008-01-09,27.72,34.86,34.92,33.03,33.09,15522200.0
2008-01-10,27.24,34.25,34.85,34.11,34.64,10895200.0
2008-01-11,27.52,34.61,34.75,34.0,34.0,8992500.0
2008-01-14,27.5,34.58,34.95,34.18,34.95,5520700.0
2008-01-15,27.39,34.44,34.68,34.03,34.22,9502800.0
2008-01-16,28.04,35.26,35.42,34.23,34.23,12336300.0
2008-01-17,27.12,34.11,35.29,34.02,35.29,12999400.0
2008-01-18,27.28,34.31,34.79,33.85,34.37,9919400.0
2008-01-22,26.22,32.97,34.4,31.5,32.58,12959900.0
2008-01-23,26.5,33.32,33.35,32.13,32.26,18270000.0
2008-01-24,26.8,33.69,34.13,33.46,33.92,12910900.0
2008-01-25,26.35,33.13,34.48,33.08,34.08,6979900.0
2008-01-28,26.67,33.53,33.64,32.82,33.11,6839800.0
2008-01-29,26.46,33.28,33.69,33.26,33.67,7964300.0
2008-01-30,25.99,32.68,33.37,32.55,33.26,10330700.0
2008-01-31,26.16,32.9,33.3,32.27,32.63,8824600.0
2008-02-01,26.57,33.41,33.44,32.86,33.13,7541400.0
2008-02-04,26.73,33.61,34.08,33.3,33.42,6965900.0
2008-02-05,26.07,32.78,33.35,32.72,33.09,8220600.0
2008-02-06,25.88,32.55,33.0,32.48,32.93,5069000.0
2008-02-07,26.23,32.98,33.06,32.48,32.49,6440000.0
2008-02-08,26.2,32.94,33.09,32.61,32.77,4668700.0
2008-02-11,26.3,33.07,33.19,32.71,32.94,5288200.0
2008-02-12,26.56,33.39,33.92,32.96,33.33,7207500.0
2008-02-13,26.72,33.6,33.89,33.52,33.64,6067100.0
2008-02-14,26.06,32.76,33.8,32.68,33.8,8728900.0
2008-02-15,25.63,32.23,32.8,31.95,32.62,11092500.0
2008-02-19,26.05,32.76,33.11,32.24,32.54,7004600.0
2008-02-20,26.1,32.82,32.88,32.36,32.54,5588100.0
2008-02-21,25.91,32.59,32.98,32.53,32.87,6776700.0
2008-02-22,25.75,32.38,32.73,31.98,32.66,6244400.0
2008-02-25,25.92,32.59,32.7,32.19,32.34,9964200.0
2008-02-26,26.05,32.75,32.88,32.35,32.5,6818600.0
2008-02-27,25.84,32.49,32.81,32.43,32.67,7727200.0
2008-02-28,25.89,32.55,32.77,32.22,32.32,6995400.0
2008-02-29,25.49,32.06,32.5,31.9,32.19,7507500.0
