,Adj Close,Close,High,Low,Open,Volume
2008-01-02,10.04,11.11,11.31,11.05,11.27,2572800.0
2008-01-03,9.91,10.97,11.14,10.96,11.13,1964000.0
2008-01-04,9.85,10.9,11.24,10.88,11.15,4873600.0
2008-01-07,9.72,10.76,10.98,10.66,10.95,4026400.0
2008-01-08,9.54,10.56,10.88,10.53,10.81,4298800.0
2008-01-09,9.62,10.65,10.65,10.36,10.51,5309600.0
2008-01-10,9.86,10.91,10.99,10.6,10.61,4420800.0
2008-01-11,9.91,10.97,11.14,10.79,10.79,3523600.0
2008-01-14,10.12,11.2,11.22,11.01,11.08,2271600.0
2008-01-15,9.97,11.04,11.14,11.01,11.05,3342800.0
2008-01-16,9.93,10.99,11.16,10.88,11.02,3522800.0
2008-01-17,9.49,10.5,11.02,10.49,11.0,3818000.0
2008-01-18,9.49,10.51,10.78,10.28,10.61,4674800.0
2008-01-22,9.49,10.51,10.68,10.09,10.09,5223200.0
2008-01-23,9.73,10.77,10.86,10.06,10.27,6352000.0
2008-01-24,9.53,10.55,11.01,10.41,11.01,7826400.0
2008-01-25,9.39,10.39,10.61,10.24,10.51,5485200.0
2008-01-28,9.73,10.77,10.78,10.31,10.39,3582400.0
2008-01-29,9.93,10.99,11.05,10.84,10.86,2898800.0
2008-01-30,10.15,11.23,11.48,10.88,10.97,4730400.0
2008-01-31,10.35,11.45,11.57,11.04,11.08,4267200.0
2008-02-01,10.48,11.6,11.63,11.37,11.45,3894400.0
2008-02-04,10.19,11.28,11.69,11.27,11.66,4178000.0
2008-02-05,9.95,11.01,11.33,10.99,11.15,8145200.0
2008-02-06,9.99,11.06,11.23,11.01,11.08,5045600.0
2008-02-07,10.03,11.1,11.19,10.97,11.04,4248800.0
2008-02-08,10.02,11.09,11.17,10.97,11.06,4992000.0
2008-02-11,10.11,11.19,11.23,11.01,11.13,2513200.0
2008-02-12,10.17,11.26,11.38,11.18,11.31,3916800.0
2008-02-13,10.26,11.35,11.45,11.14,11.36,3079200.0
2008-02-14,10.22,11.31,11.44,11.22,11.35,3110400.0
2008-02-15,10.19,11.28,11.31,11.12,11.3,3175200.0
2008-02-19,10.22,11.31,11.45,11.22,11.39,2310000.0
2008-02-20,10.31,11.42,11.43,11.15,11.19,2682800.0
2008-02-21,10.29,11.39,11.55,11.29,11.43,3571200.0
2008-02-22,10.34,11.44,11.47,11.22,11.44,3220400.0
2008-02-25,10.51,11.63,11.64,11.3,11.43,2832400.0
2008-02-26,10.43,11.54,11.71,11.51,11.57,3193200.0
2008-02-27,10.42,11.53,11.76,11.41,11.49,3876400.0
2008-02-28,10.35,11.43,11.55,11.39,11.47,1972000.0
2008-02-29,9.98,11.02,11.34,10.98,11.33,4315600.0
2008-03-03,10.17,11.23,11.23,10.95,10.99,3384400.0
2008-03-04,9.88,10.91,11.2,10.75,11.15,6214400.0
2008-03-05,10.06,11.11,11.15,10.9,10.94,3999200.0
2008-03-06,9.98,11.02,11.13,10.99,11.03,3178000.0
2008-03-07,9.89,10.93,11.09,10.85,10.95,4519600.0
2008-03-10,9.63,10.64,10.92,10.6,10.92,4431600.0
2008-03-11,10.03,11.08,11.08,10.77,10.85,4342800.0
2008-03-12,9.9,10.94,11.15,10.92,11.09,2948000.0
2008-03-13,10.01,11.06,11.1,10.74,10.81,3718000.0
2008-03-14,9.79,10.81,11.15,10.66,11.09,3805200.0
2008-03-17,9.65,10.66,10.82,10.52,10.82,3740800.0
2008-03-18,9.85,10.88,10.94,10.59,10.83,3450800.0
2008-03-19,9.61,10.61,11.07,10.61,11.01,3548400.0
2008-03-20,9.97,11.01,11.06,10.64,10.7,6942800.0
2008-03-24,10.23,11.3,11.42,10.99,11.0,3360400.0
2008-03-25,10.5,11.6,11.64,11.3,11.37,4918400.0
2008-03-26,10.38,11.47,11.6,11.39,11.54,4267200.0
2008-03-27,10.22,11.28,11.51,11.23,11.47,5431200.0
2008-03-28,10.22,11.28,11.43,11.26,11.37,2502400.0
2008-03-31,10.4,11.48,11.54,11.21,11.21,3018000.0
2008-04-01,10.74,11.86,11.88,11.52,11.6,5731600.0
2008-04-02,10.87,12.01,12.04,11.81,11.9,4787600.0
2008-04-03,10.83,11.97,12.03,11.88,11.9,3423200.0
2008-04-04,10.94,12.09,12.15,11.92,12.02,2974000.0
2008-04-07,10.68,11.8,12.2,11.74,12.11,3372400.0
2008-04-08,10.68,11.8,11.91,11.66,11.74,2790800.0
2008-04-09,10.5,11.6,11.89,11.54,11.84,2896000.0
2008-04-10,10.57,11.67,11.69,11.45,11.6,2440000.0
2008-04-11,10.42,11.51,11.6,11.48,11.57,1999600.0
2008-04-14,10.45,11.55,11.6,11.46,11.52,2372000.0
2008-04-15,10.71,11.83,11.88,11.62,11.66,3999600.0
2008-04-16,11.0,12.15,12.17,11.9,11.95,4138800.0
2008-04-17,11.46,12.66,12.74,12.07,12.17,10346400.0
2008-04-18,11.71,12.94,13.03,12.69,12.69,5937600.0
2008-04-21,11.59,12.8,12.93,12.69,12.9,2844000.0
2008-04-22,11.32,12.51,12.76,12.36,12.76,3296400.0
2008-04-23,11.34,12.53,12.62,12.42,12.57,2255200.0
2008-04-24,12.12,13.39,13.65,12.27,12.37,10298800.0
2008-04-25,12.26,13.54,13.61,13.34,13.47,6330000.0
2008-04-28,12.25,13.53,13.64,13.43,13.55,5491200.0
2008-04-29,12.1,13.36,13.56,13.26,13.48,4297200.0
2008-04-30,12.17,13.44,13.62,13.4,13.44,4512000.0
2008-05-01,12.27,13.55,13.63,13.37,13.45,4664800.0
2008-05-02,12.21,13.48,13.75,13.43,13.63,3328000.0
2008-05-05,12.31,13.59,13.7,13.22,13.22,3466800.0
2008-05-06,12.15,13.43,13.56,13.34,13.47,4398800.0
2008-05-07,12.07,13.33,13.65,13.28,13.42,3110400.0
2008-05-08,12.33,13.62,13.72,13.3,13.4,3661200.0
2008-05-09,12.17,13.45,13.53,13.39,13.44,3009600.0
2008-05-12,12.35,13.64,13.66,13.37,13.46,3195200.0
2008-05-13,12.34,13.62,13.72,13.51,13.65,3491200.0
2008-05-14,12.38,13.68,13.93,13.62,13.67,3273600.0
2008-05-15,12.64,13.96,13.98,13.65,13.71,3058000.0
2008-05-16,12.59,13.9,14.05,13.77,13.95,3531600.0
2008-05-19,12.28,13.57,13.85,13.52,13.85,3423200.0
2008-05-20,12.23,13.51,13.57,13.39,13.51,3572800.0
2008-05-21,12.0,13.25,13.61,13.18,13.51,3373600.0
2008-05-22,12.08,13.34,13.48,13.27,13.29,2962800.0
2008-05-23,11.99,13.25,13.33,13.1,13.26,2506000.0
2008-05-27,12.02,13.27,13.35,13.09,13.35,2738000.0
2008-05-28,12.14,13.41,13.43,13.18,13.34,2557200.0
2008-05-29,12.18,13.43,13.47,13.21,13.35,2167200.0
2008-05-30,12.31,13.57,13.65,13.38,13.56,4688400.0
2008-06-02,12.42,13.69,13.73,13.51,13.51,4482000.0
2008-06-03,12.15,13.39,13.73,13.23,13.69,4332800.0
2008-06-04,12.04,13.28,13.48,13.23,13.31,4052800.0
2008-06-05,12.23,13.48,13.48,13.25,13.34,3740000.0
2008-06-06,11.81,13.02,13.46,13.02,13.31,2654000.0
2008-06-09,11.68,12.88,13.08,12.73,13.02,2936400.0
2008-06-10,11.42,12.6,12.73,12.48,12.69,4804800.0
2008-06-11,11.3,12.46,12.69,12.44,12.62,3127200.0
2008-06-12,11.47,12.65,12.9,12.47,12.47,2847600.0
2008-06-13,11.93,13.15,13.23,12.73,12.78,4826400.0
2008-06-16,11.8,13.01,13.15,13.0,13.09,2376400.0
2008-06-17,11.78,12.99,13.1,12.96,13.1,2494800.0
2008-06-18,11.78,12.98,13.06,12.9,12.94,3454800.0
2008-06-19,11.9,13.12,13.17,12.82,12.94,2086000.0
2008-06-20,11.73,12.93,13.16,12.89,13.13,4260400.0
2008-06-23,11.62,12.81,13.06,12.73,13.06,2346400.0
2008-06-24,11.12,12.26,12.81,12.2,12.76,5182000.0
2008-06-25,11.26,12.41,12.53,12.29,12.39,3591200.0
