,Adj Close,Close,High,Low,Open,Volume
2008-01-02,11.41,11.41,11.85,11.35,11.65,7282100.0
2008-01-03,11.39,11.39,11.52,11.3,11.47,7131300.0
2008-01-04,11.31,11.31,11.39,11.13,11.28,9459400.0
2008-01-07,11.53,11.53,11.64,11.3,11.4,8261300.0
2008-01-08,10.98,10.98,11.56,10.96,11.56,9577300.0
2008-01-09,10.98,10.98,11.25,10.76,10.97,13319500.0
2008-01-10,11.7,11.7,11.79,10.84,10.92,15810800.0
2008-01-11,11.74,11.74,11.92,11.42,11.62,13578800.0
2008-01-14,11.93,11.93,11.98,11.73,11.75,10528600.0
2008-01-15,11.51,11.51,11.87,11.49,11.76,8960300.0
2008-01-16,12.05,12.05,12.26,11.67,11.71,13104900.0
2008-01-17,12.35,12.35,12.71,12.17,12.36,18613800.0
2008-01-18,12.13,12.13,12.68,12.08,12.41,18069200.0
2008-01-22,12.13,12.13,12.63,11.53,11.53,19932100.0
2008-01-23,12.09,12.09,12.21,11.5,11.8,15968000.0
2008-01-24,11.96,11.96,12.28,11.78,12.17,9997400.0
2008-01-25,11.84,11.84,12.1,11.76,12.05,9533200.0
2008-01-28,11.85,11.85,12.05,11.73,11.95,8928900.0
2008-01-29,11.96,11.96,12.05,11.88,11.95,9321800.0
2008-01-30,11.95,11.95,12.17,11.9,11.93,9951300.0
2008-01-31,12.15,12.15,12.29,11.8,11.91,12373000.0
2008-02-01,12.37,12.37,12.42,12.13,12.16,9179500.0
2008-02-04,12.85,12.85,13.05,12.43,12.43,21758100.0
2008-02-05,12.77,12.77,13.02,12.42,12.97,24436700.0
2008-02-06,12.63,12.63,12.94,12.56,12.88,12729600.0
2008-02-07,12.24,12.24,12.6,12.05,12.4,20642300.0
2008-02-08,12.33,12.33,12.47,12.1,12.1,8387500.0
2008-02-11,12.41,12.41,12.44,12.26,12.35,4338700.0
2008-02-12,12.52,12.52,12.65,12.33,12.5,10034000.0
2008-02-13,12.59,12.59,12.67,12.48,12.48,7116500.0
2008-02-14,12.57,12.57,12.72,12.54,12.58,7478000.0
2008-02-15,12.81,12.81,12.83,12.5,12.55,10387100.0
2008-02-19,12.75,12.75,13.0,12.71,13.0,5533300.0
2008-02-20,12.61,12.61,12.73,12.36,12.67,6074700.0
2008-02-21,12.43,12.43,12.69,12.39,12.68,8861600.0
2008-02-22,12.31,12.31,12.53,12.14,12.46,6465800.0
2008-02-25,13.05,13.05,13.13,12.44,12.58,11793000.0
2008-02-26,13.21,13.21,13.27,12.9,13.0,11648000.0
2008-02-27,13.0,13.0,13.17,12.98,13.16,5144700.0
2008-02-28,12.72,12.72,13.0,12.64,12.93,6284200.0
2008-02-29,12.59,12.59,12.73,12.44,12.63,7626300.0
2008-03-03,12.65,12.65,12.68,12.43,12.6,7098800.0
2008-03-04,12.75,12.75,12.79,12.52,12.53,6692400.0
2008-03-05,12.79,12.79,12.86,12.68,12.82,12625200.0
2008-03-06,12.68,12.68,12.79,12.58,12.74,17915900.0
2008-03-07,12.35,12.35,12.6,12.25,12.55,15046500.0
2008-03-10,12.33,12.33,12.49,12.24,12.34,9369600.0
2008-03-11,12.56,12.56,12.57,12.3,12.43,9814400.0
