,Adj Close,Close,High,Low,Open,Volume
2008-01-02,12.42,18.12,18.51,18.04,18.47,4152000.0
2008-01-03,12.41,18.1,18.24,18.02,18.14,2834100.0
2008-01-04,12.26,17.88,18.12,17.84,17.98,3089200.0
2008-01-07,12.41,18.1,18.25,17.96,17.96,3950200.0
2008-01-08,12.35,18.02,18.38,17.98,18.21,3624400.0
2008-01-09,12.77,18.63,18.67,17.98,18.08,6090300.0
2008-01-10,12.76,18.61,18.7,18.44,18.67,3205600.0
2008-01-11,12.63,18.43,18.45,18.16,18.42,3973000.0
2008-01-14,12.34,18.01,18.6,17.95,18.54,4090400.0
2008-01-15,12.11,17.67,18.01,17.61,17.82,4282000.0
2008-01-16,12.25,17.88,18.04,17.63,17.63,3175800.0
2008-01-17,12.18,17.77,18.09,17.73,17.89,4254300.0
2008-01-18,11.9,17.36,17.95,17.17,17.86,5345800.0
2008-01-22,11.5,16.78,17.23,16.65,16.73,6845300.0
2008-01-23,11.47,16.73,16.75,16.23,16.43,8129500.0
2008-01-24,11.55,16.71,16.86,16.45,16.77,6197900.0
2008-01-25,11.33,16.39,16.9,16.34,16.69,3805100.0
2008-01-28,11.49,16.61,16.61,16.39,16.44,3178500.0
2008-01-29,11.46,16.57,16.68,16.45,16.68,4291600.0
2008-01-30,11.59,16.76,17.05,16.53,16.53,5644800.0
2008-01-31,11.56,16.72,16.93,16.47,16.54,6882900.0
2008-02-01,11.87,17.17,17.17,16.68,16.72,3945300.0
2008-02-04,11.78,17.04,17.21,16.9,17.12,2370600.0
2008-02-05,11.44,16.54,16.96,16.53,16.79,3743900.0
2008-02-06,11.45,16.55,16.7,16.51,16.66,2405100.0
2008-02-07,11.46,16.57,16.75,16.4,16.5,2263300.0
2008-02-08,11.3,16.34,16.53,16.24,16.51,2936200.0
2008-02-11,11.43,16.53,16.53,16.23,16.37,3038100.0
2008-02-12,11.48,16.6,16.67,16.47,16.6,3145600.0
2008-02-13,11.41,16.5,16.77,16.41,16.75,3632600.0
2008-02-14,11.32,16.37,16.54,16.34,16.54,3243300.0
2008-02-15,11.69,16.9,16.96,16.34,16.34,5696900.0
2008-02-19,11.93,17.25,17.38,17.03,17.12,6458500.0
2008-02-20,11.9,17.21,17.72,16.96,17.72,3968300.0
2008-02-21,11.73,16.96,17.35,16.93,17.23,3934900.0
