,Adj Close,Close,High,Low,Open,Volume
2008-01-02,5.48,6.24,6.24,6.24,6.24,0.0
2008-01-03,5.31,6.05,6.1,6.05,6.05,16100.0
2008-01-04,5.31,6.05,6.05,6.05,6.05,6700.0
2008-01-07,5.27,6.0,6.0,6.0,6.0,500.0
2008-01-08,5.27,6.0,6.0,6.0,6.0,0.0
2008-01-09,5.26,5.99,5.99,5.99,5.99,500.0
2008-01-10,4.79,5.45,5.8,5.45,5.6,21854.0
2008-01-11,4.79,5.45,5.5,5.45,5.5,41603.0
2008-01-14,4.79,5.45,5.45,5.45,5.45,30300.0
2008-01-15,4.48,5.1,5.11,5.1,5.1,132000.0
2008-01-16,4.48,5.1,5.1,4.75,4.75,1525.0
2008-01-17,4.39,5.0,5.0,5.0,5.0,8020.0
2008-01-18,4.22,4.8,4.9,4.8,4.9,42137.0
2008-01-22,3.91,4.45,4.45,4.35,4.35,89667.0
2008-01-23,4.17,4.75,4.75,4.75,4.75,925.0
2008-01-24,4.48,5.1,5.1,4.95,4.95,348123.0
2008-01-25,4.4,5.01,5.2,5.01,5.2,1408.0
2008-01-28,4.48,5.1,5.15,5.0,5.1,32292.0
2008-01-29,4.48,5.1,5.15,5.0,5.15,1463387.0
2008-01-30,4.48,5.1,5.1,5.1,5.1,2300000.0
2008-01-31,4.48,5.1,5.1,4.95,4.95,838248.0
2008-02-01,4.35,4.95,5.0,4.95,5.0,4658555.0
2008-02-04,4.35,4.95,5.2,4.95,5.15,322154.0
2008-02-05,4.44,5.05,5.05,5.05,5.05,975.0
2008-02-06,4.3,4.9,4.9,4.55,4.55,20000.0
2008-02-07,4.3,4.9,4.9,4.9,4.9,1618500.0
2008-02-08,4.26,4.85,4.9,4.85,4.9,4166900.0
2008-02-11,4.26,4.85,4.85,4.85,4.85,47498.0
2008-02-12,4.39,5.0,5.0,5.0,5.0,10000.0
2008-02-13,4.39,5.0,5.0,4.9,4.9,9267.0
2008-02-14,4.3,4.9,4.9,4.9,4.9,1117.0
2008-02-15,4.26,4.85,4.85,4.85,4.85,9900.0
2008-02-19,4.26,4.85,4.85,4.85,4.85,0.0
2008-02-20,3.95,4.5,4.8,4.5,4.8,4748.0
2008-02-21,3.6,4.1,4.1,4.1,4.1,2000.0
2008-02-22,3.65,4.16,4.22,4.1,4.1,153122.0
2008-02-25,3.52,4.01,4.01,4.01,4.01,2852.0
2008-02-26,3.6,4.1,4.1,4.01,4.01,82400.0
2008-02-27,3.6,4.1,4.1,4.1,4.1,6320.0
2008-02-28,3.56,4.05,4.1,4.0,4.0,826951.0
2008-02-29,3.51,4.0,4.01,4.0,4.01,38138.0
2008-03-03,3.86,4.39,4.39,4.35,4.35,36810.0
2008-03-04,3.69,4.2,4.2,4.2,4.2,200.0
2008-03-05,3.69,4.2,4.2,4.2,4.2,0.0
2008-03-06,3.69,4.2,4.2,4.2,4.2,800.0
2008-03-07,3.51,4.0,4.0,4.0,4.0,8000.0
2008-03-10,3.51,4.0,4.0,4.0,4.0,24000.0
2008-03-11,3.51,4.0,4.0,4.0,4.0,6064.0
2008-03-12,3.51,4.0,4.0,4.0,4.0,24782.0
2008-03-13,3.51,3.99,3.99,3.99,3.99,5000.0
2008-03-14,3.45,3.93,3.93,3.93,3.93,14327.0
2008-03-17,3.43,3.9,3.9,3.9,3.9,36647.0
2008-03-18,3.43,3.9,3.9,3.85,3.9,32626.0
2008-03-19,3.09,3.52,3.8,3.52,3.8,3944.0
2008-03-20,3.11,3.54,3.54,3.5,3.5,6100.0
2008-03-24,,,,,,
2008-03-25,3.33,3.79,3.79,3.79,3.79,1.0
2008-03-26,3.52,4.01,4.01,3.79,3.79,161430.0
2008-03-27,3.56,4.05,4.05,4.0,4.01,170711.0
2008-03-28,3.56,4.05,4.05,4.05,4.05,47200.0
2008-03-31,3.51,4.0,4.0,4.0,4.0,0.0
2008-04-01,3.51,4.0,4.0,4.0,4.0,0.0
2008-04-02,3.51,4.0,4.0,4.0,4.0,0.0
2008-04-03,3.29,3.75,3.75,3.7,3.7,53000.0
2008-04-04,3.24,3.69,3.7,3.69,3.7,117500.0
2008-04-07,3.12,3.55,3.69,3.55,3.6,246800.0
2008-04-08,3.07,3.5,3.55,3.5,3.55,9804.0
2008-04-09,2.9,3.3,3.5,3.3,3.5,14135.0
2008-04-10,2.9,3.3,3.5,3.3,3.49,31961.0
2008-04-11,2.72,3.1,3.2,3.0,3.01,130500.0
2008-04-14,2.72,3.1,3.1,3.1,3.1,0.0
2008-04-15,2.72,3.1,3.15,3.1,3.15,39600.0
2008-04-16,2.72,3.1,3.11,3.0,3.0,415100.0
2008-04-17,2.72,3.1,3.1,3.1,3.1,0.0
2008-04-18,2.72,3.1,3.1,3.1,3.1,0.0
2008-04-21,2.72,3.1,3.1,3.1,3.1,0.0
2008-04-22,2.81,3.2,3.2,3.2,3.2,16000.0
2008-04-23,2.68,3.05,3.1,3.05,3.1,13500.0
2008-04-24,2.71,3.09,3.1,3.05,3.1,403050.0
2008-04-25,2.64,3.0,3.05,3.0,3.05,27039.0
2008-04-28,,,,,,
2008-04-29,2.64,3.0,3.0,3.0,3.0,0.0
2008-04-30,2.64,3.0,3.0,3.0,3.0,58955.0
2008-05-01,,,,,,
2008-05-02,,,,,,
2008-05-05,2.64,3.0,3.0,3.0,3.0,0.0
2008-05-06,2.46,2.8,2.85,2.8,2.83,278033.0
2008-05-07,2.33,2.65,2.8,2.65,2.75,242500.0
2008-05-08,2.33,2.65,2.65,2.65,2.65,19200.0
2008-05-09,2.11,2.4,2.65,2.4,2.65,39180.0
2008-05-12,2.02,2.3,2.5,2.3,2.5,99320.0
2008-05-13,2.02,2.3,2.3,2.29,2.3,15430.0
2008-05-14,1.83,2.08,2.25,2.0,2.25,54150.0
2008-05-15,1.84,2.1,2.1,2.09,2.09,55150.0
2008-05-16,1.89,2.15,2.15,2.1,2.1,148500.0
2008-05-19,1.93,2.2,2.2,2.2,2.2,16500.0
2008-05-20,1.93,2.2,2.2,2.12,2.2,27535.0
2008-05-21,1.81,2.06,2.15,2.06,2.15,77689.0
2008-05-22,1.8,2.05,2.1,2.05,2.06,86132.0
2008-05-23,1.76,2.0,2.1,2.0,2.1,45563.0
2008-05-27,1.76,2.0,2.0,2.0,2.0,25900.0
2008-05-28,1.67,1.9,1.9,1.89,1.9,363100.0
2008-05-29,1.58,1.8,1.9,1.8,1.9,2300269.0
2008-05-30,1.7,1.93,2.05,1.85,1.85,688645.0
2008-06-02,1.76,2.0,2.0,2.0,2.0,8933.0
2008-06-03,2.02,2.3,2.3,2.1,2.1,32002.0
2008-06-04,2.02,2.3,2.3,2.3,2.3,22333.0
2008-06-05,1.89,2.15,2.2,2.15,2.2,5103986.0
2008-06-06,1.89,2.15,2.15,2.15,2.15,1250.0
2008-06-09,1.94,2.21,2.21,2.2,2.2,196.0
2008-06-10,2.64,3.0,3.0,2.47,2.49,81300.0
