,Adj Close,Close,High,Low,Open,Volume
2008-01-02,9.75,14.36,14.36,13.39,14.3,177200.0
2008-01-03,9.16,13.5,13.82,13.46,13.8,84700.0
2008-01-04,8.9,13.12,13.4,12.97,13.36,71200.0
2008-01-07,8.82,13.0,13.36,12.24,13.03,157000.0
2008-01-08,8.84,13.02,13.46,12.95,13.04,88000.0
2008-01-09,8.99,13.24,13.4,13.05,13.15,67200.0
2008-01-10,9.23,13.6,13.89,13.18,13.2,52700.0
2008-01-11,9.33,13.75,13.93,13.52,13.63,146700.0
2008-01-14,9.26,13.64,13.88,13.56,13.76,57200.0
2008-01-15,9.03,13.31,13.56,13.17,13.54,62700.0
2008-01-16,8.62,12.7,13.08,12.24,12.95,176700.0
2008-01-17,8.33,12.27,13.93,12.16,13.1,145500.0
2008-01-18,8.39,12.36,12.71,12.24,12.24,75000.0
2008-01-22,8.11,11.94,12.46,10.53,11.87,127200.0
2008-01-23,8.01,11.8,12.0,10.76,11.8,295500.0
2008-01-24,8.5,12.52,12.95,12.04,12.56,221500.0
2008-01-25,9.03,13.31,13.31,12.3,13.0,226000.0
2008-01-28,8.62,12.7,12.97,12.5,12.8,106700.0
2008-01-29,9.16,13.5,13.6,12.53,12.95,171000.0
2008-01-30,9.04,13.33,13.59,13.28,13.59,54700.0
2008-01-31,9.23,13.6,13.71,12.88,12.95,64500.0
2008-02-01,9.24,13.62,13.78,13.4,13.74,128500.0
2008-02-04,9.23,13.6,13.8,13.15,13.35,115500.0
2008-02-05,8.8,12.97,13.68,12.97,13.68,100200.0
2008-02-06,8.97,13.22,13.22,12.88,13.07,56200.0
2008-02-07,8.68,12.79,12.99,12.67,12.82,66000.0
2008-02-08,8.68,12.78,12.96,12.56,12.56,46200.0
2008-02-11,8.84,13.02,13.02,12.51,12.8,242700.0
2008-02-12,8.89,13.1,13.6,13.0,13.6,320700.0
2008-02-13,9.11,13.43,13.55,13.04,13.04,70000.0
2008-02-14,9.07,13.37,13.87,13.3,13.42,119000.0
2008-02-15,9.06,13.34,13.46,13.27,13.38,95000.0
2008-02-19,9.19,13.54,13.68,13.46,13.54,32200.0
2008-02-20,9.19,13.54,13.54,13.2,13.31,62500.0
2008-02-21,8.96,13.21,13.6,13.21,13.54,73000.0
2008-02-22,9.08,13.38,13.58,13.3,13.44,72700.0
2008-02-25,9.13,13.46,13.77,13.28,13.53,72000.0
2008-02-26,9.38,13.82,13.91,13.31,13.59,54000.0
2008-02-27,9.41,13.86,13.93,13.59,13.9,49500.0
2008-02-28,9.5,14.0,14.06,13.74,13.93,159000.0
2008-02-29,9.02,13.29,13.91,13.28,13.9,209200.0
2008-03-03,9.22,13.59,13.69,13.22,13.35,160000.0
2008-03-04,9.15,13.48,13.59,13.3,13.59,180200.0
2008-03-05,9.49,13.98,13.99,13.52,13.54,175500.0
2008-03-06,8.92,13.14,14.23,13.14,14.05,130700.0
2008-03-07,9.28,13.67,13.9,13.12,13.14,231200.0
2008-03-10,9.15,13.48,13.92,13.35,13.92,112700.0
2008-03-11,9.54,14.06,14.14,13.7,13.7,85000.0
2008-03-12,9.63,14.19,14.51,13.74,13.84,106200.0
2008-03-13,9.85,14.51,14.68,14.0,14.37,46200.0
2008-03-14,9.5,14.0,14.78,13.96,14.64,83000.0
2008-03-17,9.71,14.31,14.31,13.68,13.81,37200.0
2008-03-18,9.72,14.33,14.53,14.26,14.4,66500.0
2008-03-19,9.61,14.16,14.83,14.12,14.4,41000.0
2008-03-20,9.3,13.7,14.19,13.56,14.06,72500.0
2008-03-24,9.27,13.66,14.4,13.57,14.4,112200.0
2008-03-25,9.4,13.84,13.91,13.72,13.72,47200.0
2008-03-26,9.47,13.95,14.1,13.76,14.0,103700.0
2008-03-27,9.77,14.4,14.44,13.78,13.99,67000.0
2008-03-28,9.53,14.04,14.45,14.04,14.37,44500.0
2008-03-31,9.59,14.14,14.36,13.98,14.13,68000.0
2008-04-01,9.94,14.65,14.78,14.01,14.25,60000.0
2008-04-02,9.99,14.72,14.96,14.48,14.8,41000.0
2008-04-03,10.32,15.2,15.2,14.68,14.87,42200.0
2008-04-04,10.36,15.27,15.45,15.13,15.38,64200.0
2008-04-07,10.31,15.19,15.52,14.85,15.52,98700.0
2008-04-08,10.49,15.45,15.55,14.93,15.04,54200.0
2008-04-09,10.58,15.58,15.61,15.21,15.45,54200.0
2008-04-10,10.63,15.67,15.96,15.56,15.73,180000.0
2008-04-11,10.28,15.15,15.6,15.04,15.6,61700.0
2008-04-14,10.59,15.6,15.66,15.18,15.38,80500.0
2008-04-15,10.68,15.74,15.94,15.55,15.85,122200.0
2008-04-16,10.5,15.47,15.84,15.47,15.84,46700.0
2008-04-17,10.46,15.42,15.65,15.3,15.65,78200.0
2008-04-18,10.47,14.95,15.6,14.91,15.6,125000.0
2008-04-21,10.41,14.87,14.95,14.63,14.94,91200.0
2008-04-22,10.67,15.24,15.24,14.77,14.81,89500.0
2008-04-23,10.7,15.28,15.41,15.21,15.28,65700.0
2008-04-24,10.37,14.82,15.33,14.76,15.33,74700.0
2008-04-25,10.27,14.68,15.22,14.54,15.01,139200.0
2008-04-28,10.25,14.64,14.79,14.43,14.79,85700.0
2008-04-29,10.1,14.43,14.71,14.33,14.7,60500.0
2008-04-30,10.21,14.58,14.6,14.38,14.5,66500.0
2008-05-01,10.22,14.6,14.65,14.44,14.5,46700.0
2008-05-02,10.09,14.41,14.84,14.27,14.84,70500.0
2008-05-05,9.92,14.17,14.36,14.08,14.31,93500.0
2008-05-06,9.94,14.2,14.28,14.02,14.22,84700.0
2008-05-07,9.66,13.8,14.2,13.74,14.09,88200.0
2008-05-08,9.69,13.85,13.92,13.68,13.72,157200.0
2008-05-09,9.6,13.72,14.12,13.62,14.12,152200.0
2008-05-12,9.57,13.68,13.8,13.32,13.32,94200.0
2008-05-13,9.76,13.94,14.12,13.71,13.72,391500.0
2008-05-14,9.86,14.08,14.1,13.87,13.9,95000.0
2008-05-15,9.7,13.86,14.08,13.8,14.0,87700.0
2008-05-16,9.7,13.85,14.11,13.81,14.07,116700.0
2008-05-19,9.79,13.99,14.12,13.94,14.0,78500.0
2008-05-20,9.64,13.76,14.02,13.61,14.02,57000.0
