,Adj Close,Close,High,Low,Open,Volume
2008-01-02,16.8,16.8,17.04,16.76,16.93,3617900.0
2008-01-03,16.79,16.79,17.08,16.75,16.96,2644700.0
2008-01-04,16.23,16.23,16.68,16.1,16.64,3946500.0
2008-01-07,16.03,16.03,16.38,15.94,16.25,3157100.0
2008-01-08,15.45,15.45,16.13,15.45,16.04,3560400.0
2008-01-09,15.38,15.38,15.71,15.12,15.44,5320700.0
2008-01-10,15.35,15.35,15.55,15.08,15.22,3148400.0
2008-01-11,14.96,14.96,15.29,14.92,15.14,3503300.0
2008-01-14,15.22,15.22,15.31,14.99,15.03,3329500.0
2008-01-15,14.66,14.66,15.09,14.66,15.07,3548100.0
2008-01-16,15.23,15.23,15.42,14.68,14.71,3868200.0
2008-01-17,14.82,14.82,15.26,14.8,15.15,3935700.0
2008-01-18,14.89,14.89,15.4,14.5,15.21,2983700.0
2008-01-22,14.24,14.24,14.6,14.23,14.41,5008300.0
2008-01-23,14.46,14.46,14.47,13.51,13.64,6827300.0
2008-01-24,14.9,14.9,14.96,14.3,14.73,5826700.0
2008-01-25,14.64,14.64,15.15,14.63,15.15,3936400.0
2008-01-28,14.64,14.64,14.76,14.43,14.7,4057900.0
2008-01-29,14.93,14.93,14.94,14.47,14.77,2778400.0
2008-01-30,15.16,15.16,15.33,14.69,14.92,5865800.0
2008-01-31,10.15,10.15,11.19,9.89,10.94,53507400.0
2008-02-01,10.61,10.61,10.64,10.11,10.13,24612100.0
2008-02-04,10.93,10.93,11.03,10.62,10.62,12940000.0
2008-02-05,10.89,10.89,10.97,10.6,10.63,10544700.0
2008-02-06,10.52,10.52,11.26,10.52,10.95,13029000.0
2008-02-07,10.69,10.69,10.9,10.27,10.33,7469900.0
2008-02-08,10.66,10.66,10.79,10.49,10.69,5141800.0
2008-02-11,10.7,10.7,10.77,10.51,10.67,4595800.0
2008-02-12,10.82,10.82,10.94,10.7,10.8,4872500.0
2008-02-13,11.43,11.43,11.49,10.91,10.93,7958500.0
2008-02-14,10.94,10.94,11.45,10.94,11.43,8107700.0
2008-02-15,10.93,10.93,10.96,10.77,10.86,4699200.0
2008-02-19,10.88,10.88,11.33,10.83,11.26,6065900.0
2008-02-20,10.86,10.86,10.89,10.74,10.85,4553500.0
2008-02-21,11.25,11.25,11.55,11.11,11.11,6651000.0
2008-02-22,10.99,10.99,11.32,10.77,11.29,4218000.0
2008-02-25,11.04,11.04,11.12,10.83,10.97,4068500.0
2008-02-26,11.11,11.11,11.33,10.98,11.09,4720600.0
2008-02-27,11.19,11.19,11.31,11.01,11.11,4112700.0
2008-02-28,10.99,10.99,11.15,10.98,11.06,4159000.0
2008-02-29,10.62,10.62,10.85,10.62,10.77,5522000.0
2008-03-03,11.09,11.09,11.2,10.62,10.7,6381500.0
2008-03-04,11.05,11.05,11.06,10.74,11.04,6041600.0
2008-03-05,11.15,11.15,11.16,10.99,11.1,5949700.0
2008-03-06,10.67,10.67,11.14,10.67,11.11,6104200.0
2008-03-07,10.77,10.77,11.01,10.64,10.65,4714600.0
2008-03-10,10.7,10.7,10.87,10.69,10.8,3878500.0
2008-03-11,10.91,10.91,10.99,10.55,10.85,5990300.0
2008-03-12,11.07,11.07,11.29,10.87,10.98,5216600.0
2008-03-13,11.19,11.19,11.25,10.83,10.99,4358100.0
2008-03-14,11.02,11.02,11.26,10.83,11.26,5117600.0
