,Adj Close,Close,High,Low,Open,Volume
2008-01-02,36.99,43.02,43.72,42.56,42.73,1554700.0
2008-01-03,35.76,41.59,43.7,41.11,43.03,1645800.0
2008-01-04,34.54,40.17,41.28,39.66,41.28,1508000.0
2008-01-07,33.76,39.26,40.28,38.45,40.08,2060400.0
2008-01-08,33.28,38.71,39.97,38.7,39.45,1396400.0
2008-01-09,32.93,38.3,38.52,36.92,38.52,2617200.0
2008-01-10,33.35,38.79,39.13,37.73,37.73,2611200.0
2008-01-11,32.69,37.98,38.84,37.65,38.84,1501300.0
2008-01-14,33.03,38.37,38.7,37.21,37.98,1222000.0
2008-01-15,32.29,37.51,38.49,37.16,37.98,1528700.0
2008-01-16,30.62,35.57,37.39,35.03,37.39,2256200.0
2008-01-17,29.61,34.4,36.38,34.19,36.13,2035500.0
2008-01-18,30.22,35.11,36.07,34.12,34.12,2526600.0
2008-01-22,29.08,33.79,35.11,32.89,32.89,2165200.0
2008-01-23,29.65,34.45,34.68,31.76,33.15,2302300.0
2008-01-24,30.24,35.13,35.37,34.23,34.39,1356700.0
2008-01-25,31.12,36.16,36.94,35.65,35.65,2001900.0
2008-01-28,32.11,37.31,37.31,35.65,36.33,2381200.0
2008-01-29,31.65,36.77,38.24,36.51,38.24,1209000.0
2008-01-30,31.49,36.58,37.65,35.93,36.73,1061700.0
2008-01-31,32.05,37.23,37.55,35.67,36.25,1950500.0
2008-02-01,32.63,37.91,38.25,36.75,37.0,1743900.0
2008-02-04,33.16,38.53,39.1,37.91,37.98,2199000.0
2008-02-05,34.39,39.95,41.4,38.55,39.52,3686700.0
2008-02-06,33.61,39.05,40.52,39.01,40.29,1909800.0
2008-02-07,33.79,39.26,40.34,38.83,39.67,1741800.0
2008-02-08,33.33,38.72,39.46,37.65,39.46,1789900.0
2008-02-11,34.39,39.95,40.53,38.95,39.41,2205800.0
2008-02-12,34.12,39.64,40.4,39.32,40.06,1636900.0
2008-02-13,34.71,40.32,40.44,39.72,39.72,1761100.0
2008-02-14,34.31,39.86,40.88,39.75,40.19,1170700.0
2008-02-15,34.82,40.45,40.5,39.25,39.48,1257400.0
2008-02-19,35.21,40.91,41.0,40.3,40.64,1040600.0
2008-02-20,35.1,40.78,40.98,39.86,40.69,1410100.0
2008-02-21,35.03,40.7,41.31,40.41,40.84,1223200.0
2008-02-22,35.1,40.78,40.98,39.9,40.96,1037500.0
2008-02-25,35.51,41.25,41.35,40.33,41.04,1076500.0
2008-02-26,34.89,40.53,41.28,40.0,41.28,1737100.0
2008-02-27,34.95,40.6,40.96,40.02,40.03,914500.0
2008-02-28,34.86,40.5,40.87,40.07,40.39,777100.0
2008-02-29,33.48,38.9,40.53,38.44,40.42,1056000.0
2008-03-03,34.37,39.93,39.95,38.05,39.05,1058100.0
2008-03-04,34.31,39.86,40.31,39.13,39.33,1528100.0
2008-03-05,34.54,40.13,40.61,39.44,39.7,1080600.0
2008-03-06,33.07,38.42,39.8,38.26,39.8,1610000.0
2008-03-07,32.67,37.96,39.23,37.87,38.01,1502200.0
2008-03-10,31.46,36.55,37.9,36.5,37.63,1567200.0
2008-03-11,32.92,38.25,38.47,37.17,37.17,1653800.0
2008-03-12,33.1,38.45,39.36,38.33,38.5,1123700.0
2008-03-13,33.1,38.45,38.6,36.73,37.66,1292700.0
2008-03-14,32.55,37.82,39.07,36.86,38.71,1639100.0
2008-03-17,31.76,36.9,37.78,36.32,36.56,1217400.0
2008-03-18,33.01,38.35,38.5,37.45,37.77,1440600.0
2008-03-19,32.11,37.31,38.76,37.26,38.13,1826100.0
2008-03-20,32.58,37.85,38.31,36.6,36.65,1070000.0
2008-03-24,34.09,39.6,40.2,38.17,38.17,1450700.0
2008-03-25,34.15,39.67,39.99,39.4,39.99,1228300.0
2008-03-26,34.27,39.82,39.9,39.43,39.67,966600.0
2008-03-27,34.23,39.77,40.6,39.6,40.6,1473700.0
2008-03-28,33.65,39.09,40.2,38.89,40.2,995100.0
2008-03-31,33.61,39.05,39.5,38.77,38.87,1005800.0
2008-04-01,35.26,40.96,41.25,39.5,40.6,1785200.0
2008-04-02,34.83,40.46,41.35,40.01,41.35,1053500.0
2008-04-03,34.86,40.5,40.66,40.0,40.47,1169100.0
2008-04-04,35.94,41.76,41.95,40.59,40.72,1235900.0
2008-04-07,36.22,42.08,43.11,41.55,42.23,2106900.0
2008-04-08,36.38,42.27,43.12,41.53,41.53,1334600.0
2008-04-09,35.93,41.74,42.35,41.26,42.29,1018900.0
2008-04-10,36.18,42.03,42.39,41.0,41.66,1188200.0
2008-04-11,34.89,40.5,41.47,40.33,41.4,988400.0
2008-04-14,35.82,41.58,42.01,40.5,40.5,1099200.0
2008-04-15,35.38,41.06,42.1,40.58,41.67,1124600.0
2008-04-16,36.88,42.81,42.94,41.22,41.55,1802700.0
2008-04-17,36.68,42.57,43.58,42.32,42.65,1105300.0
2008-04-18,37.52,43.55,43.82,42.54,42.81,1493500.0
2008-04-21,38.15,44.28,44.74,43.22,43.79,1894400.0
2008-04-22,39.05,45.32,45.78,43.8,45.0,3200200.0
2008-04-23,38.37,44.54,45.66,43.96,45.66,1309900.0
2008-04-24,37.93,44.02,44.86,42.73,44.86,1948800.0
2008-04-25,39.04,45.31,45.44,44.26,44.29,1019000.0
2008-04-28,39.13,45.42,45.69,44.54,45.69,1482900.0
