,Adj Close,Close,High,Low,Open,Volume
2008-01-02,23.15,23.15,23.8,23.03,23.03,14166600.0
2008-01-03,24.92,24.92,24.94,23.48,23.58,19207400.0
2008-01-04,24.83,24.83,25.2,24.48,24.81,15948800.0
2008-01-07,25.25,25.25,26.34,25.06,26.13,23325200.0
2008-01-08,24.81,24.81,25.74,24.8,25.45,14516000.0
2008-01-09,25.75,25.75,26.03,24.68,24.83,13203600.0
2008-01-10,26.4,26.4,26.46,25.51,26.07,14949600.0
2008-01-11,27.14,27.14,27.66,26.16,26.33,16686000.0
2008-01-14,26.99,26.99,27.5,26.64,27.48,9506200.0
2008-01-15,26.74,26.74,27.12,26.29,27.06,9708600.0
2008-01-16,27.33,27.33,27.98,26.57,26.88,15728400.0
2008-01-17,27.81,27.81,27.98,27.38,27.38,14853400.0
2008-01-18,27.38,27.38,28.0,26.68,27.69,15125600.0
2008-01-22,26.14,26.14,26.75,25.0,25.02,14373600.0
2008-01-23,26.8,26.8,26.95,25.2,25.4,13191200.0
2008-01-24,26.05,26.05,27.07,25.62,26.75,12704000.0
2008-01-25,25.74,25.74,26.3,25.26,26.1,9900000.0
2008-01-28,26.99,26.99,27.01,25.75,26.11,9086400.0
2008-01-29,27.14,27.14,27.45,26.82,27.03,7447800.0
2008-01-30,26.98,26.98,27.53,26.72,27.09,10036000.0
2008-01-31,28.06,28.06,28.16,26.69,26.81,12790200.0
2008-02-01,29.85,29.85,30.0,28.1,28.35,14783000.0
2008-02-04,28.65,28.65,30.0,28.59,29.9,13134800.0
2008-02-05,27.81,27.81,28.58,27.75,28.0,9237200.0
2008-02-06,28.69,28.69,29.34,27.5,28.35,13510200.0
2008-02-07,28.98,28.98,29.46,28.31,28.52,11684200.0
2008-02-08,29.18,29.18,29.25,28.7,28.98,6822200.0
2008-02-11,29.0,29.0,29.44,28.58,29.18,6172000.0
2008-02-12,28.42,28.42,29.35,28.32,29.35,9878400.0
2008-02-13,28.68,28.68,29.0,28.15,28.85,6906400.0
2008-02-14,28.08,28.08,28.88,27.85,28.77,7106400.0
2008-02-15,27.85,27.85,28.2,27.45,27.95,7770000.0
2008-02-19,28.05,28.05,28.72,27.92,27.93,6250200.0
2008-02-20,27.43,27.43,28.35,26.92,27.9,11115400.0
2008-02-21,27.28,27.28,27.47,27.0,27.39,9499400.0
2008-02-22,27.13,27.13,27.47,26.51,27.47,9872000.0
2008-02-25,28.25,28.25,28.43,27.44,27.55,11759000.0
2008-02-26,28.32,28.32,28.73,28.05,28.1,8654200.0
2008-02-27,28.49,28.49,28.83,28.08,28.15,9559800.0
2008-02-28,28.75,28.75,28.91,28.15,28.22,9517400.0
2008-02-29,28.2,28.2,28.62,27.88,28.48,12745200.0
2008-03-03,28.15,28.15,28.92,28.05,28.22,9178000.0
2008-03-04,28.66,28.66,28.69,27.71,28.17,15640200.0
2008-03-05,28.65,28.65,28.85,28.28,28.64,8872200.0
2008-03-06,27.47,27.47,28.75,27.4,28.75,14259800.0
2008-03-07,28.38,28.38,28.39,27.32,27.44,21006000.0
2008-03-10,27.69,27.69,28.42,27.58,28.0,10947600.0
2008-03-11,28.57,28.57,28.57,27.47,27.85,12457200.0
2008-03-12,28.28,28.28,28.68,28.12,28.48,8649600.0
2008-03-13,28.89,28.89,29.06,27.92,28.08,13510800.0
2008-03-14,28.15,28.15,28.8,27.6,28.78,12321600.0
2008-03-17,27.17,27.17,28.0,26.92,27.29,12475000.0
2008-03-18,28.87,28.87,28.92,27.55,27.72,11239200.0
2008-03-19,28.84,28.84,29.32,28.53,28.87,8932000.0
2008-03-20,28.95,28.95,29.22,28.38,28.98,19448200.0
2008-03-24,30.1,30.1,30.14,28.88,28.98,10681400.0
2008-03-25,30.67,30.67,30.86,29.94,30.26,9403000.0
2008-03-26,30.91,30.91,31.04,30.19,30.36,8998200.0
2008-03-27,30.46,30.46,31.1,30.45,31.04,7888200.0
2008-03-28,29.72,29.72,30.67,29.57,30.65,6569600.0
2008-03-31,30.65,30.65,30.68,29.82,30.52,9741200.0
2008-04-01,31.67,31.67,31.71,30.65,31.0,11916000.0
2008-04-02,32.05,32.05,32.1,31.39,31.73,7909600.0
2008-04-03,31.67,31.67,32.24,31.35,32.03,7985000.0
2008-04-04,32.15,32.15,32.41,31.65,32.17,7262600.0
2008-04-07,31.58,31.58,32.3,31.34,32.3,5700400.0
2008-04-08,31.21,31.21,31.7,30.94,31.29,5703200.0
2008-04-09,31.01,31.01,31.3,30.7,31.25,4130000.0
2008-04-10,31.94,31.94,32.27,30.9,31.0,7495400.0
2008-04-11,31.33,31.33,32.09,31.11,31.78,6334000.0
2008-04-14,31.55,31.55,31.85,31.05,31.08,4869400.0
2008-04-15,31.59,31.59,31.75,31.24,31.61,4519400.0
2008-04-16,32.39,32.39,32.49,31.73,31.92,8417200.0
2008-04-17,32.33,32.33,32.54,32.03,32.5,4691400.0
2008-04-18,32.22,32.22,32.72,32.1,32.72,8762000.0
2008-04-21,32.03,32.03,32.22,31.66,31.88,5338800.0
2008-04-22,31.5,31.5,31.99,31.42,31.84,5719800.0
2008-04-23,31.78,31.78,32.19,31.48,31.74,5392200.0
2008-04-24,31.84,31.84,32.2,31.24,31.98,6267000.0
2008-04-25,31.56,31.56,32.19,31.26,31.8,4606000.0
2008-04-28,31.98,31.98,32.46,31.6,31.72,4924200.0
2008-04-29,31.5,31.5,32.06,31.34,31.95,5729000.0
2008-04-30,31.07,31.07,31.72,31.0,31.64,7022000.0
2008-05-01,31.81,31.81,31.81,30.93,31.03,5797000.0
2008-05-02,32.18,32.18,32.33,31.9,32.06,5424000.0
2008-05-05,32.63,32.63,32.95,32.08,32.08,7823200.0
2008-05-06,32.82,32.82,32.92,32.47,32.63,5738600.0
2008-05-07,31.55,31.55,32.71,31.25,32.66,11283400.0
2008-05-08,31.24,31.24,31.89,30.8,31.65,13703000.0
2008-05-09,31.25,31.25,31.5,30.16,30.5,11247000.0
2008-05-12,30.86,30.86,31.59,30.7,31.25,9506800.0
2008-05-13,30.16,30.16,31.03,29.72,30.8,11572200.0
2008-05-14,30.5,30.5,30.84,30.16,30.3,7897600.0
2008-05-15,29.65,29.65,30.45,29.49,30.35,10135200.0
2008-05-16,30.55,30.55,30.9,29.81,30.15,12077200.0
2008-05-19,29.99,29.99,30.69,29.68,30.5,7388800.0
2008-05-20,29.5,29.5,30.12,29.08,29.75,10707000.0
2008-05-21,28.45,28.45,29.74,28.44,29.61,12768200.0
2008-05-22,29.05,29.05,29.28,28.57,28.58,10434000.0
2008-05-23,29.43,29.43,29.66,28.72,28.83,10313800.0
2008-05-27,29.61,29.61,29.84,29.39,29.45,7017200.0
2008-05-28,29.26,29.26,29.98,29.0,29.84,6194400.0
2008-05-29,30.27,30.27,30.38,29.45,29.51,8940200.0
2008-05-30,30.43,30.43,30.65,30.05,30.27,7258600.0
