,Adj Close,Close,High,Low,Open,Volume
2008-01-02,86.97,134.8,137.29,134.11,137.2,2453500.0
2008-01-03,83.92,130.07,135.11,127.67,134.81,6381000.0
2008-01-04,80.2,124.3,129.18,123.7,129.18,4844000.0
2008-01-07,79.24,122.81,125.79,119.01,125.2,5763000.0
2008-01-08,77.17,119.6,124.96,118.75,123.4,5029000.0
2008-01-09,77.47,120.07,120.75,114.86,119.4,6640000.0
2008-01-10,78.93,122.34,123.59,117.67,118.6,4844500.0
2008-01-11,79.7,123.53,124.4,119.9,121.46,4440500.0
2008-01-14,80.44,124.67,124.8,122.12,124.4,2343000.0
2008-01-15,77.0,119.35,123.99,119.28,123.35,4472500.0
2008-01-16,74.43,115.35,119.14,113.41,118.2,6415000.0
2008-01-17,70.29,108.95,116.6,108.34,115.61,5913500.0
2008-01-18,72.06,111.68,112.64,109.0,109.08,6660500.0
2008-01-22,74.97,116.2,116.74,105.54,107.01,7037000.0
2008-01-23,78.71,122.0,122.76,113.0,113.8,7050000.0
2008-01-24,81.96,127.03,128.52,121.5,121.6,6591500.0
2008-01-25,81.17,125.8,129.4,125.63,127.11,5282500.0
2008-01-28,80.65,125.0,130.55,121.74,128.82,8643000.0
2008-01-29,79.62,123.4,125.3,121.8,124.22,3349000.0
2008-01-30,77.2,119.65,123.73,118.8,122.3,4215500.0
2008-01-31,79.67,123.48,124.98,116.0,118.1,5260000.0
2008-02-01,78.72,122.01,124.31,120.4,124.0,3614000.0
2008-02-04,79.88,123.8,124.6,122.0,123.84,2448000.0
2008-02-05,75.98,117.76,124.9,117.75,124.35,6778500.0
2008-02-06,62.62,97.05,116.7,95.03,116.7,43380500.0
2008-02-07,68.13,105.6,109.49,102.0,102.4,23129500.0
2008-02-08,66.71,103.4,106.79,102.64,105.95,7506000.0
2008-02-11,67.29,104.3,106.0,101.54,103.4,4720500.0
2008-02-12,68.42,106.05,108.73,104.74,105.8,5232500.0
2008-02-13,69.04,107.0,107.65,105.16,106.7,3367000.0
2008-02-14,68.51,106.19,108.56,105.5,107.0,3474000.0
2008-02-15,68.0,105.39,106.13,103.89,106.13,3631000.0
2008-02-19,67.1,104.0,106.62,102.92,105.72,2903500.0
2008-02-20,67.29,104.3,104.3,100.26,103.0,4942500.0
2008-02-21,66.64,103.29,105.0,102.14,104.3,3181000.0
2008-02-22,67.76,105.02,105.53,102.2,103.2,3180500.0
2008-02-25,68.52,106.2,106.89,103.56,105.06,3134000.0
2008-02-26,68.3,105.86,106.99,103.25,105.4,3267500.0
2008-02-27,67.97,105.34,106.86,104.17,104.8,2625000.0
2008-02-28,66.75,103.46,104.9,103.06,104.2,3021500.0
2008-02-29,66.24,102.66,103.35,101.08,102.59,2921000.0
2008-03-03,66.72,103.41,103.79,100.99,102.33,2935000.0
2008-03-04,64.91,100.6,102.6,99.29,102.24,5229000.0
2008-03-05,66.9,103.69,103.78,100.6,100.6,4876500.0
2008-03-06,65.37,101.09,103.6,100.92,102.98,3357000.0
2008-03-07,63.55,98.28,101.8,95.27,100.46,7628000.0
2008-03-10,59.65,92.25,98.28,92.25,97.51,6856500.0
2008-03-11,65.25,100.9,100.95,94.05,94.87,6917500.0
2008-03-12,64.46,99.68,101.59,98.65,100.04,4724500.0
2008-03-13,65.55,101.37,101.95,95.55,97.74,5916500.0
2008-03-14,62.86,97.21,102.92,95.81,102.08,6864000.0
2008-03-17,58.09,89.84,94.0,79.8,93.68,19549000.0
2008-03-18,61.17,94.6,95.05,91.4,94.21,7977500.0
2008-03-19,58.18,89.98,95.28,89.03,93.71,7042000.0
2008-03-20,61.04,94.4,94.4,88.22,89.46,6606500.0
2008-03-24,63.11,97.6,99.78,94.62,94.88,5005500.0
2008-03-25,65.08,100.64,101.44,96.54,97.6,3711500.0
2008-03-26,63.23,97.79,100.26,97.51,99.6,3393000.0
2008-03-27,63.29,97.88,100.78,97.6,98.26,4237000.0
2008-03-28,61.99,95.86,99.36,95.8,97.38,3639000.0
2008-03-31,60.67,93.82,94.6,91.6,93.83,4734500.0
2008-04-01,64.66,100.0,101.0,94.69,94.97,4737500.0
2008-04-02,65.71,101.62,103.61,99.66,100.16,5351000.0
2008-04-03,66.46,102.78,103.18,99.89,101.16,2605000.0
2008-04-04,66.03,102.12,103.3,100.6,102.39,3035500.0
2008-04-07,65.83,101.8,105.4,101.76,103.41,4634500.0
2008-04-08,66.05,102.14,103.78,101.2,101.2,3564000.0
2008-04-09,64.55,99.82,103.44,99.4,102.58,3201000.0
2008-04-10,64.61,99.92,101.24,98.33,99.95,2422000.0
2008-04-11,63.23,97.78,100.44,97.78,99.08,2502500.0
2008-04-14,61.69,95.4,99.02,95.39,99.02,2713000.0
2008-04-15,62.66,96.9,97.2,95.21,95.83,2578500.0
2008-04-16,64.26,99.38,99.38,97.12,97.52,2666000.0
2008-04-17,64.46,99.68,99.76,97.46,98.89,2431500.0
2008-04-18,65.15,100.75,102.4,99.78,101.0,3739500.0
2008-04-21,67.7,104.7,104.98,100.2,100.7,3514000.0
2008-04-22,62.53,96.7,100.8,92.05,100.31,13700000.0
2008-04-23,63.06,97.52,98.8,96.1,97.0,5486000.0
2008-04-24,62.72,97.0,98.16,95.81,97.26,3114000.0
2008-04-25,62.19,96.18,97.99,95.5,97.99,3066500.0
2008-04-28,61.23,94.68,96.66,94.0,96.39,3758000.0
2008-04-29,61.43,95.0,95.84,93.34,94.01,2947000.0
2008-04-30,59.16,91.49,96.34,91.49,95.21,3882000.0
2008-05-01,62.05,95.96,96.26,91.02,92.86,4553000.0
2008-05-02,63.03,97.48,97.63,96.0,96.72,2837500.0
2008-05-05,63.29,97.87,99.9,97.01,97.08,2664000.0
2008-05-06,62.72,97.0,97.75,95.25,97.4,3650000.0
2008-05-07,60.62,93.74,97.66,93.74,97.0,3112000.0
2008-05-08,60.18,93.06,95.37,92.83,94.8,3128000.0
2008-05-09,59.7,92.33,94.86,91.66,92.86,2735000.0
2008-05-12,60.15,93.02,93.5,91.82,92.46,2044500.0
2008-05-13,59.19,91.53,93.26,90.88,93.13,3325000.0
2008-05-14,61.43,95.0,95.0,91.4,91.6,5844500.0
2008-05-15,61.33,94.85,96.54,94.15,94.61,4319500.0
2008-05-16,61.82,95.6,96.17,94.79,95.1,3200000.0
