,Adj Close,Close,High,Low,Open,Volume
2008-01-02,11.41,17.16,17.47,17.02,17.33,2054100.0
2008-01-03,11.34,17.06,17.28,17.0,17.22,2632100.0
2008-01-04,11.28,16.97,17.08,16.83,16.95,2628200.0
2008-01-07,11.37,17.1,17.16,16.85,17.03,2078300.0
2008-01-08,11.29,16.98,17.31,16.93,17.13,2584900.0
2008-01-09,11.24,16.9,17.01,16.77,16.95,3919000.0
2008-01-10,11.32,17.02,17.18,16.79,16.79,4570800.0
2008-01-11,11.24,16.91,17.04,16.79,16.86,2105000.0
2008-01-14,11.3,17.0,17.05,16.86,16.91,2426500.0
2008-01-15,11.18,16.82,17.13,16.78,16.84,4284400.0
2008-01-16,11.14,16.75,17.19,16.71,16.71,3598100.0
2008-01-17,10.69,16.08,16.85,16.05,16.85,3541100.0
2008-01-18,10.49,15.77,16.25,15.65,16.08,4407300.0
2008-01-22,10.19,15.32,15.69,15.07,15.19,3834200.0
2008-01-23,10.56,15.88,16.03,14.92,15.1,4362200.0
2008-01-24,10.27,15.44,15.93,15.38,15.91,2895100.0
2008-01-25,10.12,15.22,15.62,15.14,15.5,2351300.0
2008-01-28,10.27,15.44,15.54,15.23,15.24,4271300.0
2008-01-29,10.25,15.42,15.73,15.39,15.49,2304000.0
2008-01-30,10.25,15.42,15.78,15.32,15.33,2990000.0
2008-01-31,10.42,15.67,15.76,15.18,15.26,4006700.0
2008-02-01,10.69,16.07,16.07,15.64,15.71,2205100.0
2008-02-04,10.81,16.26,16.36,15.97,16.07,3824300.0
2008-02-05,10.45,15.71,16.09,15.65,16.01,1913700.0
2008-02-06,10.46,15.64,15.87,15.6,15.76,1849400.0
2008-02-07,10.53,15.74,15.74,15.46,15.47,2315200.0
2008-02-08,10.5,15.7,15.83,15.51,15.62,2766100.0
2008-02-11,10.51,15.72,15.82,15.56,15.63,1914200.0
2008-02-12,10.75,16.08,16.14,15.74,15.75,3236200.0
2008-02-13,10.57,15.81,16.21,15.78,16.2,2138700.0
2008-02-14,10.47,15.66,16.0,15.52,15.87,2346900.0
2008-02-15,10.5,15.7,15.71,15.45,15.64,2159400.0
2008-02-19,10.4,15.55,15.96,15.46,15.95,2785000.0
2008-02-20,10.39,15.54,15.62,15.28,15.41,2689500.0
2008-02-21,10.35,15.48,16.0,15.46,15.8,3001200.0
2008-02-22,10.33,15.44,15.59,15.24,15.44,2891300.0
2008-02-25,10.25,15.32,15.53,15.13,15.52,3000400.0
2008-02-26,10.26,15.34,15.34,15.0,15.32,2713000.0
2008-02-27,10.02,14.98,15.36,14.9,15.36,2826400.0
2008-02-28,9.98,14.93,15.04,14.66,14.93,2765400.0
2008-02-29,9.62,14.39,14.85,14.35,14.82,4229600.0
2008-03-03,9.55,14.28,14.47,14.13,14.35,3294900.0
2008-03-04,9.53,14.25,14.57,14.16,14.19,4110700.0
2008-03-05,9.38,14.03,14.35,13.92,14.25,4900600.0
2008-03-06,9.25,13.83,14.05,13.76,14.0,5341900.0
2008-03-07,9.2,13.76,13.87,13.61,13.75,2259100.0
2008-03-10,9.1,13.61,13.8,13.51,13.74,2152300.0
2008-03-11,9.28,13.88,13.93,13.6,13.89,3134500.0
2008-03-12,9.07,13.56,13.98,13.54,13.98,2282100.0
2008-03-13,9.07,13.57,13.64,13.32,13.36,3699200.0
2008-03-14,8.99,13.45,13.73,13.21,13.65,4979400.0
2008-03-17,8.93,13.35,13.44,13.13,13.25,3106900.0
2008-03-18,9.2,13.75,13.8,13.48,13.59,3433700.0
2008-03-19,9.12,13.63,14.1,13.59,13.89,5038600.0
2008-03-20,9.25,13.83,13.93,13.54,13.76,2912200.0
2008-03-24,9.2,13.75,13.93,13.59,13.9,2948400.0
2008-03-25,9.3,13.91,14.01,13.74,13.78,5014400.0
2008-03-26,9.2,13.75,13.97,13.71,13.87,2506300.0
2008-03-27,9.16,13.7,14.01,13.64,13.87,2734500.0
2008-03-28,9.0,13.46,13.82,13.38,13.82,4161000.0
2008-03-31,9.05,13.54,13.6,13.26,13.41,5056900.0
2008-04-01,9.22,13.78,13.81,13.53,13.61,3526200.0
2008-04-02,9.44,14.11,14.17,13.73,13.78,3358800.0
2008-04-03,9.48,14.17,14.31,14.05,14.05,2344900.0
2008-04-04,9.56,14.29,14.48,14.2,14.24,3877500.0
2008-04-07,9.55,14.28,14.42,14.23,14.34,1496500.0
2008-04-08,9.47,14.16,14.27,14.01,14.23,2799100.0
2008-04-09,9.47,14.16,14.38,14.0,14.1,2985800.0
2008-04-10,9.58,14.33,14.35,14.06,14.16,4400100.0
2008-04-11,9.46,14.15,14.36,14.09,14.19,2138700.0
2008-04-14,9.38,14.03,14.2,13.98,14.12,2050600.0
2008-04-15,9.45,14.13,14.14,14.0,14.11,1177600.0
2008-04-16,9.69,14.49,14.5,14.14,14.2,2438800.0
2008-04-17,9.7,14.51,14.61,14.37,14.57,1147800.0
2008-04-18,9.74,14.57,14.77,14.4,14.77,2011400.0
2008-04-21,9.62,14.38,14.5,14.25,14.46,1295500.0
2008-04-22,9.48,14.17,14.37,14.07,14.35,1971800.0
2008-04-23,9.55,14.28,14.29,14.08,14.29,1087200.0
2008-04-24,9.56,14.29,14.43,14.12,14.39,1467600.0
2008-04-25,9.63,14.4,14.44,14.24,14.33,1248500.0
2008-04-28,9.68,14.48,14.56,14.32,14.4,1380800.0
2008-04-29,9.6,14.36,14.56,14.32,14.56,1947100.0
2008-04-30,9.75,14.58,14.75,14.37,14.49,2350500.0
2008-05-01,9.91,14.82,14.89,14.54,14.62,2423400.0
2008-05-02,10.1,15.11,15.11,14.8,14.8,3055000.0
2008-05-05,9.76,14.6,14.99,14.41,14.96,4166700.0
2008-05-06,10.02,14.98,15.03,14.49,14.57,2954600.0
2008-05-07,9.86,14.66,15.09,14.62,15.01,3923200.0
2008-05-08,9.86,14.66,14.83,14.57,14.74,2830100.0
2008-05-09,10.11,15.02,15.08,14.61,14.64,3074800.0
2008-05-12,10.31,15.33,15.35,15.01,15.03,3579300.0
2008-05-13,10.25,15.23,15.34,15.17,15.33,3060600.0
2008-05-14,10.25,15.23,15.28,15.11,15.27,3312000.0
2008-05-15,10.21,15.17,15.2,15.03,15.2,2966100.0
2008-05-16,10.25,15.23,15.27,15.06,15.22,3684800.0
2008-05-19,10.41,15.48,15.52,15.21,15.26,5929100.0
2008-05-20,10.38,15.43,15.59,15.34,15.44,2401200.0
2008-05-21,10.24,15.22,15.51,15.16,15.49,2839900.0
2008-05-22,10.33,15.35,15.41,15.07,15.28,2283400.0
2008-05-23,10.14,15.07,15.4,15.06,15.4,1581200.0
2008-05-27,10.2,15.16,15.25,15.04,15.08,1246300.0
2008-05-28,10.29,15.3,15.33,15.11,15.18,1552000.0
2008-05-29,10.43,15.5,15.59,15.17,15.3,3065900.0
2008-05-30,10.49,15.59,15.6,15.35,15.59,4915900.0
2008-06-02,10.41,15.48,15.49,15.27,15.49,2403500.0
2008-06-03,10.44,15.52,15.58,15.34,15.47,4830900.0
2008-06-04,10.57,15.71,15.86,15.43,15.43,2499800.0
2008-06-05,10.65,15.83,15.89,15.59,15.8,2780900.0
2008-06-06,10.34,15.37,15.84,15.35,15.66,2903800.0
2008-06-09,10.48,15.57,15.6,15.35,15.35,1983100.0
2008-06-10,10.54,15.66,15.7,15.34,15.57,1867800.0
2008-06-11,10.48,15.58,15.74,15.31,15.31,3669000.0
2008-06-12,10.41,15.48,15.68,15.32,15.62,4094000.0
2008-06-13,10.57,15.71,15.87,15.5,15.6,3253000.0
2008-06-16,10.58,15.73,15.84,15.51,15.57,2863500.0
2008-06-17,10.6,15.76,15.89,15.71,15.71,3462100.0
2008-06-18,10.53,15.65,15.86,15.61,15.78,2249000.0
2008-06-19,10.53,15.65,15.78,15.61,15.68,4276300.0
2008-06-20,10.31,15.32,15.7,15.32,15.56,3818900.0
2008-06-23,10.32,15.34,15.53,15.24,15.42,3354400.0
2008-06-24,10.14,15.07,15.34,15.02,15.26,5571000.0
2008-06-25,10.28,15.28,15.37,15.01,15.11,4013700.0
2008-06-26,10.02,14.9,15.24,14.85,15.09,4353000.0
2008-06-27,9.81,14.58,15.04,14.54,14.89,5402800.0
2008-06-30,10.02,14.9,15.0,14.48,14.54,4391700.0
2008-07-01,10.03,14.91,15.06,14.69,14.71,4672200.0
2008-07-02,9.8,14.57,14.99,14.53,14.96,4415600.0
2008-07-03,9.59,14.26,14.71,14.21,14.58,3143800.0
2008-07-07,9.32,13.85,14.37,13.72,14.29,5550400.0
2008-07-08,9.57,14.23,14.25,13.77,13.77,4731500.0
2008-07-09,9.6,14.27,14.48,14.1,14.16,5220400.0
2008-07-10,9.57,14.23,14.47,13.95,14.25,7008600.0
2008-07-11,9.46,14.06,14.22,13.94,14.1,5214300.0
2008-07-14,9.38,13.94,14.24,13.85,14.21,2199700.0
2008-07-15,9.32,13.85,14.01,13.72,14.0,4124300.0
2008-07-16,9.26,13.77,13.98,13.65,13.79,2260400.0
2008-07-17,9.15,13.6,13.85,13.44,13.79,3141300.0
2008-07-18,9.17,13.63,13.85,13.42,13.6,3279900.0
2008-07-21,9.2,13.67,13.74,13.54,13.63,3075100.0
2008-07-22,9.24,13.74,13.78,13.58,13.67,3427800.0
2008-07-23,9.11,13.54,13.74,13.3,13.66,3266700.0
2008-07-24,9.03,13.42,13.53,13.32,13.46,2311700.0
2008-07-25,9.1,13.52,13.53,13.35,13.36,3069000.0
2008-07-28,9.02,13.41,13.6,13.32,13.45,2163300.0
2008-07-29,9.08,13.5,13.51,13.36,13.36,1597100.0
2008-07-30,9.17,13.63,13.71,13.44,13.45,2047900.0
2008-07-31,9.08,13.5,13.67,13.45,13.5,2504000.0
2008-08-01,8.89,13.22,13.58,13.19,13.56,3351800.0
2008-08-04,8.81,13.1,13.38,13.02,13.19,3790200.0
2008-08-05,9.08,13.49,14.88,13.04,13.53,5673700.0
2008-08-06,9.02,13.32,13.6,13.25,13.45,2231200.0
2008-08-07,9.01,13.3,13.46,13.16,13.36,2278500.0
2008-08-08,9.25,13.65,13.65,13.26,13.33,3081100.0
