,Adj Close,Close,High,Low,Open,Volume
2008-01-02,37.65,38.0,38.48,37.57,37.96,793800.0
2008-01-03,38.03,38.38,38.53,37.9,38.0,492400.0
2008-01-04,38.1,38.45,38.58,37.94,38.23,663500.0
2008-01-07,37.55,37.9,38.53,37.69,38.45,651000.0
2008-01-08,37.56,37.91,38.53,37.73,37.95,490500.0
2008-01-09,37.87,38.22,38.25,37.67,38.06,523900.0
2008-01-10,38.16,38.51,39.5,37.34,38.34,912900.0
2008-01-11,37.9,38.25,38.6,37.71,38.58,492100.0
2008-01-14,38.0,38.35,38.58,37.88,38.38,564200.0
2008-01-15,38.22,38.57,38.95,37.92,38.11,524900.0
2008-01-16,38.37,38.73,38.94,37.92,38.61,639300.0
2008-01-17,38.02,38.37,39.31,38.02,38.7,536100.0
2008-01-18,37.39,37.74,38.62,37.36,38.62,645400.0
2008-01-22,37.14,37.48,38.21,36.83,37.67,549600.0
2008-01-23,37.0,37.34,37.72,36.54,36.54,899900.0
2008-01-24,37.12,37.46,37.95,36.9,37.2,360800.0
2008-01-25,36.56,36.9,38.27,36.67,37.87,447600.0
2008-01-28,37.26,37.61,37.74,36.9,36.9,679200.0
2008-01-29,37.42,37.77,38.2,37.14,37.87,800500.0
2008-01-30,38.17,38.52,39.43,37.79,37.88,763900.0
2008-01-31,39.02,39.38,39.69,38.0,38.32,846700.0
2008-02-01,40.86,41.24,41.52,39.38,39.58,1326200.0
2008-02-04,39.92,40.29,41.66,40.14,41.43,535500.0
2008-02-05,40.11,40.48,40.63,39.94,40.1,748700.0
2008-02-06,39.72,40.09,40.59,39.66,40.58,505600.0
2008-02-07,38.98,39.34,39.8,39.0,39.8,668300.0
2008-02-08,39.17,39.53,39.89,39.05,39.55,378800.0
2008-02-11,39.01,39.37,39.76,39.06,39.71,270400.0
2008-02-12,39.2,39.56,39.78,39.07,39.38,285000.0
2008-02-13,36.62,36.96,39.42,35.97,39.42,1899500.0
2008-02-14,35.8,36.13,36.88,34.59,36.6,1334800.0
2008-02-15,35.36,35.69,36.13,35.09,36.09,713400.0
2008-02-19,35.62,35.95,36.26,35.65,35.8,497100.0
2008-02-20,36.2,36.54,36.68,35.56,35.9,599100.0
2008-02-21,35.24,35.57,36.83,35.44,36.8,441100.0
2008-02-22,34.47,34.79,35.52,34.21,35.52,940900.0
2008-02-25,34.9,35.22,35.48,34.68,34.94,586500.0
2008-02-26,35.56,35.89,35.98,35.04,35.21,798500.0
2008-02-27,35.32,35.65,36.16,35.48,35.76,622900.0
2008-02-28,34.76,35.08,36.01,34.89,35.38,786500.0
2008-02-29,33.88,34.19,34.88,33.98,34.88,733900.0
2008-03-03,32.99,33.3,34.32,32.93,34.16,963200.0
2008-03-04,33.28,33.59,33.96,32.96,33.06,527400.0
2008-03-05,33.42,33.73,33.84,33.46,33.51,601900.0
2008-03-06,33.45,33.76,34.06,33.31,33.66,551100.0
2008-03-07,32.89,33.2,36.29,32.84,35.1,3276200.0
2008-03-10,31.62,31.91,33.76,31.72,33.47,1495700.0
2008-03-11,32.04,32.34,32.8,31.8,32.24,818800.0
2008-03-12,31.66,31.95,32.65,31.93,32.46,506700.0
2008-03-13,31.79,32.09,32.09,31.36,31.63,676700.0
2008-03-14,30.6,30.88,32.12,30.44,32.09,803900.0
2008-03-17,29.65,29.93,30.54,29.71,30.31,713600.0
2008-03-18,31.29,31.58,31.71,30.06,30.2,526000.0
2008-03-19,31.88,32.18,32.32,31.69,31.69,828800.0
2008-03-20,32.61,32.91,33.05,31.28,32.19,839400.0
2008-03-24,33.48,33.79,34.11,33.0,33.0,576200.0
2008-03-25,33.47,33.78,34.17,33.23,33.98,686400.0
2008-03-26,33.67,33.98,34.39,33.4,33.96,565800.0
2008-03-27,33.8,34.11,34.51,33.78,34.01,402000.0
2008-03-28,33.97,34.29,34.66,33.87,34.21,650100.0
2008-03-31,34.11,34.43,34.65,33.91,34.4,872700.0
2008-04-01,35.03,35.36,35.4,34.51,34.55,598000.0
2008-04-02,35.71,36.04,36.15,35.23,35.56,996400.0
2008-04-03,36.33,36.67,36.87,35.15,35.15,811200.0
2008-04-04,37.02,37.36,37.45,36.05,36.91,854100.0
2008-04-07,36.34,36.68,37.35,35.54,37.33,1331000.0
2008-04-08,37.02,37.36,37.44,36.29,36.45,531900.0
2008-04-09,36.46,36.8,37.49,36.46,37.21,560500.0
2008-04-10,36.37,36.71,36.95,36.44,36.83,308100.0
2008-04-11,36.76,37.1,37.67,36.53,36.53,465800.0
2008-04-14,36.42,36.76,37.0,36.58,37.0,496900.0
2008-04-15,36.15,36.49,37.79,36.21,36.83,636200.0
2008-04-16,36.03,36.36,36.76,35.35,36.63,718900.0
2008-04-17,36.4,36.74,37.05,36.22,36.25,599300.0
2008-04-18,35.77,36.1,37.13,36.04,37.07,284300.0
2008-04-21,34.99,35.31,36.06,35.16,36.04,433200.0
2008-04-22,34.36,34.68,35.25,34.27,35.25,438200.0
2008-04-23,34.41,34.73,34.96,34.2,34.67,517400.0
2008-04-24,34.13,34.45,34.82,34.16,34.63,304900.0
2008-04-25,34.5,34.82,34.96,34.22,34.39,195100.0
2008-04-28,35.23,35.56,35.85,34.59,34.97,388800.0
2008-04-29,35.35,35.68,35.82,35.1,35.45,178800.0
2008-04-30,34.68,35.0,35.83,34.78,35.53,429600.0
2008-05-01,35.66,35.99,36.29,35.06,35.23,350100.0
2008-05-02,36.25,36.59,37.01,36.05,36.12,309500.0
2008-05-05,36.81,37.15,37.22,36.27,36.67,289200.0
2008-05-06,37.65,38.0,38.33,36.96,37.2,360000.0
2008-05-07,37.66,38.01,38.6,37.88,38.17,498100.0
2008-05-08,36.85,37.19,38.26,36.78,38.26,252700.0
2008-05-09,37.16,37.51,37.79,37.0,37.0,291900.0
2008-05-12,37.65,38.0,38.48,37.67,37.77,580600.0
2008-05-13,37.63,37.98,38.0,37.49,37.95,576500.0
2008-05-14,38.04,38.39,38.56,37.98,38.22,389900.0
2008-05-15,38.51,38.87,38.87,37.81,38.3,266200.0
2008-05-16,38.66,39.02,39.5,38.74,38.84,563400.0
2008-05-19,38.59,38.95,39.29,38.5,38.85,392800.0
2008-05-20,38.91,39.27,39.35,38.64,38.8,504600.0
2008-05-21,38.01,38.36,39.3,37.98,39.19,429600.0
2008-05-22,38.55,38.91,39.13,38.08,38.27,176400.0
2008-05-23,39.1,39.46,39.67,38.44,38.87,265700.0
2008-05-27,39.68,40.05,40.31,39.07,39.3,531200.0
2008-05-28,39.34,39.71,40.42,39.59,40.13,787700.0
2008-05-29,40.23,40.6,40.65,39.52,39.53,469400.0
2008-05-30,40.08,40.45,40.7,40.17,40.58,954300.0
2008-06-02,39.7,40.07,40.82,39.63,40.43,969300.0
2008-06-03,40.23,40.6,40.97,40.19,40.29,542700.0
2008-06-04,40.45,40.83,41.0,39.9,40.17,662200.0
2008-06-05,40.96,41.34,41.45,40.58,40.79,748800.0
2008-06-06,38.15,38.5,41.39,37.87,40.28,1931400.0
2008-06-09,37.92,38.27,39.19,37.69,38.68,635100.0
2008-06-10,38.37,38.73,38.73,37.82,37.82,501500.0
2008-06-11,38.22,38.55,38.99,38.35,38.6,504500.0
2008-06-12,39.14,39.47,39.5,38.54,38.7,339400.0
2008-06-13,40.13,40.47,40.47,39.42,39.59,554600.0
2008-06-16,38.85,39.18,40.04,38.98,39.98,468500.0
2008-06-17,38.61,38.94,39.36,38.75,38.96,586000.0
2008-06-18,38.54,38.87,39.09,38.55,38.9,668400.0
2008-06-19,38.43,38.76,39.08,38.38,38.8,642600.0
2008-06-20,37.8,38.12,38.95,37.55,38.7,793400.0
2008-06-23,37.53,37.85,38.44,37.66,38.28,709300.0
2008-06-24,36.66,36.97,37.76,36.73,37.71,842700.0
2008-06-25,37.26,37.58,38.04,36.77,36.77,604300.0
2008-06-26,36.08,36.39,37.25,36.39,37.12,678400.0
2008-06-27,36.51,36.82,37.25,36.52,36.69,483800.0
2008-06-30,36.84,37.15,37.37,36.44,36.91,382900.0
2008-07-01,37.49,37.81,37.82,36.56,36.92,477100.0
2008-07-02,38.04,38.36,38.54,37.87,37.87,407400.0
2008-07-03,36.99,37.3,38.52,37.12,38.45,176300.0
2008-07-07,37.23,37.55,37.95,37.04,37.56,617100.0
2008-07-08,37.19,37.51,37.79,36.88,37.52,573000.0
2008-07-09,36.68,36.99,37.43,36.71,37.36,575700.0
2008-07-10,35.4,35.7,36.92,35.31,36.92,624200.0
2008-07-11,35.7,36.0,36.28,35.17,35.28,520700.0
2008-07-14,34.7,35.0,36.34,34.78,36.17,583700.0
2008-07-15,34.08,34.37,34.95,33.89,34.73,921000.0
2008-07-16,33.81,34.1,34.66,33.93,34.58,1027100.0
2008-07-17,34.07,34.36,34.51,34.07,34.37,961400.0
2008-07-18,34.98,35.28,35.53,34.1,34.28,573200.0
2008-07-21,33.65,33.94,35.34,33.73,35.27,532500.0
2008-07-22,34.7,35.0,35.13,33.66,34.02,748700.0
2008-07-23,34.58,34.87,35.28,34.49,35.26,282500.0
2008-07-24,33.74,34.03,35.12,33.85,34.72,253400.0
2008-07-25,34.14,34.43,34.6,34.02,34.15,266300.0
2008-07-28,33.77,34.06,34.97,33.81,34.43,551100.0
2008-07-29,33.85,34.14,34.52,33.79,34.02,246000.0
2008-07-30,33.54,33.83,34.6,33.49,34.31,295300.0
2008-07-31,33.42,33.7,34.11,33.56,33.88,410600.0
2008-08-01,32.77,33.05,33.73,32.66,33.73,639600.0
2008-08-04,32.72,33.0,33.3,32.74,32.88,536800.0
2008-08-05,34.27,34.56,34.82,33.0,33.21,531300.0
2008-08-06,35.09,35.39,35.63,34.38,34.48,664900.0
2008-08-07,34.56,34.85,35.7,34.67,35.1,435200.0
2008-08-08,35.92,36.23,36.55,34.89,35.16,856600.0
2008-08-11,35.84,36.14,36.67,35.8,36.04,688400.0
2008-08-12,34.61,34.9,36.0,34.68,35.88,635800.0
2008-08-13,34.4,34.69,35.03,34.46,34.9,484300.0
2008-08-14,34.83,35.13,35.47,34.47,34.68,685400.0
