,Adj Close,Close,High,Low,Open,Volume
2008-01-02,51.74,68.14,69.66,68.11,69.63,3736000.0
2008-01-03,50.97,67.12,68.88,66.91,68.52,3501000.0
2008-01-04,49.85,65.65,66.9,65.38,66.9,4936000.0
2008-01-07,50.1,65.98,66.64,64.8,65.65,3973500.0
2008-01-08,49.33,64.97,66.87,64.91,66.01,5856600.0
2008-01-09,51.08,67.27,67.35,64.9,65.27,8802400.0
2008-01-10,53.05,69.86,70.45,66.27,66.53,10950500.0
2008-01-11,50.44,66.43,69.49,66.0,69.38,8229300.0
2008-01-14,49.14,64.71,66.98,63.62,66.98,10121500.0
2008-01-15,48.58,63.98,64.61,63.71,64.06,6862100.0
2008-01-16,48.67,64.1,65.1,63.73,64.0,9600600.0
2008-01-17,48.82,64.3,65.56,64.08,64.09,7161200.0
2008-01-18,49.0,64.53,65.83,63.65,63.72,7358100.0
2008-01-22,50.22,66.14,66.8,62.38,62.73,9818400.0
2008-01-23,52.1,68.61,69.0,64.72,65.31,10043800.0
2008-01-24,50.99,67.15,68.4,66.1,68.38,6217400.0
2008-01-25,49.71,65.46,67.98,65.4,67.29,5562900.0
2008-01-28,50.39,66.36,66.37,65.0,65.38,5407900.0
2008-01-29,50.63,66.68,66.8,65.31,66.5,5705200.0
2008-01-30,50.29,66.23,67.6,65.66,66.54,5766000.0
2008-01-31,51.59,67.94,69.58,65.32,65.63,7975200.0
2008-02-01,51.47,67.79,68.42,66.97,68.11,6057300.0
2008-02-04,50.86,66.98,68.23,66.52,67.99,4288100.0
2008-02-05,49.26,64.87,66.87,64.43,65.92,6934300.0
2008-02-06,48.38,63.71,65.59,63.69,65.26,7394000.0
2008-02-07,49.17,64.75,65.39,63.31,64.32,8453100.0
2008-02-08,48.02,63.24,65.6,62.95,64.61,7423400.0
2008-02-11,48.6,64.0,64.25,62.98,63.27,4825100.0
2008-02-12,48.91,64.41,65.54,64.01,64.43,4451900.0
2008-02-13,49.99,65.68,65.85,64.65,65.19,4922500.0
2008-02-14,48.71,64.01,65.99,63.73,65.74,4277400.0
2008-02-15,48.65,63.92,63.98,63.11,63.6,4250900.0
2008-02-19,47.82,62.83,64.75,62.48,64.67,3887200.0
2008-02-20,49.13,64.56,65.0,62.48,62.5,4911500.0
2008-02-21,49.44,64.97,66.0,64.54,64.89,6183500.0
2008-02-22,50.24,66.02,66.1,64.82,65.31,4368600.0
2008-02-25,49.95,65.63,66.5,65.27,66.02,5986000.0
2008-02-26,50.58,66.46,67.18,65.44,65.61,6913800.0
2008-02-27,49.08,64.49,65.0,62.91,64.85,10423700.0
2008-02-28,48.02,63.1,64.64,62.56,64.19,5432600.0
2008-02-29,47.12,61.92,63.25,61.64,62.83,5399100.0
2008-03-03,47.57,62.51,63.2,61.69,61.91,6205000.0
2008-03-04,47.48,62.39,62.97,61.63,62.09,6800800.0
2008-03-05,46.29,60.83,62.58,60.28,61.67,13979800.0
2008-03-06,45.69,60.04,61.42,60.0,61.36,6139700.0
2008-03-07,45.89,60.3,61.28,59.94,60.0,5712600.0
2008-03-10,45.85,60.25,61.04,59.97,60.47,4895700.0
2008-03-11,47.66,62.62,62.63,60.86,61.08,5926300.0
2008-03-12,47.64,62.6,63.73,62.39,62.62,6355100.0
2008-03-13,47.31,62.17,62.68,61.38,61.84,7257300.0
2008-03-14,46.32,60.86,62.85,60.09,62.58,6801500.0
2008-03-17,45.94,60.36,60.89,59.66,60.4,5413000.0
2008-03-18,46.93,61.67,61.75,60.01,61.22,5704600.0
2008-03-19,46.33,60.88,62.71,60.88,61.33,5412400.0
2008-03-20,48.27,63.42,63.8,60.88,60.92,5915700.0
2008-03-24,49.85,65.5,65.62,63.48,63.48,6447700.0
2008-03-25,50.68,66.59,67.12,65.2,65.89,7618000.0
2008-03-26,50.7,66.62,66.93,65.86,66.5,5810600.0
2008-03-27,49.67,65.26,67.95,65.17,67.1,5307400.0
2008-03-28,48.99,64.37,65.06,64.26,64.98,3116000.0
2008-03-31,49.44,64.97,65.39,63.74,64.92,4127800.0
2008-04-01,50.6,66.49,66.87,65.11,65.18,5742800.0
2008-04-02,50.42,66.25,66.93,65.74,65.94,3978400.0
2008-04-03,50.89,66.87,67.05,66.02,66.13,3128500.0
2008-04-04,50.57,66.45,66.97,66.2,66.44,3712800.0
2008-04-07,50.46,66.3,67.14,65.92,66.5,2927000.0
2008-04-08,50.94,66.93,67.13,65.97,65.97,3068300.0
2008-04-09,50.25,66.03,67.4,65.4,67.02,2997900.0
2008-04-10,50.62,66.52,67.28,65.93,66.17,4891500.0
2008-04-11,50.0,65.7,66.5,65.51,66.47,4058500.0
2008-04-14,49.71,65.32,65.99,65.09,65.85,2593600.0
2008-04-15,50.02,65.72,65.87,64.97,65.36,2661400.0
2008-04-16,51.17,67.24,67.42,65.52,65.85,4909600.0
2008-04-17,52.12,68.49,68.59,67.14,67.43,4911100.0
2008-04-18,52.84,69.43,69.88,68.95,69.2,4981000.0
2008-04-21,52.6,69.11,69.37,68.25,69.03,2802100.0
2008-04-22,51.81,68.08,69.2,67.36,68.65,3396500.0
2008-04-23,52.97,69.6,69.83,67.77,68.22,4142900.0
2008-04-24,53.44,70.22,70.84,68.91,69.25,5546800.0
2008-04-25,54.44,71.54,71.69,70.0,70.38,4626700.0
2008-04-28,53.9,70.83,71.67,70.69,71.21,3575400.0
2008-04-29,54.03,71.0,71.41,70.27,70.66,3183100.0
2008-04-30,54.22,71.25,72.24,70.41,70.99,5117300.0
2008-05-01,54.79,72.0,72.93,70.25,70.78,4656400.0
2008-05-02,54.9,72.14,72.8,70.98,72.5,4448700.0
2008-05-05,55.12,72.43,72.9,71.86,72.27,3415700.0
2008-05-06,55.29,72.65,72.96,71.5,71.9,3538500.0
2008-05-07,54.86,72.08,74.08,71.92,72.83,3670800.0
2008-05-08,54.19,71.2,72.4,70.9,72.4,4701100.0
2008-05-09,54.37,71.44,71.96,70.5,70.65,2782500.0
2008-05-12,56.07,73.68,73.91,71.53,71.69,3528800.0
2008-05-13,56.3,73.98,74.08,72.82,73.99,3768000.0
2008-05-14,56.61,74.22,75.23,73.98,74.47,4171000.0
2008-05-15,56.78,74.45,74.47,73.56,74.15,3612500.0
2008-05-16,55.88,73.27,74.36,72.2,74.36,5690300.0
2008-05-19,55.0,72.11,73.75,71.87,73.41,3963400.0
2008-05-20,54.45,71.39,72.1,71.0,71.93,3740500.0
2008-05-21,52.92,69.39,71.96,68.9,71.89,6635200.0
2008-05-22,53.97,70.76,71.01,69.3,69.43,6521100.0
2008-05-23,54.39,71.32,71.65,69.54,70.52,6182100.0
2008-05-27,55.36,72.59,73.24,71.36,71.53,6240100.0
2008-05-28,55.86,73.24,74.41,72.72,73.06,6563400.0
2008-05-29,55.66,72.98,74.75,70.67,73.83,8817500.0
2008-05-30,54.39,71.32,72.97,70.98,72.5,5908600.0
2008-06-02,53.64,70.33,71.46,69.83,71.45,7114900.0
2008-06-03,53.42,70.04,71.07,69.66,70.44,5971100.0
2008-06-04,54.01,70.81,71.03,69.27,69.71,4615800.0
2008-06-05,56.06,73.5,73.57,71.48,71.53,6103400.0
2008-06-06,54.3,71.19,72.95,71.0,72.95,6308400.0
2008-06-09,54.4,71.33,72.47,70.91,71.22,5510500.0
2008-06-10,53.74,70.46,71.02,69.78,70.88,6616800.0
2008-06-11,52.53,68.87,70.48,68.75,70.22,5864900.0
2008-06-12,52.02,68.2,69.92,67.14,69.36,8404100.0
2008-06-13,53.63,70.32,70.34,68.5,68.6,6884900.0
2008-06-16,53.71,70.42,71.08,69.39,69.84,3972700.0
2008-06-17,53.33,69.93,70.84,69.69,70.61,3639300.0
2008-06-18,52.6,68.96,69.78,68.65,69.56,5099700.0
2008-06-19,53.57,70.24,70.7,68.71,68.71,4711700.0
2008-06-20,52.42,68.73,70.11,68.18,69.99,5460000.0
2008-06-23,52.2,68.44,69.79,68.19,69.07,5222800.0
2008-06-24,52.82,69.26,70.12,67.85,68.02,5187400.0
2008-06-25,54.07,70.89,71.93,69.4,69.4,7661200.0
2008-06-26,52.65,69.03,70.13,68.94,69.66,6761200.0
2008-06-27,53.59,70.26,70.9,69.19,69.66,9101900.0
2008-06-30,53.49,70.14,71.99,69.87,70.0,7608100.0
2008-07-01,55.33,72.55,72.74,69.21,69.42,8572400.0
2008-07-02,55.01,72.13,73.94,72.04,72.65,5225700.0
2008-07-03,55.09,72.23,73.09,71.62,72.61,2633400.0
2008-07-07,55.58,72.87,73.5,71.83,72.82,5202900.0
2008-07-08,56.94,74.66,74.89,72.74,72.74,5979900.0
2008-07-09,55.03,72.15,74.72,72.13,74.71,5511400.0
2008-07-10,54.04,70.86,72.04,70.02,71.64,7238200.0
2008-07-11,53.26,69.83,70.7,68.79,70.12,5146700.0
2008-07-14,53.06,69.57,70.68,69.02,70.67,5260100.0
2008-07-15,53.06,69.57,70.31,67.71,69.14,7814400.0
2008-07-16,55.36,72.58,72.93,68.93,70.01,7751400.0
2008-07-17,56.54,74.13,74.26,71.25,73.0,6776500.0
2008-07-18,55.09,72.23,74.15,71.96,74.12,7249400.0
2008-07-21,53.13,69.66,73.09,69.47,72.14,6269800.0
2008-07-22,54.91,72.0,72.05,69.51,69.86,7971800.0
2008-07-23,48.38,63.43,66.66,62.31,63.09,40327700.0
2008-07-24,48.03,62.98,64.1,62.67,63.1,11113400.0
2008-07-25,47.1,61.76,63.35,61.45,63.31,8608900.0
2008-07-28,46.03,60.35,61.95,60.24,61.6,8306800.0
2008-07-29,47.12,61.78,62.16,60.32,60.35,9240600.0
2008-07-30,48.05,63.0,63.4,61.71,61.81,12036000.0
2008-07-31,47.81,62.68,63.75,62.11,62.33,6712500.0
2008-08-01,47.44,62.2,63.27,61.77,63.11,5735500.0
2008-08-04,47.68,62.52,63.05,61.59,62.18,4223300.0
2008-08-05,49.29,64.63,65.0,63.16,63.17,6882800.0
2008-08-06,50.25,65.72,65.9,64.08,64.22,7900300.0
2008-08-07,50.32,65.82,66.61,65.02,65.16,8414300.0
2008-08-08,51.22,66.99,67.27,66.06,66.11,7178500.0
2008-08-11,51.3,67.1,68.97,66.37,66.95,6363500.0
2008-08-12,51.82,67.78,68.2,66.52,66.79,5146400.0
2008-08-13,51.19,66.95,67.5,66.03,67.31,5372200.0
2008-08-14,51.33,67.14,67.98,66.26,66.41,4225700.0
2008-08-15,51.99,68.0,68.34,67.29,67.47,4690500.0
2008-08-18,51.54,67.41,68.49,67.06,68.1,4119600.0
2008-08-19,50.81,66.46,67.65,65.76,67.4,4898400.0
2008-08-20,50.42,65.94,66.73,65.36,66.3,3761100.0
2008-08-21,50.65,66.25,66.39,65.24,65.5,2984300.0
2008-08-22,51.56,67.43,67.75,66.54,66.56,3510300.0
2008-08-25,50.81,66.45,67.49,66.28,67.45,3202200.0
2008-08-26,50.86,66.52,66.73,65.6,66.42,2622000.0
2008-08-27,51.01,66.71,67.17,65.87,66.35,2851000.0
2008-08-28,51.85,67.81,67.93,66.84,66.86,3031500.0
2008-08-29,51.27,67.06,67.65,66.95,67.14,2831800.0
2008-09-02,52.19,68.26,69.44,68.03,68.15,5241800.0
2008-09-03,52.24,68.33,68.5,66.52,67.0,5869300.0
2008-09-04,51.5,67.36,68.98,67.36,67.9,6158900.0
2008-09-05,52.33,68.44,68.63,66.41,67.09,5903500.0
2008-09-08,52.7,68.93,70.9,68.78,69.44,8855500.0
2008-09-09,52.47,68.63,69.78,68.49,69.24,6780000.0
2008-09-10,53.08,69.43,70.26,68.6,68.82,6010400.0
2008-09-11,53.8,70.37,70.42,68.42,68.92,6455300.0
2008-09-12,53.18,69.55,70.14,68.81,70.14,5410800.0
2008-09-15,52.72,68.95,70.0,68.17,68.66,6569400.0
2008-09-16,52.66,68.88,69.86,67.85,67.9,10797500.0
2008-09-17,49.98,65.37,68.3,65.34,67.95,11423300.0
2008-09-18,52.17,68.23,70.16,64.65,65.75,11588600.0
2008-09-19,50.53,66.09,71.0,66.09,71.0,103300.0
2008-09-22,49.18,64.32,66.57,64.25,66.55,6314600.0
2008-09-23,49.06,64.16,65.48,64.02,64.62,4405100.0
2008-09-24,49.54,64.79,65.23,63.36,64.08,3521300.0
2008-09-25,50.45,65.98,66.67,64.76,64.89,5293400.0
2008-09-26,50.68,66.29,66.32,64.52,64.52,4508100.0
2008-09-29,48.32,63.2,66.5,62.0,65.95,7243100.0
2008-09-30,49.64,64.93,65.37,63.0,63.66,5082700.0
2008-10-01,49.46,64.69,65.0,63.64,64.0,3860200.0
2008-10-02,47.34,61.92,64.44,61.33,64.31,6284800.0
2008-10-03,47.86,62.6,65.12,62.29,63.69,7767800.0
2008-10-06,46.23,60.47,62.0,57.11,60.72,9508900.0
2008-10-07,44.19,57.8,61.42,57.05,60.45,9819200.0
2008-10-08,43.63,57.06,58.8,53.35,54.0,13645400.0
2008-10-09,41.59,54.4,58.01,52.7,57.41,7837500.0
2008-10-10,41.21,53.9,55.99,51.0,53.13,12410400.0
2008-10-13,45.51,59.52,59.69,55.75,56.1,8433700.0
2008-10-14,44.66,58.41,61.52,57.11,61.09,7996300.0
2008-10-15,40.99,53.61,57.9,53.0,57.23,7662600.0
2008-10-16,44.19,57.79,58.14,52.45,54.03,10619000.0
2008-10-17,44.33,57.98,59.94,52.77,56.76,8423400.0
2008-10-20,44.41,58.08,59.31,56.0,59.31,6356700.0
2008-10-21,42.71,55.86,58.59,55.57,57.04,7081300.0
2008-10-22,40.94,53.55,55.18,52.09,54.83,6863600.0
2008-10-23,39.92,52.21,53.68,49.68,53.42,8923400.0
2008-10-24,38.94,50.93,52.06,48.66,48.81,5103600.0
2008-10-27,39.68,51.9,53.48,49.59,50.03,7446200.0
2008-10-28,43.95,57.48,57.86,52.29,53.95,9123600.0
2008-10-29,43.49,56.88,59.48,54.84,57.08,8166000.0
2008-10-30,43.56,56.97,58.52,55.89,57.99,6783600.0
2008-10-31,43.59,57.01,58.43,56.04,57.0,6046800.0
2008-11-03,40.88,53.47,56.83,52.78,56.53,8809200.0
2008-11-04,42.12,55.09,55.99,53.33,54.34,8033800.0
2008-11-05,41.07,53.71,55.54,53.57,54.87,5565000.0
2008-11-06,40.91,53.51,54.89,52.9,53.0,9811700.0
2008-11-07,41.34,54.07,54.41,52.89,53.87,4063400.0
2008-11-10,40.52,53.0,55.15,52.29,54.63,5286500.0
2008-11-11,39.97,52.28,53.27,50.88,52.25,5035500.0
2008-11-12,37.41,48.78,51.17,48.57,51.0,7948300.0
2008-11-13,38.32,49.97,49.98,45.29,48.64,11219800.0
2008-11-14,36.86,48.06,50.68,47.59,48.98,7232700.0
2008-11-17,36.28,47.31,48.99,47.25,47.34,5252400.0
2008-11-18,35.86,46.76,47.76,45.08,47.32,7754200.0
2008-11-19,34.72,45.27,47.64,45.13,46.72,6165600.0
2008-11-20,34.5,44.99,48.25,44.85,45.0,9610700.0
2008-11-21,35.82,46.71,46.91,43.88,45.22,10862700.0
2008-11-24,37.92,49.45,49.97,46.45,46.87,8242600.0
2008-11-25,38.86,50.67,51.68,49.46,50.17,7454600.0
2008-11-26,39.46,51.45,51.67,49.6,49.65,4421900.0
2008-11-28,39.47,51.47,51.68,50.66,51.35,1533300.0
2008-12-01,36.74,47.91,50.76,47.88,50.73,5559800.0
2008-12-02,38.42,50.1,50.2,47.76,48.5,6138500.0
2008-12-03,39.44,51.42,52.22,48.73,49.0,7885400.0
2008-12-04,40.46,52.75,53.35,50.51,50.97,9864600.0
2008-12-05,42.63,55.58,55.89,51.86,52.17,8656700.0
2008-12-08,42.33,55.19,56.27,54.46,55.39,7387300.0
2008-12-09,40.72,53.1,55.16,52.46,55.06,7886900.0
2008-12-10,41.18,53.69,53.97,51.89,52.86,7260800.0
2008-12-11,39.93,52.06,53.47,50.7,52.25,10660400.0
2008-12-12,40.95,53.4,54.09,51.36,51.36,6796200.0
2008-12-15,40.45,52.74,53.4,51.54,53.29,4868700.0
2008-12-16,40.67,53.03,53.44,52.32,53.0,8211700.0
2008-12-17,41.37,53.94,54.46,52.69,52.69,6888800.0
2008-12-18,41.53,54.15,54.74,53.6,54.37,5053200.0
2008-12-19,41.25,53.79,55.0,53.38,54.59,6452400.0
2008-12-22,40.43,52.72,54.35,51.75,54.29,4977100.0
2008-12-23,39.47,51.47,53.33,51.25,52.37,3533700.0
2008-12-24,39.64,51.69,52.06,51.57,51.92,1123400.0
2008-12-26,39.47,51.47,52.0,51.29,51.49,1218200.0
2008-12-29,38.98,50.83,51.82,50.58,51.35,2413900.0
2008-12-30,39.21,51.13,51.5,50.4,50.83,2355800.0
2008-12-31,40.26,52.5,52.83,51.13,51.2,4939600.0
2009-01-02,40.92,53.35,53.5,52.05,52.44,3687200.0
2009-01-05,40.1,52.29,53.62,51.8,53.18,5890900.0
2009-01-06,39.46,51.45,52.58,51.08,52.52,6472900.0
2009-01-07,38.44,50.12,51.35,49.69,51.0,6870000.0
2009-01-08,38.84,50.65,51.9,49.38,49.55,7287100.0
2009-01-09,37.69,49.14,50.98,48.91,50.24,4577100.0
2009-01-12,37.91,49.43,50.13,48.92,49.59,4812900.0
2009-01-13,37.53,48.94,50.36,48.55,49.06,6310400.0
2009-01-14,36.53,47.63,48.58,47.44,48.35,7906800.0
2009-01-15,37.17,48.47,48.94,47.25,47.52,6015900.0
2009-01-16,37.43,48.8,49.31,47.86,49.31,6413000.0
2009-01-20,36.21,47.22,49.21,47.15,49.17,7370300.0
2009-01-21,36.74,47.9,48.04,46.58,47.26,6242200.0
2009-01-22,36.39,47.45,47.88,46.67,47.55,6144900.0
2009-01-23,36.02,46.97,47.51,46.21,46.9,4906200.0
2009-01-26,36.31,47.35,48.03,46.94,47.48,4091900.0
2009-01-27,36.74,47.9,48.08,47.08,47.39,4085300.0
2009-01-28,36.67,47.81,48.52,47.39,48.07,5163300.0
2009-01-29,35.62,46.45,48.0,46.34,47.99,4706600.0
2009-01-30,34.53,45.03,46.66,44.79,46.55,6682800.0
2009-02-02,34.74,45.3,45.67,44.53,44.78,4782600.0
2009-02-03,35.37,46.12,46.18,44.87,45.47,5326400.0
2009-02-04,32.96,42.98,43.5,41.83,42.74,20971900.0
2009-02-05,33.61,43.83,43.96,42.41,42.85,9886100.0
2009-02-06,34.67,45.21,45.48,44.0,44.1,8261300.0
2009-02-09,34.64,45.17,45.41,44.57,44.78,5332500.0
2009-02-10,33.72,43.97,45.6,43.78,44.8,6590400.0
2009-02-11,33.51,43.54,44.46,43.08,44.17,4778800.0
2009-02-12,34.11,44.32,44.39,42.89,43.5,6573000.0
2009-02-13,32.91,42.76,44.29,42.62,44.28,4873100.0
2009-02-17,32.42,42.12,42.74,41.9,42.15,6194100.0
2009-02-18,32.62,42.38,42.63,41.72,42.2,6191500.0
2009-02-19,32.81,42.62,43.47,42.59,42.74,5451200.0
2009-02-20,32.91,42.76,43.29,42.1,42.53,6996200.0
2009-02-23,31.69,41.17,43.23,41.04,42.8,6430200.0
2009-02-24,32.75,42.55,42.78,41.05,41.12,6083600.0
2009-02-25,32.33,42.0,42.79,41.32,42.22,6932700.0
2009-02-26,31.98,41.55,42.44,41.55,42.35,4907600.0
2009-02-27,32.59,42.34,43.03,41.25,41.29,7385700.0
2009-03-02,31.44,40.84,42.86,40.72,41.71,7625200.0
2009-03-03,31.32,40.69,41.86,40.25,41.31,8133400.0
2009-03-04,31.41,40.81,41.9,40.15,41.11,14476000.0
2009-03-05,30.45,39.56,40.95,39.26,40.54,8932600.0
2009-03-06,30.0,38.98,39.74,38.17,39.58,7087200.0
2009-03-09,29.59,38.44,39.47,38.18,38.44,6474500.0
2009-03-10,30.9,40.14,40.19,38.65,39.03,8581000.0
2009-03-11,30.45,39.56,40.43,39.34,40.12,6356500.0
2009-03-12,31.45,40.86,40.99,39.33,39.96,6020300.0
2009-03-13,32.48,42.2,42.4,40.5,40.99,6387500.0
2009-03-16,32.42,42.12,43.02,42.0,42.13,4879100.0
2009-03-17,33.85,43.98,44.02,42.81,43.09,6168300.0
2009-03-18,34.22,44.46,45.04,43.08,43.9,7082400.0
2009-03-19,34.73,45.12,45.27,44.25,44.6,6798600.0
2009-03-20,34.51,44.83,45.64,44.0,45.57,7206600.0
2009-03-23,36.59,47.54,47.54,45.25,45.48,6274500.0
2009-03-24,35.68,46.36,48.0,46.26,47.42,5045800.0
2009-03-25,36.03,46.81,47.76,45.57,46.51,6118800.0
2009-03-26,37.3,48.46,49.35,47.06,47.37,6826500.0
2009-03-27,36.49,47.4,48.15,47.06,47.68,4866300.0
2009-03-30,35.6,46.25,46.9,45.65,46.56,4478700.0
2009-03-31,35.65,46.32,46.87,45.19,46.48,5363500.0
2009-04-01,35.68,46.35,46.5,45.02,45.67,4637300.0
2009-04-02,37.0,48.07,48.6,46.5,46.82,5122400.0
2009-04-03,37.65,48.91,48.97,47.85,47.86,4225700.0
2009-04-06,36.75,47.74,48.86,47.28,48.16,4338300.0
2009-04-07,35.71,46.39,47.21,46.31,47.03,4584100.0
2009-04-08,36.72,47.7,48.39,46.63,46.66,5340700.0
2009-04-09,36.1,46.9,47.42,45.54,45.85,10597600.0
