,Adj Close,Close,High,Low,Open,Volume
2008-01-02,10.33,10.33,10.73,10.28,10.61,3175200.0
2008-01-03,10.46,10.46,10.47,10.27,10.41,2656800.0
2008-01-04,10.16,10.16,10.41,10.13,10.31,2010800.0
2008-01-07,10.57,10.57,10.59,10.07,10.17,3805200.0
2008-01-08,10.34,10.34,10.67,10.34,10.58,3372800.0
2008-01-09,10.52,10.52,10.54,10.19,10.32,2653600.0
2008-01-10,10.63,10.63,10.67,10.25,10.47,1935200.0
2008-01-11,10.35,10.35,10.55,10.35,10.52,2168400.0
2008-01-14,10.32,10.32,10.44,10.17,10.44,2328800.0
2008-01-15,10.02,10.02,10.25,9.79,10.14,2805200.0
2008-01-16,10.06,10.06,10.19,9.82,9.96,1682400.0
2008-01-17,9.83,9.83,10.17,9.81,10.08,2125200.0
2008-01-18,9.85,9.85,9.92,9.65,9.85,3253600.0
2008-01-22,9.62,9.62,9.79,9.47,9.79,4741200.0
2008-01-23,9.74,9.74,9.77,9.44,9.54,4772400.0
2008-01-24,9.77,9.77,9.81,9.63,9.76,2970400.0
2008-01-25,9.89,9.89,9.95,9.76,9.94,2578400.0
2008-01-28,10.23,10.23,10.23,9.75,9.88,2690000.0
2008-01-29,10.14,10.14,10.25,10.02,10.25,1560800.0
2008-01-30,10.09,10.09,10.31,10.06,10.1,1116000.0
2008-01-31,10.22,10.22,10.32,9.95,10.0,3203600.0
2008-02-01,10.25,10.25,10.37,10.12,10.26,2101200.0
2008-02-04,10.17,10.17,10.35,10.0,10.27,1808800.0
2008-02-05,9.84,9.84,10.09,9.83,10.01,1694400.0
2008-02-06,9.59,9.59,9.9,9.57,9.87,2342800.0
2008-02-07,9.75,9.75,9.81,9.52,9.52,1697200.0
2008-02-08,9.65,9.65,9.86,9.57,9.75,2373200.0
2008-02-11,9.62,9.62,9.78,9.51,9.64,2111600.0
2008-02-12,9.84,9.84,9.93,9.64,9.69,1661600.0
2008-02-13,10.07,10.07,10.09,9.94,9.94,1986400.0
2008-02-14,9.89,9.89,10.14,9.83,10.11,1697600.0
2008-02-15,9.74,9.74,9.83,9.66,9.83,1560400.0
2008-02-19,9.59,9.59,9.97,9.55,9.7,2043600.0
2008-02-20,9.81,9.81,9.84,9.52,9.52,1830400.0
2008-02-21,9.67,9.67,10.02,9.61,9.89,1159600.0
2008-02-22,9.72,9.72,9.73,9.54,9.72,1158000.0
2008-02-25,9.89,9.89,9.9,9.62,9.73,1452800.0
2008-02-26,9.99,9.99,10.11,9.87,9.87,1755600.0
2008-02-27,10.36,10.36,10.39,9.89,9.89,3170000.0
2008-02-28,10.64,10.64,10.69,10.12,10.34,3818400.0
2008-02-29,10.41,10.41,10.57,10.23,10.51,3570800.0
2008-03-03,10.57,10.57,10.71,10.27,10.44,3076400.0
2008-03-04,10.43,10.43,10.55,10.18,10.48,2831600.0
2008-03-05,10.46,10.46,10.59,10.2,10.48,1821600.0
2008-03-06,9.86,9.86,10.45,9.81,10.45,4057200.0
2008-03-07,8.85,8.85,9.22,8.45,8.53,18446800.0
2008-03-10,9.29,9.29,9.34,9.03,9.09,11050400.0
2008-03-11,9.38,9.38,9.42,9.23,9.3,7026400.0
2008-03-12,9.33,9.33,9.38,9.17,9.38,5490000.0
2008-03-13,9.53,9.53,9.58,9.25,9.3,4860800.0
2008-03-14,9.55,9.55,9.9,9.44,9.6,5181600.0
2008-03-17,9.53,9.53,9.65,9.25,9.25,5496800.0
2008-03-18,9.5,9.5,9.73,9.35,9.67,6284000.0
2008-03-19,9.47,9.47,9.65,9.37,9.44,5649200.0
2008-03-20,9.78,9.78,9.78,9.47,9.53,3624000.0
2008-03-24,9.88,9.88,9.98,9.77,9.83,2654800.0
2008-03-25,9.88,9.88,9.99,9.73,9.89,2418400.0
2008-03-26,9.73,9.73,9.88,9.68,9.88,2258400.0
2008-03-27,9.62,9.62,9.95,9.6,9.77,2656400.0
2008-03-28,9.55,9.55,9.81,9.51,9.67,3106800.0
2008-03-31,9.69,9.69,9.73,9.46,9.6,3194000.0
2008-04-01,9.89,9.89,9.94,9.64,9.75,1811200.0
2008-04-02,9.91,9.91,10.02,9.76,9.88,2037600.0
2008-04-03,10.01,10.01,10.02,9.72,9.88,2221600.0
2008-04-04,10.33,10.33,10.35,10.0,10.03,2854000.0
2008-04-07,10.19,10.19,10.37,10.13,10.37,2146000.0
2008-04-08,10.17,10.17,10.22,10.06,10.19,1824800.0
2008-04-09,10.0,10.0,10.19,9.97,10.16,1494000.0
2008-04-10,10.02,10.02,10.11,10.0,10.08,2255600.0
2008-04-11,9.97,9.97,10.04,9.88,9.99,1957600.0
2008-04-14,9.94,9.94,9.99,9.91,9.99,1768800.0
2008-04-15,9.89,9.89,9.94,9.8,9.94,2024800.0
2008-04-16,10.1,10.1,10.14,9.89,9.93,1210000.0
2008-04-17,10.04,10.04,10.09,9.94,10.09,872400.0
2008-04-18,10.14,10.14,10.3,10.05,10.15,1228000.0
2008-04-21,10.18,10.18,10.18,10.03,10.12,941200.0
2008-04-22,10.13,10.13,10.16,10.0,10.16,1534800.0
2008-04-23,10.11,10.11,10.15,9.96,10.14,984800.0
2008-04-24,10.21,10.21,10.32,10.0,10.14,1192400.0
2008-04-25,10.28,10.28,10.35,10.12,10.23,1051200.0
2008-04-28,10.36,10.36,10.45,10.25,10.32,1557200.0
