,Adj Close,Close,High,Low,Open,Volume
2008-01-02,26.74,32.35,33.62,32.26,33.49,1448400.0
2008-01-03,27.25,32.97,33.15,32.51,32.61,1334800.0
2008-01-04,26.13,31.61,32.74,31.61,32.65,1423100.0
2008-01-07,26.84,32.47,32.87,31.62,31.62,1486500.0
2008-01-08,25.7,31.1,32.59,31.1,32.54,1557400.0
2008-01-09,26.65,32.24,32.27,31.1,31.11,1744500.0
2008-01-10,26.39,31.93,32.24,31.44,31.9,1772800.0
2008-01-11,26.04,31.5,31.97,31.41,31.6,1314300.0
2008-01-14,26.41,31.95,32.0,31.57,31.82,1065800.0
2008-01-15,25.97,31.42,31.77,31.2,31.43,1304500.0
2008-01-16,26.85,32.49,33.15,31.7,31.99,1675500.0
2008-01-17,25.97,31.42,32.52,31.3,32.37,1588600.0
2008-01-18,26.14,31.63,32.55,30.39,31.26,2375300.0
2008-01-22,25.54,30.9,31.57,30.4,30.4,2052500.0
2008-01-23,26.85,32.49,32.53,30.19,30.19,1977900.0
2008-01-24,26.01,31.47,32.49,30.86,31.6,2378900.0
2008-01-25,25.58,30.95,31.85,30.77,31.85,1507700.0
2008-01-28,26.3,31.82,31.87,30.87,31.07,1508900.0
2008-01-29,26.36,31.89,32.0,31.09,31.92,1251500.0
2008-01-30,26.46,32.01,32.48,31.64,31.7,1472400.0
2008-01-31,27.13,32.82,33.07,31.61,31.71,1937300.0
2008-02-01,27.56,33.35,33.89,32.95,33.05,1330300.0
2008-02-04,26.88,32.07,33.12,31.85,33.12,1077900.0
2008-02-05,26.07,31.11,31.81,31.04,31.51,1227200.0
2008-02-06,25.98,31.0,31.71,30.96,31.48,1350800.0
2008-02-07,25.64,30.59,31.21,30.27,30.96,2700000.0
2008-02-08,25.5,30.43,30.8,30.03,30.51,1607100.0
2008-02-11,25.31,30.2,30.54,30.02,30.54,1292200.0
2008-02-12,25.29,30.18,30.49,29.95,30.44,2406600.0
2008-02-13,26.05,31.08,31.11,30.41,30.5,1331200.0
2008-02-14,25.14,30.0,31.0,29.93,30.97,1227300.0
2008-02-15,24.96,29.78,30.03,29.64,29.85,1478100.0
2008-02-19,24.7,29.47,30.46,29.16,30.27,1348400.0
2008-02-20,25.14,30.0,30.08,29.27,29.31,1242800.0
2008-02-21,24.5,29.23,30.16,29.19,29.75,1098800.0
2008-02-22,24.97,29.8,29.83,29.12,29.41,1040300.0
2008-02-25,25.17,30.03,30.08,29.38,29.77,1290100.0
2008-02-26,25.53,30.46,30.9,29.89,29.89,1210800.0
2008-02-27,25.08,29.92,30.47,29.83,30.31,1253900.0
2008-02-28,25.17,30.03,30.2,29.62,29.68,1359600.0
2008-02-29,24.12,28.78,29.84,28.7,29.57,1930600.0
2008-03-03,24.3,28.99,29.5,28.75,28.79,1504600.0
2008-03-04,24.51,29.25,29.29,28.74,28.86,1351700.0
2008-03-05,24.57,29.32,29.69,29.04,29.45,1148700.0
2008-03-06,23.94,28.56,29.4,28.56,28.69,1471200.0
2008-03-07,23.68,28.25,28.82,27.92,28.18,1603900.0
2008-03-10,23.25,27.74,28.36,27.73,28.18,1297200.0
2008-03-11,24.25,28.94,28.94,27.8,28.29,1426500.0
2008-03-12,24.14,28.81,29.33,28.76,29.1,1867100.0
2008-03-13,24.26,28.95,29.1,28.24,28.36,1702200.0
2008-03-14,23.55,28.1,29.19,27.89,28.18,2157200.0
2008-03-17,23.46,27.99,28.45,27.41,27.41,1480700.0
2008-03-18,23.91,28.53,28.59,27.82,28.3,1928000.0
2008-03-19,24.08,28.73,29.7,28.64,29.15,2039600.0
2008-03-20,24.16,28.83,29.15,28.47,28.94,3417000.0
2008-03-24,24.5,29.23,29.29,28.78,28.78,1988500.0
2008-03-25,24.47,29.2,29.29,28.82,29.29,1404300.0
2008-03-26,24.15,28.82,29.19,28.54,29.0,938300.0
2008-03-27,23.68,28.25,29.47,28.23,29.47,1101000.0
2008-03-28,23.34,27.85,28.59,27.79,28.51,804800.0
2008-03-31,23.92,28.54,28.85,27.63,28.0,1388100.0
2008-04-01,24.83,29.63,29.81,28.62,28.98,1760700.0
2008-04-02,25.13,29.99,30.34,29.56,29.7,1351400.0
2008-04-03,25.04,29.88,30.29,29.6,29.96,1233100.0
2008-04-04,25.13,29.98,30.19,29.74,29.92,1163900.0
2008-04-07,24.97,29.8,30.22,29.33,29.33,884000.0
2008-04-08,24.81,29.6,29.82,29.42,29.63,810500.0
2008-04-09,24.4,29.12,30.14,29.03,29.54,886300.0
2008-04-10,24.51,29.24,29.83,29.0,29.83,764600.0
2008-04-11,23.4,27.92,28.11,27.34,27.5,2442400.0
2008-04-14,23.58,28.14,28.44,27.8,27.8,1185500.0
2008-04-15,23.69,28.27,28.37,27.96,28.19,894300.0
2008-04-16,24.2,28.87,28.98,28.16,28.49,1223800.0
2008-04-17,24.2,28.87,29.04,28.55,28.93,831100.0
2008-04-18,24.8,29.59,29.87,29.25,29.39,1153300.0
2008-04-21,24.38,29.09,29.5,28.83,29.5,945600.0
2008-04-22,24.2,28.87,29.04,28.56,28.87,859700.0
2008-04-23,24.35,29.05,29.19,28.67,29.07,794800.0
2008-04-24,24.63,29.39,29.55,28.56,29.02,975400.0
2008-04-25,24.85,29.65,29.84,28.76,29.35,871700.0
2008-04-28,24.73,29.51,29.84,29.16,29.76,1276900.0
2008-04-29,24.81,29.6,29.67,29.17,29.35,877400.0
2008-04-30,24.82,29.61,30.4,29.5,29.74,1292700.0
2008-05-01,25.26,30.14,30.19,29.28,29.58,1284500.0
2008-05-02,25.99,31.01,31.73,30.57,30.57,1604300.0
2008-05-05,25.41,30.32,31.22,30.25,31.0,1377000.0
2008-05-06,25.92,30.93,30.98,30.02,30.02,1150900.0
2008-05-07,24.91,29.72,30.9,29.58,30.85,1312600.0
2008-05-08,24.9,29.71,30.08,29.59,29.91,776800.0
2008-05-09,25.02,29.86,29.95,29.26,29.41,645200.0
2008-05-12,25.3,30.19,30.2,29.67,29.97,906000.0
2008-05-13,25.27,30.15,30.3,29.64,30.24,561800.0
2008-05-14,25.47,30.39,30.73,30.09,30.42,836100.0
2008-05-15,25.7,30.67,30.76,29.87,30.27,659600.0
2008-05-16,25.39,30.29,30.83,30.01,30.83,1045200.0
2008-05-19,25.1,29.95,30.53,29.89,30.28,787900.0
2008-05-20,24.96,29.78,30.19,29.64,30.19,684300.0
2008-05-21,24.3,28.99,30.0,28.92,29.88,1212900.0
2008-05-22,24.39,29.1,29.54,28.8,29.06,1112000.0
2008-05-23,23.95,28.58,28.95,28.44,28.87,1119000.0
2008-05-27,24.62,29.38,29.38,28.61,28.87,974900.0
2008-05-28,24.46,29.18,29.5,28.91,29.39,701100.0
2008-05-29,24.84,29.64,29.91,29.14,29.14,607200.0
2008-05-30,24.74,29.52,29.84,29.04,29.64,1038100.0
2008-06-02,24.09,28.74,29.55,28.47,29.51,904500.0
2008-06-03,24.0,28.64,29.14,28.39,29.02,1014000.0
2008-06-04,24.55,29.29,29.63,28.41,28.43,1289600.0
2008-06-05,24.71,29.48,29.64,29.02,29.25,860400.0
2008-06-06,23.57,28.12,29.28,28.12,28.31,1107100.0
2008-06-09,23.5,28.04,28.46,27.71,28.33,1257900.0
2008-06-10,23.64,28.21,28.51,27.76,27.9,1131600.0
2008-06-11,22.93,27.36,28.11,27.36,28.11,1161000.0
2008-06-12,23.16,27.63,28.21,27.44,27.44,1043700.0
2008-06-13,23.83,28.44,28.47,27.89,27.92,995700.0
2008-06-16,23.72,28.3,28.52,28.04,28.14,877100.0
2008-06-17,23.34,27.85,28.3,27.8,28.25,768300.0
2008-06-18,22.84,27.25,27.87,27.11,27.64,1002600.0
2008-06-19,22.75,27.15,27.29,26.4,26.9,2006500.0
2008-06-20,22.11,26.38,26.87,26.12,26.82,2111000.0
2008-06-23,21.95,26.19,26.87,26.14,26.87,1137900.0
2008-06-24,21.85,26.07,26.37,25.7,26.0,1257700.0
2008-06-25,21.99,26.24,26.5,25.84,26.06,1304500.0
2008-06-26,21.58,25.75,26.17,25.71,25.71,1735700.0
2008-06-27,21.89,26.12,26.48,25.72,25.72,3299700.0
2008-06-30,22.22,26.51,26.74,25.64,26.05,2220200.0
2008-07-01,22.74,27.13,27.39,26.36,26.4,2505800.0
2008-07-02,21.93,26.17,27.43,26.16,27.11,1925900.0
2008-07-03,22.11,26.38,27.04,26.16,27.04,1066400.0
2008-07-07,21.92,26.16,26.89,25.75,26.49,1603800.0
2008-07-08,22.28,26.58,26.68,26.05,26.23,2321800.0
2008-07-09,21.92,26.16,26.84,26.16,26.5,1510100.0
2008-07-10,22.21,26.5,26.81,26.0,26.1,1287500.0
2008-07-11,21.56,25.73,26.45,25.34,25.98,1992500.0
2008-07-14,21.32,25.44,26.67,25.15,25.53,1544200.0
2008-07-15,21.41,25.55,25.91,25.16,25.3,1758800.0
2008-07-16,22.44,26.77,27.46,26.06,26.73,2930900.0
2008-07-17,22.88,27.3,27.41,26.0,26.0,1989100.0
2008-07-18,23.34,27.85,28.04,26.79,26.83,2270900.0
2008-07-21,23.37,27.88,28.68,27.73,28.42,1798900.0
2008-07-22,24.14,28.8,28.8,27.7,27.72,1869400.0
2008-07-23,24.47,29.2,29.42,27.91,27.91,1598100.0
2008-07-24,23.96,28.59,29.16,28.41,28.9,1552500.0
2008-07-25,23.94,28.56,29.47,28.36,28.73,1298400.0
2008-07-28,23.52,28.06,28.71,27.96,28.4,1266500.0
2008-07-29,24.09,28.74,28.82,28.08,28.28,1320900.0
2008-07-30,24.12,28.78,29.1,28.0,28.67,1041700.0
2008-07-31,23.83,28.44,29.04,28.43,28.72,1361800.0
2008-08-01,24.09,28.75,28.94,28.03,28.63,1569900.0
2008-08-04,23.97,28.6,28.81,28.26,28.61,1216500.0
2008-08-05,24.74,29.52,29.65,28.77,29.1,2141300.0
2008-08-06,24.57,29.32,29.54,28.99,29.51,1732500.0
2008-08-07,24.71,29.48,29.85,29.0,29.28,1231300.0
2008-08-08,25.62,30.57,30.65,29.25,29.4,1296700.0
2008-08-11,25.79,30.77,31.36,30.35,30.57,1359600.0
2008-08-12,25.37,30.27,31.01,30.12,30.7,1862200.0
2008-08-13,25.54,30.47,30.75,29.99,30.15,1463900.0
2008-08-14,26.03,31.06,31.4,30.07,30.07,1493600.0
2008-08-15,26.14,31.19,31.4,30.59,31.23,1008300.0
2008-08-18,25.88,30.88,31.49,30.76,31.33,907800.0
2008-08-19,25.44,30.36,31.21,30.23,30.77,1041800.0
2008-08-20,25.7,30.66,30.95,30.25,30.58,997400.0
2008-08-21,25.43,30.34,30.71,29.01,29.01,822300.0
2008-08-22,26.03,31.06,31.09,30.01,30.46,852600.0
2008-08-25,25.44,30.36,31.25,30.25,30.35,665800.0
2008-08-26,25.58,30.52,30.64,30.15,30.29,923200.0
2008-08-27,25.82,30.81,31.0,30.6,30.6,816200.0
2008-08-28,26.3,31.38,31.55,30.73,30.94,737200.0
