,Adj Close,Close,High,Low,Open,Volume
2008-01-02,29.88,30.3,30.94,29.92,30.66,5905600.0
2008-01-03,30.21,30.63,31.02,30.32,30.38,3819100.0
2008-01-04,29.35,29.77,30.59,29.66,30.5,3898500.0
2008-01-07,28.57,28.97,30.0,28.7,29.77,5823800.0
2008-01-08,28.35,28.75,29.78,28.7,29.22,4314100.0
2008-01-09,27.4,27.79,28.95,27.11,28.62,9289400.0
2008-01-10,28.09,28.49,28.68,27.43,27.7,6408300.0
2008-01-11,27.16,27.54,28.28,27.42,28.07,5793600.0
2008-01-14,27.32,27.7,28.21,27.42,27.59,4151100.0
2008-01-15,26.65,27.03,27.47,26.96,27.2,5654800.0
2008-01-16,26.56,26.93,27.39,26.49,26.84,6949700.0
2008-01-17,25.81,26.17,27.34,26.05,26.96,5127800.0
2008-01-18,26.45,26.83,27.78,25.95,26.04,6970100.0
2008-01-22,25.81,26.17,26.94,25.46,26.37,5543800.0
2008-01-23,25.13,25.48,25.78,23.57,25.35,10281300.0
2008-01-24,26.92,27.31,27.43,26.12,27.07,9801000.0
2008-01-25,26.39,26.76,28.18,26.57,27.88,4885300.0
2008-01-28,26.77,27.15,27.31,26.49,26.76,3665000.0
2008-01-29,26.77,27.15,27.28,26.49,26.52,4233100.0
2008-01-30,27.05,27.43,27.93,26.53,26.56,3995200.0
2008-01-31,27.18,27.57,27.82,26.94,27.11,3580600.0
2008-02-01,27.25,27.64,28.11,27.15,27.51,4139600.0
2008-02-04,27.53,27.92,28.18,27.31,27.56,3219900.0
2008-02-05,27.06,27.44,27.87,27.35,27.77,4632700.0
2008-02-06,26.62,26.99,27.81,26.88,27.54,4194800.0
2008-02-07,26.48,26.85,27.18,26.44,26.95,3674000.0
2008-02-08,27.09,27.47,27.6,26.48,26.75,3026300.0
2008-02-11,27.46,27.85,27.91,27.31,27.52,3278700.0
2008-02-12,27.67,28.06,28.84,27.84,27.94,3876000.0
2008-02-13,28.88,29.29,29.3,28.32,28.41,4124500.0
2008-02-14,28.45,28.85,29.22,28.6,29.22,4773600.0
2008-02-15,28.16,28.56,28.75,28.24,28.64,4037300.0
2008-02-19,28.06,28.46,29.36,28.38,28.97,2419600.0
2008-02-20,28.67,29.07,29.26,27.56,28.11,3008700.0
2008-02-21,28.19,28.59,29.77,28.44,28.97,3888200.0
2008-02-22,27.14,27.53,28.78,27.05,28.78,5890500.0
2008-02-25,26.93,27.31,27.74,26.73,27.41,5313400.0
2008-02-26,26.4,26.77,27.06,26.23,26.8,7096700.0
2008-02-27,27.02,27.4,27.86,26.56,26.92,3956300.0
2008-02-28,26.62,26.99,27.48,26.85,27.15,3712300.0
2008-02-29,25.86,26.22,26.72,25.82,26.68,5881400.0
2008-03-03,25.6,25.97,26.21,25.71,26.12,3821200.0
2008-03-04,26.01,26.37,26.49,25.71,25.86,5440700.0
2008-03-05,26.54,26.92,27.41,26.14,26.46,5239100.0
2008-03-06,26.14,26.51,27.11,26.48,26.88,4459000.0
2008-03-07,25.7,26.06,26.49,25.55,26.13,4565200.0
2008-03-10,24.66,25.01,25.97,24.92,25.82,5570100.0
2008-03-11,25.27,25.63,25.63,24.84,24.88,5407700.0
2008-03-12,25.12,25.47,26.03,25.24,25.86,3812600.0
2008-03-13,25.2,25.55,25.78,24.6,25.13,4806100.0
2008-03-14,24.18,24.53,25.78,24.32,25.78,5737700.0
2008-03-17,24.34,24.69,24.96,23.73,24.07,6431000.0
2008-03-18,25.04,25.39,25.55,24.54,24.88,5545400.0
2008-03-19,25.15,25.51,26.21,25.37,25.49,6679600.0
2008-03-20,25.08,25.43,25.74,24.86,25.57,7331700.0
2008-03-24,25.37,25.73,26.1,25.33,25.47,4833900.0
2008-03-25,25.61,25.98,26.0,25.49,25.65,3362100.0
2008-03-26,25.13,25.48,25.98,24.84,25.81,4765700.0
2008-03-27,24.42,24.77,25.45,24.27,25.06,7339800.0
2008-03-28,24.0,24.34,25.35,24.28,24.99,4147900.0
