,Adj Close,Close,High,Low,Open,Volume
2008-01-02,60.76,93.46,94.69,92.71,93.96,9058000.0
2008-01-03,61.51,94.61,94.84,93.46,93.8,10479200.0
2008-01-04,60.69,93.35,95.21,93.2,93.88,13103800.0
2008-01-07,59.9,92.13,93.74,91.15,93.74,12892200.0
2008-01-08,59.13,90.95,93.38,90.58,92.41,10987700.0
2008-01-09,60.19,92.57,92.75,90.55,90.88,12448200.0
2008-01-10,59.75,91.9,92.1,90.14,91.6,13786500.0
2008-01-11,58.95,90.67,92.57,90.23,91.6,10575000.0
2008-01-14,59.11,90.91,91.85,90.41,91.22,9968600.0
2008-01-15,57.39,88.27,90.05,88.15,89.96,13693400.0
2008-01-16,56.08,86.25,88.38,85.21,87.69,15709400.0
2008-01-17,53.8,82.75,87.17,82.1,86.5,18910400.0
2008-01-18,54.26,83.46,84.98,80.88,82.75,18869200.0
2008-01-22,52.83,81.25,82.37,76.84,78.23,20897900.0
2008-01-23,52.96,81.45,81.48,76.4,78.76,20405300.0
2008-01-24,54.4,83.67,83.69,81.14,81.85,13949600.0
2008-01-25,53.2,81.82,85.0,81.44,84.68,14050100.0
2008-01-28,53.87,82.86,83.26,80.23,81.13,9749400.0
2008-01-29,53.7,82.6,83.72,81.9,83.21,9187700.0
2008-01-30,54.11,83.23,85.23,81.93,82.11,9415400.0
2008-01-31,54.13,83.25,84.5,81.24,82.1,12634300.0
2008-02-01,53.63,82.49,84.93,81.53,84.71,16063300.0
2008-02-04,53.33,82.02,82.98,81.01,82.51,10299100.0
2008-02-05,51.84,79.74,80.99,79.61,80.73,15682500.0
2008-02-06,50.39,77.51,80.55,77.24,80.13,15108200.0
2008-02-07,51.19,78.74,79.24,76.51,77.11,12570900.0
2008-02-08,51.53,79.26,79.48,78.39,79.29,8281700.0
2008-02-11,52.29,80.43,80.47,78.51,80.22,17626800.0
2008-02-12,52.74,81.12,82.33,80.41,80.84,12330400.0
2008-02-13,53.78,82.12,82.29,80.29,80.92,12149400.0
2008-02-14,54.25,82.84,83.58,82.6,82.98,11190400.0
2008-02-15,54.74,83.6,83.69,81.7,82.52,26988700.0
2008-02-19,55.55,84.83,85.49,84.25,84.39,12002500.0
2008-02-20,56.54,86.34,86.86,83.7,83.99,13217100.0
2008-02-21,55.52,84.78,86.51,84.33,85.57,12189400.0
2008-02-22,55.94,85.42,85.74,83.69,85.27,12154700.0
2008-02-25,57.09,87.18,87.59,85.31,85.54,11813500.0
2008-02-26,57.7,88.12,88.4,86.29,86.75,12672600.0
2008-02-27,57.77,88.22,88.94,87.43,87.43,9731900.0
2008-02-28,58.29,89.02,89.29,87.77,88.22,8990300.0
2008-02-29,56.75,86.66,88.6,85.98,88.47,12983700.0
2008-03-03,57.1,87.2,87.92,85.84,86.38,9859700.0
2008-03-04,56.79,86.73,87.7,85.06,86.66,13698300.0
2008-03-05,58.14,88.79,88.86,86.67,87.03,16220500.0
2008-03-06,57.5,87.8,89.0,87.18,88.53,14296500.0
2008-03-07,55.83,85.26,87.49,84.65,87.23,15910600.0
2008-03-10,55.48,84.73,85.97,84.35,85.55,11854100.0
2008-03-11,57.73,88.16,88.33,85.7,85.71,13477100.0
2008-03-12,56.79,86.73,88.58,86.56,87.5,10956900.0
2008-03-13,57.0,87.04,87.61,85.41,86.0,10964800.0
2008-03-14,55.88,85.34,87.64,84.09,87.51,15842000.0
2008-03-17,55.13,84.19,84.99,82.44,83.47,15926800.0
2008-03-18,56.39,86.12,86.12,84.53,85.11,13429600.0
2008-03-19,53.62,81.89,86.84,81.8,86.14,14797100.0
2008-03-20,54.49,83.21,84.07,80.87,81.28,18373200.0
2008-03-24,55.01,84.01,84.79,82.92,83.38,9971900.0
2008-03-25,55.36,84.54,84.84,83.71,84.27,12123000.0
2008-03-26,55.64,84.96,85.69,84.48,84.62,11674800.0
2008-03-27,55.27,84.4,86.95,84.27,85.32,9148200.0
2008-03-28,55.33,84.5,85.58,83.92,84.89,7522200.0
2008-03-31,55.9,85.36,85.93,84.32,84.95,10192000.0
2008-04-01,56.8,86.74,86.89,84.57,85.08,11069000.0
2008-04-02,57.31,87.51,88.19,85.42,86.65,10681700.0
2008-04-03,57.44,87.72,88.8,86.76,86.91,9823600.0
2008-04-04,57.66,88.05,88.66,87.7,88.03,9750500.0
2008-04-07,57.8,88.27,89.37,88.12,88.65,8328300.0
2008-04-08,58.46,89.28,89.37,87.76,87.9,7393100.0
2008-04-09,58.9,89.95,90.53,89.43,89.51,10708500.0
2008-04-10,58.67,89.6,90.4,88.93,90.19,9119700.0
2008-04-11,58.15,88.8,89.77,88.61,89.03,7441800.0
2008-04-14,58.48,89.3,89.4,88.55,88.8,7182100.0
2008-04-15,59.05,90.17,90.28,89.15,89.7,8401300.0
2008-04-16,60.2,91.93,92.08,90.18,90.33,11915100.0
2008-04-17,60.24,91.99,92.62,91.17,91.2,9127200.0
2008-04-18,61.02,93.18,93.32,91.7,91.76,10182100.0
2008-04-21,60.7,92.7,93.45,92.11,93.15,8558800.0
2008-04-22,61.57,94.03,94.5,92.47,92.49,11475600.0
2008-04-23,61.87,94.48,94.63,93.48,94.25,13022700.0
2008-04-24,60.51,92.4,93.99,91.91,93.88,12930400.0
2008-04-25,60.7,92.69,93.24,91.23,92.66,12739600.0
2008-04-28,60.57,92.5,93.43,92.27,92.8,7163400.0
2008-04-29,62.04,94.74,95.32,92.61,92.61,19505100.0
2008-04-30,62.96,96.15,97.28,95.06,95.06,19536000.0
2008-05-01,62.17,94.94,95.45,93.43,94.86,15253100.0
2008-05-02,62.42,95.32,95.85,94.64,95.53,10309200.0
2008-05-05,62.62,95.62,96.87,95.23,95.33,9059300.0
2008-05-06,63.43,96.87,96.98,95.09,95.09,10892600.0
2008-05-07,62.39,95.28,96.8,95.14,96.76,14912600.0
2008-05-08,63.81,97.44,97.85,95.3,95.5,15074600.0
2008-05-09,63.78,97.39,97.9,96.2,97.5,11310200.0
2008-05-12,63.76,97.36,97.59,96.46,97.2,9374300.0
2008-05-13,64.0,97.73,97.98,96.31,97.42,10634000.0
2008-05-14,63.99,97.72,99.0,97.51,97.98,13401400.0
2008-05-15,64.93,98.49,98.6,97.41,98.48,13434500.0
2008-05-16,66.17,100.38,100.47,98.89,99.02,16302200.0
2008-05-19,67.37,102.2,102.81,100.41,100.62,12910200.0
2008-05-20,67.96,103.09,103.25,102.22,102.76,16271500.0
2008-05-21,67.91,103.02,104.63,102.69,103.25,21994300.0
2008-05-22,67.18,101.91,103.42,101.72,102.85,17384100.0
2008-05-23,66.4,100.73,102.59,100.5,102.12,11484000.0
2008-05-27,65.65,99.58,100.28,98.56,99.95,12823600.0
2008-05-28,66.2,100.42,100.58,98.57,98.86,10504000.0
2008-05-29,65.17,98.86,100.5,98.83,100.04,13167300.0
2008-05-30,65.36,99.15,99.49,98.35,99.13,11884200.0
2008-06-02,65.51,99.37,99.7,97.82,98.82,11651400.0
2008-06-03,64.51,97.86,100.22,97.63,99.04,12689500.0
2008-06-04,63.31,96.04,97.72,95.53,97.18,13750600.0
2008-06-05,65.92,99.99,100.24,96.4,96.4,13919900.0
2008-06-06,65.59,99.5,102.15,98.36,100.61,18575700.0
2008-06-09,66.71,101.2,101.3,99.5,99.95,11535600.0
2008-06-10,65.12,98.78,101.19,97.66,100.57,15472800.0
2008-06-11,65.54,99.42,99.98,98.27,99.55,11541400.0
2008-06-12,64.64,98.06,98.87,97.57,98.87,13285400.0
2008-06-13,65.53,99.4,99.73,97.01,97.45,9358000.0
2008-06-16,65.59,99.49,100.9,99.11,99.51,7555400.0
2008-06-17,66.17,100.37,100.89,99.06,99.8,9164800.0
2008-06-18,65.43,99.26,100.31,97.83,99.93,13018400.0
2008-06-19,63.85,96.86,100.04,96.86,99.56,15344100.0
2008-06-20,63.69,96.62,98.08,96.09,97.32,15029800.0
2008-06-23,65.3,99.06,99.14,96.03,96.03,12180900.0
2008-06-24,65.03,98.64,99.53,98.02,98.58,10485900.0
2008-06-25,65.5,99.36,100.17,97.35,98.81,14182900.0
2008-06-26,64.22,97.41,100.22,97.41,99.13,14626300.0
2008-06-27,64.47,97.8,99.32,97.33,97.33,17074300.0
2008-06-30,65.35,99.13,99.52,97.51,98.3,12341600.0
2008-07-01,65.32,99.08,99.61,97.73,98.26,13429300.0
