,Adj Close,Close,High,Low,Open,Volume
2008-01-02,28.62,46.52,47.5,46.4,47.3,2275300.0
2008-01-03,28.56,46.43,46.92,46.34,46.58,2204100.0
2008-01-04,28.57,46.44,46.94,46.08,46.13,2729500.0
2008-01-07,29.35,47.71,47.71,46.49,46.63,3237000.0
2008-01-08,29.14,47.37,48.23,47.26,47.85,2639600.0
2008-01-09,29.6,48.11,48.11,47.32,47.32,2492600.0
2008-01-10,29.37,47.74,48.5,47.43,47.84,2683800.0
2008-01-11,29.09,47.29,48.08,46.74,47.4,2624700.0
2008-01-14,29.26,47.56,47.83,47.19,47.49,1606300.0
2008-01-15,28.91,46.99,47.75,46.94,47.08,2615700.0
2008-01-16,28.74,46.72,47.52,46.59,46.68,3987800.0
2008-01-17,27.67,44.98,46.98,44.67,46.74,5968600.0
2008-01-18,27.22,44.24,45.5,43.99,45.2,5664700.0
2008-01-22,26.05,42.35,43.33,41.36,42.02,5467500.0
2008-01-23,26.72,43.44,43.52,40.65,41.19,4595300.0
2008-01-24,25.94,42.17,43.98,41.9,43.66,3787700.0
2008-01-25,25.24,41.03,42.66,40.89,42.66,4520100.0
2008-01-28,25.9,42.1,42.21,41.0,41.01,3515500.0
2008-01-29,26.05,42.35,42.83,41.84,42.51,2558800.0
2008-01-30,26.31,42.77,43.76,41.66,42.26,4381000.0
2008-01-31,26.45,43.0,43.49,40.55,43.49,4521200.0
2008-02-01,26.8,43.57,43.62,42.52,42.52,2781200.0
2008-02-04,27.19,44.2,44.59,43.58,43.58,2056100.0
2008-02-05,26.28,42.72,44.58,42.63,44.35,3018100.0
2008-02-06,26.13,42.48,43.42,42.35,43.09,2752800.0
2008-02-07,26.09,42.41,42.72,41.66,42.66,3224000.0
2008-02-08,25.9,42.11,42.47,41.88,42.11,1838900.0
2008-02-11,25.81,41.95,42.27,41.75,42.01,2054000.0
2008-02-12,26.14,42.49,42.63,41.9,42.14,3411400.0
2008-02-13,26.46,43.02,43.12,42.59,42.9,3403100.0
2008-02-14,26.21,42.6,43.48,42.38,43.12,2183100.0
2008-02-15,26.25,42.67,42.75,42.06,42.09,2744100.0
2008-02-19,26.21,42.6,43.29,42.39,43.07,1801300.0
2008-02-20,26.02,42.29,42.48,41.75,42.23,2309800.0
2008-02-21,25.66,41.71,42.9,41.6,42.35,2085700.0
2008-02-22,26.0,42.27,42.33,41.66,41.95,1718500.0
2008-02-25,26.21,42.61,43.1,42.04,42.21,1942200.0
2008-02-26,26.3,42.75,42.75,42.21,42.49,2904800.0
2008-02-27,26.03,41.92,42.51,41.89,42.41,3385400.0
2008-02-28,25.76,41.49,41.99,41.3,41.61,2154200.0
2008-02-29,24.8,39.94,41.26,39.78,41.11,3954300.0
2008-03-03,24.97,40.22,40.33,39.62,39.97,3047700.0
2008-03-04,25.0,40.26,40.61,39.74,39.93,4652800.0
2008-03-05,25.2,40.59,40.61,39.74,40.15,3633000.0
2008-03-06,24.46,39.39,40.74,39.39,40.47,3540000.0
2008-03-07,24.28,39.1,39.37,38.82,39.16,3117300.0
2008-03-10,24.25,39.05,39.44,38.63,39.21,3040600.0
2008-03-11,24.99,40.25,40.29,39.3,40.0,3486700.0
2008-03-12,24.9,40.1,40.9,40.05,40.26,3435800.0
2008-03-13,24.63,39.67,40.04,39.31,40.03,3980500.0
2008-03-14,24.57,39.57,40.08,38.84,39.88,4273400.0
2008-03-17,24.97,40.21,40.44,38.71,38.71,4896700.0
2008-03-18,25.6,41.23,41.23,40.21,40.89,3889000.0
2008-03-19,24.92,40.13,41.87,40.13,41.35,4550200.0
2008-03-20,25.3,40.75,40.85,39.81,40.33,4515400.0
2008-03-24,25.26,40.69,41.2,40.32,40.83,1958800.0
2008-03-25,25.15,40.5,41.0,40.44,40.62,2846200.0
2008-03-26,25.24,40.65,41.02,40.24,40.24,2663500.0
2008-03-27,25.33,40.79,41.34,40.71,40.84,3094000.0
2008-03-28,25.15,40.5,41.38,40.39,40.91,1740200.0
2008-03-31,25.36,40.84,41.02,40.27,40.56,2523300.0
2008-04-01,26.38,42.49,42.55,41.12,41.12,4397900.0
2008-04-02,26.54,42.75,43.12,42.4,42.45,2657500.0
2008-04-03,26.28,42.32,42.84,42.26,42.58,1799100.0
2008-04-04,26.83,43.21,44.21,42.34,42.45,3397600.0
2008-04-07,26.95,43.4,43.6,43.05,43.6,2874200.0
2008-04-08,27.01,43.5,43.6,43.13,43.18,2024900.0
2008-04-09,27.01,43.5,43.91,43.2,43.68,2504600.0
2008-04-10,26.93,43.37,43.64,42.94,43.58,3307900.0
2008-04-11,26.67,42.95,43.55,42.8,42.94,3728500.0
2008-04-14,26.72,43.03,43.17,42.74,43.02,1395400.0
2008-04-15,26.97,43.43,43.62,42.94,43.22,1767900.0
2008-04-16,27.46,44.22,44.29,43.33,43.86,1737300.0
2008-04-17,27.22,43.84,44.54,43.72,44.02,1624600.0
2008-04-18,27.44,44.19,44.59,43.92,44.48,2159200.0
2008-04-21,27.2,43.8,44.11,43.34,43.94,2028400.0
2008-04-22,26.96,43.42,43.71,43.16,43.53,1418600.0
2008-04-23,27.07,43.59,43.74,43.15,43.42,3408600.0
2008-04-24,26.94,43.39,43.92,43.28,43.72,1836800.0
2008-04-25,27.03,43.54,43.74,43.27,43.51,1145200.0
2008-04-28,26.96,43.42,44.07,43.32,43.7,1960000.0
2008-04-29,26.97,43.44,43.64,43.04,43.28,1961000.0
2008-04-30,26.94,43.39,44.03,43.16,43.23,1936200.0
2008-05-01,27.47,44.24,44.28,43.26,43.44,1779300.0
2008-05-02,28.31,45.59,45.93,44.02,44.45,2991100.0
2008-05-05,27.82,44.81,45.51,44.74,45.51,2442600.0
2008-05-06,27.82,44.8,45.02,43.89,44.76,2321800.0
2008-05-07,27.64,44.52,44.98,44.45,44.91,2142500.0
2008-05-08,27.95,45.01,45.66,44.42,45.51,2577200.0
2008-05-09,27.93,44.99,45.19,44.21,45.01,2243200.0
2008-05-12,28.13,45.3,45.31,44.8,45.18,1119700.0
