,Adj Close,Close,High,Low,Open,Volume
2008-01-02,41.99,55.15,56.23,54.58,55.82,4134600.0
2008-01-03,41.75,54.84,55.66,54.57,55.15,4154600.0
2008-01-04,40.08,52.65,54.44,52.63,54.24,6804800.0
2008-01-07,40.28,52.92,53.39,52.08,52.08,5105200.0
2008-01-08,39.96,52.49,54.26,52.31,53.73,7044400.0
2008-01-09,39.62,52.05,53.33,51.08,53.33,9261100.0
2008-01-10,39.98,52.52,52.89,51.24,51.62,6128500.0
2008-01-11,39.27,51.58,52.28,51.25,51.84,4670200.0
2008-01-14,40.19,52.79,52.83,51.62,52.05,4124300.0
2008-01-15,39.03,51.27,52.46,51.21,52.06,3870800.0
2008-01-16,38.82,51.0,51.96,50.33,51.18,5164200.0
2008-01-17,37.53,49.3,51.84,49.2,51.04,8680500.0
2008-01-18,37.86,49.73,50.48,48.88,49.52,6575800.0
2008-01-22,37.86,49.73,50.21,46.98,47.01,8175600.0
2008-01-23,39.4,51.75,52.13,48.06,49.13,9450000.0
2008-01-24,39.02,51.25,52.52,50.47,52.15,6936200.0
2008-01-25,39.34,51.68,52.29,51.07,51.47,4005700.0
2008-01-28,40.73,53.5,53.53,51.66,52.63,4620000.0
2008-01-29,41.11,54.0,56.93,53.71,54.75,8226000.0
2008-01-30,40.94,53.77,55.61,53.47,54.53,5888500.0
2008-01-31,41.87,55.0,55.75,52.66,53.02,5587500.0
2008-02-01,43.22,56.77,56.99,55.05,55.22,5973700.0
2008-02-04,42.53,55.86,56.93,55.83,56.93,3262400.0
2008-02-05,41.37,54.34,55.49,54.18,55.49,4534500.0
2008-02-06,41.23,54.16,55.45,53.84,54.64,5634100.0
2008-02-07,41.09,53.97,54.58,53.24,54.16,4724400.0
2008-02-08,41.72,54.8,55.18,53.81,54.16,3798400.0
2008-02-11,41.21,54.13,55.14,53.4,55.14,5956900.0
2008-02-12,41.94,55.09,55.59,54.18,54.18,5638900.0
2008-02-13,42.15,55.37,55.71,54.47,55.65,4531100.0
2008-02-14,41.77,54.87,55.79,54.71,55.79,3460700.0
2008-02-15,41.85,54.97,55.11,54.13,54.8,3213100.0
2008-02-19,42.45,55.76,56.33,55.15,55.71,4611000.0
2008-02-20,42.21,55.45,55.86,54.31,54.31,4142400.0
2008-02-21,41.59,54.63,55.52,54.41,55.24,4165700.0
2008-02-22,41.99,55.15,55.24,53.98,54.58,3734800.0
2008-02-25,42.26,55.51,55.78,54.63,55.78,5628500.0
2008-02-26,42.26,55.51,55.56,54.98,55.44,6715600.0
2008-02-27,42.44,55.75,55.81,54.94,55.41,6132400.0
2008-02-28,41.93,55.08,55.78,54.37,55.78,4053800.0
2008-02-29,40.84,53.64,54.87,53.37,54.87,4733700.0
2008-03-03,41.11,54.0,54.0,53.34,53.63,4428700.0
2008-03-04,40.83,53.63,54.11,52.89,53.88,6241100.0
2008-03-05,40.86,53.67,54.85,53.23,54.16,5141600.0
2008-03-06,40.13,52.72,53.8,52.66,53.8,3759900.0
2008-03-07,39.2,51.49,53.0,51.27,52.55,5786500.0
2008-03-10,38.18,50.16,51.54,50.13,51.49,6301800.0
2008-03-11,40.19,52.79,52.79,50.53,51.49,5812300.0
2008-03-12,40.38,53.05,54.08,52.66,53.13,3603800.0
2008-03-13,40.56,53.27,53.83,51.89,52.66,4244900.0
2008-03-14,40.09,52.66,54.16,51.47,54.08,5731000.0
2008-03-17,39.46,51.84,52.9,51.24,51.31,5421500.0
2008-03-18,41.21,54.13,54.13,52.58,53.24,5132500.0
2008-03-19,39.45,51.82,54.45,51.81,54.08,6272300.0
2008-03-20,39.53,51.92,52.68,51.25,51.88,6056300.0
2008-03-24,40.81,53.6,54.84,51.86,52.46,5143000.0
