,Adj Close,Close,High,Low,Open,Volume
2008-01-02,32.42,63.2,64.0,62.41,63.32,829100.0
2008-01-03,31.03,60.5,63.91,60.36,63.91,786400.0
2008-01-04,29.94,58.36,60.07,58.17,60.05,1212000.0
2008-01-07,31.08,60.58,60.96,58.12,58.61,1274400.0
2008-01-08,30.34,59.14,62.68,59.14,61.24,1285400.0
2008-01-09,31.09,60.61,60.71,57.64,59.64,1724900.0
2008-01-10,31.61,61.62,62.59,58.84,59.92,1554600.0
2008-01-11,30.74,59.92,62.15,59.49,60.94,1001900.0
2008-01-14,29.94,58.36,61.11,57.26,61.07,1434400.0
2008-01-15,28.12,54.81,57.52,54.76,56.98,1765800.0
2008-01-16,28.57,55.69,56.71,54.5,54.5,1327700.0
2008-01-17,27.89,54.37,56.76,54.12,55.71,1402000.0
2008-01-18,28.18,54.93,55.71,53.71,54.65,1847300.0
2008-01-22,29.4,57.31,57.36,53.18,53.28,1902300.0
2008-01-23,32.79,63.91,64.84,55.34,56.4,2465900.0
2008-01-24,32.32,63.01,64.57,60.64,64.57,1729700.0
2008-01-25,32.12,62.61,64.38,61.55,63.73,1139900.0
2008-01-28,33.89,66.06,66.37,61.45,62.82,1375500.0
2008-01-29,33.79,65.86,66.56,65.28,66.39,837800.0
2008-01-30,34.04,66.36,68.37,64.81,65.27,1688900.0
2008-01-31,34.9,68.03,68.59,65.02,65.65,1168700.0
2008-02-01,36.39,70.93,70.93,67.71,67.73,1227800.0
2008-02-04,36.79,71.71,73.18,69.27,70.92,2062800.0
2008-02-05,35.19,68.6,71.64,68.37,69.58,1566700.0
2008-02-06,33.82,65.93,69.5,65.88,69.08,753100.0
2008-02-07,34.16,66.59,67.48,65.12,65.68,2092000.0
2008-02-08,32.52,63.4,66.37,62.89,66.36,1256600.0
2008-02-11,32.05,62.48,63.63,61.8,63.62,843900.0
2008-02-12,33.55,65.4,65.65,62.49,62.54,758800.0
2008-02-13,33.58,65.47,67.45,64.03,64.97,626600.0
2008-02-14,32.42,63.2,65.55,62.94,64.99,703300.0
2008-02-15,32.92,64.18,64.18,62.36,62.76,635000.0
2008-02-19,32.24,62.84,65.09,62.76,65.04,523500.0
2008-02-20,33.32,64.95,64.95,62.49,62.84,828300.0
2008-02-21,31.93,62.25,65.37,62.15,65.07,983000.0
2008-02-22,33.04,64.41,64.41,61.17,62.25,1131000.0
2008-02-25,34.38,67.02,67.07,63.37,64.36,1004000.0
2008-02-26,34.14,66.56,67.2,65.5,66.44,928500.0
2008-02-27,34.11,66.49,67.91,65.66,66.06,985600.0
2008-02-28,33.24,64.81,66.28,64.81,66.06,725600.0
2008-02-29,32.67,63.68,65.07,63.65,63.98,713100.0
2008-03-03,32.85,64.05,64.23,62.92,63.88,712300.0
2008-03-04,33.03,64.39,64.94,62.86,63.6,890800.0
2008-03-05,32.57,63.48,65.17,63.17,64.91,714400.0
2008-03-06,30.94,60.31,63.45,60.08,63.12,1123600.0
2008-03-07,31.44,61.29,61.88,59.32,59.67,955600.0
2008-03-10,30.89,60.21,61.62,60.1,61.24,680300.0
2008-03-11,33.16,64.64,64.92,61.35,61.6,1083900.0
2008-03-12,32.83,64.0,66.46,64.0,65.2,921600.0
2008-03-13,33.1,64.53,64.81,61.8,62.99,1010800.0
2008-03-14,32.27,62.91,65.24,61.21,64.92,1303800.0
2008-03-17,32.41,63.17,63.85,60.38,60.38,1336900.0
2008-03-18,33.76,64.62,64.95,62.11,64.36,1066400.0
2008-03-19,34.03,65.14,66.28,64.46,64.46,1240300.0
2008-03-20,36.79,70.42,70.52,65.24,65.6,1687100.0
2008-03-24,36.8,70.44,70.98,69.81,70.59,1700700.0
2008-03-25,37.21,71.23,71.3,69.27,70.32,1180600.0
2008-03-26,36.73,70.31,71.31,69.84,71.31,1142800.0
2008-03-27,35.93,68.79,71.31,68.65,70.72,891100.0
2008-03-28,35.86,68.65,70.07,68.41,69.12,971500.0
2008-03-31,36.13,69.17,71.33,68.46,69.0,834300.0
2008-04-01,38.77,74.22,74.22,69.6,69.96,1104700.0
2008-04-02,38.63,73.96,74.85,72.24,74.43,818200.0
2008-04-03,39.23,75.09,75.18,72.95,73.63,873600.0
2008-04-04,38.38,73.48,75.41,73.34,75.14,796500.0
2008-04-07,38.63,73.94,74.58,72.88,74.32,777300.0
2008-04-08,37.67,72.11,73.74,72.09,73.54,703200.0
2008-04-09,36.62,70.09,72.52,70.06,72.35,724100.0
2008-04-10,36.74,70.34,70.88,69.1,69.84,766400.0
2008-04-11,36.06,69.03,70.32,68.85,69.53,648300.0
2008-04-14,35.61,68.18,69.55,68.08,69.03,521500.0
2008-04-15,35.78,68.49,69.27,67.5,68.85,746900.0
2008-04-16,37.51,71.81,71.94,68.9,68.92,978800.0
2008-04-17,37.92,72.58,72.63,70.77,71.15,572300.0
2008-04-18,37.73,72.22,74.32,71.53,73.97,737900.0
2008-04-21,36.67,70.19,71.96,70.19,71.94,469000.0
2008-04-22,36.47,69.81,70.45,69.3,70.02,591800.0
