,Adj Close,Close,High,Low,Open,Volume
2008-01-02,20.0632,22.8036,23.0982,22.6607,23.0357,1012000.0
2008-01-03,19.9375,22.6607,22.8839,22.5893,22.8393,1407800.0
2008-01-04,19.2462,21.875,22.7589,21.8482,22.6071,1423600.0
2008-01-07,19.694,22.3839,22.6071,21.8482,21.9643,1800700.0
2008-01-08,19.4584,22.1161,22.8214,22.0714,22.5089,1082500.0
2008-01-09,19.749,22.4464,22.4643,21.8661,22.0536,1556000.0
2008-01-10,19.9061,22.625,22.75,22.2589,22.3661,1729900.0
2008-01-11,19.6155,22.2946,22.8839,22.0982,22.5446,1733900.0
2008-01-14,20.3382,23.1161,23.1696,22.3214,22.3214,2357300.0
2008-01-15,19.9297,22.6518,23.2054,22.5714,23.0179,1874800.0
2008-01-16,20.8174,23.6607,23.9643,22.5,22.5,2349000.0
2008-01-17,20.9352,23.7946,23.9732,23.2232,23.7768,2487000.0
2008-01-18,21.1866,24.0804,24.4464,23.625,24.0,2320600.0
2008-01-22,21.2101,24.1071,24.1429,23.0268,23.0268,2299300.0
2008-01-23,21.7915,24.7679,24.8125,23.3393,23.4643,2109700.0
2008-01-24,22.2392,25.2768,25.5625,24.3571,24.7857,2567700.0
2008-01-25,22.0821,25.0982,25.6786,25.0268,25.6786,2773500.0
2008-01-28,22.7027,25.8036,25.8482,24.9554,24.9554,2135300.0
2008-01-29,22.3885,25.4464,26.0536,25.2857,26.0536,2058100.0
2008-01-30,21.7443,24.7143,25.4464,24.7054,25.2054,2284100.0
2008-01-31,21.9721,24.9732,25.2679,24.4911,24.6607,1891300.0
2008-02-01,22.3256,25.375,26.0982,24.875,24.9018,2704600.0
2008-02-04,21.9721,24.9732,25.5714,24.8304,25.1875,1275100.0
2008-02-05,21.4222,24.3482,25.5268,24.3214,25.5268,1765000.0
2008-02-06,21.5401,24.4821,24.7321,24.1429,24.6071,1432000.0
2008-02-07,21.4222,24.3482,24.6518,24.1696,24.4375,1398500.0
2008-02-08,21.1395,24.0268,24.4464,23.9643,24.3482,888900.0
2008-02-11,21.273,24.1786,24.1786,23.7768,24.0714,1212200.0
2008-02-12,21.1552,24.0446,24.4286,23.8393,24.2857,2240500.0
2008-02-13,19.8197,22.5268,23.2857,21.6339,21.7589,10079600.0
2008-02-14,19.4819,22.1429,22.8929,22.125,22.4911,4313900.0
2008-02-15,19.4426,22.0982,22.2411,21.875,22.0089,2169800.0
2008-02-19,19.2148,21.8393,22.2946,21.5714,22.2946,2365800.0
2008-02-20,19.0263,21.625,21.7857,21.3125,21.7857,2164400.0
2008-02-21,18.7671,21.3304,21.8214,21.1875,21.6607,1743200.0
2008-02-22,19.1913,21.8125,21.8125,21.1875,21.375,2134100.0
2008-02-25,18.5864,21.125,21.875,20.7857,21.7321,3149500.0
2008-02-26,18.1072,20.5804,21.2589,20.4732,21.1161,4196500.0
2008-02-27,18.2015,20.6875,21.1875,20.3661,20.4196,2574300.0
2008-02-28,18.06,20.5268,20.6429,20.2768,20.5446,2108100.0
2008-02-29,16.9053,19.2143,19.5804,18.7768,19.0625,9288400.0
2008-03-03,17.0545,19.3839,19.875,19.3036,19.5089,6332500.0
2008-03-04,16.8346,19.1339,19.375,18.9911,19.25,2574200.0
2008-03-05,16.9131,19.2232,19.3393,19.0,19.0714,2865500.0
2008-03-06,16.5518,18.8125,19.2679,18.7589,19.2054,1894900.0
2008-03-07,16.2925,18.5179,18.8393,18.375,18.7857,1983800.0
2008-03-10,15.9469,18.125,18.5982,18.0804,18.5,1597300.0
2008-03-11,16.4654,18.7143,18.9732,18.25,18.3482,3887600.0
2008-03-12,16.2925,18.5179,18.8571,18.4643,18.8482,1285900.0
2008-03-13,15.9076,18.0804,18.4286,17.8393,18.4107,2677000.0
2008-03-14,15.4127,17.5179,18.25,17.3839,18.25,3290400.0
2008-03-17,15.3106,17.4018,17.6786,17.0982,17.0982,2294400.0
2008-03-18,15.8291,17.9911,17.9911,17.5,17.5982,2632500.0
2008-03-19,15.6955,17.8393,18.375,17.8393,18.0179,3679900.0
2008-03-20,15.8919,18.0625,18.0982,17.7768,17.9375,3282200.0
2008-03-24,16.0412,18.2321,18.25,17.6429,18.1607,3403000.0
2008-03-25,16.0176,18.2054,18.3393,18.0804,18.2679,2752500.0
2008-03-26,15.8919,18.0625,18.2321,17.9821,18.1429,1562200.0
2008-03-27,15.5777,17.7054,18.1964,17.6161,18.1429,1608900.0
2008-03-28,15.7112,17.8571,18.0714,17.6786,17.8839,1883700.0
2008-03-31,15.7819,17.9375,18.0446,17.75,17.7946,1840300.0
2008-04-01,16.4575,18.7054,18.7054,17.9732,18.0804,3222900.0
2008-04-02,16.2847,18.5089,18.8393,18.4196,18.7857,1393200.0
2008-04-03,16.1354,18.3393,18.5982,18.3036,18.4643,1356600.0
2008-04-04,16.1904,18.4018,18.5446,17.9375,18.3036,2122400.0
2008-04-07,16.1197,18.3214,18.4821,18.2143,18.4375,1025200.0
2008-04-08,16.5439,18.8036,19.1607,18.1161,18.4375,2356800.0
2008-04-09,16.1197,18.3214,18.7946,18.2054,18.6429,1595400.0
2008-04-10,15.9705,18.1518,18.4643,18.0714,18.4643,1035500.0
2008-04-11,15.9076,18.0804,18.2143,17.9911,18.0089,1291400.0
2008-04-14,16.1747,18.3839,18.4375,18.0446,18.0714,1525100.0
2008-04-15,16.379,18.6161,18.6607,18.4018,18.4018,1478100.0
2008-04-16,16.7167,19.0,19.0,18.6071,18.6518,2226000.0
2008-04-17,16.6382,18.9107,19.1696,18.8036,19.0179,1275100.0
2008-04-18,17.4316,19.8125,19.9018,19.1429,19.5804,2687700.0
2008-04-21,17.5651,19.9643,20.0625,19.6518,19.6696,2568200.0
2008-04-22,17.2038,19.5536,19.9196,19.4018,19.9196,1895300.0
2008-04-23,17.5023,19.8929,20.0714,19.4286,19.7768,2181500.0
2008-04-24,17.0624,19.3929,20.0089,19.2411,19.9643,1746300.0
2008-04-25,17.4787,19.8661,20.0,19.2143,19.4464,2705100.0
2008-04-28,17.5416,19.9375,20.0536,19.7321,20.0357,1209700.0
2008-04-29,17.6908,20.1071,20.2054,19.8839,19.9911,1371200.0
2008-04-30,18.2564,20.75,21.2411,20.5268,20.5268,6237500.0
2008-05-01,18.4843,21.0089,21.25,20.7321,20.75,2810500.0
2008-05-02,18.5,21.0268,21.3125,20.9643,21.3125,2673100.0
2008-05-05,18.5785,21.1161,21.1875,20.9375,21.0714,1497500.0
2008-05-06,18.4607,20.9821,21.0714,20.7232,21.0536,1033200.0
2008-05-07,18.1936,20.6786,21.1161,20.6071,20.9821,1701800.0
2008-05-08,18.28,20.7768,20.9643,20.6518,20.6518,1161400.0
2008-05-09,18.1386,20.6161,20.6875,20.5,20.6786,860800.0
2008-05-12,17.9815,20.4375,20.7679,20.3571,20.7321,1656000.0
2008-05-13,17.6516,20.0625,20.4464,19.7054,20.3929,2241300.0
2008-05-14,18.0286,20.4911,20.6964,20.0625,20.2411,2719100.0
2008-05-15,18.4528,20.9732,21.1339,20.5893,20.5893,3202400.0
2008-05-16,18.3036,20.8036,21.1607,20.6964,21.1429,2092800.0
2008-05-19,18.3507,20.8571,21.0446,20.7232,20.7232,1637200.0
2008-05-20,18.1857,20.6696,20.75,20.4554,20.7232,1426400.0
2008-05-21,17.8715,20.3125,20.7857,20.1161,20.7589,1757600.0
2008-05-22,17.8951,20.3393,20.5357,20.1429,20.3125,1334900.0
2008-05-23,17.4552,19.8393,20.3036,19.7946,20.2857,1529500.0
2008-05-27,17.2588,19.6161,19.9018,19.2857,19.875,1731700.0
2008-05-28,17.2038,19.5536,19.7232,19.4643,19.5982,1670100.0
2008-05-29,17.1645,19.5089,19.8393,19.4107,19.4821,1688800.0
2008-05-30,17.086,19.4196,19.625,19.2857,19.5536,1890600.0
2008-06-02,16.5439,18.8036,19.4196,18.7679,19.2946,2558900.0
2008-06-03,16.4968,18.75,19.0,18.6964,18.8839,3079400.0
2008-06-04,16.4889,18.7411,18.8661,18.6071,18.6696,1588700.0
2008-06-05,16.4575,18.7054,18.8571,18.6071,18.6786,1994300.0
2008-06-06,16.2454,18.4643,18.5804,18.375,18.5179,2271200.0
2008-06-09,15.9312,18.1071,18.6607,17.9821,18.4286,1988100.0
2008-06-10,16.0333,18.2232,18.2679,17.8929,18.0179,2509600.0
2008-06-11,15.562,17.6875,18.3036,17.6875,18.1339,1588000.0
2008-06-12,15.7584,17.9107,18.1696,17.6607,17.8214,2132100.0
2008-06-13,15.9233,18.0982,18.1071,17.8304,18.0982,1709200.0
2008-06-16,15.7112,17.8571,18.1786,17.7946,17.9464,1174400.0
2008-06-17,15.6091,17.7411,17.9732,17.7232,17.9643,985700.0
2008-06-18,14.5329,16.5179,17.6964,16.2054,17.6696,5262800.0
2008-06-19,14.6743,16.6786,16.7143,16.3839,16.3839,5715200.0
2008-06-20,14.7293,16.7411,16.7946,16.4643,16.6339,3189800.0
2008-06-23,14.4229,16.3929,16.8125,16.3304,16.8125,4245600.0
2008-06-24,14.4465,16.4196,16.5982,16.2589,16.3661,2777200.0
2008-06-25,15.8055,17.9643,18.7411,17.7946,18.0357,9628500.0
2008-06-26,15.6719,17.8125,18.0893,17.6607,18.0893,3206400.0
2008-06-27,15.4363,17.5446,18.0179,17.4107,17.7143,3330200.0
2008-06-30,15.4127,17.5179,17.75,17.4107,17.5714,2060200.0
2008-07-01,15.1299,17.1964,17.4286,17.0357,17.3661,1829100.0
2008-07-02,15.0435,17.0982,17.3482,16.9643,17.2589,2268400.0
2008-07-03,14.6586,16.6607,17.3571,16.5893,17.1964,1258900.0
2008-07-07,14.3522,16.3125,16.8571,16.1161,16.7946,2485000.0
2008-07-08,14.525,16.5089,16.5446,16.0,16.4643,2671900.0
2008-07-09,14.1008,16.0268,16.5982,15.9911,16.5982,2111400.0
2008-07-10,14.1244,16.0536,16.375,15.8929,16.1339,2080400.0
2008-07-11,14.1322,16.0625,16.375,15.6607,15.9286,2334100.0
2008-07-14,14.4936,16.4732,17.3661,16.4643,16.4643,3397800.0
2008-07-15,14.5015,16.4821,16.7946,16.2857,16.5179,2745600.0
2008-07-16,14.9806,17.0268,17.0982,16.3214,16.375,2076700.0
2008-07-17,15.3499,17.4464,17.5089,16.8482,16.9911,1607500.0
2008-07-18,15.617,17.75,18.3036,17.3482,17.5,2489200.0
2008-07-21,15.5855,17.7143,17.8839,17.6161,17.6875,1132700.0
2008-07-22,16.0333,18.2232,18.2232,17.5625,17.7143,1715800.0
2008-07-23,17.0153,19.3393,19.4554,18.2232,18.2232,2886100.0
2008-07-24,16.7796,19.0714,19.6964,19.0446,19.375,3047100.0
2008-07-25,16.8189,19.1161,19.4821,19.1071,19.2411,2633100.0
2008-07-28,16.5989,18.8661,19.2232,18.7679,18.8304,1053500.0
2008-07-29,16.8189,19.1161,19.2411,18.6964,18.7946,1240500.0
2008-07-30,16.7717,19.0625,19.2411,18.3839,19.2411,1373900.0
2008-07-31,16.7325,19.0179,19.2411,18.75,19.2054,1562600.0
2008-08-01,16.4575,18.7054,19.2143,18.4821,19.125,1968200.0
2008-08-04,16.9524,19.2679,19.5,18.4286,18.6339,2488500.0
2008-08-05,18.335,20.8393,21.1071,19.2589,19.2589,5756500.0
2008-08-06,17.2981,19.6607,20.3125,18.0,18.0714,5059800.0
2008-08-07,17.3766,19.75,19.9286,19.1161,19.4643,2623200.0
2008-08-08,19.0734,21.6786,21.7143,19.625,19.625,5245100.0
2008-08-11,19.4348,22.0893,22.1607,20.9196,21.4911,2668200.0
2008-08-12,19.4662,22.125,22.2679,21.875,21.9286,1360600.0
2008-08-13,19.0499,21.6518,22.1429,21.5804,21.9464,1911500.0
2008-08-14,19.1755,21.7946,22.0982,21.3839,21.4018,1148200.0
2008-08-15,19.5055,22.1696,22.3125,21.7054,21.8839,1560200.0
2008-08-18,19.4269,22.0804,23.1161,21.9464,22.1875,1694400.0
2008-08-19,19.2698,21.9018,22.0982,21.7143,21.875,1205200.0
2008-08-20,19.6626,22.3482,22.4018,21.7411,21.9107,2478000.0
2008-08-21,19.2855,21.9196,22.6071,21.5268,21.8125,2662800.0
2008-08-22,19.6469,22.3304,22.7143,21.7768,22.0982,2296700.0
2008-08-25,19.6312,22.3125,22.875,22.1786,22.2411,2508500.0
2008-08-26,19.6233,22.3036,22.7143,22.2054,22.3214,1178100.0
2008-08-27,19.7647,22.4643,22.6161,22.2679,22.2857,982800.0
2008-08-28,20.1496,22.9018,22.9464,22.2232,22.6339,1143700.0
2008-08-29,19.7726,22.4732,22.8929,22.4196,22.8036,995000.0
2008-09-02,19.1598,21.7768,22.4732,21.4554,21.4554,3135100.0
2008-09-03,19.4505,22.1071,22.2768,21.5893,21.7768,1758700.0
2008-09-04,19.0263,21.625,21.9911,21.3661,21.8839,2008900.0
2008-09-05,19.5998,22.2768,22.3929,21.2768,21.4732,2080200.0
2008-09-08,19.3562,22.0,22.6161,21.5982,22.6161,2744000.0
2008-09-09,18.9477,21.5357,22.2321,21.3393,21.9464,2991000.0
2008-09-10,18.7278,21.2857,21.6339,21.125,21.6161,1796900.0
2008-09-11,18.5314,21.0625,21.4286,20.4464,21.1786,3399900.0
2008-09-12,18.7906,21.3571,21.4643,20.5714,20.5982,2583100.0
2008-09-15,18.4371,20.9554,21.6429,20.6161,20.8482,1935000.0
2008-09-16,18.5942,21.1339,21.1339,20.1964,21.0179,2319600.0
2008-09-17,18.3036,20.8036,21.1696,20.4286,20.8214,2770200.0
2008-09-18,18.5392,21.0714,21.5536,20.6696,21.0357,2917000.0
2008-09-19,18.3193,20.8214,21.875,19.8393,21.875,2911700.0
2008-09-22,17.7772,20.2054,20.8125,20.1607,20.8125,1689000.0
2008-09-23,17.8401,20.2768,20.6339,20.0893,20.2232,3604200.0
2008-09-24,17.6751,20.0893,20.5536,19.9196,20.3571,2033200.0
2008-09-25,18.2329,20.7232,20.9554,19.3304,19.6429,3016400.0
2008-09-26,18.5392,21.0714,21.2589,20.3571,20.4643,2323700.0
2008-09-29,17.9344,20.3839,21.1786,20.2679,20.9821,2165400.0
2008-09-30,18.3507,20.8571,20.8571,20.1696,20.7411,1697600.0
