,Adj Close,Close,High,Low,Open,Volume
2008-01-02,42.87,51.96,52.97,51.71,52.97,1526400.0
2008-01-03,42.99,52.11,52.22,51.78,51.97,1073800.0
2008-01-04,42.47,51.48,52.19,51.48,51.73,1194000.0
2008-01-07,42.7,51.65,51.93,51.39,51.68,1228400.0
2008-01-08,42.44,51.34,51.77,51.27,51.64,1731800.0
2008-01-09,43.92,53.13,53.2,51.07,51.23,1705000.0
2008-01-10,44.61,53.97,54.5,53.0,53.01,1823500.0
2008-01-11,44.48,53.81,54.17,53.5,53.74,855500.0
2008-01-14,44.36,53.66,54.24,53.39,54.13,868400.0
2008-01-15,43.17,52.22,53.49,52.2,53.11,1691700.0
2008-01-16,43.56,52.69,53.15,52.02,52.02,1228800.0
2008-01-17,42.71,51.67,52.74,51.6,52.74,1435800.0
2008-01-18,42.71,51.66,52.15,51.06,52.12,1152200.0
2008-01-22,42.0,50.81,52.01,48.07,49.88,1892000.0
2008-01-23,41.11,49.73,50.44,48.99,50.21,1774600.0
2008-01-24,40.58,49.09,50.33,48.96,50.19,1735000.0
2008-01-25,40.52,49.02,49.58,48.64,49.46,1225600.0
2008-01-28,41.08,49.7,49.71,48.77,48.77,887900.0
2008-01-29,41.31,49.97,50.26,49.5,50.08,852000.0
2008-01-30,41.41,50.09,50.76,49.76,50.19,998300.0
2008-01-31,40.67,49.2,49.8,48.83,49.4,1579500.0
2008-02-01,41.84,50.61,50.61,49.11,49.19,1388200.0
2008-02-04,41.32,49.99,50.64,49.99,50.62,614500.0
2008-02-05,41.58,50.3,50.46,49.32,49.32,1151400.0
2008-02-06,41.38,50.06,50.54,49.81,50.54,1259000.0
2008-02-07,41.68,50.42,51.16,49.85,49.85,2101500.0
2008-02-08,41.6,50.32,50.58,50.01,50.06,1804400.0
2008-02-11,41.49,50.19,50.46,49.93,50.18,761600.0
2008-02-12,42.03,50.84,51.09,50.0,50.2,1257000.0
2008-02-13,41.82,50.59,51.15,50.38,51.13,741600.0
2008-02-14,41.6,50.32,50.69,50.02,50.37,1075400.0
2008-02-15,42.31,51.18,51.18,50.28,50.36,916600.0
2008-02-19,41.85,50.62,51.75,50.62,51.53,1561300.0
2008-02-20,43.12,52.16,52.16,50.5,50.78,1759700.0
2008-02-21,39.94,48.31,50.58,48.31,50.0,6611900.0
2008-02-22,38.46,46.53,49.14,46.43,48.41,6448100.0
2008-02-25,39.5,47.78,47.96,46.35,46.47,2863100.0
2008-02-26,40.04,48.43,48.88,47.59,47.74,2058800.0
2008-02-27,39.65,47.97,48.87,47.87,48.08,1323300.0
2008-02-28,39.58,47.88,48.3,47.5,47.72,1447400.0
2008-02-29,39.41,47.67,48.86,47.51,48.86,1724400.0
2008-03-03,39.27,47.51,47.79,46.98,47.5,993200.0
2008-03-04,39.44,47.71,47.94,47.04,47.04,1163200.0
2008-03-05,38.92,47.08,48.34,46.4,47.66,2201800.0
2008-03-06,38.36,46.4,47.0,46.4,46.94,1092900.0
2008-03-07,38.09,46.08,46.57,45.87,46.06,1303500.0
2008-03-10,38.19,46.2,46.67,45.86,45.86,1465200.0
2008-03-11,39.01,47.19,47.19,45.77,46.46,2209300.0
2008-03-12,38.79,46.92,47.76,46.63,47.2,1116500.0
2008-03-13,38.31,46.34,46.86,45.1,46.17,1158300.0
2008-03-14,37.79,45.71,46.59,45.29,46.34,1587500.0
2008-03-17,36.65,44.33,45.75,44.33,45.01,1808400.0
2008-03-18,38.28,46.31,46.36,44.14,44.83,1905700.0
2008-03-19,37.27,45.09,46.99,45.09,46.69,1945700.0
2008-03-20,37.17,44.97,45.55,44.25,44.99,2054300.0
2008-03-24,37.59,45.47,45.65,44.81,45.06,1014400.0
2008-03-25,37.74,45.65,46.22,44.86,45.42,1399800.0
2008-03-26,37.25,45.06,45.64,43.65,45.5,1016800.0
2008-03-27,37.65,45.55,45.86,45.1,45.28,1114400.0
2008-03-28,37.85,45.79,46.03,45.34,45.76,1067000.0
2008-03-31,37.42,45.27,45.68,44.98,45.68,1865500.0
2008-04-01,38.89,47.05,47.05,45.22,45.48,1223200.0
2008-04-02,38.92,46.98,47.32,46.65,47.32,973800.0
2008-04-03,38.72,46.74,47.0,46.34,46.99,799800.0
2008-04-04,38.32,46.26,46.7,45.84,46.7,743700.0
2008-04-07,37.76,45.58,46.63,45.49,46.59,931100.0
2008-04-08,37.72,45.53,46.15,45.08,45.35,1100700.0
2008-04-09,38.65,46.65,47.11,45.58,45.58,1740600.0
2008-04-10,38.65,46.65,46.88,46.38,46.53,1129200.0
2008-04-11,38.14,46.04,46.76,45.98,46.2,649800.0
2008-04-14,37.85,45.69,46.17,45.11,46.17,950400.0
2008-04-15,38.17,46.08,46.5,45.74,45.89,1022900.0
2008-04-16,38.37,46.32,46.39,45.78,46.36,580300.0
2008-04-17,38.29,46.22,46.49,45.95,46.35,671500.0
2008-04-18,37.79,45.62,46.58,45.34,46.34,1759300.0
2008-04-21,40.69,49.12,49.56,47.0,47.4,3965600.0
2008-04-22,40.01,48.3,48.98,48.08,48.98,1971500.0
2008-04-23,40.34,48.7,49.04,48.13,48.39,1247400.0
2008-04-24,40.36,48.72,49.05,47.55,48.49,1202200.0
2008-04-25,40.58,48.99,49.27,48.26,48.85,778900.0
2008-04-28,40.8,49.25,49.46,48.81,48.85,737700.0
2008-04-29,41.55,50.16,50.34,48.89,48.89,1223700.0
2008-04-30,41.57,50.18,50.64,49.8,49.98,1066000.0
2008-05-01,41.83,50.49,50.7,49.75,50.02,872900.0
2008-05-02,41.25,49.79,50.94,49.54,50.94,787500.0
2008-05-05,41.21,49.75,50.03,49.41,49.47,657800.0
2008-05-06,41.49,50.08,50.18,49.26,49.62,491500.0
2008-05-07,41.13,49.65,50.65,49.57,50.17,565300.0
2008-05-08,41.3,49.86,50.27,49.62,49.74,593100.0
2008-05-09,41.37,49.94,50.25,49.36,49.59,545200.0
2008-05-12,41.64,50.26,50.38,49.49,50.17,484600.0
2008-05-13,41.21,49.75,50.5,49.5,50.29,727500.0
2008-05-14,41.06,49.56,49.87,49.32,49.78,767800.0
2008-05-15,41.4,49.97,50.26,49.16,49.35,845200.0
2008-05-16,41.48,50.07,50.22,49.66,49.91,713800.0
2008-05-19,41.42,50.0,50.55,49.87,50.07,586300.0
2008-05-20,41.79,50.44,51.04,49.88,49.91,703700.0
2008-05-21,42.0,50.7,51.65,50.58,50.59,950700.0
2008-05-22,42.25,51.0,51.2,50.4,50.65,593800.0
2008-05-23,41.7,50.34,51.04,50.23,50.88,441400.0
2008-05-27,41.82,50.48,50.7,49.99,50.4,491100.0
2008-05-28,41.78,50.43,50.65,50.19,50.5,721500.0
2008-05-29,42.02,50.72,51.15,50.52,50.6,1001700.0
2008-05-30,41.76,50.41,51.04,50.16,50.66,1208700.0
2008-06-02,41.45,50.03,50.28,49.69,50.25,968800.0
2008-06-03,41.3,49.86,50.72,49.49,50.01,1103800.0
2008-06-04,41.35,49.91,50.07,49.59,49.85,905500.0
2008-06-05,41.38,49.95,50.2,49.57,49.74,564200.0
2008-06-06,40.45,48.83,49.7,48.79,49.68,735000.0
2008-06-09,40.55,48.95,49.19,48.37,48.95,725500.0
2008-06-10,41.1,49.61,50.25,48.96,48.96,1283100.0
2008-06-11,40.68,49.11,49.55,48.96,49.28,603600.0
2008-06-12,41.39,49.96,50.5,49.19,49.37,859800.0
2008-06-13,41.68,50.31,50.7,49.89,50.19,635100.0
2008-06-16,41.13,49.65,50.44,49.22,50.08,822000.0
2008-06-17,40.67,49.09,49.79,48.91,49.7,619200.0
2008-06-18,39.97,48.25,49.07,48.01,48.88,1013500.0
2008-06-19,40.21,48.54,48.78,48.03,48.32,716100.0
2008-06-20,39.95,48.22,48.66,48.03,48.41,1318000.0
2008-06-23,39.6,47.8,48.49,47.52,48.49,721200.0
2008-06-24,38.74,46.76,47.55,46.76,47.55,1195200.0
2008-06-25,39.96,48.24,48.5,46.84,46.84,1427500.0
2008-06-26,39.62,47.83,48.48,47.6,47.8,1000200.0
2008-06-27,39.5,47.68,48.48,47.65,48.08,1094300.0
2008-06-30,40.15,48.47,49.26,47.72,47.84,1304300.0
2008-07-01,39.52,47.61,48.02,47.3,48.02,1767300.0
2008-07-02,39.85,48.0,48.16,47.57,47.61,1126700.0
2008-07-03,40.06,48.26,48.5,47.79,48.2,606700.0
2008-07-07,40.3,48.55,48.77,48.16,48.52,1161200.0
2008-07-08,40.63,48.95,49.12,48.09,48.81,2036600.0
2008-07-09,40.59,48.9,49.54,48.64,49.0,1471700.0
2008-07-10,41.31,49.76,49.85,48.75,48.75,2079900.0
2008-07-11,40.74,49.08,49.47,48.74,49.1,1346800.0
2008-07-14,40.45,48.73,49.68,48.5,49.5,992000.0
2008-07-15,40.64,48.96,48.98,48.32,48.55,817100.0
2008-07-16,41.16,49.58,49.58,48.67,48.93,1282500.0
2008-07-17,42.06,50.67,50.77,49.29,49.81,1304800.0
2008-07-18,42.92,51.7,52.13,49.57,50.62,2057800.0
2008-07-21,42.63,51.35,52.12,50.76,51.92,1259300.0
2008-07-22,44.83,54.0,54.36,52.52,53.99,5484700.0
