,Adj Close,Close,High,Low,Open,Volume
2008-01-02,10.95,12.84,13.25,12.79,13.19,5731900.0
2008-01-03,10.36,12.15,13.06,11.98,12.91,6896300.0
2008-01-04,9.32,10.92,12.01,10.66,12.01,13329800.0
2008-01-07,9.35,10.96,11.24,10.37,11.0,11011100.0
2008-01-08,8.76,10.27,11.4,10.25,11.0,11053700.0
2008-01-09,8.98,10.53,10.53,9.78,10.25,9569700.0
2008-01-10,9.5,11.14,11.4,10.19,10.47,10340500.0
2008-01-11,9.43,11.05,11.46,10.76,11.15,11052900.0
2008-01-14,9.84,11.54,11.62,10.91,11.02,9351000.0
2008-01-15,9.64,11.3,11.59,11.15,11.37,9896500.0
2008-01-16,9.82,11.51,12.01,11.01,11.01,11934100.0
2008-01-17,9.99,11.71,12.0,11.44,11.69,13617100.0
2008-01-18,10.35,12.13,12.24,11.67,11.81,12328000.0
2008-01-22,11.0,12.9,13.18,11.5,11.5,10612100.0
2008-01-23,12.33,14.45,14.62,12.44,12.69,18143600.0
2008-01-24,13.21,15.48,15.58,14.21,14.5,16479200.0
2008-01-25,13.16,15.43,17.0,15.43,15.89,18354600.0
2008-01-28,13.56,15.9,15.99,14.65,15.2,14337100.0
2008-01-29,14.27,16.73,16.98,15.5,15.85,16434800.0
2008-01-30,13.32,15.62,16.65,15.53,16.65,14453200.0
2008-01-31,14.72,17.26,17.8,14.95,15.1,19952400.0
2008-02-01,14.77,17.31,17.78,16.52,17.29,15763400.0
2008-02-04,14.13,16.56,17.25,16.28,17.25,9525200.0
2008-02-05,13.18,15.45,16.94,15.35,16.29,14526700.0
2008-02-06,12.63,14.81,15.77,14.54,15.64,10853000.0
2008-02-07,12.83,15.04,16.61,14.49,14.51,16956300.0
2008-02-08,12.21,14.17,15.27,13.64,15.06,12175100.0
2008-02-11,12.49,14.5,14.74,13.75,14.19,7083100.0
2008-02-12,12.23,14.19,14.89,13.96,14.62,6559800.0
2008-02-13,12.46,14.46,14.52,13.92,14.32,7287000.0
2008-02-14,12.13,14.08,14.7,13.98,14.49,5445600.0
2008-02-15,11.91,13.82,14.14,13.4,14.04,6251700.0
