,Adj Close,Close,High,Low,Open,Volume
2008-01-02,27.17,31.84,32.63,31.69,32.32,9269900.0
2008-01-03,27.11,31.77,32.02,31.66,31.88,9681100.0
2008-01-04,26.57,31.13,31.68,31.0,31.0,9550700.0
2008-01-07,26.59,31.16,31.49,30.91,31.38,10742900.0
2008-01-08,26.06,30.54,31.5,30.46,31.25,13014300.0
2008-01-09,25.74,30.16,30.59,29.2,30.57,24858700.0
2008-01-10,26.18,30.67,30.94,29.9,29.9,12240900.0
2008-01-11,25.88,30.32,30.88,30.21,30.45,11671000.0
2008-01-14,25.9,30.35,30.75,30.12,30.5,8717400.0
2008-01-15,25.48,29.85,30.28,29.58,30.22,12043800.0
2008-01-16,25.46,29.83,30.27,29.33,29.66,18819600.0
2008-01-17,24.55,28.77,30.04,28.69,29.9,20109200.0
2008-01-18,24.33,28.51,29.31,28.25,29.0,16355300.0
2008-01-22,24.0,28.12,28.48,26.3,27.18,20538100.0
2008-01-23,24.34,28.52,28.54,27.09,27.1,22041300.0
2008-01-24,24.95,29.23,29.31,28.35,28.58,14847200.0
2008-01-25,24.48,28.68,29.86,28.6,29.53,11966600.0
2008-01-28,25.07,29.37,29.47,28.5,28.75,10421800.0
2008-01-29,24.58,28.8,29.2,28.12,28.73,23011500.0
2008-01-30,25.1,29.41,29.98,29.06,29.06,16609200.0
2008-01-31,25.47,29.84,30.17,28.84,29.04,15074200.0
2008-02-01,26.17,30.66,30.8,30.18,30.75,13988600.0
2008-02-04,26.37,30.9,31.05,30.62,31.05,11835300.0
2008-02-05,25.66,30.07,30.99,30.05,30.99,19217700.0
2008-02-06,26.88,31.5,32.18,31.1,31.9,31176300.0
2008-02-07,27.07,31.72,31.92,31.11,31.26,16612800.0
2008-02-08,27.41,32.12,32.3,31.61,31.61,15161400.0
2008-02-11,27.25,31.93,32.27,31.52,32.27,9082000.0
2008-02-12,27.34,32.03,32.44,31.77,32.06,14314100.0
2008-02-13,27.98,32.78,32.96,32.07,32.07,14445500.0
2008-02-14,27.58,32.32,32.85,32.16,32.72,11997100.0
2008-02-15,27.73,32.49,32.7,32.03,32.16,15225700.0
2008-02-19,27.47,32.19,32.78,32.12,32.53,10609500.0
2008-02-20,27.81,32.58,32.67,31.89,31.97,10207100.0
2008-02-21,27.54,32.27,32.89,32.2,32.63,10305200.0
2008-02-22,27.8,32.57,32.64,31.8,32.25,8812400.0
2008-02-25,28.07,32.89,33.09,32.49,32.82,13567800.0
2008-02-26,28.07,32.89,33.21,32.72,32.75,10340600.0
2008-02-27,28.25,33.1,33.23,32.61,32.76,10319600.0
2008-02-28,27.77,32.54,33.19,32.44,32.93,11221100.0
2008-02-29,27.66,32.41,32.85,32.13,32.13,14575900.0
2008-03-03,27.66,32.41,32.71,32.11,32.61,8283100.0
2008-03-04,27.2,31.87,32.25,31.38,32.16,15907700.0
2008-03-05,27.0,31.64,32.15,31.52,31.9,9692200.0
2008-03-06,26.67,31.25,31.74,31.19,31.55,10529000.0
2008-03-07,26.25,30.76,31.25,30.56,31.11,12750400.0
2008-03-10,26.0,30.46,30.82,30.28,30.82,12622400.0
2008-03-11,26.62,31.19,31.21,30.61,31.0,14520900.0
2008-03-12,26.81,31.41,31.82,31.2,31.26,9646200.0
2008-03-13,26.74,31.33,31.58,30.82,31.21,10556200.0
2008-03-14,26.27,30.78,31.36,30.43,31.33,11421400.0
2008-03-17,26.0,30.46,30.85,30.05,30.14,12626300.0
2008-03-18,27.07,31.72,31.73,30.77,30.77,13788400.0
2008-03-19,26.66,31.24,31.9,31.23,31.69,11737100.0
2008-03-20,27.23,31.9,31.98,31.25,31.28,13802300.0
2008-03-24,27.35,32.04,32.16,31.8,32.0,10536000.0
2008-03-25,27.38,32.08,32.24,31.84,31.99,8547300.0
2008-03-26,27.11,31.76,32.04,31.53,31.91,9219700.0
2008-03-27,26.78,31.38,31.96,31.31,31.88,9569900.0
2008-03-28,26.46,31.0,31.78,31.0,31.59,11021000.0
2008-03-31,26.78,31.38,31.48,30.99,31.04,11352000.0
2008-04-01,27.23,31.91,32.02,31.52,31.52,15649900.0
