,Adj Close,Close,High,Low,Open,Volume
2008-01-02,12.67,12.67,13.04,12.56,12.76,4189900.0
2008-01-03,12.87,12.87,12.9,12.52,12.52,2918800.0
2008-01-04,12.49,12.49,12.94,12.39,12.84,4118300.0
2008-01-07,12.5,12.5,12.65,12.34,12.5,3209800.0
2008-01-08,12.36,12.36,12.58,12.32,12.55,3459500.0
2008-01-09,12.28,12.28,12.62,12.03,12.34,4612000.0
2008-01-10,12.26,12.26,12.36,12.04,12.34,2377500.0
2008-01-11,12.27,12.27,12.41,12.15,12.26,2084500.0
2008-01-14,12.62,12.62,12.64,12.27,12.3,2435600.0
2008-01-15,12.41,12.41,12.71,12.39,12.45,3331500.0
2008-01-16,12.78,12.78,13.01,12.44,12.57,5477000.0
2008-01-17,12.53,12.53,12.97,12.52,12.8,3993200.0
2008-01-18,11.94,11.94,13.0,11.82,13.0,5200500.0
2008-01-22,11.71,11.71,11.88,11.37,11.65,5275600.0
2008-01-23,11.9,11.9,11.99,11.43,11.78,5267000.0
2008-01-24,12.25,12.25,12.29,11.68,11.93,3999700.0
2008-01-25,12.16,12.16,12.59,12.13,12.39,3605500.0
2008-01-28,12.45,12.45,12.62,12.21,12.28,3325500.0
2008-01-29,12.24,12.24,12.72,12.2,12.53,2998300.0
2008-01-30,11.95,11.95,12.22,11.94,12.22,3800100.0
2008-01-31,11.87,11.87,11.92,11.75,11.86,5093800.0
2008-02-01,11.94,11.94,12.4,11.8,11.95,5789000.0
2008-02-04,11.94,11.94,12.01,11.9,11.96,4924000.0
2008-02-05,11.29,11.29,11.72,11.23,11.7,10219000.0
2008-02-06,11.37,11.37,11.45,10.9,11.39,10877700.0
2008-02-07,11.51,11.51,11.6,11.16,11.34,5131000.0
2008-02-08,11.28,11.28,11.66,11.17,11.37,6580200.0
2008-02-11,11.1,11.1,11.32,10.92,11.28,4974600.0
2008-02-12,11.15,11.15,11.33,10.99,11.16,5329800.0
2008-02-13,11.65,11.65,11.68,11.17,11.23,3460900.0
2008-02-14,11.54,11.54,11.71,11.47,11.65,3096700.0
2008-02-15,11.62,11.62,11.69,11.21,11.46,7525600.0
2008-02-19,11.65,11.65,12.05,11.6,11.84,6013200.0
2008-02-20,11.56,11.56,11.62,11.37,11.62,3961700.0
2008-02-21,11.18,11.18,11.59,11.14,11.58,3445400.0
2008-02-22,11.73,11.73,11.74,11.28,11.39,4093400.0
2008-02-25,11.93,11.93,12.0,11.7,11.76,3240000.0
2008-02-26,11.9,11.9,12.09,11.82,11.82,2419200.0
2008-02-27,12.03,12.03,12.06,11.82,11.82,2971300.0
2008-02-28,11.9,11.9,12.16,11.85,11.89,2763200.0
2008-02-29,11.53,11.53,11.72,11.38,11.72,4529400.0
2008-03-03,11.75,11.75,11.77,11.53,11.53,2940100.0
2008-03-04,11.33,11.33,11.65,11.15,11.59,3585000.0
2008-03-05,11.32,11.32,11.69,11.31,11.4,4967000.0
2008-03-06,10.92,10.92,11.49,10.9,11.37,4706900.0
2008-03-07,10.63,10.63,10.97,10.57,10.86,12494400.0
2008-03-10,10.21,10.21,10.69,10.21,10.68,8227600.0
2008-03-11,10.76,10.76,10.76,10.0,10.26,5774300.0
2008-03-12,10.75,10.75,11.2,10.74,11.18,4655500.0
2008-03-13,10.83,10.83,10.91,10.37,10.57,3550700.0
2008-03-14,10.56,10.56,10.99,10.32,10.65,3283600.0
2008-03-17,10.33,10.33,10.46,10.12,10.35,4096900.0
2008-03-18,10.55,10.55,10.55,10.21,10.48,3713900.0
2008-03-19,10.47,10.47,10.86,10.47,10.86,3007500.0
2008-03-20,10.56,10.56,10.78,10.41,10.77,3163800.0
2008-03-24,10.94,10.94,10.97,10.53,10.58,2670700.0
2008-03-25,11.17,11.17,11.18,10.85,10.92,3392000.0
2008-03-26,10.89,10.89,11.2,10.79,11.09,3554300.0
2008-03-27,10.71,10.71,10.99,10.62,10.72,2461500.0
2008-03-28,10.29,10.29,10.89,10.2,10.83,5612200.0
2008-03-31,10.84,10.84,10.85,10.5,10.74,3905900.0
2008-04-01,11.12,11.12,11.23,10.88,10.91,4081300.0
2008-04-02,11.01,11.01,11.17,10.91,11.17,3794600.0
2008-04-03,10.94,10.94,11.19,10.8,11.19,2234300.0
2008-04-04,11.1,11.1,11.16,10.89,11.0,2027000.0
2008-04-07,11.39,11.39,11.55,10.88,10.88,5696200.0
2008-04-08,11.24,11.24,11.42,11.17,11.32,4076000.0
2008-04-09,11.24,11.24,11.29,11.13,11.24,3502000.0
2008-04-10,11.34,11.34,11.52,11.12,11.52,4287700.0
2008-04-11,11.08,11.08,11.49,11.01,11.49,5259600.0
2008-04-14,11.02,11.02,11.21,10.99,11.0,2440100.0
2008-04-15,11.0,11.0,11.06,10.88,11.06,2052300.0
2008-04-16,11.09,11.09,11.17,11.02,11.03,2741100.0
2008-04-17,11.19,11.19,11.34,11.11,11.11,2191600.0
2008-04-18,11.64,11.64,11.82,11.33,11.4,5963700.0
2008-04-21,11.55,11.55,11.62,11.44,11.56,3145400.0
2008-04-22,11.36,11.36,11.58,11.29,11.58,3371300.0
2008-04-23,11.39,11.39,11.47,11.26,11.44,2908200.0
2008-04-24,11.62,11.62,11.76,11.24,11.43,5827700.0
2008-04-25,11.35,11.35,11.67,11.24,11.6,3036400.0
2008-04-28,11.36,11.36,11.75,11.32,11.7,4621000.0
2008-04-29,11.73,11.73,11.83,11.27,11.3,6983700.0
2008-04-30,11.83,11.83,11.99,11.74,11.74,4140000.0
2008-05-01,12.45,12.45,12.46,11.75,11.75,6703500.0
2008-05-02,12.44,12.44,12.52,12.13,12.49,4691900.0
2008-05-05,11.99,11.99,12.43,11.82,12.43,6043600.0
2008-05-06,12.2,12.2,12.23,11.96,11.96,4233500.0
2008-05-07,11.96,11.96,12.27,11.91,12.21,2882200.0
2008-05-08,13.16,13.16,13.26,12.16,12.16,10107500.0
2008-05-09,13.56,13.56,13.6,12.83,12.89,5605200.0
2008-05-12,13.13,13.13,13.56,12.91,13.56,5863500.0
2008-05-13,13.32,13.32,13.37,13.05,13.15,3472300.0
2008-05-14,13.25,13.25,13.48,13.21,13.36,3507100.0
2008-05-15,13.54,13.54,13.64,13.08,13.21,2799000.0
2008-05-16,13.29,13.29,13.61,13.13,13.61,3634700.0
2008-05-19,13.19,13.19,13.37,13.11,13.2,2431700.0
2008-05-20,13.03,13.03,13.34,12.94,13.11,1894900.0
2008-05-21,13.13,13.13,13.33,12.52,13.06,7501300.0
2008-05-22,13.29,13.29,13.3,12.95,13.14,3315500.0
