,Adj Close,Close,High,Low,Open,Volume
2008-01-02,23.31,38.5,39.19,38.0,38.32,1122000.0
2008-01-03,22.54,37.24,39.2,37.05,38.73,799000.0
2008-01-04,21.3,35.18,37.24,35.03,36.56,1053600.0
2008-01-07,21.23,35.07,35.74,34.34,35.41,1360800.0
2008-01-08,20.49,33.84,35.43,33.58,35.24,1875400.0
2008-01-09,21.09,34.83,35.08,33.11,33.85,1286800.0
2008-01-10,21.15,34.93,35.51,33.65,34.5,1613300.0
2008-01-11,20.99,34.67,35.41,33.73,34.67,749800.0
2008-01-14,21.53,35.57,35.78,34.3,34.97,644500.0
2008-01-15,20.69,34.17,35.2,34.17,34.93,561100.0
2008-01-16,21.09,34.84,35.43,33.84,34.15,652800.0
2008-01-17,20.59,34.02,35.09,33.9,34.82,690300.0
2008-01-18,19.95,32.96,34.33,32.54,34.33,1599100.0
2008-01-22,20.84,34.42,35.18,32.32,32.92,1098300.0
2008-01-23,22.27,36.78,37.47,33.45,33.48,2578900.0
2008-01-24,22.37,36.95,38.32,36.8,37.8,1875700.0
2008-01-25,22.3,36.83,37.75,36.11,37.41,832300.0
2008-01-28,23.12,38.19,38.19,36.15,37.08,536200.0
2008-01-29,22.79,37.64,39.17,37.63,38.58,750000.0
2008-01-30,22.33,36.89,38.57,36.67,37.54,670100.0
2008-01-31,21.65,35.76,36.72,34.27,35.43,7091100.0
2008-02-01,22.1,36.5,36.91,35.4,35.48,6412600.0
2008-02-04,22.4,37.0,37.4,36.19,36.47,1733200.0
2008-02-05,21.76,35.94,37.22,35.91,36.2,1072500.0
2008-02-06,21.44,35.41,36.69,35.21,36.28,706900.0
2008-02-07,21.85,36.09,36.27,34.82,35.28,895600.0
2008-02-08,21.14,34.92,36.47,34.62,35.9,546400.0
2008-02-11,20.81,34.37,34.86,33.76,34.86,916800.0
2008-02-12,21.07,34.8,35.01,34.0,34.26,707800.0
2008-02-13,21.35,35.27,35.37,34.13,35.28,617500.0
2008-02-14,21.33,35.24,35.76,34.89,35.28,1497600.0
2008-02-15,21.37,35.3,35.67,34.54,35.04,486300.0
2008-02-19,21.41,35.37,36.04,35.23,35.7,601500.0
2008-02-20,21.93,36.22,36.23,34.83,35.05,677300.0
2008-02-21,21.76,35.95,37.26,35.73,36.54,700600.0
2008-02-22,21.79,36.0,36.4,35.22,36.08,675700.0
2008-02-25,22.67,37.44,37.44,35.21,35.94,742400.0
2008-02-26,22.7,37.49,38.22,37.0,37.0,854800.0
2008-02-27,21.88,36.15,37.82,35.73,37.29,1480600.0
2008-02-28,22.39,36.98,37.17,35.96,36.04,1495300.0
2008-02-29,21.73,35.9,36.8,35.57,36.46,799200.0
2008-03-03,22.17,36.62,36.88,35.61,36.2,753600.0
2008-03-04,20.89,34.5,36.45,33.86,36.45,1670500.0
2008-03-05,20.86,34.46,35.26,34.08,35.04,977800.0
2008-03-06,20.15,33.29,35.25,32.75,34.34,1234900.0
2008-03-07,20.28,33.5,33.87,32.53,33.0,982300.0
2008-03-10,19.41,32.07,33.56,32.07,33.35,1462600.0
2008-03-11,21.01,34.71,34.73,32.27,33.0,1174900.0
2008-03-12,20.64,34.1,35.15,33.85,34.49,1270500.0
2008-03-13,20.61,33.74,33.96,32.4,33.64,885500.0
2008-03-14,19.91,32.59,34.36,31.78,34.11,1040300.0
2008-03-17,19.82,32.44,32.72,31.28,31.69,703700.0
2008-03-18,20.94,34.28,34.28,32.64,33.19,1224200.0
2008-03-19,21.02,34.4,35.61,34.13,34.58,1193700.0
2008-03-20,21.79,35.66,35.82,34.14,34.77,1549200.0
2008-03-24,22.76,37.25,37.64,35.6,35.6,1131700.0
2008-03-25,22.87,37.43,37.5,36.03,37.2,1175200.0
2008-03-26,22.16,36.27,37.53,35.83,37.08,1384000.0
2008-03-27,22.05,36.09,37.0,35.82,36.5,549400.0
2008-03-28,21.57,35.31,36.5,35.22,36.18,436400.0
2008-03-31,21.69,35.5,36.15,35.07,35.3,822400.0
2008-04-01,22.66,37.09,37.13,35.43,35.92,734900.0
2008-04-02,22.75,37.24,37.25,36.03,36.98,629700.0
2008-04-03,23.03,37.69,37.9,36.57,36.6,1015900.0
2008-04-04,22.98,37.62,38.23,36.91,37.6,885100.0
2008-04-07,22.7,37.15,38.01,36.89,37.71,530300.0
2008-04-08,22.54,36.9,37.7,36.7,37.16,521900.0
2008-04-09,22.14,36.24,37.35,36.16,37.09,779100.0
2008-04-10,22.59,36.98,37.17,36.08,36.3,529600.0
2008-04-11,22.31,36.52,37.48,36.24,36.6,601800.0
2008-04-14,22.3,36.51,37.0,36.25,36.44,566100.0
2008-04-15,22.46,36.77,37.0,36.09,36.83,405900.0
2008-04-16,23.7,38.79,38.93,36.97,37.18,1089100.0
2008-04-17,23.75,38.88,38.92,37.81,38.59,460400.0
2008-04-18,24.2,39.62,40.47,39.0,39.68,1404200.0
2008-04-21,24.23,39.66,40.1,39.25,39.35,466700.0
2008-04-22,23.95,39.21,39.79,38.92,39.4,801500.0
2008-04-23,24.78,40.56,40.56,39.03,39.44,728500.0
2008-04-24,25.2,41.25,41.74,40.57,40.6,1414700.0
2008-04-25,25.18,41.21,41.6,40.9,41.27,964500.0
2008-04-28,24.23,39.66,41.23,39.53,40.59,1056800.0
2008-04-29,24.13,39.5,40.06,38.64,39.6,966100.0
2008-04-30,23.67,38.75,39.85,38.71,39.7,490000.0
2008-05-01,23.95,39.2,39.54,38.37,38.98,834800.0
2008-05-02,23.69,38.77,39.55,38.38,39.55,747500.0
2008-05-05,23.26,38.07,38.66,38.01,38.57,645800.0
2008-05-06,23.47,38.41,38.54,37.83,38.05,713900.0
2008-05-07,23.0,37.65,38.73,37.41,38.41,587800.0
2008-05-08,24.22,39.64,40.6,38.04,38.04,1633600.0
2008-05-09,24.1,39.45,40.32,38.95,39.21,831600.0
2008-05-12,24.8,40.6,40.85,39.61,39.79,1262500.0
2008-05-13,25.0,40.92,41.24,40.28,40.65,1070500.0
2008-05-14,25.5,41.74,41.74,40.69,41.13,942700.0
2008-05-15,25.71,42.08,42.48,41.12,41.74,1458900.0
2008-05-16,25.78,42.2,42.55,41.42,42.33,766000.0
2008-05-19,25.95,42.47,42.76,41.52,42.02,863800.0
2008-05-20,25.62,41.93,42.49,41.58,41.99,1121700.0
2008-05-21,25.12,41.11,42.4,40.94,42.23,712000.0
2008-05-22,24.68,40.39,41.14,40.11,41.04,870600.0
2008-05-23,25.1,41.09,41.19,39.81,40.05,528200.0
2008-05-27,25.18,41.22,41.84,40.8,41.31,522900.0
2008-05-28,25.9,42.4,42.46,41.2,41.59,752900.0
2008-05-29,26.17,42.84,43.0,41.84,42.62,1149400.0
2008-05-30,25.84,42.3,43.45,42.08,42.74,1181700.0
2008-06-02,25.08,41.06,41.98,41.06,41.9,747300.0
2008-06-03,25.4,41.58,41.63,40.62,41.19,895000.0
2008-06-04,25.54,41.8,42.08,40.71,41.33,788600.0
2008-06-05,26.19,42.87,42.87,41.73,41.9,416800.0
2008-06-06,25.2,41.25,42.89,41.18,42.39,546700.0
2008-06-09,25.08,41.05,42.02,41.05,41.45,608400.0
2008-06-10,25.63,41.96,42.03,40.5,40.89,762800.0
2008-06-11,24.82,40.62,42.08,40.5,41.7,713400.0
2008-06-12,25.25,41.02,41.68,40.35,40.66,506900.0
2008-06-13,25.7,41.74,41.74,40.11,41.37,454200.0
2008-06-16,26.39,42.86,43.17,41.31,41.6,660700.0
2008-06-17,25.76,41.85,43.08,41.74,43.05,447000.0
2008-06-18,25.87,42.02,42.49,41.26,41.8,910300.0
2008-06-19,26.61,43.23,43.26,41.77,42.02,583600.0
2008-06-20,25.42,41.29,42.97,40.7,42.94,1537100.0
2008-06-23,25.19,40.92,41.92,40.69,41.58,740900.0
2008-06-24,24.54,39.86,40.8,39.53,40.38,1142100.0
2008-06-25,24.69,40.11,40.75,39.54,39.78,1087400.0
2008-06-26,24.11,39.16,40.08,39.0,40.08,1233300.0
2008-06-27,25.0,40.61,40.9,38.28,39.59,5781000.0
2008-06-30,25.19,40.91,41.55,40.44,40.9,1093800.0
2008-07-01,25.71,41.76,41.82,40.4,40.55,1373500.0
2008-07-02,25.29,41.08,42.4,41.01,42.0,941500.0
2008-07-03,25.19,40.91,41.68,40.63,41.34,425100.0
2008-07-07,23.99,38.97,41.18,38.72,41.06,1130000.0
2008-07-08,25.96,42.17,42.29,38.28,38.74,1463400.0
2008-07-09,23.84,38.73,42.13,38.31,42.0,1267900.0
2008-07-10,23.83,38.71,39.94,38.28,38.82,1148200.0
2008-07-11,24.27,39.43,40.5,37.96,38.37,637200.0
2008-07-14,23.79,38.65,40.28,38.58,40.05,959000.0
2008-07-15,23.89,38.81,39.5,38.07,38.21,1436300.0
2008-07-16,24.42,39.66,40.0,36.96,37.39,5114500.0
2008-07-17,24.87,40.4,40.64,38.63,39.3,2316200.0
2008-07-18,24.68,40.09,40.5,39.33,40.5,920600.0
2008-07-21,25.12,40.8,40.96,39.52,40.21,1234900.0
2008-07-22,25.79,41.9,42.0,39.86,40.3,1348400.0
2008-07-23,25.95,42.16,43.0,41.23,41.85,1028400.0
2008-07-24,24.7,40.12,42.16,39.92,41.84,1160300.0
2008-07-25,24.99,40.6,41.85,39.91,40.22,888700.0
2008-07-28,24.48,39.76,41.12,39.65,40.55,1510800.0
2008-07-29,26.3,42.72,42.87,39.59,40.06,1307600.0
2008-07-30,26.46,42.98,43.28,41.93,42.72,1226800.0
2008-07-31,26.42,42.91,43.46,42.02,42.29,1234700.0
2008-08-01,26.43,42.94,43.28,42.02,43.19,680900.0
2008-08-04,26.22,42.59,43.08,42.31,42.99,576300.0
2008-08-05,27.04,43.92,44.48,41.98,43.05,1040800.0
2008-08-06,27.23,44.23,45.41,43.59,43.92,1783200.0
2008-08-07,27.05,43.94,45.74,43.2,43.81,926800.0
2008-08-08,28.21,45.82,46.26,43.59,43.59,1630200.0
2008-08-11,28.73,46.66,46.86,45.81,45.9,1102700.0
2008-08-12,28.58,46.42,46.98,45.84,46.09,998300.0
2008-08-13,28.07,45.6,46.63,45.52,46.58,834800.0
2008-08-14,28.27,45.92,46.1,44.75,44.75,1263700.0
2008-08-15,28.17,45.76,46.88,45.3,45.82,1071100.0
2008-08-18,27.92,45.36,46.11,44.55,44.56,788500.0
2008-08-19,27.76,45.1,45.56,44.44,44.96,704400.0
2008-08-20,27.33,44.4,45.65,43.82,45.27,1053400.0
2008-08-21,26.7,43.37,43.98,43.03,43.62,898100.0
2008-08-22,27.49,44.66,44.9,43.29,43.7,700200.0
2008-08-25,26.78,43.5,44.23,43.36,44.12,420300.0
2008-08-26,26.85,43.62,44.15,42.95,43.43,667300.0
2008-08-27,27.51,44.69,45.1,43.4,43.81,542500.0
2008-08-28,28.1,45.65,45.75,44.55,45.02,1150500.0
2008-08-29,28.24,45.87,46.48,44.92,45.2,542300.0
2008-09-02,28.21,45.82,46.89,45.02,46.3,593600.0
2008-09-03,28.89,46.92,46.92,45.49,45.82,597900.0
2008-09-04,27.68,44.97,46.87,44.97,46.48,1021500.0
2008-09-05,27.78,45.12,45.39,44.21,44.46,637000.0
2008-09-08,28.39,46.12,47.67,45.38,46.77,1218800.0
2008-09-09,27.3,44.34,46.49,43.82,45.9,995900.0
2008-09-10,27.38,44.48,45.82,43.43,44.73,893900.0
2008-09-11,28.16,45.42,45.49,43.17,43.43,597100.0
2008-09-12,28.62,46.17,46.22,44.78,44.78,448700.0
2008-09-15,26.55,42.82,45.7,42.82,45.24,1300800.0
2008-09-16,27.97,45.11,45.55,42.37,42.49,1072100.0
2008-09-17,26.68,43.03,45.0,43.01,44.01,1565900.0
2008-09-18,29.76,48.0,48.0,42.17,44.23,2395200.0
2008-09-19,30.55,49.28,51.28,45.31,49.89,1745100.0
2008-09-22,27.35,44.11,49.43,43.84,49.1,1168700.0
2008-09-23,27.51,44.38,47.66,43.56,44.47,1185800.0
