,Adj Close,Close,High,Low,Open,Volume
2008-01-02,29.929,31.75,31.75,30.35,30.64,2609300.0
2008-01-03,30.6265,32.49,33.64,31.73,31.73,2766200.0
2008-01-04,29.3728,31.16,33.08,30.86,33.08,2108500.0
2008-01-07,29.665,31.47,31.7,30.68,31.36,2245700.0
2008-01-08,28.1851,29.9,32.13,29.83,31.64,2688200.0
2008-01-09,28.2605,29.98,30.31,29.2,29.92,2471500.0
2008-01-10,28.1191,29.83,30.03,29.11,29.8,1937400.0
2008-01-11,27.5535,29.23,30.0,29.15,29.64,1244300.0
2008-01-14,27.94,29.64,29.71,29.17,29.37,4127900.0
2008-01-15,26.8277,28.46,29.5,28.24,29.38,1772100.0
2008-01-16,24.8199,26.33,28.11,25.69,28.09,3248800.0
2008-01-17,23.1325,24.54,26.74,24.47,26.49,3503000.0
2008-01-18,23.2739,24.69,25.58,24.48,24.89,2710200.0
2008-01-22,22.6423,24.02,24.52,21.76,23.6,5285600.0
2008-01-23,22.4821,23.85,24.0,22.33,23.38,2248600.0
2008-01-24,24.028,25.49,25.63,23.99,23.99,2672300.0
2008-01-25,23.519,24.95,26.3,24.78,25.19,1597200.0
2008-01-28,24.0375,25.5,25.51,24.21,24.82,2058600.0
2008-01-29,23.5661,25.0,26.15,24.88,25.98,1947800.0
2008-01-30,23.651,25.09,26.01,24.39,24.8,2607000.0
2008-01-31,23.8489,25.3,25.52,24.29,24.77,2462700.0
2008-02-01,24.9424,26.46,26.53,25.3,25.3,1636300.0
2008-02-04,25.4986,27.05,27.37,26.35,26.35,1963400.0
2008-02-05,24.6973,26.2,27.86,26.15,26.62,2622600.0
2008-02-06,24.2637,25.74,26.44,25.63,26.39,2234200.0
2008-02-07,24.5465,26.04,26.37,25.0,25.53,2243600.0
2008-02-08,25.6777,27.24,27.36,26.03,26.03,1718100.0
2008-02-11,26.2904,27.89,27.98,27.03,27.32,1680000.0
2008-02-12,26.3752,27.98,28.63,27.61,28.07,1337200.0
2008-02-13,26.9502,28.59,28.67,27.89,28.16,1344700.0
2008-02-14,27.3838,29.05,29.35,28.53,29.1,1966100.0
2008-02-15,26.8748,28.51,29.94,27.62,28.89,1531600.0
2008-02-19,28.0814,29.79,30.07,28.81,28.96,1721400.0
2008-02-20,29.3445,31.13,31.32,29.8,30.05,3396500.0
2008-02-21,29.3728,31.16,33.57,30.51,32.85,4043800.0
2008-02-22,29.2126,30.99,31.21,30.27,30.27,2219000.0
2008-02-25,29.929,31.75,31.91,30.81,31.03,2168300.0
2008-02-26,30.6831,32.55,32.71,31.1,31.7,1736100.0
2008-02-27,30.1269,31.96,33.0,31.8,32.35,1713100.0
2008-02-28,30.7962,32.67,32.88,31.86,32.5,2145200.0
2008-02-29,30.061,31.89,32.63,31.71,32.39,1952500.0
2008-03-03,30.1552,31.99,32.4,31.55,31.75,2326000.0
2008-03-04,30.4851,32.34,32.62,31.52,31.73,3300800.0
2008-03-05,30.6831,32.55,32.85,32.17,32.33,2759500.0
2008-03-06,30.1364,31.97,32.9,31.96,32.45,1851400.0
2008-03-07,29.4482,31.24,32.04,30.78,31.62,1700100.0
2008-03-10,28.4208,30.15,31.35,29.87,31.35,2273100.0
2008-03-11,30.6831,32.55,32.77,31.19,31.87,2363600.0
2008-03-12,30.0892,31.92,32.97,31.75,32.68,2552800.0
2008-03-13,30.702,32.57,32.85,31.03,31.59,1637300.0
2008-03-14,29.7122,31.52,32.67,30.81,32.66,1972300.0
2008-03-17,27.3838,29.05,31.25,28.57,31.0,3772600.0
2008-03-18,28.3642,30.09,30.29,29.5,29.6,2586600.0
2008-03-19,25.4608,27.01,31.52,26.98,29.53,3830500.0
2008-03-20,25.1403,26.67,26.97,24.45,26.97,5491400.0
2008-03-24,25.8191,27.39,28.19,26.48,26.48,2013600.0
2008-03-25,27.6949,29.38,29.76,27.2,27.82,4356100.0
2008-03-26,27.9589,29.66,29.92,29.0,29.31,1684500.0
2008-03-27,27.7609,29.45,30.09,29.36,29.73,2341000.0
2008-03-28,27.5347,29.21,29.93,29.01,29.5,1333800.0
2008-03-31,26.9125,28.55,29.43,28.03,29.21,2806300.0
2008-04-01,26.8371,28.47,28.76,27.58,28.51,2346500.0
2008-04-02,27.4404,29.11,29.69,28.28,28.42,2021000.0
2008-04-03,26.9785,28.62,29.22,28.52,29.1,2206000.0
2008-04-04,28.6564,30.4,30.86,28.68,28.68,2825400.0
2008-04-07,29.0618,30.83,31.7,30.5,31.03,1845800.0
2008-04-08,29.3445,31.13,31.31,30.41,30.5,1178500.0
2008-04-09,29.0429,30.81,31.68,30.74,31.12,1872600.0
2008-04-10,29.4954,31.29,31.29,30.43,30.75,1524800.0
2008-04-11,28.2982,30.02,31.27,29.92,30.55,1486400.0
2008-04-14,28.8827,30.64,30.92,29.81,29.81,1355800.0
2008-04-15,29.0995,30.87,31.25,30.39,30.99,1511900.0
2008-04-16,30.6077,32.47,32.5,31.07,31.17,1740200.0
2008-04-17,29.6933,31.5,32.94,31.14,32.94,1757000.0
2008-04-18,30.3155,32.16,32.22,31.03,31.91,1481600.0
2008-04-21,31.3807,33.29,33.56,32.39,32.61,2050000.0
2008-04-22,31.3241,33.23,34.19,32.99,33.34,2479900.0
2008-04-23,30.3909,32.24,33.57,32.01,33.57,2118500.0
2008-04-24,28.8449,30.6,32.2,30.22,32.2,2116300.0
2008-04-25,30.0798,31.91,32.68,30.95,30.95,1950500.0
2008-04-28,29.7593,31.57,32.4,31.44,32.0,1673500.0
2008-04-29,28.4962,30.23,31.55,30.15,31.55,1618500.0
2008-04-30,28.8072,30.56,30.82,29.54,30.6,1761200.0
2008-05-01,27.1576,28.81,29.48,27.28,29.46,5052000.0
2008-05-02,27.7986,29.49,30.13,28.82,28.94,3479700.0
2008-05-05,29.0052,30.77,31.2,29.54,29.76,2301200.0
2008-05-06,29.6273,31.43,31.68,30.5,31.15,2155800.0
2008-05-07,29.6179,31.42,32.17,31.11,31.53,1775400.0
2008-05-08,30.5229,32.38,32.43,31.43,31.66,1954600.0
2008-05-09,30.9848,32.87,32.99,31.89,32.6,2831300.0
2008-05-12,30.9659,32.85,33.24,32.08,33.24,1497600.0
2008-05-13,32.0971,34.05,34.48,32.62,32.92,2174600.0
2008-05-14,31.5786,33.5,34.53,33.36,34.21,1792500.0
2008-05-15,31.8331,33.77,34.32,32.67,33.71,2157500.0
2008-05-16,32.87,34.87,34.88,34.05,34.5,2442700.0
2008-05-19,33.8975,35.96,36.45,34.52,34.95,2467700.0
2008-05-20,34.5008,36.6,36.92,35.76,35.92,2012900.0
2008-05-21,34.6799,36.79,38.6,36.64,36.72,3688500.0
2008-05-22,34.4914,36.59,37.26,35.9,37.02,3525600.0
2008-05-23,33.9729,36.04,37.22,35.39,36.83,1854500.0
2008-05-27,32.5778,34.56,36.04,34.29,36.04,2846900.0
2008-05-28,32.3799,34.35,34.61,33.05,34.46,3085800.0
2008-05-29,31.5409,33.46,34.35,33.18,34.28,2302800.0
2008-05-30,32.0782,34.03,34.18,33.48,33.48,2180200.0
2008-06-02,33.3131,35.34,36.48,34.0,34.0,2693700.0
2008-06-03,33.0209,35.03,36.25,34.63,35.4,2514600.0
2008-06-04,31.3618,33.27,35.23,33.02,35.23,2869500.0
2008-06-05,32.7946,34.79,34.79,32.88,33.48,2848500.0
2008-06-06,33.002,35.01,36.79,35.0,35.0,3730900.0
2008-06-09,33.9541,36.02,36.44,35.0,35.26,2397400.0
2008-06-10,32.361,34.33,37.16,33.28,36.14,5086100.0
2008-06-11,32.8041,34.8,35.13,34.01,34.36,2628200.0
2008-06-12,31.4089,33.32,34.87,33.21,34.87,2429300.0
2008-06-13,31.5975,33.52,34.04,32.92,33.35,1542400.0
2008-06-16,33.9352,36.0,36.75,34.99,34.99,4769700.0
2008-06-17,36.4992,38.72,39.08,35.91,36.25,3901900.0
2008-06-18,37.3665,39.64,40.0,38.66,39.01,3809300.0
2008-06-19,36.1599,38.36,40.32,38.28,39.7,3733600.0
2008-06-20,35.4435,37.6,38.7,37.4,38.31,2722600.0
2008-06-23,36.3673,38.58,38.92,37.36,37.69,2043400.0
2008-06-24,34.1992,36.28,39.3,36.25,38.68,2855600.0
2008-06-25,34.2369,36.32,37.17,34.74,36.47,3323300.0
2008-06-26,33.1151,35.13,36.37,34.65,36.0,2318700.0
2008-06-27,33.2471,35.27,36.02,35.15,35.39,2722300.0
2008-06-30,34.4066,36.5,36.62,35.21,35.31,2931700.0
2008-07-01,34.4537,36.55,36.7,35.6,36.31,2797600.0
2008-07-02,31.6446,33.57,37.24,33.56,37.24,4160400.0
2008-07-03,31.2864,33.19,34.16,32.35,33.63,1938500.0
2008-07-07,30.7397,32.61,33.82,32.08,32.93,2832900.0
2008-07-08,30.2212,32.06,32.46,30.24,32.46,2533100.0
2008-07-09,30.7302,32.6,33.13,32.06,32.18,3839200.0
2008-07-10,32.229,34.19,34.19,32.56,33.16,3484600.0
2008-07-11,31.6823,33.61,35.33,33.05,34.78,2337200.0
2008-07-14,32.7758,34.77,35.0,33.08,33.93,2189900.0
2008-07-15,31.6069,33.53,35.11,33.37,34.07,3109500.0
2008-07-16,30.1269,31.96,33.83,31.61,33.51,3167900.0
2008-07-17,28.4208,30.15,32.43,29.11,31.91,3909300.0
2008-07-18,28.5904,30.33,31.38,29.0,29.62,1878700.0
2008-07-21,30.2778,32.12,32.15,30.11,30.87,2529000.0
2008-07-22,28.4208,30.15,31.87,30.09,31.87,2852800.0
2008-07-23,26.1396,27.73,30.38,27.44,29.91,8281300.0
2008-07-24,25.8379,27.41,28.25,26.15,28.0,3975800.0
2008-07-25,26.1301,27.72,28.28,27.21,27.3,2488700.0
2008-07-28,27.0539,28.7,29.29,27.73,27.82,3754300.0
2008-07-29,26.2055,27.8,28.81,26.93,28.81,3209600.0
2008-07-30,28.449,30.18,30.22,27.33,27.87,3250400.0
2008-07-31,26.526,28.14,29.83,27.41,29.74,3430500.0
2008-08-01,26.8183,28.45,28.97,27.64,28.13,3212200.0
2008-08-04,24.292,25.77,28.77,25.45,28.59,2866300.0
2008-08-05,21.8411,23.17,24.75,21.29,24.75,10562400.0
2008-08-06,22.8026,24.19,24.41,23.14,23.17,4105300.0
2008-08-07,22.3313,23.69,25.5,23.65,24.73,2618400.0
2008-08-08,21.5206,22.83,23.63,22.26,23.57,2624300.0
2008-08-11,21.662,22.98,23.22,22.23,23.09,3407900.0
2008-08-12,22.0108,23.35,23.76,22.77,23.24,3761000.0
2008-08-13,23.6038,25.04,25.21,22.88,23.27,3792600.0
2008-08-14,23.0288,24.43,25.21,23.58,25.21,2599200.0
2008-08-15,22.6141,23.99,24.62,23.65,24.48,1883000.0
2008-08-18,22.3501,23.71,24.65,23.6,23.99,1940100.0
2008-08-19,23.4342,24.86,25.03,23.66,23.66,2378300.0
2008-08-20,24.1034,25.57,25.83,24.57,25.07,3449700.0
2008-08-21,24.8199,26.33,26.65,25.74,26.19,2930500.0
2008-08-22,23.3587,24.78,26.32,24.43,26.32,2877000.0
2008-08-25,23.01,24.41,25.19,24.17,24.6,1987200.0
2008-08-26,23.717,25.16,25.68,24.45,24.45,2476800.0
2008-08-27,24.16,25.63,25.92,25.17,25.67,1990600.0
2008-08-28,23.9338,25.39,26.0,24.45,25.8,2518700.0
2008-08-29,23.4624,24.89,25.95,24.81,25.66,1194600.0
2008-09-02,21.1435,22.43,24.15,22.37,24.15,4203100.0
2008-09-03,20.9644,22.24,23.1,21.51,22.26,5657600.0
2008-09-04,21.4829,22.79,23.38,22.0,22.21,4441000.0
2008-09-05,21.6808,23.0,23.03,21.58,22.85,3679200.0
2008-09-08,20.9362,22.21,23.96,21.89,23.66,4080800.0
2008-09-09,19.3525,20.53,22.0,20.53,21.82,5607500.0
2008-09-10,21.1624,22.45,22.65,20.61,20.82,4885300.0
2008-09-11,20.9173,22.19,22.56,20.68,22.26,3458300.0
2008-09-12,21.9919,23.33,23.64,22.01,22.4,2492700.0
2008-09-15,19.6353,20.83,22.35,20.58,21.26,3717700.0
2008-09-16,19.7201,20.92,20.92,18.76,20.05,5134100.0
2008-09-17,18.8906,20.04,21.22,19.02,21.04,3930000.0
2008-09-18,19.4279,20.61,21.29,19.03,20.88,4092100.0
2008-09-19,21.8411,23.17,23.37,21.01,21.94,4755500.0
2008-09-22,21.5771,22.89,24.06,22.54,23.45,3328200.0
2008-09-23,21.2284,22.52,23.33,22.21,22.48,2728900.0
2008-09-24,20.6251,21.88,23.31,21.75,22.76,2500400.0
2008-09-25,20.8702,22.14,22.49,21.64,21.95,1916700.0
2008-09-26,20.2857,21.52,21.82,20.69,21.82,2136800.0
2008-09-29,16.468,17.47,20.4,16.11,20.4,5749000.0
2008-09-30,17.948,19.04,19.33,17.84,17.98,3672600.0
2008-10-01,17.0619,18.1,18.86,17.62,18.61,2477700.0
2008-10-02,15.2709,16.2,17.46,15.95,17.34,4394400.0
2008-10-03,14.5167,15.4,17.43,15.24,16.31,4190900.0
2008-10-06,13.2819,14.09,14.71,11.55,14.71,5640900.0
2008-10-07,11.0478,11.72,14.76,11.22,14.5,5370200.0
2008-10-08,11.3023,11.99,12.5,9.79,11.06,9763600.0
2008-10-09,10.2748,10.9,12.82,10.85,12.3,6237500.0
2008-10-10,9.2662,9.83,11.24,8.88,9.78,5836600.0
2008-10-13,12.2261,12.97,13.18,10.58,10.59,4250500.0
2008-10-14,11.7831,12.5,14.5,11.72,13.78,5341200.0
2008-10-15,9.6998,10.29,11.76,10.2,11.71,2754500.0
2008-10-16,10.2088,10.83,10.84,9.1,10.51,6809000.0
2008-10-17,10.7462,11.4,12.98,10.24,10.5,5187800.0
2008-10-20,12.3581,13.11,13.27,11.73,12.03,4692600.0
2008-10-21,11.6794,12.39,13.1,12.21,12.99,2210400.0
2008-10-22,9.6433,10.23,11.75,9.88,11.62,3650500.0
2008-10-23,9.7847,10.38,11.1,9.6,10.67,3980000.0
2008-10-24,9.6527,10.24,10.36,8.92,9.12,2950900.0
2008-10-27,8.4555,8.97,10.07,8.97,9.99,2812300.0
2008-10-28,9.0871,9.64,9.69,8.39,9.5,4657400.0
2008-10-29,9.7281,10.32,11.1,9.7,9.88,5040400.0
2008-10-30,11.7171,12.43,12.47,10.68,10.68,3884100.0
2008-10-31,11.981,12.71,13.19,11.52,12.44,3473800.0
2008-11-03,11.1044,11.78,13.0,11.6,12.98,2263100.0
2008-11-04,12.9897,13.78,13.96,12.08,12.37,4651300.0
2008-11-05,11.8396,12.56,13.61,12.56,13.61,4022300.0
