,Adj Close,Close,High,Low,Open,Volume
2008-01-02,13.94,25.62,26.01,25.14,25.49,1597300.0
2008-01-03,13.32,24.48,25.87,24.44,25.81,1444400.0
2008-01-04,12.73,23.39,24.2,23.29,24.2,2036300.0
2008-01-07,12.91,23.72,23.81,22.79,23.53,2443500.0
2008-01-08,12.27,22.56,24.38,22.49,24.0,2061000.0
2008-01-09,12.24,22.5,22.77,21.45,22.47,3154000.0
2008-01-10,12.0,22.06,22.59,21.56,22.24,4091300.0
2008-01-11,11.98,22.01,22.62,21.45,21.89,2086300.0
2008-01-14,11.89,21.85,22.39,21.41,22.18,1815000.0
2008-01-15,11.59,21.31,21.65,21.2,21.65,1922200.0
2008-01-16,11.98,22.02,22.57,21.19,21.2,2819200.0
2008-01-17,11.86,21.79,22.4,21.72,22.02,2373000.0
2008-01-18,11.61,21.34,22.28,21.0,22.18,2339000.0
2008-01-22,11.87,21.82,22.12,20.5,20.5,2928000.0
2008-01-23,12.81,23.55,23.81,21.17,21.55,4651700.0
2008-01-24,12.77,23.47,24.15,22.95,23.78,2695100.0
2008-01-25,12.81,23.54,24.25,23.3,23.68,2361400.0
2008-01-28,13.61,25.02,25.02,23.35,23.56,1740400.0
2008-01-29,13.84,25.43,25.5,24.69,25.21,2329900.0
2008-01-30,13.24,24.34,25.58,24.2,25.21,2551100.0
2008-01-31,12.83,23.58,23.87,22.75,23.7,4066700.0
2008-02-01,13.28,24.4,24.43,23.15,23.82,2584400.0
2008-02-04,12.97,23.84,24.49,23.34,24.47,2078900.0
2008-02-05,12.53,23.03,23.88,22.96,23.58,1952000.0
2008-02-06,12.54,23.04,24.06,22.63,23.2,2668200.0
2008-02-07,12.91,23.73,23.75,22.9,22.99,2502100.0
2008-02-08,12.7,23.34,23.88,23.19,23.72,2241000.0
2008-02-11,12.68,23.3,23.52,22.84,23.48,1451700.0
2008-02-12,12.98,23.36,23.49,22.8,23.24,1699000.0
2008-02-13,13.21,23.78,23.91,22.98,23.51,1618200.0
2008-02-14,12.87,23.17,23.87,23.06,23.75,1921200.0
2008-02-15,13.09,23.57,23.63,22.88,23.1,1981500.0
2008-02-19,12.79,23.03,24.0,22.92,23.85,1216100.0
2008-02-20,13.01,23.42,23.46,22.73,22.9,1286600.0
2008-02-21,12.61,22.7,23.74,22.66,23.56,1441200.0
2008-02-22,13.0,23.4,23.4,22.51,22.8,1385300.0
2008-02-25,13.45,24.21,24.24,23.1,23.49,1856900.0
2008-02-26,13.5,24.3,24.43,23.73,24.0,1867300.0
2008-02-27,13.39,24.1,24.56,23.93,24.28,1090500.0
2008-02-28,13.04,23.48,24.06,23.48,24.06,1130800.0
2008-02-29,12.73,22.92,23.48,22.84,23.28,1491900.0
2008-03-03,12.78,23.01,23.15,22.63,22.97,1141200.0
2008-03-04,12.58,22.65,22.96,22.32,22.92,1413700.0
2008-03-05,12.53,22.55,23.1,22.38,22.85,1456900.0
2008-03-06,11.88,21.38,22.15,21.3,22.15,2466300.0
2008-03-07,11.98,21.56,21.69,21.01,21.13,2220700.0
2008-03-10,11.79,21.23,21.7,21.1,21.54,1747500.0
2008-03-11,12.22,22.0,22.13,21.33,22.0,2460400.0
2008-03-12,12.22,22.0,22.76,21.83,22.14,1224100.0
2008-03-13,12.36,22.25,22.44,21.19,21.77,1603400.0
2008-03-14,12.08,21.75,22.41,21.26,22.41,2207200.0
2008-03-17,12.01,21.62,21.8,21.07,21.24,1701900.0
2008-03-18,12.35,22.24,22.37,21.63,22.11,1630800.0
2008-03-19,12.36,22.25,22.79,22.17,22.39,1396600.0
2008-03-20,12.72,22.9,22.97,22.09,22.31,4078900.0
2008-03-24,13.08,23.55,23.85,22.91,22.99,1776400.0
2008-03-25,13.28,23.91,24.0,23.34,23.55,1679200.0
2008-03-26,12.81,23.06,23.98,23.06,23.8,1135900.0
2008-03-27,12.62,22.72,23.34,22.63,23.15,1497800.0
2008-03-28,12.49,22.48,22.93,22.29,22.91,1984400.0
2008-03-31,12.67,22.81,23.53,22.53,22.56,1692900.0
2008-04-01,13.33,23.99,24.0,22.73,23.21,2461000.0
2008-04-02,13.34,24.02,24.17,23.47,23.98,2088200.0
2008-04-03,13.74,24.73,24.73,23.73,23.96,1138300.0
2008-04-04,13.74,24.73,25.04,24.5,24.9,1631300.0
2008-04-07,13.52,24.34,24.86,24.01,24.86,1305600.0
2008-04-08,13.18,23.73,24.38,23.54,24.34,1521900.0
2008-04-09,12.78,23.01,23.94,22.95,23.83,1038100.0
2008-04-10,12.87,23.17,23.5,22.74,23.03,1141100.0
2008-04-11,12.69,22.84,23.16,22.75,22.81,978100.0
2008-04-14,12.69,22.85,23.05,22.67,22.87,899500.0
2008-04-15,12.65,22.78,23.1,22.42,23.02,1150800.0
2008-04-16,13.11,23.6,23.67,22.7,22.96,1283000.0
2008-04-17,13.33,24.0,24.0,23.38,23.55,962100.0
2008-04-18,13.33,23.99,24.48,23.8,24.31,1008900.0
2008-04-21,13.18,23.73,24.1,23.62,23.87,626300.0
2008-04-22,12.99,23.39,23.92,23.37,23.69,925100.0
2008-04-23,13.28,23.9,24.02,23.4,23.46,2602600.0
2008-04-24,13.89,25.0,25.19,23.77,23.95,1840500.0
2008-04-25,14.17,25.5,25.61,25.0,25.13,1282300.0
2008-04-28,14.03,25.25,25.6,25.06,25.6,947500.0
2008-04-29,14.09,25.36,25.46,25.06,25.3,703200.0
2008-04-30,13.57,24.42,25.54,24.26,25.54,1837100.0
2008-05-01,13.7,24.66,25.08,24.0,24.3,1429900.0
2008-05-02,14.3,25.75,26.19,25.5,25.67,2513600.0
2008-05-05,14.43,25.98,25.98,25.52,25.92,1384100.0
2008-05-06,14.63,26.34,26.42,25.54,25.6,1498000.0
2008-05-07,14.34,25.81,26.6,25.66,26.48,1526600.0
2008-05-08,14.42,25.95,26.08,25.5,25.68,1459400.0
2008-05-09,14.21,25.58,26.02,25.3,25.67,1476300.0
2008-05-12,14.61,25.81,25.81,25.01,25.38,1292800.0
2008-05-13,14.56,25.71,25.98,25.39,25.98,766300.0
2008-05-14,14.72,26.0,26.13,25.71,25.73,706800.0
2008-05-15,14.97,26.45,26.45,25.68,26.07,668400.0
2008-05-16,15.07,26.62,27.09,26.45,26.45,1265700.0
2008-05-19,15.14,26.74,26.85,26.48,26.79,964600.0
