,Adj Close,Close,High,Low,Open,Volume
2008-01-02,15.96,23.82,25.02,23.7,25.02,3358000.0
2008-01-03,15.64,23.34,24.01,22.99,23.91,4232800.0
2008-01-04,15.33,22.87,23.3,22.55,23.1,3246400.0
2008-01-07,14.65,21.86,22.88,21.56,22.88,4785800.0
2008-01-08,14.27,21.13,22.01,21.09,21.86,3852300.0
2008-01-09,13.81,20.45,21.19,19.81,21.19,5456400.0
2008-01-10,14.15,20.96,21.18,20.26,20.26,3840900.0
2008-01-11,13.39,19.84,20.89,19.81,20.61,3324500.0
2008-01-14,13.16,19.49,20.05,19.2,19.93,4109600.0
2008-01-15,12.92,19.14,19.51,18.96,19.08,3170400.0
2008-01-16,12.67,18.76,19.4,18.67,19.12,4844500.0
2008-01-17,12.7,18.82,19.21,18.67,18.79,4060600.0
2008-01-18,13.39,19.84,20.16,18.99,18.99,4911800.0
2008-01-22,13.8,20.44,20.75,18.77,18.77,5268800.0
2008-01-23,15.69,23.24,23.45,19.38,19.81,8873200.0
2008-01-24,16.57,24.55,24.66,23.07,23.2,8547800.0
2008-01-25,15.82,23.43,25.16,23.14,24.74,4787200.0
2008-01-28,16.58,24.56,24.63,22.8,23.31,5194700.0
2008-01-29,16.38,24.27,24.94,24.13,24.76,4353900.0
2008-01-30,16.15,23.92,24.89,23.83,24.36,3647400.0
2008-01-31,17.1,25.32,25.73,23.15,23.7,3552100.0
2008-02-01,17.4,25.78,25.9,24.48,25.56,3150600.0
2008-02-04,16.67,24.7,25.98,24.62,25.98,2179600.0
2008-02-05,16.21,24.01,24.82,23.9,24.31,2242800.0
2008-02-06,15.94,23.61,24.25,23.54,24.13,2799900.0
2008-02-07,16.23,24.04,24.25,23.43,23.43,2464900.0
2008-02-08,16.21,24.01,24.54,23.7,23.97,1855200.0
2008-02-11,17.51,25.93,26.31,25.48,25.86,6896600.0
2008-02-12,18.32,27.13,28.16,26.15,26.37,5653700.0
2008-02-13,18.9,28.0,28.36,27.07,27.07,4620700.0
2008-02-14,18.32,27.13,28.16,27.04,27.77,2838500.0
2008-02-15,18.43,27.3,27.4,26.65,26.96,2256700.0
2008-02-19,18.41,27.27,27.98,27.07,27.8,1550500.0
2008-02-20,19.08,28.26,28.38,26.9,27.1,2533900.0
2008-02-21,18.76,27.78,28.6,27.68,28.33,1616100.0
2008-02-22,18.94,28.05,28.15,27.37,27.95,1284800.0
2008-02-25,19.43,28.78,28.79,27.5,27.97,1733900.0
2008-02-26,20.05,29.7,29.97,28.66,28.76,3039700.0
2008-02-27,19.4,28.74,29.61,28.64,29.32,1949200.0
2008-02-28,18.79,27.84,28.74,27.73,28.74,1768800.0
2008-02-29,18.6,27.56,28.46,27.42,27.56,2312300.0
2008-03-03,18.8,27.85,28.6,27.5,28.6,2745600.0
2008-03-04,18.79,27.84,28.03,27.28,27.66,2381500.0
2008-03-05,18.48,27.38,28.37,27.28,27.94,2741200.0
2008-03-06,17.5,25.92,27.22,25.82,27.15,2726200.0
2008-03-07,17.05,25.25,25.75,24.88,25.69,3418500.0
2008-03-10,17.02,25.21,26.18,25.16,25.42,1782300.0
