,Adj Close,Close,High,Low,Open,Volume
2008-01-02,26.71,44.05,44.45,43.88,43.97,2183000.0
2008-01-03,26.3,43.38,44.28,43.34,44.27,1545600.0
2008-01-04,26.07,43.0,43.59,43.0,43.1,1126600.0
2008-01-07,26.41,43.56,43.68,43.11,43.34,1804900.0
2008-01-08,26.35,43.45,43.99,43.38,43.75,1583800.0
2008-01-09,26.81,44.21,44.21,43.11,43.11,2449300.0
2008-01-10,26.99,44.51,44.97,43.94,43.97,2205600.0
2008-01-11,26.86,44.3,44.65,44.05,44.19,1819000.0
2008-01-14,27.42,45.23,45.34,44.32,44.57,2626600.0
2008-01-15,26.84,44.26,45.22,44.22,44.76,1967300.0
2008-01-16,26.9,44.37,44.93,44.18,44.4,1906600.0
2008-01-17,26.13,43.1,44.59,42.99,44.42,1792000.0
2008-01-18,25.89,42.7,43.71,42.47,43.48,2273000.0
2008-01-22,25.21,41.58,42.15,40.8,40.8,2565000.0
2008-01-23,26.5,43.71,43.78,41.28,41.59,4142800.0
2008-01-24,25.41,41.9,43.65,41.75,43.47,2440000.0
2008-01-25,25.14,41.47,42.44,41.29,42.28,1180900.0
2008-01-28,25.45,41.97,42.36,41.47,41.65,1583800.0
2008-01-29,25.4,41.89,42.68,41.78,42.35,1411900.0
2008-01-30,25.42,41.92,43.07,41.8,42.56,1780400.0
2008-01-31,25.85,42.63,42.97,41.31,41.55,2558300.0
2008-02-01,26.43,43.59,43.7,42.6,42.75,1355800.0
2008-02-04,26.62,43.9,44.24,43.4,43.56,1085800.0
2008-02-05,25.74,42.45,43.46,42.37,43.29,1105100.0
2008-02-06,25.84,42.62,43.27,42.57,42.82,849800.0
2008-02-07,25.33,41.77,42.5,41.33,42.36,1634400.0
2008-02-08,25.38,41.86,41.95,41.3,41.46,906900.0
2008-02-11,25.4,41.89,42.1,41.6,41.93,774700.0
2008-02-12,25.58,42.18,42.31,41.8,42.0,701200.0
2008-02-13,25.3,41.73,42.67,41.65,42.28,878400.0
2008-02-14,25.1,41.4,42.29,41.18,41.81,722600.0
2008-02-15,25.33,41.77,41.9,41.03,41.4,1196900.0
2008-02-19,25.71,42.4,42.7,42.0,42.25,1338800.0
2008-02-20,25.71,42.4,42.49,41.81,41.95,879700.0
2008-02-21,25.82,42.59,42.59,41.18,42.31,1604700.0
2008-02-22,25.28,41.69,42.71,41.23,42.7,1409200.0
2008-02-25,25.34,41.79,42.02,41.5,41.9,1457000.0
2008-02-26,25.5,42.05,42.14,41.56,41.72,1120800.0
2008-02-27,24.98,41.2,42.28,41.13,41.88,1402000.0
2008-02-28,25.1,41.4,41.49,40.93,40.99,1775500.0
2008-02-29,24.14,39.81,41.52,39.62,41.52,1468000.0
2008-03-03,24.37,40.19,40.28,39.52,39.84,1001700.0
2008-03-04,24.68,40.71,40.85,40.01,40.01,1355700.0
2008-03-05,24.65,40.66,40.9,40.17,40.9,1111800.0
2008-03-06,23.98,39.55,40.59,39.52,40.53,1159300.0
2008-03-07,23.96,39.52,39.7,38.98,39.48,1212800.0
2008-03-10,23.92,39.45,39.75,38.98,39.5,1602300.0
2008-03-11,24.71,40.76,40.76,39.71,40.27,1597200.0
2008-03-12,24.29,40.06,41.06,40.06,41.06,1204000.0
2008-03-13,24.13,39.8,39.98,39.24,39.95,1095300.0
2008-03-14,23.81,39.27,40.3,38.81,40.3,1156600.0
2008-03-17,23.84,38.79,39.19,37.87,38.48,1295000.0
2008-03-18,24.28,39.5,39.54,38.75,39.01,1012200.0
2008-03-19,23.86,38.82,40.13,38.82,39.93,872200.0
2008-03-20,24.1,39.21,39.42,38.42,38.87,871600.0
2008-03-24,23.98,39.01,39.38,38.65,39.3,626600.0
2008-03-25,23.88,38.85,39.06,38.59,38.95,1005900.0
2008-03-26,23.89,38.87,39.17,38.69,38.73,620300.0
2008-03-27,24.05,39.13,39.5,38.96,39.34,1153500.0
2008-03-28,23.79,38.71,39.46,38.56,39.46,1166300.0
2008-03-31,23.9,38.89,38.98,38.27,38.71,1812800.0
2008-04-01,24.44,39.77,39.89,38.95,38.97,1151600.0
2008-04-02,24.7,40.19,40.47,39.75,39.8,828200.0
2008-04-03,24.72,40.22,40.41,39.69,40.03,784800.0
2008-04-04,24.95,40.59,41.31,40.15,40.28,932300.0
2008-04-07,24.87,40.47,40.88,40.34,40.88,822200.0
2008-04-08,24.58,39.99,40.51,39.89,40.2,1060900.0
2008-04-09,24.71,40.2,40.41,39.95,40.09,545100.0
2008-04-10,24.86,40.44,40.58,40.18,40.5,1269200.0
2008-04-11,24.99,40.66,40.98,40.04,40.04,1127300.0
2008-04-14,25.25,41.08,41.11,40.61,40.73,766800.0
2008-04-15,25.54,41.55,41.72,41.09,41.09,1328800.0
2008-04-16,26.04,42.36,42.36,41.45,41.82,790900.0
2008-04-17,26.0,42.3,42.57,42.03,42.15,841200.0
2008-04-18,26.16,42.57,42.93,42.19,42.83,665100.0
