,Adj Close,Close,High,Low,Open,Volume
2008-01-02,33.42,59.25,60.69,58.89,60.39,2407100.0
2008-01-03,33.52,59.43,60.0,59.25,59.34,1654000.0
2008-01-04,33.5,59.4,59.94,58.92,59.04,2108900.0
2008-01-07,34.37,60.93,61.05,59.55,59.85,2323600.0
2008-01-08,34.27,60.75,61.8,60.6,61.11,2831600.0
2008-01-09,34.64,61.41,61.59,60.66,60.81,2284000.0
2008-01-10,34.59,61.32,61.74,60.84,61.08,2212800.0
2008-01-11,34.15,60.54,61.29,60.3,60.87,2010800.0
2008-01-14,34.27,60.75,61.05,60.3,60.9,1838000.0
2008-01-15,33.69,59.73,61.11,59.64,60.15,2844700.0
2008-01-16,33.76,59.85,60.45,59.22,59.52,3019100.0
2008-01-17,32.78,58.11,60.0,57.93,59.91,3344700.0
2008-01-18,32.42,57.48,59.22,57.15,58.41,3640900.0
2008-01-22,31.32,55.53,56.85,54.33,54.6,4398200.0
2008-01-23,32.13,56.97,57.0,54.24,54.78,5087700.0
2008-01-24,31.14,55.2,57.0,54.9,56.97,3382700.0
2008-01-25,30.37,53.85,55.8,53.64,55.8,3894900.0
2008-01-28,31.02,54.99,55.05,53.73,54.03,2304500.0
2008-01-29,31.05,55.05,55.5,54.78,55.35,2318500.0
2008-01-30,31.14,55.2,56.31,54.6,54.93,2757700.0
2008-01-31,31.56,55.95,56.34,54.45,55.41,3893900.0
2008-02-01,31.96,56.67,56.67,55.23,55.89,2128200.0
2008-02-04,32.56,57.72,58.26,56.64,56.79,2580800.0
2008-02-05,31.34,55.56,57.45,55.44,56.85,3164500.0
2008-02-06,31.88,56.52,57.15,56.01,56.16,3268400.0
2008-02-07,31.12,55.17,56.61,54.69,56.31,4989700.0
2008-02-08,31.12,55.17,55.56,54.69,55.2,2416400.0
2008-02-11,31.3,55.5,55.65,54.87,55.05,3276300.0
2008-02-12,31.64,56.1,56.46,55.56,55.74,2797600.0
2008-02-13,31.54,55.26,56.04,54.81,55.89,2526400.0
2008-02-14,31.1,54.48,55.92,54.24,55.38,2244300.0
2008-02-15,30.96,54.24,54.72,53.94,54.63,2284500.0
2008-02-19,31.11,54.51,54.87,54.24,54.72,1964100.0
2008-02-20,31.3,54.84,55.05,53.94,54.15,2585200.0
2008-02-21,30.67,53.73,55.02,53.64,54.93,2547200.0
2008-02-22,31.2,54.66,54.72,53.46,53.76,2310000.0
2008-02-25,31.51,55.2,55.35,54.6,54.6,2718500.0
2008-02-26,31.52,55.23,55.26,54.3,54.84,3589900.0
2008-02-27,31.25,54.75,55.56,54.66,54.99,2290400.0
2008-02-28,30.7,53.79,54.84,53.73,54.81,4213800.0
2008-02-29,30.03,52.62,53.67,52.41,53.67,4667300.0
2008-03-03,30.29,53.07,53.37,52.44,52.65,2604100.0
2008-03-04,30.31,53.1,53.37,52.41,52.71,3500300.0
2008-03-05,30.17,52.86,53.37,52.08,53.37,2785400.0
