,Adj Close,Close,High,Low,Open,Volume
2008-01-02,56.76,56.76,58.35,56.23,58.03,2957600.0
2008-01-03,56.14,56.14,57.1,55.75,56.66,2438200.0
2008-01-04,54.51,54.51,56.5,54.26,56.08,2640400.0
2008-01-07,54.03,54.03,55.02,53.67,54.61,4676400.0
2008-01-08,53.5,53.5,55.97,53.5,54.33,3782800.0
2008-01-09,53.25,53.25,55.3,53.01,53.72,5004800.0
2008-01-10,53.72,53.72,54.12,52.48,53.3,4575500.0
2008-01-11,52.86,52.86,53.6,52.25,53.21,4079700.0
2008-01-14,53.32,53.32,53.94,52.85,53.27,2246900.0
2008-01-15,51.47,51.47,53.29,51.47,52.69,4064700.0
2008-01-16,49.96,49.96,51.47,49.45,51.41,8174700.0
2008-01-17,50.6,50.6,51.18,49.53,49.53,5893500.0
2008-01-18,49.42,49.42,51.34,49.09,49.86,7838200.0
2008-01-22,49.49,49.49,50.01,46.35,47.05,6720300.0
2008-01-23,48.07,48.07,48.46,45.8,46.55,10178500.0
2008-01-24,49.46,49.46,49.47,46.87,48.2,6207400.0
2008-01-25,47.22,47.22,50.0,47.14,49.94,4722200.0
2008-01-28,46.19,46.19,47.53,45.83,47.01,5838800.0
2008-01-29,45.57,45.57,46.32,44.23,46.14,8248400.0
2008-01-30,47.23,47.23,48.46,46.52,46.71,7941700.0
2008-01-31,47.37,47.37,47.68,45.6,46.5,6898500.0
2008-02-01,48.62,48.62,49.0,46.34,46.61,9309800.0
2008-02-04,46.5,46.5,48.97,46.5,48.39,5651300.0
2008-02-05,45.41,45.41,46.14,44.85,45.53,8001600.0
2008-02-06,44.41,44.41,45.69,44.25,45.69,5967200.0
2008-02-07,44.78,44.78,45.38,43.62,44.56,7200000.0
2008-02-08,44.57,44.57,44.98,44.04,44.44,5628200.0
2008-02-11,46.35,46.35,46.35,44.59,44.9,4854300.0
2008-02-12,48.85,48.85,49.95,45.85,46.7,13668300.0
2008-02-13,48.87,48.87,49.97,48.58,49.25,8045800.0
2008-02-14,48.43,48.43,49.15,47.89,49.15,4924200.0
2008-02-15,48.72,48.72,48.99,47.99,48.25,2679800.0
2008-02-19,48.9,48.9,49.61,48.56,49.28,3777100.0
2008-02-20,49.5,49.5,49.5,48.43,48.74,3616900.0
2008-02-21,48.95,48.95,50.16,48.79,49.49,3647500.0
2008-02-22,49.74,49.74,49.84,48.71,49.26,3630800.0
2008-02-25,47.14,47.14,49.14,46.5,48.3,12723300.0
2008-02-26,47.93,47.93,48.08,46.51,47.05,6072500.0
2008-02-27,47.36,47.36,48.33,47.14,47.88,4015600.0
2008-02-28,47.23,47.23,47.69,47.02,47.12,3163300.0
2008-02-29,47.29,47.29,47.31,45.58,46.34,6277400.0
2008-03-03,47.72,47.72,48.26,46.82,47.07,4748000.0
2008-03-04,47.05,47.05,47.3,46.2,47.24,4461100.0
2008-03-05,47.53,47.53,47.9,46.52,46.63,2843500.0
2008-03-06,46.78,46.78,48.38,46.76,47.57,3174800.0
2008-03-07,46.31,46.31,47.36,45.64,46.63,3963600.0
2008-03-10,44.68,44.68,46.29,44.68,46.29,4542500.0
