,Adj Close,Close,High,Low,Open,Volume
2008-01-02,5.36,5.36,5.36,5.2,5.2,700.0
2008-01-03,5.12,5.12,5.2,5.12,5.2,1273.0
2008-01-04,5.28,5.28,5.28,5.28,5.28,162.0
2008-01-07,5.28,5.28,5.28,5.28,5.28,13.0
2008-01-08,5.28,5.28,5.28,5.28,5.28,2500.0
2008-01-09,5.28,5.28,5.28,5.28,5.28,25281.0
2008-01-10,5.28,5.28,5.28,5.28,5.28,2625.0
2008-01-11,5.36,5.36,5.36,5.36,5.36,828.0
2008-01-14,5.28,5.28,5.28,5.28,5.28,250.0
2008-01-15,5.36,5.36,5.44,5.28,5.28,3844.0
2008-01-16,5.52,5.52,5.52,5.52,5.52,462.0
2008-01-17,5.36,5.36,5.6,5.36,5.36,1375.0
2008-01-18,5.52,5.52,5.6,5.36,5.36,5300.0
2008-01-22,5.2,5.2,5.2,5.2,5.2,628.0
2008-01-23,5.2,5.2,5.2,5.2,5.2,1375.0
2008-01-24,5.2,5.2,5.36,5.2,5.36,1938.0
2008-01-25,5.12,5.12,5.2,5.12,5.2,9375.0
2008-01-28,5.12,5.12,5.12,5.12,5.12,250.0
2008-01-29,5.2,5.2,5.2,5.12,5.12,758.0
2008-01-30,5.2,5.2,5.2,5.2,5.2,0.0
2008-01-31,5.12,5.12,5.2,5.12,5.2,2000.0
2008-02-01,5.12,5.12,5.12,5.12,5.12,0.0
2008-02-04,5.2,5.2,5.2,5.2,5.2,2994.0
2008-02-05,5.2,5.2,5.2,5.2,5.2,184.0
2008-02-06,5.28,5.28,5.28,5.2,5.2,512.0
2008-02-07,5.44,5.44,5.44,5.36,5.36,425.0
2008-02-08,5.36,5.36,5.6,5.36,5.36,812.0
2008-02-11,5.36,5.36,5.36,5.36,5.36,212.0
2008-02-12,5.36,5.36,5.36,5.2,5.36,1738.0
2008-02-13,6.0,6.0,6.0,5.76,5.76,6250.0
2008-02-14,6.0,6.0,6.0,6.0,6.0,38.0
2008-02-15,5.36,5.36,5.36,5.36,5.36,575.0
2008-02-19,5.36,5.36,5.36,5.36,5.36,5199.0
2008-02-20,5.52,5.52,5.52,5.12,5.12,812.0
2008-02-21,5.52,5.52,5.52,5.52,5.52,115.0
2008-02-22,6.0,6.0,6.0,5.52,5.92,6681.0
