,Adj Close,Close,High,Low,Open,Volume
2008-01-02,82.29,98.62,102.74,97.5,100.05,506100.0
2008-01-03,83.12,99.62,100.46,97.76,99.02,583600.0
2008-01-04,78.99,94.67,100.44,94.67,98.14,498300.0
2008-01-07,74.09,88.8,96.11,87.71,95.32,1339900.0
2008-01-08,73.25,87.79,92.56,87.6,89.97,1125900.0
2008-01-09,71.82,86.07,89.11,81.65,87.71,1124200.0
2008-01-10,73.37,87.93,89.1,85.0,85.0,1014300.0
2008-01-11,72.41,86.78,91.4,85.73,90.57,1294300.0
2008-01-14,72.11,86.42,88.7,85.59,87.88,783400.0
2008-01-15,70.06,83.96,85.48,83.6,85.03,789600.0
2008-01-16,67.71,81.15,83.78,77.35,82.95,1331100.0
2008-01-17,63.83,76.5,81.82,75.23,80.9,1573200.0
2008-01-18,62.02,74.33,79.79,73.9,76.91,1218000.0
2008-01-22,60.2,72.15,73.64,69.32,71.86,1923400.0
2008-01-23,59.48,71.28,72.63,66.55,70.22,1726400.0
2008-01-24,64.74,77.59,78.48,71.53,71.96,1466900.0
2008-01-25,63.06,75.58,80.56,74.84,78.87,1053600.0
2008-01-28,63.88,76.56,76.83,72.82,75.27,507400.0
2008-01-29,61.46,73.66,77.29,73.31,76.88,724800.0
2008-01-30,60.83,72.9,74.93,71.85,72.91,777800.0
2008-01-31,63.02,75.53,76.87,71.43,71.43,931900.0
2008-02-01,63.94,76.63,77.63,74.08,75.68,938600.0
2008-02-04,62.65,75.08,77.95,74.34,76.21,821700.0
2008-02-05,60.16,72.1,76.22,71.71,74.22,1061500.0
2008-02-06,58.12,69.65,73.0,69.2,72.83,660100.0
2008-02-07,58.03,69.55,71.15,67.21,69.53,1161800.0
2008-02-08,57.82,69.29,72.52,67.7,72.33,1164900.0
2008-02-11,58.98,70.69,70.89,67.06,69.18,1782500.0
2008-02-12,60.62,72.65,75.5,70.75,71.2,1147500.0
2008-02-13,60.7,72.75,74.5,72.02,73.9,1747500.0
2008-02-14,64.37,77.15,81.49,76.97,80.0,4740300.0
2008-02-15,62.5,74.91,76.74,73.85,76.29,1172300.0
2008-02-19,60.05,71.97,75.76,71.52,75.6,750400.0
2008-02-20,57.87,69.36,71.61,67.5,71.61,1466900.0
2008-02-21,58.42,70.02,70.86,69.07,69.69,1187200.0
2008-02-22,58.78,70.44,72.04,68.75,70.75,1178400.0
2008-02-25,58.43,70.03,71.21,69.0,70.08,918200.0
2008-02-26,58.28,69.85,70.5,68.77,69.42,906200.0
2008-02-27,58.57,70.19,70.27,68.77,69.08,832600.0
2008-02-28,60.13,72.06,72.89,69.79,70.0,1499000.0
2008-02-29,57.87,69.35,71.47,68.57,70.89,1039100.0
2008-03-03,56.86,68.14,69.5,67.39,68.76,786500.0
2008-03-04,53.82,64.5,67.84,62.41,67.29,1669700.0
2008-03-05,51.34,61.53,65.06,61.1,64.55,2086000.0
2008-03-06,50.23,60.2,61.91,60.18,61.43,1641800.0
2008-03-07,50.94,61.05,61.75,59.59,60.24,1932000.0
2008-03-10,49.91,59.82,63.31,59.64,61.5,1458900.0
2008-03-11,53.01,63.53,63.55,60.45,60.89,1621000.0
2008-03-12,53.68,64.33,66.96,63.48,63.65,1895700.0
2008-03-13,53.83,64.51,65.24,61.86,63.75,898000.0
2008-03-14,53.81,64.49,67.68,62.9,64.56,1519100.0
2008-03-17,50.53,60.56,63.57,59.36,63.0,1214700.0
2008-03-18,53.3,63.88,64.86,59.67,60.59,2258000.0
2008-03-19,50.5,60.52,63.9,60.05,63.9,1036100.0
2008-03-20,48.21,57.78,60.94,57.26,60.92,1963100.0
2008-03-24,53.94,64.64,66.76,58.0,58.0,1756400.0
2008-03-25,57.01,68.32,68.36,64.25,64.78,1494200.0
2008-03-26,57.41,68.8,69.62,67.58,67.86,1610900.0
2008-03-27,56.89,68.18,69.66,67.86,69.2,997700.0
2008-03-28,55.64,66.68,69.77,66.09,69.77,774800.0
2008-03-31,55.48,66.49,67.51,65.81,66.65,625100.0
2008-04-01,57.83,69.31,69.44,66.72,67.3,951400.0
2008-04-02,59.05,70.77,73.0,69.11,69.15,1334900.0
2008-04-03,58.91,70.6,71.24,68.74,69.99,654300.0
2008-04-04,61.76,74.02,74.47,70.02,70.8,1182100.0
2008-04-07,60.18,72.12,74.0,71.54,73.75,726800.0
2008-04-08,60.69,72.73,73.07,70.34,71.12,373900.0
2008-04-09,59.58,71.4,72.93,70.79,72.8,525300.0
2008-04-10,61.89,74.17,75.13,70.63,71.52,564900.0
2008-04-11,60.24,72.19,73.14,71.0,73.14,613500.0
2008-04-14,58.88,70.57,72.19,70.03,71.56,538800.0
2008-04-15,58.32,69.89,72.43,69.39,70.98,654700.0
2008-04-16,61.45,73.65,73.89,70.3,70.8,866500.0
2008-04-17,61.6,73.82,74.41,71.84,73.47,753900.0
2008-04-18,66.08,79.19,79.4,75.58,75.85,1679500.0
2008-04-21,68.48,82.07,82.43,78.85,79.33,1586200.0
2008-04-22,66.38,79.56,82.11,79.07,81.6,1904200.0
2008-04-23,67.82,81.28,82.19,78.41,80.83,1768100.0
2008-04-24,72.2,86.53,91.09,86.3,89.58,3979800.0
2008-04-25,74.9,89.77,90.06,86.0,86.9,1204000.0
2008-04-28,77.62,93.02,93.49,88.76,89.06,1338000.0
2008-04-29,75.2,90.12,93.8,89.47,93.01,1567600.0
2008-04-30,75.45,90.42,92.62,88.52,90.17,993400.0
2008-05-01,76.1,91.2,92.0,89.43,91.54,634900.0
2008-05-02,74.97,89.85,93.92,88.55,91.99,866000.0
2008-05-05,73.97,88.65,90.28,87.25,89.1,949100.0
2008-05-06,73.71,88.34,88.71,87.21,87.94,862300.0
2008-05-07,73.09,87.59,90.24,87.12,88.3,677100.0
2008-05-08,73.98,88.66,89.1,87.66,87.79,430000.0
2008-05-09,73.75,88.39,89.39,87.6,87.6,461100.0
2008-05-12,74.41,89.18,89.43,86.78,88.87,471500.0
2008-05-13,73.69,88.31,90.5,86.0,89.43,726200.0
2008-05-14,73.67,88.29,90.47,88.09,88.48,422800.0
2008-05-15,75.09,89.99,90.56,87.67,88.12,361800.0
2008-05-16,74.35,89.11,90.55,87.15,90.47,427100.0
2008-05-19,74.29,89.04,90.59,87.21,88.83,650900.0
2008-05-20,74.9,89.76,90.32,88.02,88.46,519600.0
2008-05-21,74.04,88.73,92.55,87.37,90.17,917000.0
2008-05-22,73.01,87.5,89.42,84.2,89.42,579700.0
2008-05-23,72.08,86.38,87.13,85.1,86.93,294900.0
2008-05-27,74.27,89.01,89.4,86.39,86.39,290300.0
2008-05-28,76.71,91.93,92.18,89.22,89.32,884500.0
2008-05-29,78.28,93.82,97.47,91.83,91.83,1117000.0
2008-05-30,79.68,95.49,96.03,94.03,94.09,572000.0
2008-06-02,78.47,94.04,95.41,92.78,95.28,589500.0
2008-06-03,80.74,96.76,96.9,94.01,94.03,1106500.0
2008-06-04,81.47,97.64,99.1,95.47,96.34,575000.0
2008-06-05,83.13,99.63,99.95,97.48,97.89,573500.0
2008-06-06,81.47,97.64,99.55,97.11,98.87,523400.0
2008-06-09,79.5,95.28,97.85,93.51,97.11,765300.0
2008-06-10,77.72,93.14,95.26,91.78,94.85,791800.0
2008-06-11,77.58,92.98,94.19,92.06,92.53,623900.0
2008-06-12,78.25,93.78,96.31,93.11,93.91,531300.0
2008-06-13,79.68,95.49,96.72,94.59,94.67,706700.0
2008-06-16,79.5,95.28,96.35,94.07,94.94,604200.0
2008-06-17,80.9,96.96,98.1,94.37,95.29,482300.0
2008-06-18,81.7,97.92,99.76,96.88,96.88,564600.0
2008-06-19,84.07,100.75,101.0,97.05,97.86,868900.0
2008-06-20,80.54,96.53,100.72,95.25,100.34,912900.0
2008-06-23,79.15,94.86,97.13,94.5,96.68,599600.0
2008-06-24,76.41,91.57,95.0,91.11,94.28,927600.0
2008-06-25,77.6,93.0,95.0,91.49,91.59,652100.0
2008-06-26,74.1,88.81,91.42,86.19,91.23,1480900.0
2008-06-27,75.65,90.66,90.94,85.8,88.78,4422700.0
2008-06-30,74.45,89.22,90.84,88.58,90.84,1199800.0
2008-07-01,71.74,85.98,88.11,83.93,88.11,1698400.0
2008-07-02,70.94,85.02,87.43,83.91,85.62,831000.0
2008-07-03,70.78,84.83,86.41,82.13,84.79,572400.0
2008-07-07,69.68,83.51,87.25,82.08,84.34,809300.0
2008-07-08,70.16,84.09,84.65,79.51,83.86,1306500.0
2008-07-09,68.85,82.52,86.73,82.34,84.6,812200.0
2008-07-10,69.0,82.7,83.88,80.51,82.19,1321800.0
2008-07-11,71.39,85.56,87.49,81.57,83.27,850100.0
2008-07-14,70.41,84.39,87.27,83.39,85.81,580200.0
2008-07-15,72.86,87.32,89.58,83.01,84.74,1376900.0
2008-07-16,76.01,91.09,91.68,86.09,87.94,836100.0
2008-07-17,77.93,93.4,93.74,90.89,91.59,1173500.0
2008-07-18,77.27,92.6,93.84,91.28,93.32,676000.0
2008-07-21,76.26,91.39,93.38,90.77,93.38,381900.0
2008-07-22,75.3,90.25,91.32,88.09,89.69,1244800.0
2008-07-23,77.32,92.67,94.0,90.13,90.25,1959200.0
2008-07-24,77.39,92.75,93.9,84.0,90.26,3092900.0
2008-07-25,78.3,93.84,95.23,91.9,92.26,1163200.0
2008-07-28,71.25,85.39,94.88,84.65,94.88,2106800.0
2008-07-29,71.65,85.87,87.5,85.31,85.31,1123500.0
2008-07-30,70.19,84.12,87.93,82.76,86.67,1120800.0
2008-07-31,67.89,81.36,84.12,80.85,82.74,1585900.0
2008-08-01,66.96,80.25,82.2,78.38,82.2,1247300.0
2008-08-04,63.68,76.32,80.86,75.5,80.86,1879000.0
2008-08-05,62.59,75.01,77.05,73.0,76.75,2555400.0
2008-08-06,65.68,78.72,79.5,73.57,74.73,1496100.0
2008-08-07,63.77,76.43,79.16,75.82,77.99,1132600.0
2008-08-08,65.85,78.92,79.48,75.68,75.68,908600.0
2008-08-11,68.1,81.62,84.32,77.61,77.61,1531200.0
2008-08-12,64.66,77.49,81.65,76.79,81.26,1154400.0
2008-08-13,63.97,76.67,77.88,75.18,77.85,1237400.0
2008-08-14,65.6,78.62,78.99,75.01,75.23,643400.0
2008-08-15,65.69,78.73,80.6,78.11,78.62,850600.0
2008-08-18,64.74,77.59,79.23,76.5,78.79,514400.0
2008-08-19,64.02,76.72,77.62,75.86,76.96,639600.0
2008-08-20,63.44,76.03,77.21,75.3,76.9,555200.0
2008-08-21,62.84,75.31,76.35,74.36,75.27,627900.0
2008-08-22,64.12,76.85,77.41,75.53,75.58,468800.0
2008-08-25,64.31,77.07,77.36,74.76,76.41,692000.0
2008-08-26,64.62,77.45,78.79,75.8,76.99,604300.0
2008-08-27,65.96,79.05,79.97,76.4,77.82,746300.0
2008-08-28,66.97,80.26,80.81,78.93,80.0,660900.0
2008-08-29,67.17,80.5,81.11,78.75,79.8,684900.0
2008-09-02,67.54,80.95,82.66,79.89,81.22,680400.0
2008-09-03,66.88,80.15,82.42,78.05,80.43,879800.0
2008-09-04,64.67,77.5,80.31,76.57,80.0,901400.0
2008-09-05,64.66,77.49,78.47,75.0,77.53,850400.0
2008-09-08,64.67,77.51,79.95,74.72,79.69,1131100.0
2008-09-09,61.81,74.08,79.68,73.59,77.99,1052300.0
2008-09-10,60.64,72.67,74.5,68.44,74.48,2690700.0
2008-09-11,63.49,76.09,76.31,70.93,71.94,1624400.0
2008-09-12,64.19,76.93,77.48,74.19,74.86,732500.0
2008-09-15,60.29,72.25,75.35,71.28,73.25,1205700.0
2008-09-16,62.47,74.87,75.95,70.66,71.33,1125400.0
2008-09-17,60.62,72.65,74.58,70.23,73.04,1103600.0
2008-09-18,63.96,76.65,77.45,68.55,72.74,1917000.0
2008-09-19,70.6,84.61,86.22,78.39,79.91,2203900.0
2008-09-22,66.7,79.94,86.49,79.76,84.15,554100.0
2008-09-23,63.8,76.46,82.24,76.25,79.54,928000.0
2008-09-24,62.16,74.5,77.16,73.79,74.61,788700.0
2008-09-25,63.72,76.37,77.58,74.4,74.9,429000.0
2008-09-26,61.31,73.48,75.37,72.89,74.05,696900.0
2008-09-29,54.83,65.71,72.31,63.45,72.31,1451900.0
2008-09-30,57.96,69.46,70.84,66.35,68.33,878800.0
2008-10-01,56.4,67.59,69.08,65.81,68.28,679400.0
2008-10-02,54.48,65.29,68.5,64.94,66.76,2065700.0
2008-10-03,51.72,61.98,67.36,61.79,65.42,1742300.0
2008-10-06,47.97,57.49,59.29,54.17,58.03,2195000.0
2008-10-07,45.25,54.23,59.24,53.92,57.67,1342900.0
2008-10-08,47.51,56.94,59.46,52.61,53.46,1597900.0
2008-10-09,45.89,55.0,60.32,53.29,57.88,930900.0
2008-10-10,45.54,54.58,57.18,49.88,53.35,1590900.0
2008-10-13,51.49,61.71,62.04,54.66,54.66,1006800.0
2008-10-14,49.0,58.72,64.48,57.45,62.76,1298400.0
2008-10-15,44.79,53.68,58.12,53.0,57.37,588700.0
2008-10-16,45.02,53.96,54.23,48.25,53.39,1310000.0
2008-10-17,47.32,56.71,59.16,52.49,52.84,1297400.0
2008-10-20,51.27,61.45,62.36,57.6,58.43,1129400.0
2008-10-21,49.02,58.75,61.35,57.42,61.35,1110600.0
2008-10-22,44.92,53.83,58.5,52.87,58.4,1457400.0
2008-10-23,44.22,53.0,58.28,49.69,57.08,2824800.0
2008-10-24,44.22,53.0,55.24,47.0,49.86,1975500.0
2008-10-27,43.11,51.67,54.01,51.02,52.43,745600.0
2008-10-28,47.49,56.91,57.2,51.4,53.46,1635200.0
2008-10-29,49.74,59.61,61.15,56.55,57.79,1787800.0
2008-10-30,52.28,62.65,64.0,61.05,62.26,1765800.0
2008-10-31,52.08,62.42,63.62,61.0,61.02,809900.0
2008-11-03,52.46,62.87,64.75,61.98,62.49,513500.0
2008-11-04,55.75,66.82,67.01,63.56,63.83,1160800.0
2008-11-05,53.13,63.67,67.1,63.16,65.97,803800.0
2008-11-06,49.85,59.74,65.98,59.1,64.23,949200.0
2008-11-07,52.41,62.81,63.65,59.24,59.75,814700.0
2008-11-10,51.61,61.85,64.77,60.91,63.34,592600.0
2008-11-11,49.19,58.95,60.75,58.05,60.65,903100.0
2008-11-12,43.59,52.24,58.03,51.44,57.64,1682600.0
2008-11-13,45.57,54.62,54.7,46.95,52.19,1947600.0
2008-11-14,44.15,52.91,55.55,51.88,54.11,803000.0
2008-11-17,41.43,49.65,54.54,48.5,51.89,1195400.0
2008-11-18,39.6,47.46,50.79,46.84,50.2,1421500.0
2008-11-19,34.33,41.14,47.66,40.41,47.66,2605800.0
2008-11-20,30.71,36.8,40.89,35.87,40.75,3407800.0
2008-11-21,29.32,35.14,40.53,32.72,37.97,2559000.0
2008-11-24,33.95,40.69,41.52,35.2,36.76,1732400.0
2008-11-25,34.15,40.93,41.1,38.6,41.1,1239500.0
2008-11-26,37.42,44.85,45.71,39.8,40.04,1843000.0
2008-11-28,37.89,45.41,46.06,43.28,44.31,403500.0
2008-12-01,34.53,41.38,45.95,41.3,44.13,1328000.0
2008-12-02,34.91,41.84,44.47,41.05,42.72,1319200.0
2008-12-03,38.51,46.15,46.63,40.64,41.04,1657100.0
2008-12-04,38.8,46.5,48.42,44.66,44.74,1379500.0
2008-12-05,40.55,48.6,49.2,44.52,45.46,1226600.0
2008-12-08,43.51,52.15,52.95,49.45,49.59,1538500.0
2008-12-09,42.0,50.34,52.38,48.8,51.68,1158900.0
2008-12-10,41.85,50.16,51.56,49.55,50.96,676600.0
2008-12-11,41.33,49.53,52.5,48.91,50.11,1236100.0
2008-12-12,41.97,50.3,50.72,48.51,48.75,615700.0
2008-12-15,41.48,49.71,51.35,47.95,50.07,750700.0
2008-12-16,43.48,52.11,52.53,49.25,49.71,961600.0
2008-12-17,45.84,54.94,55.64,50.28,50.72,1287200.0
2008-12-18,44.95,53.87,56.62,52.81,55.64,1134600.0
2008-12-19,45.12,54.08,55.02,53.14,53.82,893200.0
2008-12-22,42.87,51.38,54.09,50.27,53.16,736900.0
2008-12-23,42.83,51.33,53.18,50.26,52.17,355300.0
2008-12-24,43.07,51.62,51.88,50.49,51.09,161100.0
2008-12-26,43.64,52.3,52.61,51.11,51.33,218500.0
2008-12-29,42.58,51.03,52.45,50.29,51.91,556300.0
2008-12-30,43.79,52.48,52.48,50.45,51.76,650800.0
2008-12-31,44.38,53.19,54.08,51.64,52.26,652400.0
2009-01-02,48.03,57.56,57.59,52.5,53.62,784700.0
2009-01-05,49.45,59.27,60.74,57.42,57.42,1411000.0
2009-01-06,52.48,62.89,63.06,59.9,60.62,1415500.0
2009-01-07,48.47,58.09,61.66,57.5,61.35,1025000.0
2009-01-08,49.47,59.29,59.38,56.95,58.1,683500.0
2009-01-09,48.39,57.99,60.71,57.45,59.46,540700.0
2009-01-12,46.41,55.62,57.88,54.83,57.6,515300.0
2009-01-13,47.03,56.36,58.15,55.65,56.06,709200.0
2009-01-14,44.0,52.73,56.44,52.42,55.82,760100.0
2009-01-15,43.9,52.61,53.75,49.49,52.48,1261700.0
2009-01-16,44.82,53.71,54.56,52.1,53.91,534400.0
2009-01-20,40.71,48.79,53.46,48.58,52.64,694000.0
2009-01-21,44.42,53.24,53.34,49.55,49.73,561200.0
2009-01-22,42.3,50.69,52.83,49.78,51.87,702100.0
2009-01-23,43.31,51.91,52.9,48.87,49.73,560000.0
2009-01-26,44.39,53.2,54.47,52.35,52.35,572800.0
2009-01-27,44.52,53.36,54.93,52.54,53.22,464000.0
2009-01-28,47.91,57.42,57.59,54.33,54.41,941200.0
2009-01-29,46.86,56.16,58.69,55.84,56.57,795900.0
2009-01-30,44.52,53.35,57.08,52.6,55.85,745300.0
2009-02-02,45.78,54.86,55.49,52.28,53.56,912200.0
