,Adj Close,Close,High,Low,Open,Volume
2008-01-02,20.4,36.43,37.06,35.97,36.33,2685700.0
2008-01-03,19.53,34.89,36.73,34.72,36.16,2209400.0
2008-01-04,18.69,33.38,34.87,33.26,34.66,3262200.0
2008-01-07,18.97,33.88,34.1,32.66,33.65,2668400.0
2008-01-08,18.54,33.11,35.36,32.97,34.13,3260300.0
2008-01-09,18.78,33.54,33.66,31.48,32.77,3656200.0
2008-01-10,19.11,34.14,34.84,31.86,32.65,3848200.0
2008-01-11,18.83,33.64,34.51,32.91,34.0,3434600.0
2008-01-14,18.86,33.69,34.43,32.72,34.11,2336000.0
2008-01-15,18.35,32.78,33.33,32.28,33.17,3016400.0
2008-01-16,18.7,33.4,34.0,32.54,32.69,2764800.0
2008-01-17,18.5,33.05,34.02,32.92,33.36,3234600.0
2008-01-18,18.32,32.72,34.0,32.02,33.3,3420300.0
2008-01-22,18.98,33.91,34.39,31.07,31.07,4141000.0
2008-01-23,21.01,37.52,38.15,32.54,32.85,7953100.0
2008-01-24,20.97,37.45,37.7,36.57,37.56,3377000.0
2008-01-25,21.06,37.61,38.4,37.25,37.88,4168500.0
2008-01-28,21.13,37.74,37.83,36.67,37.66,4433500.0
2008-01-29,21.14,37.76,38.38,37.33,37.91,3370000.0
2008-01-30,20.61,36.82,38.5,36.55,37.72,4294700.0
2008-01-31,20.92,37.37,37.85,35.75,36.36,3633700.0
2008-02-01,21.69,38.75,39.0,37.1,37.5,4394700.0
2008-02-04,21.33,38.1,38.65,37.45,38.65,2618700.0
2008-02-05,20.44,36.51,38.27,36.22,37.53,3301300.0
2008-02-06,20.99,37.49,39.0,36.95,38.42,4522200.0
2008-02-07,21.59,38.57,38.78,36.92,37.4,3062900.0
2008-02-08,20.94,37.4,38.56,36.86,38.18,3129100.0
2008-02-11,20.47,36.57,37.53,36.43,37.43,1868800.0
2008-02-12,21.6,38.59,38.6,36.72,36.72,3090200.0
2008-02-13,21.75,38.85,39.22,38.03,38.83,2785200.0
2008-02-14,21.35,38.14,39.17,37.53,38.89,1906000.0
2008-02-15,21.61,38.6,38.6,37.75,38.13,2884500.0
2008-02-19,21.42,38.26,39.28,37.96,39.11,3156700.0
2008-02-20,22.33,39.88,39.94,38.01,38.1,4169900.0
2008-02-21,21.97,39.25,40.6,39.08,39.94,3624000.0
2008-02-22,22.44,40.09,40.09,38.67,39.4,2810100.0
2008-02-25,23.08,41.22,41.26,39.43,40.04,3241600.0
2008-02-26,22.62,40.41,40.98,40.03,40.83,3451400.0
2008-02-27,22.42,40.04,40.68,39.66,40.11,2324900.0
2008-02-28,21.73,38.82,39.69,38.6,39.69,2516300.0
2008-02-29,21.38,38.18,38.89,38.04,38.46,3417000.0
2008-03-03,21.92,39.15,39.28,37.94,38.05,3187900.0
2008-03-04,21.73,38.81,39.06,37.86,38.71,2804300.0
2008-03-05,21.69,38.74,39.56,38.29,38.83,2134400.0
2008-03-06,20.55,36.71,38.75,36.6,38.7,3257400.0
2008-03-07,20.83,37.21,37.42,35.76,36.2,4017300.0
2008-03-10,20.29,36.24,37.33,36.03,37.16,2561800.0
2008-03-11,21.72,38.79,38.94,37.09,37.14,5099800.0
2008-03-12,21.41,38.24,40.19,38.24,38.8,3879700.0
2008-03-13,21.91,38.64,38.88,36.52,37.57,4844700.0
2008-03-14,21.9,38.62,39.32,37.16,38.85,4545300.0
2008-03-17,21.69,38.26,38.99,37.53,37.67,5347600.0
2008-03-18,23.01,40.59,40.61,38.49,39.0,4780400.0
2008-03-19,22.9,40.38,41.69,40.28,41.26,3162900.0
2008-03-20,23.94,42.23,42.44,40.45,40.58,3855600.0
2008-03-24,24.67,43.51,43.77,42.32,42.32,4266000.0
2008-03-25,24.68,43.53,43.78,42.6,43.44,4192300.0
2008-03-26,23.58,41.58,43.5,41.57,43.5,3722900.0
2008-03-27,23.25,41.01,42.34,41.0,42.34,2927000.0
2008-03-28,22.88,40.35,41.31,40.2,41.28,3236500.0
2008-03-31,23.53,41.49,42.13,40.26,40.26,3439100.0
2008-04-01,25.1,44.26,44.28,42.03,42.21,4099500.0
2008-04-02,24.53,43.26,44.56,42.97,44.49,3107400.0
2008-04-03,24.81,43.75,43.75,42.83,43.33,3700600.0
2008-04-04,24.55,43.29,44.06,43.12,43.99,2595100.0
2008-04-07,24.54,43.28,43.78,42.69,43.64,1814600.0
2008-04-08,23.88,42.11,43.05,42.0,43.05,2540800.0
