,Adj Close,Close,High,Low,Open,Volume
2008-01-02,33.88,34.3,40.4,34.1,36.0,2059700.0
2008-01-03,33.39,33.8,34.7,33.2,34.6,1616100.0
2008-01-04,31.91,32.3,33.2,31.9,32.9,2459900.0
2008-01-07,27.96,28.3,32.2,28.1,32.0,4309500.0
2008-01-08,22.23,22.5,28.7,20.8,28.5,8627200.0
2008-01-09,23.71,24.0,26.1,22.3,25.9,6957500.0
2008-01-10,28.94,29.3,30.9,23.2,24.0,9721500.0
2008-01-11,30.42,30.8,33.5,28.5,29.3,6310900.0
2008-01-14,32.01,32.4,33.8,31.9,33.0,3348300.0
2008-01-15,28.84,29.2,31.9,28.5,31.0,3529800.0
2008-01-16,30.92,31.3,31.5,28.5,28.5,3848600.0
2008-01-17,29.04,29.4,32.3,29.3,31.9,3227500.0
2008-01-18,28.05,28.4,31.1,28.0,30.6,3705200.0
2008-01-22,29.54,29.9,30.4,24.9,25.1,3957600.0
2008-01-23,34.18,34.6,37.5,28.6,29.0,5818200.0
2008-01-24,34.38,34.8,36.3,33.4,36.2,5068300.0
2008-01-25,37.14,37.6,39.2,36.1,38.3,6640800.0
2008-01-28,38.53,39.0,39.0,36.2,38.2,2740100.0
2008-01-29,40.9,41.4,41.8,39.6,39.9,4262300.0
2008-01-30,45.04,45.6,47.4,41.4,43.6,8310600.0
2008-01-31,49.09,49.7,50.5,45.0,45.9,8572200.0
2008-02-01,49.09,49.7,54.8,48.1,52.7,10098800.0
2008-02-04,46.92,47.5,51.5,46.5,51.4,4912400.0
2008-02-05,44.35,44.9,47.8,42.9,45.0,6075900.0
2008-02-06,45.44,46.0,47.6,44.9,46.7,5093600.0
2008-02-07,47.61,48.2,48.3,44.8,45.4,3966400.0
2008-02-08,51.07,51.7,52.6,47.9,48.0,5710700.0
2008-02-11,49.09,49.7,54.5,49.3,53.1,6145600.0
2008-02-12,49.19,49.8,51.8,48.1,50.9,2857500.0
2008-02-13,50.58,51.2,51.6,49.8,51.4,2646000.0
2008-02-14,49.59,50.2,51.3,50.0,50.9,1842900.0
2008-02-15,50.68,51.3,54.6,50.0,54.1,3153600.0
2008-02-19,49.49,50.1,53.0,50.1,52.0,2466000.0
2008-02-20,48.5,49.1,50.6,48.2,49.9,2788700.0
2008-02-21,47.51,48.1,50.2,48.1,49.4,1960800.0
2008-02-22,47.32,47.9,48.7,46.1,48.3,2724800.0
2008-02-25,48.6,49.2,49.5,46.3,47.5,3599800.0
2008-02-26,48.5,49.1,50.7,48.3,48.4,3217100.0
2008-02-27,48.5,49.1,49.8,48.1,48.3,2083300.0
2008-02-28,46.43,47.0,48.9,47.0,48.1,2678400.0
2008-02-29,42.18,42.7,46.4,42.5,45.9,5304000.0
2008-03-03,42.87,43.4,44.8,43.0,44.7,3598800.0
2008-03-04,39.41,39.9,42.0,36.8,41.8,5983200.0
2008-03-05,39.71,40.2,41.7,38.8,40.6,3712500.0
2008-03-06,37.24,37.7,40.3,37.5,39.9,3410300.0
2008-03-07,36.94,37.4,38.4,34.5,35.0,3945200.0
2008-03-10,35.36,35.8,38.4,35.4,38.1,2420500.0
2008-03-11,37.93,38.4,38.4,35.8,37.9,3456200.0
2008-03-12,37.24,37.7,39.9,37.5,37.8,3156400.0
2008-03-13,38.13,38.6,39.2,36.0,36.5,3104400.0
2008-03-14,35.86,36.3,39.3,36.0,39.2,3119900.0
2008-03-17,32.5,32.9,34.3,30.0,33.1,5597500.0
2008-03-18,35.66,36.1,36.2,34.2,34.4,3314100.0
2008-03-19,34.08,34.5,37.2,34.4,36.9,2568000.0
2008-03-20,36.75,37.2,37.5,33.6,33.8,3079700.0
2008-03-24,40.6,41.1,43.5,37.8,38.1,3752700.0
