,Adj Close,Close,High,Low,Open,Volume
2008-01-02,37.5,43.49,45.24,43.21,45.24,1969900.0
2008-01-03,37.56,43.56,43.97,42.95,43.6,1563100.0
2008-01-04,35.54,41.21,43.74,41.05,43.54,2322000.0
2008-01-07,35.75,41.45,42.03,40.5,41.26,2665400.0
2008-01-08,34.93,40.5,42.22,40.49,41.68,1952800.0
2008-01-09,34.93,40.5,40.76,39.39,40.52,2332400.0
2008-01-10,35.04,40.63,41.28,39.36,39.78,2004200.0
2008-01-11,34.99,40.57,41.77,40.54,41.45,2273100.0
2008-01-14,36.45,42.27,42.42,40.92,41.0,1972100.0
2008-01-15,35.81,41.52,42.38,41.42,41.53,3877000.0
2008-01-16,36.61,42.45,43.0,41.03,41.68,2611200.0
2008-01-17,35.88,41.61,43.15,41.6,42.47,2906000.0
2008-01-18,37.52,43.51,43.62,41.33,42.17,3433400.0
2008-01-22,36.83,42.71,43.35,41.02,41.02,3752500.0
2008-01-23,40.73,47.23,47.59,42.3,42.45,5087400.0
2008-01-24,38.25,44.36,47.2,43.38,47.06,3775800.0
2008-01-25,38.58,44.74,45.74,43.88,44.8,2844100.0
2008-01-28,39.26,45.52,45.56,44.08,44.08,1757100.0
2008-01-29,39.47,45.77,46.49,45.13,45.78,1487900.0
2008-01-30,39.91,46.28,46.95,45.52,45.69,2693500.0
2008-01-31,40.78,47.29,48.0,45.5,46.08,3308900.0
2008-02-01,40.51,46.97,47.53,46.13,47.51,1609800.0
2008-02-04,39.65,45.98,46.92,45.72,46.9,1812400.0
2008-02-05,38.69,44.87,45.94,44.67,44.91,2121200.0
2008-02-06,38.36,44.48,45.72,44.39,45.1,1562400.0
2008-02-07,39.68,46.01,46.56,44.11,44.11,2169300.0
2008-02-08,37.6,43.6,45.75,43.25,45.48,2947100.0
2008-02-11,38.63,44.8,44.9,43.36,43.61,1834200.0
2008-02-12,35.31,40.95,42.43,40.6,42.34,5510300.0
2008-02-13,35.29,40.92,41.84,39.87,41.5,3339700.0
2008-02-14,34.66,40.19,40.75,39.83,40.63,2546200.0
2008-02-15,35.67,41.36,41.56,40.11,40.44,3711500.0
2008-02-19,34.91,40.48,42.33,40.18,41.87,1989400.0
2008-02-20,35.88,41.61,41.77,40.44,40.51,2477600.0
2008-02-21,34.99,40.57,41.9,40.48,40.48,1892800.0
2008-02-22,35.21,40.83,41.46,39.71,40.68,1982200.0
2008-02-25,35.56,41.23,41.39,40.14,41.13,1458700.0
2008-02-26,35.79,41.5,41.77,40.37,41.04,1517200.0
2008-02-27,35.97,41.71,42.2,40.91,41.37,1382900.0
2008-02-28,34.99,40.57,41.58,39.91,40.96,1874500.0
2008-02-29,33.91,39.32,40.84,39.24,40.83,2696400.0
2008-03-03,35.15,40.76,41.02,39.5,40.8,2244400.0
2008-03-04,35.38,41.03,41.27,39.89,40.58,2336900.0
2008-03-05,36.08,41.84,42.23,41.14,41.28,1960300.0
2008-03-06,34.69,40.23,41.84,40.13,41.44,1942800.0
2008-03-07,34.29,39.76,41.22,39.26,40.0,2223000.0
2008-03-10,33.0,38.27,39.99,38.16,39.25,2228000.0
2008-03-11,35.37,41.02,41.02,38.42,38.42,2701800.0
2008-03-12,35.36,41.0,41.89,40.69,41.04,2224800.0
2008-03-13,35.41,41.06,41.71,39.57,40.18,2424600.0
2008-03-14,34.24,39.7,41.39,39.34,41.39,2532500.0
2008-03-17,33.87,39.27,40.03,38.89,38.94,2268700.0
2008-03-18,36.04,41.79,41.88,39.35,40.0,2465400.0
2008-03-19,35.43,41.08,42.43,41.08,42.0,2193100.0
2008-03-20,38.07,44.15,44.15,41.0,41.31,3163000.0
2008-03-24,39.17,45.42,45.84,43.71,44.0,3561400.0
2008-03-25,39.62,45.94,46.28,44.88,45.55,1983600.0
2008-03-26,38.24,44.34,45.99,43.82,45.64,2325200.0
2008-03-27,38.73,44.91,45.64,43.87,44.35,2224300.0
2008-03-28,37.94,44.0,45.59,43.86,45.45,1955800.0
2008-03-31,38.96,45.18,45.3,43.81,44.86,2345000.0
2008-04-01,41.01,47.56,47.61,44.83,45.23,3351300.0
2008-04-02,40.76,47.26,47.76,45.88,46.64,2906700.0
2008-04-03,40.79,47.3,47.99,46.91,47.64,2425300.0
2008-04-04,41.26,47.84,48.33,46.95,47.67,2192500.0
2008-04-07,40.39,46.84,48.29,46.77,48.29,2137400.0
2008-04-08,40.56,47.03,48.14,46.0,46.4,2156300.0
2008-04-09,39.23,45.49,47.88,45.16,47.88,1882700.0
2008-04-10,39.79,46.14,46.5,45.13,46.18,1550400.0
2008-04-11,39.1,45.34,46.18,45.2,45.49,2147900.0
2008-04-14,38.94,45.16,45.72,44.98,45.04,919800.0
2008-04-15,39.59,45.91,46.01,45.0,45.21,1045600.0
2008-04-16,41.07,47.62,47.79,46.01,46.36,1795400.0
2008-04-17,40.14,46.55,47.84,45.98,47.84,1319800.0
