,Adj Close,Close,High,Low,Open,Volume
2008-01-02,40.54,61.1,63.76,60.34,63.3,1726900.0
2008-01-03,40.55,61.12,61.76,60.74,61.34,1096400.0
2008-01-04,39.22,59.12,62.58,58.54,62.58,1330400.0
2008-01-07,38.65,58.26,59.12,57.84,59.12,1308100.0
2008-01-08,38.21,57.6,59.5,57.4,58.16,1849000.0
2008-01-09,37.51,56.54,57.9,55.14,57.44,2019900.0
2008-01-10,36.42,54.9,56.34,53.62,56.0,4448700.0
2008-01-11,35.1,52.9,54.8,52.5,54.66,2370800.0
2008-01-14,35.65,53.74,54.1,52.3,53.18,1960500.0
2008-01-15,33.69,50.78,52.7,50.2,52.54,3678500.0
2008-01-16,33.12,49.92,51.38,49.56,51.04,3031400.0
2008-01-17,30.5,45.98,49.98,45.54,49.9,4378800.0
2008-01-18,31.21,47.04,48.7,45.8,45.8,3625100.0
2008-01-22,30.27,45.62,47.06,44.5,45.4,2470100.0
2008-01-23,31.04,46.78,47.68,43.86,44.0,3216900.0
2008-01-24,31.79,47.92,48.34,45.98,46.4,2330500.0
2008-01-25,30.92,46.6,48.4,46.26,48.4,1281600.0
2008-01-28,30.32,45.7,46.88,45.1,46.8,2360600.0
2008-01-29,30.62,46.16,47.02,45.66,46.16,3586700.0
2008-01-30,30.31,45.68,47.0,45.0,46.06,2077200.0
2008-01-31,30.54,46.04,46.5,45.14,45.54,2024100.0
2008-02-01,31.12,46.9,46.94,45.68,46.2,1630900.0
2008-02-04,30.84,46.48,47.46,46.16,46.78,1329000.0
2008-02-05,29.39,44.3,45.78,44.2,45.32,2651500.0
2008-02-06,30.2,45.52,46.66,44.36,45.18,2421100.0
2008-02-07,31.47,47.44,47.9,45.52,45.76,4358800.0
2008-02-08,33.32,50.22,50.66,47.2,47.46,3339800.0
2008-02-11,32.83,49.48,50.14,48.46,49.8,2563700.0
2008-02-12,32.5,48.98,49.8,48.6,49.7,1351300.0
2008-02-13,33.34,50.26,50.5,48.04,49.2,1937400.0
2008-02-14,33.16,49.98,50.74,49.82,50.3,1334300.0
2008-02-15,33.95,51.18,51.32,49.26,49.7,1724900.0
2008-02-19,34.03,51.3,52.08,51.04,51.8,1632500.0
2008-02-20,33.72,50.82,50.92,49.1,50.66,1506400.0
2008-02-21,32.32,48.72,51.0,48.5,50.9,1963100.0
2008-02-22,32.4,48.84,49.0,47.52,48.88,1464400.0
2008-02-25,31.86,48.02,49.26,47.3,48.66,2397900.0
2008-02-26,32.32,48.72,49.56,47.74,48.1,1035600.0
2008-02-27,32.15,48.46,49.4,47.94,48.68,942400.0
2008-02-28,31.13,46.92,48.36,46.14,47.94,1439200.0
2008-02-29,30.43,45.86,46.52,45.12,45.72,1752200.0
2008-03-03,29.59,44.6,45.96,43.98,45.6,1642200.0
2008-03-04,28.65,43.18,44.52,41.88,44.52,3550200.0
2008-03-05,29.02,43.74,44.24,43.18,43.58,1512400.0
2008-03-06,28.26,42.6,43.88,42.5,43.56,1042000.0
2008-03-07,27.93,42.1,42.92,41.46,42.28,1484600.0
2008-03-10,28.2,42.5,43.4,42.12,42.6,2262900.0
2008-03-11,28.58,43.08,43.4,42.02,43.04,1502200.0
2008-03-12,28.09,42.34,43.28,42.22,43.16,1502400.0
2008-03-13,28.74,43.32,43.62,41.64,42.0,1437800.0
2008-03-14,27.69,41.74,43.44,41.04,43.42,1815500.0
2008-03-17,27.17,40.96,41.74,40.36,41.02,1811400.0
2008-03-18,28.45,42.88,42.9,40.54,41.4,1827000.0
2008-03-19,27.39,41.28,44.0,41.28,43.2,1423500.0
2008-03-20,28.55,43.04,43.04,41.28,41.54,1714100.0
2008-03-24,29.55,44.54,44.96,42.68,43.1,1290100.0
2008-03-25,29.83,44.96,45.48,44.18,44.5,1282300.0
2008-03-26,30.54,46.04,46.18,44.44,45.1,1894400.0
2008-03-27,29.81,44.94,46.26,44.94,46.04,2179900.0
2008-03-28,28.95,43.64,45.44,43.4,45.44,1788000.0
2008-03-31,29.05,43.78,44.14,43.5,43.82,1367400.0
2008-04-01,31.96,48.18,48.2,42.0,44.2,2499400.0
2008-04-02,33.34,50.26,50.38,48.2,48.22,2812100.0
2008-04-03,33.11,49.9,50.76,49.62,49.7,1815200.0
2008-04-04,32.92,49.62,50.56,49.3,50.28,1100900.0
2008-04-07,33.01,49.76,50.88,48.96,49.64,1280600.0
2008-04-08,32.51,49.0,49.5,48.24,49.24,1434100.0
2008-04-09,31.73,47.82,49.14,47.28,48.9,1297300.0
2008-04-10,32.2,48.54,48.78,47.3,47.74,1137800.0
2008-04-11,31.51,47.5,48.3,47.0,48.0,1251100.0
2008-04-14,31.65,47.7,48.2,46.72,46.72,1290500.0
2008-04-15,31.92,48.12,48.7,47.34,47.94,1918200.0
2008-04-16,31.7,47.78,48.7,47.08,48.68,1677300.0
2008-04-17,31.45,47.4,49.4,47.1,49.38,1423700.0
2008-04-18,32.61,49.16,49.92,48.52,48.88,2495100.0
2008-04-21,33.01,49.76,49.96,47.78,48.86,2415000.0
2008-04-22,32.77,49.4,49.74,48.56,49.5,1719900.0
2008-04-23,32.88,49.56,50.2,48.98,49.8,1160300.0
2008-04-24,33.15,49.96,50.9,48.76,49.7,1126000.0
2008-04-25,33.26,50.14,50.44,49.68,50.14,1231500.0
2008-04-28,33.13,49.94,50.22,49.22,50.16,1495300.0
2008-04-29,33.23,50.08,50.48,49.68,49.68,1388900.0
2008-04-30,33.52,50.52,50.76,49.46,50.34,3474400.0
2008-05-01,33.34,50.26,50.82,48.42,50.66,2645900.0
2008-05-02,33.4,50.34,51.0,49.68,50.8,1592900.0
2008-05-05,32.4,48.84,50.06,48.48,49.84,1241100.0
2008-05-06,32.95,49.66,49.82,48.4,48.4,1849600.0
2008-05-07,31.92,48.12,49.76,48.04,49.44,1441000.0
2008-05-08,32.39,48.82,49.46,48.0,48.38,1252200.0
2008-05-09,31.88,48.06,48.8,47.56,48.22,999500.0
2008-05-12,32.65,49.22,49.58,47.66,48.06,1249200.0
2008-05-13,32.12,48.42,49.36,47.86,49.36,1123900.0
2008-05-14,32.18,48.5,49.22,48.34,48.68,1156900.0
2008-05-15,32.76,49.38,49.42,48.02,48.46,2362200.0
2008-05-16,32.31,48.7,49.66,48.08,49.62,1419600.0
2008-05-19,31.33,47.22,48.94,46.84,48.58,1573700.0
2008-05-20,30.58,46.1,47.68,45.72,46.92,1545100.0
2008-05-21,29.54,44.52,46.38,44.2,46.34,1726100.0
2008-05-22,29.74,44.82,45.44,44.28,44.62,1109800.0
2008-05-23,28.74,43.32,44.96,42.82,44.82,1914600.0
2008-05-27,28.85,43.48,44.2,43.2,43.54,2097700.0
2008-05-28,30.19,45.5,47.62,42.5,43.78,5556800.0
2008-05-29,31.91,48.1,48.8,47.36,47.54,2962000.0
2008-05-30,32.18,48.5,48.58,47.32,48.08,2280400.0
2008-06-02,31.37,47.28,48.58,46.52,48.58,1623600.0
2008-06-03,30.93,46.62,47.72,45.7,47.66,1774800.0
2008-06-04,31.19,47.02,47.9,45.68,46.24,1497500.0
2008-06-05,31.17,46.98,47.16,46.02,47.06,1386100.0
2008-06-06,29.7,44.76,46.74,44.3,46.46,1567500.0
2008-06-09,29.58,44.58,45.36,44.06,44.88,1622000.0
2008-06-10,29.28,44.14,44.92,43.94,44.36,1403500.0
2008-06-11,27.86,42.0,44.34,41.84,43.92,1990800.0
2008-06-12,27.88,42.02,43.02,41.44,41.9,2091500.0
2008-06-13,28.45,42.88,42.94,41.76,42.3,1494200.0
2008-06-16,28.5,42.96,43.2,42.18,42.32,1878800.0
2008-06-17,28.1,42.36,42.94,42.16,42.94,1269900.0
2008-06-18,27.43,41.34,42.8,41.08,42.0,2192800.0
2008-06-19,27.0,40.7,41.5,39.64,41.16,3183400.0
2008-06-20,26.27,39.6,40.58,39.14,40.24,2602100.0
2008-06-23,26.13,39.38,40.1,38.98,39.7,1929800.0
2008-06-24,25.78,38.86,39.42,38.5,39.06,2021900.0
2008-06-25,26.51,39.96,40.5,38.5,39.12,4800200.0
2008-06-26,25.44,38.34,39.82,38.3,39.18,2472000.0
2008-06-27,25.42,38.32,38.98,37.76,38.38,1825100.0
2008-06-30,24.39,36.76,38.06,36.62,37.94,1935800.0
2008-07-01,24.18,36.44,36.8,35.28,36.34,3164900.0
2008-07-02,23.17,34.92,36.68,34.92,36.68,2395600.0
2008-07-03,23.21,34.98,35.8,34.76,35.1,1173800.0
2008-07-07,23.01,34.68,35.7,33.7,34.62,2098600.0
2008-07-08,23.63,35.62,35.62,34.46,34.46,2735600.0
2008-07-09,23.63,35.62,36.16,35.02,35.46,3593600.0
2008-07-10,23.35,35.2,35.74,34.78,35.62,2228400.0
2008-07-11,23.82,35.9,36.52,34.56,35.16,1995300.0
2008-07-14,24.08,36.3,36.74,34.98,35.8,2774900.0
2008-07-15,24.43,36.82,37.48,34.14,35.14,3041100.0
