,Adj Close,Close,High,Low,Open,Volume
2008-01-02,8.89,13.95,14.23,13.77,14.2,1030800.0
2008-01-03,8.62,13.52,14.06,13.5,14.02,532600.0
2008-01-04,8.48,13.3,13.42,13.19,13.37,619100.0
2008-01-07,8.42,13.21,13.39,12.93,13.37,981400.0
2008-01-08,8.15,12.79,13.68,12.77,13.33,687800.0
2008-01-09,8.26,12.96,13.01,12.33,12.74,834900.0
2008-01-10,8.35,13.09,13.43,12.55,12.82,607200.0
2008-01-11,8.4,13.17,13.52,12.84,12.95,399900.0
2008-01-14,8.51,13.35,13.41,13.01,13.28,458800.0
2008-01-15,8.26,12.95,13.25,12.89,13.12,466400.0
2008-01-16,8.54,13.4,13.7,12.97,12.97,457300.0
2008-01-17,8.58,13.46,13.64,13.21,13.49,885000.0
2008-01-18,8.45,13.25,13.83,13.04,13.34,590300.0
2008-01-22,8.53,13.38,13.96,12.77,12.77,608500.0
2008-01-23,9.1,14.28,14.44,13.08,13.08,1062600.0
2008-01-24,9.0,14.11,14.49,13.8,14.25,699700.0
2008-01-25,9.15,14.35,14.45,13.95,14.33,689500.0
2008-01-28,9.65,15.14,15.22,14.18,14.35,929000.0
2008-01-29,9.53,14.95,15.34,14.55,15.26,681600.0
2008-01-30,9.37,14.7,15.45,14.61,14.81,737800.0
2008-01-31,9.65,15.14,15.24,14.49,14.49,762100.0
2008-02-01,9.93,15.58,15.63,15.08,15.14,611400.0
2008-02-04,9.77,15.32,15.57,15.07,15.42,598000.0
2008-02-05,9.4,14.75,15.5,14.66,15.05,714100.0
2008-02-06,9.09,14.26,14.89,14.22,14.84,617900.0
2008-02-07,9.16,14.37,14.56,14.01,14.26,1015000.0
2008-02-08,8.98,14.09,14.47,14.02,14.31,490900.0
2008-02-11,8.88,13.92,14.24,13.92,14.08,636600.0
2008-02-12,9.07,14.23,14.4,13.85,13.94,599400.0
2008-02-13,9.31,14.61,14.61,14.16,14.39,447500.0
2008-02-14,9.04,14.18,14.69,14.17,14.63,373000.0
2008-02-15,8.97,14.07,14.18,13.88,14.07,717700.0
2008-02-19,9.24,14.5,15.67,14.29,14.99,677100.0
2008-02-20,9.56,14.99,15.05,14.22,14.46,649000.0
2008-02-21,9.46,14.83,15.28,14.76,15.15,650500.0
2008-02-22,9.57,15.01,15.02,14.53,14.71,307300.0
2008-02-25,9.85,15.45,15.45,14.8,15.06,624600.0
2008-02-26,9.86,15.47,15.54,15.24,15.45,476800.0
2008-02-27,9.97,15.63,15.65,15.29,15.29,575300.0
2008-02-28,9.69,15.2,15.56,15.13,15.45,647500.0
2008-02-29,9.61,15.07,15.29,14.8,14.97,621500.0
2008-03-03,9.7,15.22,15.22,14.93,15.05,379200.0
2008-03-04,9.75,15.29,15.38,14.97,15.16,492400.0
