,Adj Close,Close,High,Low,Open,Volume
2008-01-02,13.81,13.81,14.2,13.78,13.79,11386800.0
2008-01-03,13.73,13.73,13.93,13.69,13.85,5380400.0
2008-01-04,13.35,13.35,13.8,13.34,13.71,7042400.0
2008-01-07,13.36,13.36,13.47,13.15,13.47,7654000.0
2008-01-08,13.2,13.2,13.66,13.19,13.19,7601200.0
2008-01-09,13.4,13.4,13.44,13.22,13.22,8612400.0
2008-01-10,13.42,13.42,13.55,13.21,13.28,7067600.0
2008-01-11,13.01,13.01,13.48,12.93,13.47,9076400.0
2008-01-14,12.77,12.77,13.25,12.7,13.17,11915200.0
2008-01-15,12.51,12.51,12.75,12.51,12.68,13400400.0
2008-01-16,12.54,12.54,12.78,12.49,12.51,11733200.0
2008-01-17,12.38,12.38,12.61,12.34,12.59,9057600.0
2008-01-18,12.35,12.35,12.56,12.14,12.45,11128000.0
2008-01-22,12.03,12.03,12.27,11.75,11.88,8820800.0
2008-01-23,12.18,12.18,12.2,11.69,11.7,11786800.0
2008-01-24,12.33,12.33,12.41,12.01,12.06,6887600.0
2008-01-25,12.06,12.06,12.48,12.02,12.48,7607200.0
2008-01-28,12.45,12.45,12.47,12.05,12.09,6222000.0
2008-01-29,12.48,12.48,12.52,12.34,12.46,6399200.0
2008-01-30,12.44,12.44,12.66,12.4,12.41,7332000.0
2008-01-31,12.84,12.84,12.92,12.3,12.3,9283200.0
2008-02-01,13.02,13.02,13.07,12.8,12.92,5937600.0
2008-02-04,12.91,12.91,13.06,12.84,13.06,3780800.0
2008-02-05,12.52,12.52,12.72,12.5,12.6,6970800.0
2008-02-06,12.4,12.4,12.7,12.37,12.59,7435600.0
2008-02-07,12.81,12.81,12.82,12.18,12.22,16335600.0
2008-02-08,12.7,12.7,12.89,12.51,12.75,8368800.0
2008-02-11,12.81,12.81,12.84,12.58,12.71,5725600.0
2008-02-12,12.88,12.88,13.11,12.81,12.91,7515200.0
2008-02-13,13.06,13.06,13.14,12.97,12.99,5752800.0
2008-02-14,12.83,12.83,13.12,12.77,13.06,6056800.0
2008-02-15,12.95,12.95,12.98,12.68,12.77,5378800.0
2008-02-19,12.67,12.67,13.17,12.67,13.15,5060000.0
2008-02-20,12.96,12.96,12.97,12.62,12.63,5756000.0
2008-02-21,12.76,12.76,13.0,12.72,12.76,6364800.0
2008-02-22,12.99,12.99,13.01,12.77,12.85,4974400.0
2008-02-25,13.27,13.27,13.29,12.96,13.01,6414000.0
2008-02-26,13.48,13.48,13.56,13.17,13.26,5868400.0
2008-02-27,13.55,13.55,13.68,13.4,13.42,7768400.0
2008-02-28,13.22,13.22,13.44,13.15,13.41,5070000.0
2008-02-29,13.15,13.15,13.17,12.9,13.04,10188800.0
2008-03-03,13.11,13.11,13.19,13.01,13.14,5368800.0
2008-03-04,13.31,13.31,13.35,13.01,13.06,6859600.0
2008-03-05,13.26,13.26,13.5,13.11,13.32,8313200.0
2008-03-06,12.74,12.74,13.21,12.74,13.21,8133200.0
2008-03-07,12.49,12.49,12.77,12.46,12.49,12466000.0
2008-03-10,12.35,12.35,12.5,12.35,12.47,5982000.0
2008-03-11,12.73,12.73,12.73,12.37,12.48,7418000.0
2008-03-12,12.38,12.38,12.81,12.35,12.64,10375600.0
2008-03-13,12.19,12.19,12.35,12.04,12.24,9831200.0
2008-03-14,12.05,12.05,12.31,11.93,12.23,11982800.0
2008-03-17,11.87,11.87,12.08,11.72,11.94,11236400.0
2008-03-18,11.82,11.82,12.06,11.66,11.97,14216800.0
2008-03-19,12.02,12.02,12.25,11.91,11.93,13532800.0
2008-03-20,12.18,12.18,12.23,12.0,12.09,9887600.0
2008-03-24,12.33,12.33,12.52,12.15,12.23,8779200.0
2008-03-25,12.39,12.39,12.47,12.26,12.35,5658000.0
2008-03-26,12.23,12.23,12.44,12.11,12.35,4500000.0
2008-03-27,12.04,12.04,12.23,12.03,12.12,4450400.0
2008-03-28,11.94,11.94,12.19,11.93,12.19,3941200.0
2008-03-31,12.02,12.02,12.09,11.91,12.07,7747600.0
2008-04-01,12.72,12.72,12.72,12.23,12.23,11036800.0
2008-04-02,12.83,12.83,12.89,12.56,12.68,8720000.0
2008-04-03,12.82,12.82,12.89,12.65,12.79,5036400.0
2008-04-04,12.88,12.88,12.97,12.69,12.87,4038000.0
2008-04-07,12.74,12.74,12.87,12.73,12.78,3772800.0
2008-04-08,12.61,12.61,12.8,12.53,12.62,3716400.0
2008-04-09,12.56,12.56,12.73,12.49,12.6,5355600.0
2008-04-10,12.65,12.65,12.79,12.54,12.62,4548400.0
2008-04-11,12.28,12.28,12.6,12.26,12.57,5058000.0
2008-04-14,12.2,12.2,12.38,12.19,12.26,5250000.0
2008-04-15,12.27,12.27,12.3,12.12,12.25,4863600.0
2008-04-16,12.75,12.75,12.88,12.5,12.5,7420400.0
2008-04-17,12.72,12.72,12.83,12.53,12.78,4840000.0
2008-04-18,13.52,13.52,13.57,12.87,13.0,12344000.0
2008-04-21,13.34,13.34,13.55,13.22,13.44,10558800.0
2008-04-22,12.86,12.86,13.21,12.84,13.21,8878800.0
2008-04-23,13.18,13.18,13.19,12.88,12.98,6425200.0
2008-04-24,13.24,13.24,13.37,12.98,13.03,5257200.0
2008-04-25,12.7,12.7,13.2,12.52,13.2,9042800.0
2008-04-28,12.69,12.69,12.82,12.67,12.75,4800000.0
2008-04-29,12.84,12.84,12.87,12.62,12.62,6378800.0
2008-04-30,12.64,12.64,12.9,12.53,12.81,6342000.0
2008-05-01,13.08,13.08,13.1,12.3,12.64,14104000.0
2008-05-02,13.36,13.36,13.59,13.23,13.4,10430000.0
2008-05-05,13.19,13.19,13.48,13.13,13.38,4856800.0
2008-05-06,13.35,13.35,13.42,13.06,13.12,4796800.0
2008-05-07,12.96,12.96,13.35,12.8,13.35,9617200.0
2008-05-08,12.89,12.89,13.06,12.78,13.06,6732400.0
2008-05-09,12.79,12.79,12.92,12.65,12.77,2422000.0
2008-05-12,13.01,13.01,13.03,12.67,12.84,3274800.0
2008-05-13,13.22,13.22,13.25,12.93,13.03,5376000.0
2008-05-14,12.9,12.9,13.22,12.86,12.94,7442400.0
2008-05-15,13.1,13.1,13.15,12.77,12.85,5582000.0
2008-05-16,13.14,13.14,13.26,13.02,13.25,6614800.0
2008-05-19,13.12,13.12,13.27,13.01,13.14,3797200.0
2008-05-20,12.97,12.97,13.27,12.89,13.1,4329200.0
2008-05-21,12.75,12.75,13.15,12.69,13.02,8633200.0
2008-05-22,12.7,12.7,12.88,12.63,12.63,4606800.0
2008-05-23,12.59,12.59,12.64,12.5,12.64,5204400.0
2008-05-27,12.73,12.73,12.8,12.53,12.57,7229600.0
2008-05-28,12.75,12.75,12.85,12.64,12.73,4368400.0
2008-05-29,12.92,12.92,13.11,12.69,12.77,4818400.0
2008-05-30,13.09,13.09,13.13,12.8,12.9,5017600.0
2008-06-02,12.78,12.78,13.12,12.7,13.11,4642400.0
2008-06-03,12.73,12.73,12.96,12.65,12.87,5370400.0
2008-06-04,12.96,12.96,13.06,12.61,12.65,4722800.0
2008-06-05,13.16,13.16,13.18,12.84,12.95,5958000.0
2008-06-06,12.5,12.5,13.05,12.49,13.05,9911200.0
2008-06-09,12.34,12.34,12.66,12.22,12.64,6274400.0
2008-06-10,12.4,12.4,12.53,12.24,12.25,5638800.0
2008-06-11,12.02,12.02,12.44,12.02,12.28,5297600.0
2008-06-12,12.53,12.53,12.63,12.0,12.12,12289200.0
2008-06-13,12.58,12.58,12.81,12.46,12.59,6396400.0
2008-06-16,12.59,12.59,12.62,12.3,12.49,4249200.0
2008-06-17,12.23,12.23,12.52,12.23,12.51,5975200.0
2008-06-18,12.02,12.02,12.18,11.98,12.15,6089600.0
2008-06-19,12.23,12.23,12.25,11.98,11.98,6695200.0
2008-06-20,12.04,12.04,12.14,11.98,12.08,8323600.0
2008-06-23,11.99,11.99,12.25,11.98,12.06,5509600.0
2008-06-24,11.9,11.9,12.02,11.8,11.91,6683200.0
2008-06-25,12.06,12.06,12.24,11.85,12.0,4401200.0
2008-06-26,11.68,11.68,11.97,11.67,11.92,5623200.0
2008-06-27,11.48,11.48,11.77,11.4,11.75,8874000.0
2008-06-30,11.34,11.34,11.6,11.32,11.45,7160800.0
2008-07-01,11.32,11.32,11.44,11.16,11.28,9402400.0
2008-07-02,11.94,11.94,12.11,11.75,11.77,16082000.0
2008-07-03,12.06,12.06,12.2,11.91,11.91,6640000.0
2008-07-07,11.82,11.82,12.14,11.72,12.03,9145200.0
2008-07-08,12.06,12.06,12.06,11.71,11.8,6212400.0
2008-07-09,11.81,11.81,12.09,11.8,12.01,7903200.0
2008-07-10,11.98,11.98,12.0,11.67,11.85,7655600.0
2008-07-11,11.75,11.75,11.96,11.56,11.88,5586000.0
2008-07-14,11.65,11.65,11.85,11.62,11.8,4995600.0
2008-07-15,11.61,11.61,11.81,11.42,11.62,7339600.0
2008-07-16,12.0,12.0,12.0,11.53,11.55,6737600.0
2008-07-17,12.22,12.22,12.3,11.97,12.05,5191600.0
2008-07-18,12.03,12.03,12.33,11.9,12.31,7731200.0
2008-07-21,11.66,11.66,11.84,11.6,11.66,8504800.0
2008-07-22,12.16,12.16,12.16,11.65,11.76,6193200.0
2008-07-23,12.03,12.03,12.28,11.92,12.09,7825200.0
2008-07-24,11.61,11.61,11.9,11.57,11.89,5909600.0
2008-07-25,11.82,11.82,11.82,11.59,11.73,4312800.0
2008-07-28,11.57,11.57,11.86,11.52,11.75,5294000.0
2008-07-29,12.04,12.04,12.13,11.66,11.68,8002400.0
2008-07-30,12.41,12.41,12.62,12.08,12.21,17270400.0
2008-07-31,11.95,11.95,12.37,11.77,12.31,11304800.0
2008-08-01,12.14,12.14,12.2,11.78,12.05,7220400.0
2008-08-04,12.1,12.1,12.21,11.99,12.11,6277600.0
2008-08-05,12.44,12.44,12.46,12.2,12.23,8324400.0
2008-08-06,12.59,12.59,12.64,12.35,12.47,5954000.0
2008-08-07,12.49,12.49,12.64,12.43,12.48,4818000.0
2008-08-08,12.85,12.85,12.9,12.47,12.47,8501200.0
2008-08-11,12.7,12.7,12.93,12.61,12.7,5183600.0
2008-08-12,12.8,12.8,12.88,12.69,12.69,5737200.0
2008-08-13,12.68,12.68,12.89,12.53,12.76,6861600.0
2008-08-14,12.88,12.88,12.98,12.55,12.55,4668800.0
2008-08-15,12.96,12.96,13.01,12.83,12.91,4349600.0
2008-08-18,12.74,12.74,13.07,12.68,13.01,5544400.0
2008-08-19,12.5,12.5,12.8,12.44,12.69,4755600.0
2008-08-20,12.47,12.47,12.59,12.34,12.46,4344400.0
2008-08-21,12.72,12.72,12.76,12.35,12.35,4582800.0
2008-08-22,12.96,12.96,13.02,12.66,12.78,4943200.0
2008-08-25,12.7,12.7,12.97,12.69,12.82,5556800.0
2008-08-26,12.76,12.76,12.8,12.6,12.72,3945200.0
2008-08-27,12.97,12.97,13.06,12.68,12.79,5276000.0
2008-08-28,13.17,13.17,13.19,12.91,13.02,3251200.0
2008-08-29,12.97,12.97,13.17,12.85,13.07,4406000.0
2008-09-02,12.91,12.91,13.25,12.86,13.2,4943200.0
2008-09-03,12.94,12.94,12.97,12.66,12.85,5403600.0
2008-09-04,12.48,12.48,12.91,12.48,12.9,7550000.0
2008-09-05,12.58,12.58,12.66,12.3,12.45,6778000.0
2008-09-08,12.91,12.91,13.01,12.52,12.56,8794400.0
2008-09-09,12.85,12.85,13.23,12.85,12.85,12024000.0
2008-09-10,12.98,12.98,13.02,12.8,12.93,8920800.0
2008-09-11,13.26,13.26,13.28,12.85,12.87,8748000.0
2008-09-12,13.59,13.59,13.67,13.1,13.19,14234400.0
2008-09-15,13.22,13.22,13.47,13.17,13.35,9564800.0
2008-09-16,13.3,13.3,13.39,12.89,13.25,14739200.0
2008-09-17,12.64,12.64,13.2,12.64,13.08,10128000.0
2008-09-18,12.61,12.61,13.01,12.4,12.78,13453200.0
2008-09-19,12.88,12.88,13.3,12.51,12.88,14446400.0
2008-09-22,12.53,12.53,12.95,12.52,12.8,5186400.0
2008-09-23,12.56,12.56,12.81,12.48,12.48,7056400.0
2008-09-24,12.41,12.41,12.76,12.32,12.59,9066000.0
2008-09-25,12.63,12.63,12.73,12.25,12.42,5585200.0
2008-09-26,12.45,12.45,12.55,12.23,12.55,5918000.0
2008-09-29,11.47,11.47,12.32,10.76,12.25,15073200.0
2008-09-30,11.83,11.83,11.83,11.18,11.66,12864800.0
2008-10-01,11.51,11.51,11.72,11.39,11.68,6659600.0
2008-10-02,11.23,11.23,11.59,11.21,11.48,7494800.0
2008-10-03,10.96,10.96,11.66,10.95,11.32,9201600.0
2008-10-06,10.27,10.27,10.94,9.9,10.94,15929200.0
2008-10-07,9.83,9.83,10.52,9.83,10.34,10460000.0
2008-10-08,9.7,9.7,10.08,9.28,9.74,15758800.0
2008-10-09,9.22,9.22,9.86,9.16,9.73,9280000.0
