,Adj Close,Close,High,Low,Open,Volume
2008-01-02,18.4,24.41,25.09,24.33,24.95,4449800.0
2008-01-03,18.53,24.57,24.93,24.4,24.7,3729200.0
2008-01-04,17.93,23.78,24.52,23.29,24.52,9934600.0
2008-01-07,17.52,23.23,24.06,22.96,23.81,7895000.0
2008-01-08,17.01,22.56,23.6,22.53,23.25,6595100.0
2008-01-09,17.46,23.16,23.17,22.09,22.54,8090800.0
2008-01-10,17.86,23.69,24.18,22.46,23.0,9204200.0
2008-01-11,18.37,24.36,24.86,23.12,23.38,6799100.0
2008-01-14,17.96,23.82,24.72,23.45,24.61,4302300.0
2008-01-15,17.27,22.91,23.41,22.57,23.25,6153000.0
2008-01-16,18.14,24.06,24.51,22.78,23.01,9091300.0
2008-01-17,17.41,23.09,24.43,22.93,23.85,6795600.0
2008-01-18,17.04,22.6,23.78,22.15,22.97,8978300.0
2008-01-22,17.74,23.53,24.88,20.8,20.98,11044200.0
2008-01-23,18.97,25.16,25.81,22.08,22.94,10793000.0
2008-01-24,19.01,25.21,25.73,24.6,25.41,7595200.0
2008-01-25,18.47,24.49,25.98,24.35,25.57,6880800.0
2008-01-28,19.42,25.75,25.75,23.96,24.33,5623700.0
2008-01-29,19.96,26.47,26.67,25.97,26.1,7613000.0
2008-01-30,19.65,26.06,27.18,25.99,26.32,6400000.0
2008-01-31,20.43,27.1,27.52,25.0,25.64,7806500.0
2008-02-01,21.16,28.06,28.1,26.72,27.1,6074100.0
2008-02-04,20.43,27.09,28.58,26.92,28.06,7210100.0
2008-02-05,19.42,25.75,26.84,25.74,26.7,5720200.0
2008-02-06,19.64,26.05,26.68,25.56,26.01,5111500.0
2008-02-07,19.89,26.38,27.1,25.78,26.0,6321700.0
2008-02-08,19.35,25.67,26.19,25.0,26.04,5090100.0
2008-02-11,18.84,24.99,25.67,24.76,25.67,3876000.0
2008-02-12,19.64,26.05,26.41,25.08,25.21,6053200.0
2008-02-13,19.6,26.0,26.61,25.49,26.44,3810500.0
2008-02-14,18.96,25.14,26.06,25.08,26.06,3580700.0
2008-02-15,19.32,25.62,25.66,24.51,25.35,4793900.0
2008-02-19,18.56,24.61,25.99,24.35,25.95,5647000.0
2008-02-20,18.71,24.82,24.95,23.9,24.3,6451700.0
2008-02-21,18.29,24.26,25.18,24.12,24.86,3573400.0
2008-02-22,18.64,24.72,24.81,23.85,24.37,4737200.0
2008-02-25,18.8,24.94,25.0,24.06,24.78,4025900.0
2008-02-26,18.91,25.08,25.43,24.53,24.8,4517900.0
2008-02-27,18.8,24.94,25.47,24.63,24.85,3991300.0
2008-02-28,18.13,24.05,24.81,23.71,24.81,4785600.0
2008-02-29,17.27,22.9,23.83,22.72,23.74,7943900.0
2008-03-03,17.28,22.92,23.25,22.35,22.96,5663100.0
