,Adj Close,Close,High,Low,Open,Volume
2008-01-02,267.7,267.7,272.79,260.5,269.46,4111400.0
2008-01-03,265.87,265.87,271.62,263.03,268.48,2405400.0
2008-01-04,245.58,245.58,262.51,243.36,255.6,6208900.0
2008-01-07,236.84,236.84,254.7,223.0,249.61,6784800.0
2008-01-08,230.5,230.5,263.7,228.74,237.2,4578400.0
2008-01-09,234.25,234.25,234.8,208.33,230.53,6911500.0
2008-01-10,225.97,225.97,233.16,216.55,226.13,5905400.0
2008-01-11,221.0,221.0,231.93,215.63,227.83,4565500.0
2008-01-14,224.76,224.76,229.99,213.33,222.32,4187400.0
2008-01-15,204.79,204.79,220.0,203.42,217.75,5703100.0
2008-01-16,181.56,181.56,203.39,177.5,200.46,10344100.0
2008-01-17,167.2,167.2,185.53,166.59,181.22,7207300.0
2008-01-18,175.88,175.88,180.92,166.79,172.92,8640700.0
2008-01-22,182.79,182.79,184.96,150.53,156.4,7412300.0
2008-01-23,165.78,165.78,179.14,143.31,175.31,13359600.0
2008-01-24,171.46,171.46,174.45,148.6,159.39,11147400.0
2008-01-25,171.28,171.28,183.97,169.01,180.0,7479500.0
2008-01-28,177.0,177.0,180.43,164.36,169.9,6253600.0
2008-01-29,191.9,191.9,194.71,177.3,180.49,9632500.0
2008-01-30,184.35,184.35,191.39,180.59,191.0,7441200.0
2008-01-31,181.77,181.77,183.5,172.77,179.0,5312100.0
2008-02-01,185.94,185.94,189.38,177.5,182.3,4682300.0
2008-02-04,192.9,192.9,198.09,183.9,186.72,5193600.0
2008-02-05,178.0,178.0,191.5,177.64,188.0,4865800.0
2008-02-06,171.71,171.71,187.0,169.71,182.2,6106200.0
2008-02-07,165.6,165.6,173.43,157.66,168.29,8641300.0
2008-02-08,173.19,173.19,175.35,163.94,164.93,4433900.0
2008-02-11,189.64,189.64,190.84,176.51,180.17,7243900.0
2008-02-12,175.56,175.56,198.41,172.38,193.25,10853800.0
2008-02-13,228.46,228.46,228.5,207.5,214.57,17867200.0
2008-02-14,224.11,224.11,236.57,221.5,231.51,9085200.0
2008-02-15,219.39,219.39,227.58,213.0,221.96,7159000.0
2008-02-19,211.94,211.94,220.8,210.02,219.11,6285600.0
2008-02-20,217.0,217.0,217.4,201.32,205.43,7796900.0
2008-02-21,211.59,211.59,219.01,209.64,218.08,4817800.0
2008-02-22,211.74,211.74,212.25,206.5,207.2,3807000.0
2008-02-25,218.9,218.9,220.42,207.6,211.12,4780400.0
2008-02-26,220.69,220.69,225.86,212.66,217.0,5120900.0
2008-02-27,217.69,217.69,225.3,215.76,216.37,4246900.0
2008-02-28,205.26,205.26,216.9,204.69,215.02,5020900.0
