,Adj Close,Close,High,Low,Open,Volume
2008-01-02,23.41,35.35,36.01,35.14,35.67,40470900.0
2008-01-03,23.43,35.38,35.79,35.29,35.39,28055200.0
2008-01-04,22.95,34.65,35.26,34.6,35.13,42360100.0
2008-01-07,23.04,34.79,35.1,34.53,34.82,49410500.0
2008-01-08,22.54,34.04,35.03,33.85,35.03,46870200.0
2008-01-09,22.8,34.42,34.56,33.8,34.12,50649300.0
2008-01-10,22.87,34.54,34.84,34.01,34.23,47138800.0
2008-01-11,22.4,33.82,34.23,33.63,34.19,47858600.0
2008-01-14,22.58,34.1,34.38,33.89,34.38,35366200.0
2008-01-15,21.99,33.2,33.91,33.03,33.9,56063500.0
2008-01-16,22.01,33.23,33.73,32.99,33.01,62776200.0
2008-01-17,21.15,31.93,33.46,31.65,33.4,84774300.0
2008-01-18,21.85,32.99,33.63,32.5,32.62,95967300.0
2008-01-22,21.68,32.74,33.37,31.91,31.92,76535800.0
2008-01-23,22.03,33.26,33.37,31.97,32.45,83135700.0
2008-01-24,22.06,33.32,33.42,32.64,33.32,55726000.0
2008-01-25,21.65,32.69,33.74,32.57,33.61,54963100.0
2008-01-28,22.11,33.38,33.41,32.83,32.99,39364500.0
2008-01-29,22.13,33.42,33.72,33.17,33.62,37373400.0
2008-01-30,22.25,33.6,34.35,33.24,33.35,53496900.0
2008-01-31,22.52,34.0,34.3,33.17,33.28,57773200.0
2008-02-01,23.03,34.77,34.9,34.0,34.22,58492800.0
2008-02-04,22.52,34.01,34.86,33.84,34.78,45603000.0
2008-02-05,21.78,32.89,33.74,32.87,33.74,57405000.0
2008-02-06,21.78,32.88,33.29,32.69,33.13,39381600.0
2008-02-07,21.8,32.91,33.16,32.71,32.77,53679900.0
2008-02-08,21.55,32.54,32.88,32.25,32.8,42670500.0
2008-02-11,21.66,32.7,32.88,32.26,32.63,33486100.0
2008-02-12,21.89,33.05,33.32,32.79,32.93,39122300.0
2008-02-13,22.27,33.63,33.75,33.26,33.32,44693400.0
2008-02-14,21.9,33.07,33.66,32.95,33.64,43557000.0
2008-02-15,21.89,33.05,33.18,32.79,33.04,41466400.0
2008-02-19,21.83,32.96,33.53,32.8,33.23,34683700.0
2008-02-20,21.88,33.04,33.12,32.5,32.74,37672100.0
2008-02-21,21.65,32.39,33.04,32.18,33.04,56590500.0
2008-02-22,21.56,32.26,32.5,31.88,32.41,41604900.0
2008-02-25,21.98,32.89,32.95,32.26,32.26,40685500.0
2008-02-26,21.81,32.63,32.84,32.47,32.76,48507200.0
2008-02-27,21.86,32.71,32.96,32.43,32.5,34152400.0
2008-02-28,21.75,32.55,32.69,32.33,32.67,34115800.0
2008-02-29,21.29,31.87,32.45,31.82,32.44,54230200.0
2008-03-03,21.46,32.12,32.21,31.87,32.06,35886100.0
2008-03-04,21.54,32.23,32.31,31.87,31.89,46700500.0
2008-03-05,21.64,32.38,32.64,32.01,32.43,45264800.0
2008-03-06,21.12,31.6,32.3,31.54,32.25,54430100.0
2008-03-07,20.71,30.99,31.68,30.78,31.41,59208600.0
2008-03-10,20.37,30.48,31.2,30.43,31.19,57809800.0
2008-03-11,21.46,32.12,32.12,31.07,31.16,69553000.0
2008-03-12,21.82,32.65,33.13,32.16,32.16,73470900.0
2008-03-13,22.01,32.93,33.18,32.03,32.22,67112300.0
2008-03-14,21.73,32.52,33.24,31.79,33.19,76023400.0
2008-03-17,22.06,33.01,33.39,31.57,31.72,84712900.0
2008-03-18,23.22,34.75,34.83,33.38,33.57,87033200.0
2008-03-19,22.87,34.22,35.22,34.18,34.81,72226600.0
2008-03-20,24.09,36.05,36.29,35.0,35.13,115215800.0
2008-03-24,24.03,35.96,36.22,35.62,36.18,48876700.0
2008-03-25,23.95,35.84,36.09,35.5,35.82,46907400.0
2008-03-26,23.86,35.7,35.82,35.38,35.6,46257700.0
2008-03-27,23.67,35.41,35.91,35.31,35.83,38837400.0
2008-03-28,23.52,35.2,35.63,35.11,35.45,35680900.0
2008-03-31,23.78,35.59,35.85,35.13,35.17,42644200.0
2008-04-01,24.69,36.95,36.95,35.88,35.92,52682200.0
2008-04-02,24.43,36.56,37.04,36.26,36.79,38711200.0
2008-04-03,24.32,36.38,36.57,36.12,36.29,33687000.0
2008-04-04,24.14,36.12,36.42,35.88,36.37,31492900.0
2008-04-07,23.94,35.83,36.44,35.67,36.41,41044000.0
2008-04-08,23.74,35.53,35.65,35.14,35.48,38576700.0
2008-04-09,23.42,35.04,35.48,34.82,35.48,35963200.0
2008-04-10,23.61,35.34,35.64,34.77,35.0,46182600.0
2008-04-11,20.59,30.82,31.74,30.59,31.25,380845900.0
2008-04-14,20.4,30.53,31.17,30.53,31.13,101980700.0
2008-04-15,20.55,30.75,30.88,30.34,30.81,67521500.0
2008-04-16,20.71,30.99,31.11,30.79,31.1,82659700.0
2008-04-17,20.58,30.79,31.15,30.77,30.88,63504400.0
2008-04-18,21.01,31.43,31.7,31.03,31.17,74926000.0
2008-04-21,20.86,31.21,31.48,31.13,31.44,34700800.0
2008-04-22,20.77,31.09,31.44,30.96,31.25,42642400.0
2008-04-23,20.79,31.12,31.46,31.04,31.24,43555200.0
2008-04-24,21.08,31.55,32.09,31.18,31.19,56737600.0
2008-04-25,21.42,32.05,32.11,31.55,31.74,43142800.0
2008-04-28,21.31,31.89,32.37,31.76,32.18,39141500.0
2008-04-29,21.09,31.56,31.98,31.49,31.91,41700200.0
2008-04-30,21.01,31.44,32.0,31.35,31.59,42015200.0
2008-05-01,21.28,31.85,32.01,31.38,31.54,43681700.0
2008-05-02,21.42,32.06,32.33,31.89,32.12,42296400.0
2008-05-05,21.32,31.9,32.08,31.69,32.08,28581600.0
2008-05-06,21.2,31.73,31.89,31.37,31.8,44271600.0
2008-05-07,20.93,31.32,31.83,31.25,31.74,39589800.0
2008-05-08,20.94,31.34,31.54,31.2,31.46,35809200.0
2008-05-09,20.74,31.03,31.21,30.9,31.21,40401000.0
2008-05-12,20.82,31.15,31.28,30.96,31.09,31908600.0
2008-05-13,20.77,31.09,31.44,31.02,31.28,38439800.0
2008-05-14,20.89,31.26,31.46,31.09,31.17,36905400.0
2008-05-15,20.8,31.12,31.45,30.93,31.4,56560800.0
2008-05-16,20.65,30.89,31.21,30.74,31.2,59094200.0
2008-05-19,20.82,31.15,31.44,30.77,30.89,60446800.0
2008-05-20,20.38,30.5,31.03,30.34,31.01,71320700.0
2008-05-21,19.91,29.8,30.56,29.72,30.55,99122900.0
2008-05-22,19.93,29.82,30.05,29.62,29.82,56412500.0
2008-05-23,19.55,29.26,29.78,29.18,29.77,64967700.0
2008-05-27,19.53,29.23,29.61,29.05,29.25,68364000.0
2008-05-28,19.63,29.38,29.5,29.05,29.39,65938900.0
2008-05-29,19.69,29.46,29.79,29.1,29.28,66084800.0
2008-05-30,19.74,29.54,29.74,29.39,29.61,52038200.0
