,Adj Close,Close,High,Low,Open,Volume
2008-01-02,31.56,31.56,32.76,31.08,31.2,55200.0
2008-01-03,32.64,32.64,33.12,31.08,31.68,99700.0
2008-01-04,30.36,30.36,32.88,30.12,32.28,87500.0
2008-01-07,30.0,30.0,31.32,30.0,30.36,50300.0
2008-01-08,29.76,29.76,32.4,29.28,30.24,109200.0
2008-01-09,29.16,29.16,30.6,28.32,30.12,76800.0
2008-01-10,29.64,29.64,29.76,27.84,28.8,58700.0
2008-01-11,27.84,27.84,29.52,27.72,29.52,41800.0
2008-01-14,24.72,24.72,26.4,14.4,26.4,489400.0
2008-01-15,25.2,25.2,26.16,21.84,22.8,150100.0
2008-01-16,28.8,28.8,29.4,24.36,25.08,157800.0
2008-01-17,27.72,27.72,29.28,27.0,28.92,102400.0
2008-01-18,27.48,27.48,29.28,27.12,27.12,91900.0
2008-01-22,28.08,28.08,29.64,22.2,27.36,112400.0
2008-01-23,27.36,27.36,28.8,25.44,28.44,149600.0
2008-01-24,30.0,30.0,30.12,27.36,27.48,131400.0
2008-01-25,30.12,30.12,32.4,25.8,32.28,168600.0
2008-01-28,25.92,25.92,29.76,25.92,29.76,141600.0
2008-01-29,25.08,25.08,26.64,25.08,26.52,155200.0
2008-01-30,25.44,25.44,26.16,24.84,24.96,85600.0
2008-01-31,24.84,24.84,25.44,24.6,25.44,73300.0
2008-02-01,24.48,24.48,25.56,24.0,25.2,111600.0
2008-02-04,24.6,24.6,25.08,24.0,24.6,64600.0
2008-02-05,23.88,23.88,24.84,23.88,24.6,73000.0
2008-02-06,24.24,24.24,24.96,24.0,24.12,55800.0
2008-02-07,24.12,24.12,24.6,23.16,24.0,58100.0
2008-02-08,24.48,24.48,25.68,24.0,24.0,61600.0
2008-02-11,25.92,25.92,26.28,24.48,24.48,64400.0
2008-02-12,25.8,25.8,26.04,25.44,26.04,36700.0
2008-02-13,26.16,26.16,26.4,25.08,26.16,57100.0
2008-02-14,27.24,27.24,27.84,26.4,27.6,69800.0
2008-02-15,26.88,26.88,27.84,25.56,27.0,54000.0
2008-02-19,26.16,26.16,27.48,25.68,27.12,51000.0
2008-02-20,27.0,27.0,27.36,25.56,26.04,32600.0
2008-02-21,27.72,27.72,27.84,26.52,27.24,47800.0
2008-02-22,27.36,27.36,27.6,26.4,27.48,36700.0
2008-02-25,27.36,27.36,27.6,26.64,27.48,41400.0
2008-02-26,28.08,28.08,28.2,27.0,27.24,59500.0
2008-02-27,28.32,28.32,28.32,27.36,27.84,43200.0
2008-02-28,26.16,26.16,28.32,26.16,28.2,87300.0
2008-02-29,24.72,24.72,26.04,24.24,26.04,84500.0
2008-03-03,25.2,25.2,25.56,24.36,24.84,62100.0
2008-03-04,25.68,25.68,25.92,24.6,24.84,66800.0
2008-03-05,25.2,25.2,26.64,24.96,25.8,68800.0
2008-03-06,24.96,24.96,25.32,24.72,25.08,35200.0
2008-03-07,24.0,24.0,25.08,24.0,24.6,75900.0
