,Adj Close,Close,High,Low,Open,Volume
2008-01-02,391.82,478.13,481.18,476.56,481.12,39800.0
2008-01-03,396.42,483.74,483.92,472.51,472.51,44300.0
2008-01-04,392.16,478.55,483.38,476.38,480.97,38300.0
2008-01-07,396.12,483.38,483.38,475.17,478.55,39800.0
2008-01-08,392.91,479.46,485.95,477.47,483.38,50900.0
2008-01-09,392.02,478.37,482.54,473.26,480.36,51800.0
2008-01-10,396.51,483.85,488.67,477.21,477.34,49100.0
2008-01-11,393.16,479.77,485.77,478.55,484.74,28400.0
2008-01-14,395.88,483.08,485.52,478.59,482.66,25300.0
2008-01-15,395.38,482.48,485.64,480.36,482.71,20000.0
2008-01-16,400.09,488.22,497.43,479.15,479.15,58200.0
2008-01-17,394.51,481.42,492.01,481.42,488.28,40800.0
2008-01-18,383.1,467.49,482.77,465.9,480.36,49600.0
2008-01-22,370.99,452.72,471.09,452.72,462.24,55600.0
2008-01-23,362.7,442.6,452.72,437.52,452.72,81900.0
2008-01-24,361.09,439.34,445.64,438.67,438.67,78900.0
2008-01-25,361.48,439.82,445.13,438.51,444.71,36700.0
2008-01-28,366.65,446.1,446.53,438.67,438.67,37700.0
2008-01-29,370.77,451.12,452.65,445.92,448.34,66000.0
2008-01-30,364.39,443.35,451.47,443.35,450.0,26900.0
2008-01-31,369.48,449.55,454.5,441.27,443.35,41500.0
2008-02-01,376.72,458.36,459.21,448.35,448.94,43300.0
2008-02-04,374.36,455.48,467.52,454.33,467.52,29200.0
2008-02-05,364.56,443.56,454.08,442.39,454.08,30600.0
2008-02-06,376.0,457.47,473.51,444.11,446.53,58400.0
2008-02-07,376.5,458.09,465.15,453.14,457.25,41500.0
2008-02-08,363.52,442.3,456.8,440.6,456.8,50800.0
2008-02-11,367.1,446.65,446.65,437.58,442.9,18200.0
2008-02-12,370.47,450.76,451.93,445.55,446.62,16700.0
2008-02-13,367.56,447.21,456.18,444.16,453.47,25800.0
2008-02-14,367.08,446.63,451.31,446.11,450.15,18000.0
2008-02-15,366.95,446.47,448.92,438.39,447.73,27400.0
2008-02-19,365.51,444.71,453.05,442.98,448.94,25300.0
2008-02-20,367.97,447.71,449.54,443.32,443.5,35700.0
2008-02-21,360.54,438.67,456.19,438.14,446.53,26800.0
