,Adj Close,Close,High,Low,Open,Volume
2008-01-02,20.04,22.67,23.33,22.52,22.98,13117800.0
2008-01-03,20.73,23.44,23.5,22.67,22.75,11630000.0
2008-01-04,20.29,22.95,23.67,22.92,23.47,15413200.0
2008-01-07,21.09,23.85,23.9,23.15,23.33,18028600.0
2008-01-08,20.71,23.42,24.23,23.42,24.04,19202200.0
2008-01-09,21.44,24.25,24.28,23.41,23.5,17632800.0
2008-01-10,21.32,24.11,24.46,23.75,24.13,19160000.0
2008-01-11,21.52,24.34,24.5,24.07,24.16,17491800.0
2008-01-14,21.29,24.08,24.52,23.68,24.19,16052600.0
2008-01-15,20.88,23.61,23.93,23.46,23.59,16480000.0
2008-01-16,21.05,23.81,24.36,23.68,23.69,21975400.0
2008-01-17,20.88,23.61,24.24,23.27,24.11,21521800.0
2008-01-18,20.41,23.08,24.07,22.57,23.38,27386400.0
2008-01-22,19.63,22.2,22.5,21.22,21.3,29237000.0
2008-01-23,19.81,22.41,22.5,21.08,21.74,35946800.0
2008-01-24,20.16,22.8,23.6,22.67,22.96,27393400.0
2008-01-25,19.04,21.53,23.2,21.41,23.0,35228400.0
2008-01-28,19.01,21.5,21.78,21.24,21.35,23082000.0
2008-01-29,19.08,21.58,21.76,21.33,21.68,27035400.0
2008-01-30,19.45,22.0,22.59,21.43,21.52,31165400.0
2008-01-31,20.2,22.84,22.95,22.23,22.44,27618600.0
2008-02-01,20.31,22.97,23.37,22.5,22.98,18107400.0
2008-02-04,20.46,23.15,23.25,22.88,22.95,11456000.0
2008-02-05,19.7,22.28,23.04,22.24,22.7,22260600.0
2008-02-06,19.84,22.43,22.98,22.31,22.4,18992200.0
2008-02-07,19.64,22.22,22.59,21.92,22.35,19635200.0
2008-02-08,19.69,22.26,22.33,21.84,22.07,14100400.0
2008-02-11,19.72,22.3,22.41,21.96,22.05,17082400.0
2008-02-12,19.93,22.55,22.82,22.26,22.26,15674000.0
2008-02-13,20.09,22.73,23.0,22.47,22.8,15214400.0
2008-02-14,19.78,22.37,22.73,22.33,22.73,12599400.0
2008-02-15,19.73,22.31,22.39,22.01,22.24,17852400.0
2008-02-19,19.97,22.59,22.94,22.5,22.62,13921000.0
2008-02-20,20.16,22.8,22.83,22.32,22.39,15031400.0
2008-02-21,19.42,21.97,22.8,21.83,22.64,21500800.0
2008-02-22,18.97,21.46,21.76,21.18,21.7,22390000.0
2008-02-25,19.28,21.81,22.0,21.55,21.72,19180000.0
2008-02-26,19.48,22.03,22.37,21.7,21.75,15107200.0
2008-02-27,19.36,21.9,22.09,21.77,22.05,13620800.0
