,Adj Close,Close,High,Low,Open,Volume
2008-01-02,16.37,31.33,32.0,30.81,31.37,1562000.0
2008-01-03,15.51,29.7,31.34,29.61,31.1,1811100.0
2008-01-04,14.67,28.09,29.62,27.97,29.48,2718900.0
2008-01-07,14.65,28.04,28.39,27.42,28.39,2254000.0
2008-01-08,14.13,27.05,28.74,27.02,28.05,2086800.0
2008-01-09,14.28,27.34,27.48,25.67,26.85,2934800.0
2008-01-10,14.85,28.43,28.94,26.46,27.02,2695500.0
2008-01-11,14.87,28.47,28.89,27.6,27.81,1853400.0
2008-01-14,15.01,28.73,29.14,27.9,28.35,1326300.0
2008-01-15,14.71,28.16,28.89,27.73,28.38,1532600.0
2008-01-16,14.78,28.3,28.69,27.81,27.83,1757300.0
2008-01-17,14.56,27.87,28.55,27.71,28.02,1417600.0
2008-01-18,14.35,27.47,28.39,26.98,28.05,1827000.0
2008-01-22,14.84,28.41,28.56,25.19,25.75,2351200.0
2008-01-23,16.07,30.77,30.89,27.69,27.69,2725300.0
2008-01-24,15.54,29.74,30.91,29.25,30.7,1610700.0
2008-01-25,15.2,29.1,30.18,28.93,29.74,1455100.0
2008-01-28,15.39,29.46,29.5,27.81,29.34,2176300.0
2008-01-29,14.8,28.32,29.98,28.11,29.6,1684000.0
2008-01-30,14.42,27.6,28.8,27.49,28.24,1813700.0
2008-01-31,14.45,27.66,27.86,27.03,27.52,2534800.0
2008-02-01,15.03,28.78,29.0,27.23,27.57,2041500.0
2008-02-04,14.68,28.11,28.58,27.78,28.58,2260600.0
2008-02-05,14.06,26.51,27.78,26.46,27.78,1967200.0
2008-02-06,14.08,26.56,27.1,26.18,26.91,1608400.0
2008-02-07,14.71,27.75,27.76,26.28,26.48,1552400.0
2008-02-08,14.54,27.42,28.23,27.0,27.26,2977800.0
2008-02-11,14.17,26.72,27.44,26.55,27.32,1577600.0
2008-02-12,13.96,26.32,27.0,25.55,25.92,1812700.0
2008-02-13,14.25,26.88,26.99,25.79,26.69,1579000.0
2008-02-14,13.98,26.38,27.32,26.35,27.14,1102100.0
2008-02-15,14.31,26.99,27.09,25.96,25.96,1120700.0
2008-02-19,13.95,26.31,27.32,26.28,27.02,1404500.0
2008-02-20,14.39,27.15,27.16,25.85,25.85,1514200.0
